,https://roic.ai/company/LAWS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1034,0.0920,0.1220,0.1223,0.1235,0.1218,0.0914,0.0819,0.0930,0.0962,0.0944,0.0799,0.0770,0.0667,0.0749,0.0806,0.0232,0.0321,0.0416,0.0511,0.0594,0.0243,0.0209,-0.0569,-0.0072,0.0219,-0.0147,-0.2153,-0.0190,-0.0153,0.0011,-0.0059,0.0970,0.0178,0.0195,0.0430,0.0225
25,EPS,0.38,0.57,0.81,1.42,1.61,1.67,1.23,1.13,1.34,1.55,1.75,1.73,1.91,1.77,2.29,2.85,0.91,1.30,1.71,2.28,2.94,1.42,1.25,-3.24,-0.32,0.81,-0.54,-7.28,-0.59,-0.50,0.03,-0.19,3.35,0.70,0.81,1.68,1.04
26,EPS Diluted,0.38,0.57,0.81,1.42,1.61,1.67,1.23,1.13,1.34,1.55,1.75,1.73,1.91,1.76,2.29,2.85,0.91,1.30,1.70,2.27,2.94,1.42,1.25,-3.24,-0.32,0.81,-0.54,-7.28,-0.59,-0.50,0.03,-0.19,3.25,0.67,0.77,1.62,1.01
27,Weighted Average Shares Outstanding,14704000,14734000,14748000,14295775,13602484,10538922,13575000,13539823,13582090,13225806,12057143,11560694,11204188,11016949,10436681,9872166,9656256,9574615,9471345,9396930,9094558,8881690,8503200,8522000,8522000,8522000,8553000,8589000,8634000,8683000,8726000,8573684,8862090,8877143,8914815,8995833,9073000
28,Weighted Average Shares Outstanding Diluted,14704000,14734000,14748000,14295775,13602484,10538922,13575000,13539823,13582090,13225806,12222222,11560694,11204188,11079545,10436681,9872166,9656256,9574615,9527059,9438326,9094558,8881690,8503200,8522000,8522000,8537000,8553000,8589000,8634000,8683000,8876000,8573684,9134769,9274627,9377922,9329012,9350000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000091476001000051/0000914760-01-000051-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000095013706003165/c03441e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013707003843/c13015e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013708003582/c24690e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013709001748/0000950137-09-001748-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012310017134/0000950123-10-017134-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012311015230/c12720e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000119312512090914/0001193125-12-090914-index.html,https://www.sec.gov/Archives/edgar/data/703604/000144530513000315/0001445305-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360414000011/laws-x20131231x10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000070360417000018/0000703604-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360418000013/0000703604-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360419000023/0000703604-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360420000016/0000703604-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360421000035/0000703604-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/703604/000070360422000019/0000703604-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24800000,34100000,45000000,32500000,4400000,6800000,11000000,14400000,18000000,9900000,10400000,14500000,10200000,13900000,12000000,7911710,6986556,7591000,21399000,28872000,15467000,4179000,1671000,4300000,8787000,40566000,2116000,1640000,698000,4207000,10765000,10421000,4416000,11883000,5495000,28393000,4181000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,29972654,1737129,696000,2156000,- -,- -,- -,- -,- -,332000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24800000,34100000,45000000,32500000,4400000,6800000,11000000,14400000,18000000,9900000,10400000,14500000,10200000,13900000,24300000,37884364,8723685,8287000,23555000,28872000,15467000,4179000,1671000,4300000,9119000,40566000,2116000,1640000,698000,4207000,10765000,10421000,4416000,11883000,5495000,28393000,4181000
34,Net Receivables,18600000,20500000,22600000,26100000,27200000,26700000,75100000,70600000,25100000,30500000,31300000,30300000,33700000,35300000,43900000,43520127,47296361,46192000,52745000,54210000,65365000,61350000,63304000,60446000,50227000,42303000,50303000,36838000,34614000,36979000,30898000,33988000,42303000,41335000,44220000,51804000,54548000
35,Inventory,12400000,12700000,13600000,15600000,16800000,18400000,19300000,21900000,23700000,26800000,27100000,37000000,37000000,46700000,55500000,55228380,65542890,63851000,59817000,65687000,79125000,90752000,96785000,86435000,73696000,47167000,55498000,51484000,45774000,44517000,44095000,42561000,50928000,52887000,55905000,61867000,73849000
36,Other Current Assets,1800000,2600000,3100000,3300000,38000000,49600000,4600000,4600000,59800000,25000000,19200000,21300000,23100000,22500000,6600000,8515687,11498089,11431000,8641000,9208000,8070000,8916000,10171000,6423000,5278000,4870000,6126000,367000,9765000,800000,800000,800000,800000,800000,802000,998000,198000
37,Total Current Assets,57600000,69900000,84300000,77500000,86400000,101500000,110000000,111500000,126600000,92200000,88000000,103100000,104000000,118400000,130300000,145148558,133061025,129761000,144758000,157977000,168027000,165197000,171931000,157604000,138320000,134906000,114043000,90329000,90851000,86503000,86558000,87770000,98447000,106905000,106422000,143062000,132776000
38,PP&E,18400000,19100000,17900000,17000000,22900000,27100000,29500000,34700000,32100000,35900000,35500000,40100000,41000000,41100000,42000000,39404599,39059470,39519000,42946000,42452000,45662000,42664000,53031000,47783000,40576000,44442000,52702000,67155000,58974000,41588000,35487000,30907000,27333000,23548000,27792000,24564000,32873000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27999000,27999000,25748000,27957000,28307000,28148000,- -,- -,- -,- -,5520000,19614000,20079000,20923000,35176000,35313000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,2431347,28809722,30648000,30130000,30014000,29762000,1513000,1263000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11813000,13112000,12335000,18503000,16165000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,2431347,28809722,30648000,30130000,30014000,29762000,29512000,29262000,25748000,27957000,28307000,28148000,- -,- -,- -,- -,5520000,31427000,33191000,33258000,53679000,51478000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17021000,15660000,15490000,14943000,9179000,9188000,10245000,10051000,11964000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9212000,10679000,11987000,13201000,14779000,18212000,20341000,21344000,18159000,15249000,11492000,11864000,55000,54000,51000,51000,20000,21248000,20592000,21711000,18482000,20111000
44,Other Non-Current Assets,5300000,5500000,5200000,11100000,9800000,8900000,10800000,11800000,12700000,40000000,37100000,32000000,44000000,39500000,40100000,26524962,21171148,13916000,15908000,15328000,17561000,21169000,24295000,21702000,2524000,1577000,501000,449000,887000,510000,753000,1039000,248000,12906000,15246000,16517000,18919000
45,Total Non-Current Assets,23700000,24600000,23100000,28100000,32700000,36000000,40300000,46500000,44800000,75900000,72600000,72100000,85000000,80600000,85700000,77572908,99719340,96070000,102185000,102573000,111197000,113686000,127932000,113392000,103327000,101478000,108705000,82602000,69094000,51337000,46536000,47537000,92220000,90237000,98007000,113242000,123381000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,81300000,94500000,107400000,105600000,119100000,137500000,150300000,158000000,171400000,168100000,160600000,175200000,189000000,199000000,216000000,222721466,232780365,225831000,246943000,260550000,279224000,278883000,299863000,270996000,241647000,236384000,222748000,172931000,159945000,137840000,133094000,135307000,190667000,197142000,204429000,256304000,256157000
48,Accounts Payable,- -,- -,- -,- -,3500000,3100000,2600000,3000000,3100000,3300000,3200000,6000000,4900000,5100000,8200000,6730250,6947987,8085000,8240000,8746000,9380000,14350000,16266000,16334000,19968000,18195000,22967000,11833000,14787000,7867000,9370000,11307000,12394000,15207000,13789000,22262000,21089000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,1462000,1573000,- -,- -,11000000,- -,- -,- -,- -,16933000,16823000,809000,1801000,1837000,15666000,12030000,3830000,4568000,4467000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2699000,1259000,1440000,1199000,1149000,1136000,1674000,4387000,3788000,4113000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000,648000,822000,800000
52,Other Current Liabilities,11600000,12900000,16300000,17100000,15300000,15600000,15800000,13000000,12500000,16500000,15300000,18400000,19600000,25700000,30200000,27132298,21414163,23638000,27176000,32628000,43163000,49077000,45576000,51258000,43272000,37356000,28912000,31062000,23340000,30052000,25172000,26293000,31917000,38279000,38663000,70343000,45888000
53,Total Current Liabilities,11600000,12900000,16300000,17100000,18800000,18700000,18400000,16000000,15600000,19800000,18500000,24400000,24500000,30800000,38400000,33862548,32362150,31723000,36878000,42947000,52543000,63427000,72842000,67592000,63240000,55551000,51879000,59828000,54950000,38728000,36343000,39437000,59977000,66209000,56930000,97995000,72244000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,1573000,- -,- -,- -,- -,7700000,- -,- -,- -,- -,- -,- -,8539000,- -,- -,- -,2271000,5738000,22741000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4621000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4400000,5100000,1000000,600000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5868000,5867000,5102000,- -,- -,3115000,2761000,6188000,2841000,1671000
57,Other Non-Current Liabilities,4600000,5400000,6400000,7000000,8300000,9800000,11500000,13200000,15200000,17100000,19300000,22100000,24600000,25300000,27600000,28946453,30520140,31765000,35141000,37271000,41256000,45139000,52660000,56960000,41761000,37968000,36697000,31881000,33216000,32155000,26948000,34737000,34085000,28999000,31039000,27308000,26494000
58,Total Non-Current Liabilities,9000000,10500000,7400000,7600000,9000000,9800000,11500000,13200000,15200000,17100000,19300000,22100000,24600000,25300000,27600000,28946453,40520140,31765000,36714000,37271000,41256000,45139000,52660000,64660000,41761000,37968000,36697000,42370000,39083000,37257000,35487000,34737000,37200000,31760000,39498000,35887000,50906000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11592000,10968000,10223000,9415000,8539000,7543000,6420000,13334000,10306000,15308000
61,Total Liabilities,20600000,23400000,23700000,24700000,27800000,28500000,29900000,29200000,30800000,36900000,37800000,46500000,49100000,56100000,66000000,62809001,72882290,63488000,73592000,80218000,93799000,108566000,125502000,132252000,105001000,93519000,88576000,102198000,94033000,75985000,71830000,74174000,97177000,97969000,96428000,133882000,123150000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,9706404,9629307,9494000,9494000,9281000,8972000,8521000,8522000,8522000,8522000,8534000,8581000,8615000,8671000,8720000,8796000,8865000,8921000,9006000,9190000,9288000,9363000
64,Retained Earnings,80000000,86600000,101700000,113100000,130500000,148100000,159300000,169200000,181400000,195600000,111300000,117200000,140600000,132200000,140200000,151065840,151553577,152495000,161831000,167187000,172668000,158008000,160606000,126158000,121888000,126098000,117371000,52764000,47644000,43275000,43572000,41943000,71453000,77338000,86496000,101609000,111015000
65,Other Comprehensive Income/Loss,-9800000,-11500000,-12700000,-14500000,-15000000,-2100000,-15800000,-17500000,-18100000,-18100000,-22900000,-24600000,-27900000,-32500000,-36500000,-41571230,-45931265,-2033000,-641000,397000,-352000,-961000,459000,-710000,1456000,2975000,2140000,2558000,1985000,1426000,-466000,-39000,822000,-1560000,-1000,699000,544000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000,36100000,27200000,43200000,36100000,40711451,44646456,2387000,2667000,3467000,4137000,4749000,4774000,4774000,4780000,5258000,6080000,6796000,7612000,8434000,- -,10364000,12294000,14389000,12316000,10826000,- -
67,Total Stockholders Equity,60700000,71100000,83700000,80900000,91300000,109000000,120400000,128800000,140600000,131200000,122800000,128700000,139900000,142900000,150000000,159912465,159898075,162343000,173351000,180332000,185425000,170317000,174361000,138744000,136646000,142865000,134172000,70733000,65912000,61855000,61264000,61133000,93490000,99173000,108001000,122422000,133007000
68,Total Liabilities And Stockholders Equity,81300000,94500000,107400000,105600000,119100000,137500000,150300000,158000000,171400000,168100000,160600000,175200000,189000000,199000000,216000000,222721466,232780365,225831000,246943000,260550000,279224000,278883000,299863000,270996000,241647000,236384000,222748000,172931000,159945000,137840000,133094000,135307000,190667000,197142000,204429000,256304000,256157000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81300000,94500000,107400000,105600000,119100000,137500000,150300000,158000000,171400000,168100000,160600000,175200000,189000000,199000000,216000000,222721466,232780365,225831000,246943000,260550000,279224000,278883000,299863000,270996000,241647000,236384000,222748000,172931000,159945000,137840000,133094000,135307000,190667000,197142000,204429000,256304000,256157000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000091476001000051/0000914760-01-000051-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000095013706003165/c03441e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013707003843/c13015e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013708003582/c24690e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000095013709001748/0000950137-09-001748-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012310017134/0000950123-10-017134-index.html,https://www.sec.gov/Archives/edgar/data/703604/000095012311015230/c12720e10vk.htm,https://www.sec.gov/Archives/edgar/data/703604/000119312512090914/0001193125-12-090914-index.html,https://www.sec.gov/Archives/edgar/data/703604/000144530513000315/0001445305-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360414000011/laws-x20131231x10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/703604/000070360417000018/0000703604-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360418000013/0000703604-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360419000023/0000703604-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360420000016/0000703604-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/703604/000070360421000035/0000703604-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/703604/000070360422000019/0000703604-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13200000,12500000,- -,20300000,21900000,22600000,16600000,15300000,18200000,20500000,21100000,20000000,21400000,19500000,23900000,28135673,8787193,12447000,16196000,21425000,26738000,12612000,10629000,-27631000,-2736000,6937000,-4624000,-62550000,-5120000,-4369000,297000,-1629000,29688000,6214000,7221000,15113000,9406000
74,Depreciation and Amortization,1500000,1900000,- -,2000000,2000000,2100000,2400000,3000000,3200000,3100000,3300000,4000000,5000000,5500000,6500000,6663663,8146013,6827000,7103000,6692000,6618000,7544000,7435000,8282000,7216000,6306000,5704000,7134000,9030000,8751000,8543000,8066000,6770000,6855000,5893000,6701000,8341000
75,Deferred Income Tax,- -,- -,- -,- -,100000,-700000,-700000,-600000,-1300000,-600000,-800000,-700000,-900000,-1900000,-1900000,-582000,-1771000,-2177000,-476000,-1775000,-2397000,-4309000,-1456000,912000,1752000,5220000,-1837000,17444000,13000,8000,- -,31000,-21229000,545000,2169000,-167000,-2824000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4483000,1915000,61000,-306000,2267000,6376000,2093000,2469000,3106000,7508000,4054000,1479000,4838000
77,Change in Working Capital,- -,11000000,- -,-7600000,7200000,15200000,8800000,3900000,15500000,-38600000,-2900000,9200000,800000,8100000,4300000,19386010,-10587135,-2660875,9842000,7150000,454000,-13714000,-2681000,-9077000,-14932000,4275000,-17191000,-31663000,5400000,11874000,2440000,-1882000,-9863000,2226000,8796000,-4425000,-16762000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7591000,-4678000,-11422000,10426000,-941000,-2415000,3285000,-3252000,-5275000,-193000,-1380000,1762000,-2966000
79,Inventory,- -,- -,- -,- -,-1200000,-1500000,-900000,-2600000,-1800000,-3200000,-200000,-4000000,-4700000,-4900000,-2900000,256152,-3093011,1692000,4902000,-5870000,-151000,-11723000,-5955000,9368000,13484000,-3539000,-8432000,4145000,-1404000,882000,-116000,2229000,-1713000,-2915000,-2308000,2100000,-14347000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2968000,6219000,- -,-11430000,-9410000,-6826000,-6352000,397000,1846000,2851000,-3230000,5788000,2441000
81,Other Working Capital,57000000,68000000,- -,60400000,67600000,82800000,91600000,95500000,111000000,72400000,69500000,78700000,79500000,87600000,91900000,111286010,100698875,98038000,107880000,115030000,115484000,101770000,99089000,90012000,75080000,79355000,62164000,30501000,35901000,47775000,50215000,48333000,38470000,40696000,49492000,45067000,830000
82,Other Non-Cash Items,-14700000,-25400000,- -,-14700000,-6200000,-15000000,-7100000,-8100000,-18600000,38600000,600000,-7900000,-9300000,-15100000,-9500000,-30718291,1871802,14525875,-6247000,-7657000,-13617000,17752000,-2379000,43252000,29127000,-9865000,-5391000,62367000,-9356000,-20779000,-4088000,1405000,-1402000,-3049000,-18937000,13827000,2450000
