,https://roic.ai/company/PH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1234,0.1189,0.1104,0.1057,0.1164,0.0850,0.0674,0.0893,0.0858,0.1457,0.1438,0.1453,0.1474,0.1371,0.1435,0.1329,0.0813,0.0868,0.1051,0.1312,0.1295,0.1356,0.1361,0.1117,0.1219,0.1495,0.1512,0.1335,0.1495,0.1469,0.1371,0.1534,0.1665,0.1787,0.1722,0.2155
17,Operating Income,176800000,178700000,201500000,225400000,242700000,159500000,167100000,150700000,166000000,381500000,404700000,462900000,549900000,538700000,622862000,571485000,346067000,379770000,564650000,834871000,981624000,1218249000,1442451000,837288000,869019000,1490640000,1668289000,1374056000,1393752000,1511753000,1178009000,1386415000,1882399000,2072901000,1752449000,2459941000
18,Operating Income ratio,0.1022,0.0952,0.0895,0.0894,0.0990,0.0653,0.0703,0.0605,0.0644,0.1187,0.1128,0.1131,0.1187,0.1086,0.1163,0.0956,0.0563,0.0592,0.0795,0.1016,0.1046,0.1137,0.1188,0.0812,0.0870,0.1207,0.1269,0.1056,0.1055,0.1189,0.1037,0.1153,0.1316,0.1448,0.1280,0.1715
19,Total Other Income Expenses (Gains),-21400000,-22000000,-37700000,-54800000,-59500000,-56000000,-61700000,-42600000,-53500000,-33100000,-30200000,-38100000,-45900000,-61000000,-60675000,-37889000,-128031000,-82388000,-70582000,-78398000,-81666000,-58967000,-115927000,-155834000,-114202000,-76919000,-91591000,-63055000,162968000,-79513000,-63281000,-57774000,-180122000,-139476000,-239822000,-212984000
20,Income Before Tax,155400000,156700000,163800000,170600000,183200000,103500000,105400000,108100000,112500000,348400000,374500000,424800000,504000000,477700000,562187000,533596000,218036000,297382000,494068000,756473000,899958000,1159282000,1326524000,681454000,754817000,1413721000,1576698000,1311001000,1556720000,1432240000,1114728000,1328641000,1702277000,1933425000,1512627000,2246957000
21,Income Before Tax Ratio,0.0898,0.0835,0.0727,0.0677,0.0747,0.0424,0.0444,0.0434,0.0437,0.1084,0.1044,0.1038,0.1088,0.0963,0.1050,0.0892,0.0355,0.0464,0.0695,0.0921,0.0959,0.1082,0.1092,0.0661,0.0755,0.1145,0.1199,0.1007,0.1178,0.1127,0.0981,0.1105,0.1190,0.1350,0.1104,0.1566
22,Income Tax expense (Gain),67200000,71500000,57300000,67800000,72800000,44300000,41900000,43000000,60300000,130200000,134800000,150800000,180800000,167200000,193955000,189426000,87886000,101110000,148285000,208500000,261682000,329236000,377058000,172939000,198452000,356571000,421206000,362217000,515302000,419687000,307512000,344797000,640962000,420494000,305924000,500096000
23,Net Income,88200000,85200000,106500000,102800000,115200000,59200000,11200000,65100000,47700000,218200000,239700000,274000000,319500000,310500000,368232000,340792000,130150000,196272000,345783000,604692000,673167000,830046000,949466000,508515000,554065000,1049130000,1151823000,948427000,1041048000,1012140000,806840000,983412000,1060801000,1512364000,1206341000,1746100000
24,Net Income ratio,0.0510,0.0454,0.0473,0.0408,0.0470,0.0243,0.0047,0.0262,0.0185,0.0679,0.0668,0.0670,0.0690,0.0626,0.0688,0.0570,0.0212,0.0306,0.0487,0.0736,0.0717,0.0774,0.0782,0.0493,0.0554,0.0850,0.0876,0.0729,0.0788,0.0796,0.0710,0.0818,0.0742,0.1056,0.0881,0.1217
25,EPS,0.59,0.55,0.65,0.63,0.71,0.37,0.07,0.39,0.29,1.32,1.44,1.64,1.92,1.90,2.23,1.99,0.75,1.13,1.96,3.39,3.77,4.75,5.64,3.15,3.44,6.51,7.62,6.36,6.98,7.08,5.96,7.37,7.98,11.48,9.39,13.54
26,EPS Diluted,0.57,0.55,0.65,0.63,0.71,0.37,0.07,0.39,0.29,1.32,1.44,1.64,1.90,1.89,2.21,1.97,0.75,1.12,1.94,3.35,3.71,4.67,5.53,3.13,3.40,6.37,7.45,6.26,6.87,6.97,5.89,7.25,7.83,11.48,9.29,13.35
27,Weighted Average Shares Outstanding,150265776,153898954,162928740,163960573,162937399,161373859,167916042,165425762,166312193,165861486,166973684,167073171,166406250,163421053,165373653,171539597,172765487,174205917,176419898,178200000,178716903,174623983,168285487,161564111,160909655,161125869,151222033,149218257,149099448,142925327,135353321,133377547,133004613,129997639,128418495,128999879
28,Weighted Average Shares Outstanding Diluted,153760329,155775771,162928740,163960573,162937399,161373859,167916042,165425762,166312193,165861486,167018402,168064116,168157895,164575972,166872508,172698649,174308036,175242857,178238660,180684861,181283752,177613267,171643835,162719148,162901717,164798221,154664510,151588031,151444103,145112150,136911690,135559764,135426834,131781616,129805034,130834478
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76334/000007633494000021/0000076334-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633495000021/0000076334-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633496000032/0000076334-96-000032-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76334/000095015200007053/0000950152-00-007053-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000102140801507392/0001021408-01-507392-index.html,https://www.sec.gov/Archives/edgar/data/76334/000102140802010776/0001021408-02-010776-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312503043642/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312504151808/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312505179715/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312506185778/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312507191627/0001193125-07-191627-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312508186353/0001193125-08-186353-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312509182706/0001193125-09-182706-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312510197800/0001193125-10-197800-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312511233381/0001193125-11-233381-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633412000064/0000076334-12-000064-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633413000157/0000076334-13-000157-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/0000076334-14-000114-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/0000076334-15-000079-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ph630201610-k.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633417000095/0000076334-17-000095-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/0000076334-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633419000096/0000076334-19-000096-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633420000099/0000076334-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633421000187/0000076334-21-000187-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,81600000,63800000,64000000,69000000,30500000,33300000,68460000,23565000,46384000,245850000,183847000,336080000,171553000,172706000,326048000,187611000,575526000,657466000,838317000,1781412000,1613555000,1180584000,1221653000,884886000,822137000,3219767000,685514000,733117000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573701000,733490000,882342000,39318000,32995000,150931000,70805000,39116000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,81600000,63800000,64000000,69000000,30500000,33300000,68460000,23565000,46384000,245850000,183847000,336080000,171553000,172706000,326048000,187611000,575526000,657466000,838317000,1781412000,2187256000,1914074000,2103995000,924204000,855132000,3370698000,756319000,772233000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,388500000,485000000,538600000,601700000,699200000,738800000,840040000,922325000,1006313000,1002060000,1201343000,1241029000,1592323000,1737748000,2046726000,1417305000,1599941000,1977856000,1992284000,2062745000,2246613000,1984728000,1826103000,2185738000,2473916000,2441762000,2099268000,2509909000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,492900000,625900000,707200000,727800000,944300000,915100000,974196000,1008864000,1051968000,997167000,991378000,1030962000,1182878000,1265802000,1494694000,1254550000,1171655000,1412153000,1400732000,1377405000,1371681000,1300459000,1173329000,1549494000,1621304000,1678132000,1814631000,2090642000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,55400000,71700000,92300000,101100000,106100000,87500000,270417000,241608000,130953000,151730000,160365000,177801000,192224000,209919000,228157000,264315000,241674000,257781000,266781000,309624000,266030000,383831000,104360000,120282000,134886000,182494000,214986000,243966000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1018400000,1246400000,1402100000,1499600000,1780100000,1774700000,2153113000,2196362000,2235618000,2396807000,2536933000,2785872000,3138978000,3386175000,4095625000,3123781000,3588796000,4305256000,4498114000,5531186000,6071580000,5583092000,5207787000,4779718000,5085238000,7673086000,4885204000,5616750000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,717300000,815800000,991800000,1020700000,1135200000,1200900000,1340915000,1548688000,1696965000,1657425000,1591853000,1591917000,1693794000,1736372000,1926522000,1880554000,1697881000,1797179000,1719968000,1808240000,1824294000,1664022000,1568100000,1937292000,1856237000,1768287000,2292735000,2266476000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,953648000,1083768000,- -,- -,- -,2010458000,2254069000,2798092000,2903077000,2786334000,3009116000,2925856000,3223515000,3171425000,2942679000,2903037000,5586878000,5504420000,5453805000,7869935000,8059687000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,51500000,109300000,320200000,285300000,399700000,441500000,570740000,- -,51286000,1168054000,1300508000,1683702000,471095000,595607000,1020609000,1273862000,1150051000,1177722000,1095218000,1290499000,1188282000,1013439000,922571000,2307484000,2015520000,1783277000,3798913000,3519797000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,51500000,109300000,320200000,285300000,399700000,441500000,570740000,953648000,1135054000,1168054000,1300508000,1683702000,2481553000,2849676000,3818701000,4176939000,3936385000,4186838000,4021074000,4514014000,4359707000,3956118000,3825608000,7894362000,7519940000,7237082000,11668848000,11579484000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,832000000,859000000,469000000,546000000,674628000,687320000,597532000,931126000,687458000,1018781000,1091805000,850088000,842475000,801049000,747773000,764563000,774239000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7992000,9069000,43325000,28229000,46050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,605155000,36057000,57623000,150462000,126839000,104251000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,125600000,130700000,173000000,193300000,209800000,288800000,581531000,630971000,675877000,720022000,799381000,-40580000,107000,190000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,894400000,1055800000,1485000000,1499300000,1744700000,1931200000,2493186000,3141299000,3516965000,3588826000,3719971000,4113089000,5034454000,5055238000,6291229000,6732121000,6321586000,6581549000,6672168000,7009712000,7202782000,6711945000,6848951000,10710186000,10234849000,9903604000,14852985000,14724450000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,1912800000,2302200000,2887100000,2998900000,3524800000,3705900000,4646299000,5337661000,5752583000,5985633000,6256904000,6898961000,8173432000,8441413000,10386854000,9855902000,9910382000,10886805000,11170282000,12540898000,13274362000,12295037000,12056738000,15489904000,15320087000,17576690000,19738189000,20341200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,181100000,227500000,236900000,266800000,338200000,313200000,372666000,367806000,443525000,437103000,534561000,584253000,770665000,788560000,961886000,649718000,888743000,1173851000,1194684000,1156002000,1252040000,1092138000,1034589000,1300496000,1430306000,1413155000,1111759000,1667878000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,27000000,97400000,173800000,69700000,265500000,60600000,335298000,546502000,416693000,424235000,35198000,31962000,72039000,195384000,118864000,481467000,363272000,75271000,225589000,1333826000,816622000,223142000,361840000,1008465000,638466000,587014000,809529000,2824000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236384000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,296300000,327700000,356200000,379500000,385100000,380700000,478339000,498821000,499619000,562389000,689982000,719712000,838401000,941301000,1102506000,874569000,952876000,1141921000,1065740000,1030375000,1184134000,1034850000,969512000,1086899000,1128711000,1151604000,1227085000,1425801000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,504400000,652600000,766900000,716000000,988800000,754500000,1186303000,1413129000,1359837000,1423727000,1259741000,1335927000,1681105000,1925245000,2183256000,2005754000,2204891000,2391043000,2486013000,3520203000,3252796000,2350130000,2365941000,3395860000,3197483000,3151773000,3148373000,3096503000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,257300000,237200000,439800000,432900000,512900000,724800000,701762000,857078000,1088883000,966332000,953804000,938424000,1059461000,1089916000,1952452000,1839705000,1413634000,1691086000,1503946000,1495960000,1508142000,2723960000,2675000000,4861895000,4318559000,6520831000,7652256000,6582053000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8100000,23500000,24700000,26000000,29700000,30800000,77939000,131708000,76955000,20780000,79028000,35911000,118544000,114219000,162678000,183457000,135321000,160035000,88091000,102920000,94819000,77967000,54395000,221790000,234858000,193066000,382528000,553981000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,176600000,197400000,271700000,276700000,309900000,341900000,370837000,406831000,643392000,1053883000,981877000,1248552000,1073119000,600368000,829497000,1547361000,1697136000,1156305000,2186502000,1680334000,1755797000,2035411000,2382724000,1743013000,1703694000,1742868000,2426503000,1694993000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,442000000,458100000,736200000,735600000,852500000,1097500000,1150538000,1395617000,1809230000,2040995000,2014709000,2222887000,2251124000,1804503000,2944627000,3570523000,3246091000,3007426000,3778539000,3279214000,3358758000,4837338000,5112119000,6826698000,6257111000,8456765000,10461287000,8831027000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,946400000,1110700000,1503100000,1451600000,1841300000,1852000000,2336841000,2808746000,3169067000,3464722000,3274450000,3558814000,3932229000,3729748000,5127883000,5576277000,5450982000,5398469000,6264552000,6799417000,6611554000,7187468000,7478060000,10222558000,9454594000,11608538000,13609660000,11927530000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,58301000,58705000,59062000,59143000,59856000,60219000,60342000,60342000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000,90523000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,806200000,974500000,1160800000,1378300000,1631300000,1872400000,2165625000,2426496000,2473808000,2584268000,2840787000,3352888000,3916412000,4625195000,5387836000,5722038000,6086545000,6891407000,7787175000,8421270000,9174189000,9841885000,10302866000,10930348000,11625975000,12777538000,13530666000,14915497000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-904500000,-996900000,-1056500000,-1117800000,-1209900000,-1305900000,-1373335000,-1457376000,-1657293000,-1879358000,-2033219000,-471000000,-195000000,-113000000,118000000,-843000000,-1209000000,-451000000,-1416000000,-1108000000,-823000000,-1739000000,-2228000000,-1924000000,-1763000000,-2059000000,-2559000000,-1566727000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1064700000,1213900000,1279700000,1286800000,1262100000,1231400000,1458867000,1501090000,1707939000,1756858000,2115030000,398040000,459449000,139128000,-337388000,-689936000,-600103000,-1147076000,-1565183000,-1665367000,-1782284000,-3089121000,-3590134000,-3835222000,-4093632000,-4847092000,-4948206000,-5040986000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,966400000,1191500000,1384000000,1547300000,1683500000,1853900000,2309458000,2528915000,2583516000,2520911000,2982454000,3340147000,4241203000,4711665000,5258971000,4279625000,4367965000,5383854000,4896515000,5738426000,6659428000,5104287000,4575255000,5261649000,5859866000,5961969000,6113983000,8398307000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1912800000,2302200000,2887100000,2998900000,3524800000,3705900000,4646299000,5337661000,5752583000,5985633000,6256904000,6898961000,8173432000,8441413000,10386854000,9855902000,9818947000,10782323000,11161067000,12537843000,13270982000,12291755000,12053315000,15484207000,15314460000,17570507000,19723643000,20325837000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91435000,104482000,9215000,3055000,3380000,3282000,3423000,5697000,5627000,6183000,14546000,15363000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1912800000,2302200000,2887100000,2998900000,3524800000,3705900000,4646299000,5337661000,5752583000,5985633000,6256904000,6898961000,8173432000,8441413000,10386854000,9855902000,9910382000,10886805000,11170282000,12540898000,13274362000,12295037000,12056738000,15489904000,15320087000,17576690000,19738189000,20341200000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/76334/000007633494000021/0000076334-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633495000021/0000076334-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633496000032/0000076334-96-000032-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76334/000095015200007053/0000950152-00-007053-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000102140801507392/0001021408-01-507392-index.html,https://www.sec.gov/Archives/edgar/data/76334/000102140802010776/0001021408-02-010776-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312503043642/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312504151808/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312505179715/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312506185778/d10k.htm,https://www.sec.gov/Archives/edgar/data/76334/000119312507191627/0001193125-07-191627-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312508186353/0001193125-08-186353-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312509182706/0001193125-09-182706-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312510197800/0001193125-10-197800-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312511233381/0001193125-11-233381-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633412000064/0000076334-12-000064-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633413000157/0000076334-13-000157-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/0000076334-14-000114-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/0000076334-15-000079-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ph630201610-k.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633417000095/0000076334-17-000095-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/0000076334-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633419000096/0000076334-19-000096-index.html,https://www.sec.gov/Archives/edgar/data/76334/000007633420000099/0000076334-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/76334/000007633421000187/0000076334-21-000187-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,102800000,115200000,59200000,11200000,65100000,47700000,218200000,239700000,274000000,319500000,310500000,368232000,340792000,130150000,196272000,345783000,604692000,673167000,830046000,949466000,508515000,554065000,1049130000,1151823000,948427000,1041048000,1012140000,806840000,983412000,1060801000,1512364000,1206341000,1746100000
74,Depreciation and Amortization,- -,- -,- -,95800000,97500000,104000000,107000000,114200000,113100000,119900000,141400000,169800000,182700000,202000000,206408000,264527000,281598000,259178000,252785000,264699000,280971000,294566000,326724000,357737000,362509000,339800000,321929000,335624000,336702000,317491000,306843000,355229000,466085000,436189000,537531000,595390000
75,Deferred Income Tax,- -,- -,- -,15900000,12800000,4200000,-16600000,-14500000,-34000000,-4300000,-3700000,-1300000,7700000,5700000,-11867000,32509000,29095000,21614000,-4576000,16268000,-50548000,-28652000,-33933000,-13048000,-17353000,20715000,-56452000,-1368000,-74139000,18865000,-65686000,37024000,-41412000,32537000,13692000,-51500000
