,https://roic.ai/company/HLIT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000,128000,224000,333000,10628000,11078000,11401000,11651000,11509000,10625000
14,Depreciation and Amortization,1800000,2500000,3400000,4300000,6300000,247384000,38910000,34383000,26168000,23302000,11279000,9583000,11999000,13289000,20559000,27415000,44287000,44399000,43970000,36979000,19743000,33655000,22921000,21338000,19606000,15707000,13053000
15,EBITDA,6100000,8700000,8600000,-17200000,37900000,-1425195000,-128303000,-42035000,-2965000,25465000,5985000,11199000,37520000,59258000,10824000,32854000,55920000,35536000,36384000,15408000,4008000,-36147000,-50708000,15791000,24661000,999000,32549000
16,EBITDA ratio,0.1556,0.1429,0.1156,-0.2050,0.2059,-5.4180,-0.6295,-0.2252,-0.0163,0.1026,0.0233,0.0452,0.1206,0.1624,0.0339,0.0776,0.1018,0.0670,0.0788,0.0355,0.0106,-0.0891,-0.1415,0.0391,0.0612,0.0026,0.0642
17,Operating Income,3800000,5200000,4500000,-7900000,29000000,-262907000,-168787000,-77349000,-30545000,1436000,-7044000,-3722000,19258000,39305000,-12035000,5142000,11773000,-9307000,-23024000,-21571000,-12948000,-67036000,-70877000,-5011000,13083000,-12449000,18809000
18,Operating Income ratio,0.0969,0.0854,0.0605,-0.0942,0.1575,-0.9995,-0.8282,-0.4144,-0.1676,0.0058,-0.0274,-0.0150,0.0619,0.1077,-0.0377,0.0121,0.0214,-0.0175,-0.0498,-0.0498,-0.0343,-0.1651,-0.1978,-0.0124,0.0325,-0.0329,0.0371
19,Total Other Income Expenses (Gains),500000,1000000,700000,-13500000,2600000,-1409672000,1574000,931000,1412000,727000,1750000,5338000,6263000,6664000,2300000,297000,-140000,222000,-128000,-224000,-3120000,-13394000,-13830000,-11937000,-19679000,-13768000,-9938000
20,Income Before Tax,4300000,6200000,5200000,- -,31600000,-1672579000,-167213000,-76418000,-29133000,2163000,-5294000,1616000,25521000,45969000,-9735000,5439000,11633000,-9085000,-23152000,-21795000,-16068000,-80430000,-84707000,-16948000,-6596000,-26217000,8871000
21,Income Before Tax Ratio,0.1097,0.1018,0.0699,- -,0.1716,-6.3585,-0.8204,-0.4095,-0.1598,0.0087,-0.0206,0.0065,0.0820,0.1260,-0.0305,0.0128,0.0212,-0.0171,-0.0501,-0.0503,-0.0426,-0.1981,-0.2364,-0.0420,-0.0164,-0.0692,0.0175
22,Income Tax expense (Gain),200000,300000,300000,- -,7900000,-18571000,-806000,500000,300000,589000,437000,609000,2100000,-18023000,14404000,9774000,2854000,1852000,-44741000,24453000,-407000,-8116000,-1752000,4087000,-672000,3054000,-4383000
23,Net Income,4100000,5900000,4900000,-21500000,23700000,-1654008000,-166407000,-76918000,-29433000,1574000,-5731000,1007000,23421000,63992000,-24139000,-4335000,8779000,-10937000,37027000,-46248000,-15661000,-72314000,-82955000,-21035000,-5924000,-29271000,13254000
24,Net Income ratio,0.1046,0.0969,0.0659,-0.2563,0.1287,-6.2879,-0.8165,-0.4121,-0.1615,0.0063,-0.0223,0.0041,0.0753,0.1753,-0.0755,-0.0102,0.0160,-0.0206,0.0802,-0.1067,-0.0415,-0.1782,-0.2316,-0.0521,-0.0147,-0.0773,0.0261
25,EPS,0.18,0.26,0.24,-0.93,0.84,-34.06,-2.84,-1.29,-0.47,0.02,-0.08,0.01,0.29,0.68,-0.25,-0.04,0.08,-0.09,0.35,-0.50,-0.18,-0.93,-1.02,-0.25,-0.07,-0.30,0.13
26,EPS Diluted,0.10,0.26,0.21,-0.93,0.76,-34.06,-2.84,-1.29,-0.47,0.02,-0.08,0.01,0.28,0.67,-0.25,-0.04,0.08,-0.09,0.34,-0.50,-0.18,-0.93,-1.02,-0.25,-0.07,-0.30,0.12
27,Weighted Average Shares Outstanding,22777778,22948000,20690000,23244000,28290000,48564000,58540000,59779000,62288000,72015000,73279000,74639000,81882000,94535000,95833000,101487000,115175000,116457000,106529000,92508000,87514000,77705000,80974000,85615000,89575000,96971000,102099000
28,Weighted Average Shares Outstanding Diluted,22777778,22948000,23046000,23244000,30967000,48564000,58540000,59779000,62288000,73043000,73279000,75183000,83249000,95434000,95833000,101487000,116427000,116457000,107808000,92508000,87514000,77705000,80974000,85615000,89575000,96971000,106421000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851310/000109581101002067/0001095811-01-002067-index.html,https://www.sec.gov/Archives/edgar/data/851310/000089161802001226/f78639e10-k.htm,https://www.sec.gov/Archives/edgar/data/851310/000089161803001573/f88176e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013404003156/f96175e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013405005213/f04772e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013406004928/f18224e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013407005822/f27358e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013408004910/f37117e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000089161809000062/0000891618-09-000062-index.html,https://www.sec.gov/Archives/edgar/data/851310/000095012310019274/0000950123-10-019274-index.html,https://www.sec.gov/Archives/edgar/data/851310/000095012311020528/0000950123-11-020528-index.html,https://www.sec.gov/Archives/edgar/data/851310/000119312512089433/0001193125-12-089433-index.html,https://www.sec.gov/Archives/edgar/data/851310/000119312513087640/0001193125-13-087640-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131014000008/hlit-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131015000010/hlit-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131016000079/0000851310-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131017000011/0000851310-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131018000017/0000851310-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131019000008/0000851310-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131020000006/0000851310-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131021000012/0000851310-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131022000012/0000851310-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22100000,16400000,13700000,9200000,24800000,13505000,36005000,21542000,41877000,26603000,37818000,33454000,129005000,179891000,152477000,96533000,90983000,96670000,90329000,73032000,126190000,55635000,57024000,65989000,93058000,98645000,133431000
32,Short-Term Investments,- -,- -,- -,- -,64900000,86164000,18272000,27616000,70720000,74004000,73010000,58917000,140255000,147272000,118593000,23838000,70854000,104506000,80252000,31847000,26604000,6923000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22100000,16400000,13700000,9200000,89700000,99669000,54277000,49158000,112597000,100607000,110828000,92371000,269260000,327163000,271070000,120371000,161837000,201176000,170581000,104879000,152794000,62558000,57024000,65989000,93058000,98645000,133431000
34,Net Receivables,5800000,12600000,16500000,17600000,35400000,67726000,34402000,25380000,38528000,64148000,43433000,64674000,69302000,63923000,64838000,101652000,109886000,85920000,75052000,76460000,71285000,92660000,76453000,92934000,109812000,76027000,88529000
35,Inventory,9200000,14800000,15500000,22400000,35300000,80191000,30944000,25904000,22425000,41763000,38552000,42116000,34251000,26875000,35066000,58065000,70649000,64270000,36926000,32747000,38819000,41193000,25976000,25638000,29042000,35031000,71195000
36,Other Current Assets,200000,1400000,1700000,1200000,9300000,41467000,18840000,5494000,6196000,8504000,8335000,12807000,20995000,52369000,47324000,68463000,49506000,45506000,46171000,18598000,23233000,20424000,12322000,12141000,19450000,28332000,29972000
37,Total Current Assets,37300000,45200000,47400000,50400000,169700000,289053000,138463000,105936000,179746000,215022000,201148000,211968000,393808000,470330000,418298000,348551000,391878000,396872000,328730000,232684000,286131000,216835000,171775000,196702000,251362000,238035000,323127000
38,PP&E,4500000,8800000,10100000,10700000,14900000,47366000,45755000,32456000,23458000,19611000,17040000,14816000,14082000,15428000,25941000,39825000,40469000,38122000,34945000,27221000,27012000,32164000,29265000,22321000,50419000,70697000,73689000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37141000,45793000,41674000,63953000,211878000,212417000,212518000,198022000,197884000,197781000,237279000,242827000,240618000,239780000,243674000,240213000
40,Intangible Assets,- -,- -,- -,1200000,1100000,89525000,53838000,35362000,21522000,7723000,8109000,16634000,17844000,12069000,25265000,118070000,87651000,58447000,31119000,10599000,4097000,29231000,21279000,12817000,4461000,508000,- -
41,Intangible Assets,- -,- -,- -,1200000,1100000,89525000,53838000,35362000,21522000,7723000,8109000,53775000,63637000,53743000,89218000,329948000,300068000,270965000,229141000,208483000,201878000,266510000,264106000,253435000,244241000,244182000,240213000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3593000,3593000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8695000,10575000,- -,- -
44,Other Non-Current Assets,- -,600000,1400000,100000,- -,- -,- -,- -,- -,- -,- -,1403000,4252000,24862000,22847000,2062000,1751000,11572000,13268000,12130000,9936000,38560000,42913000,26089000,27137000,38609000,56657000
45,Total Non-Current Assets,4500000,9400000,11500000,12000000,16000000,136891000,99593000,67818000,44980000,27334000,25149000,69994000,81971000,94033000,138006000,371835000,342288000,320659000,277354000,247834000,238826000,337234000,336284000,314133000,335965000,353488000,370559000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,41800000,54600000,58900000,62400000,185700000,425944000,238056000,173754000,224726000,242356000,226297000,281962000,475779000,564363000,556304000,720386000,734166000,717531000,606084000,480518000,524957000,554069000,508059000,510835000,587327000,591523000,693686000
48,Accounts Payable,2200000,5600000,3700000,7500000,18900000,32783000,10296000,7258000,14863000,22381000,19378000,33863000,20500000,13366000,22065000,26300000,30537000,25447000,22380000,15318000,19364000,28892000,33112000,33778000,40933000,23543000,64429000
49,Short-Term Debt,- -,- -,- -,200000,- -,- -,1281000,1862000,1027000,1067000,812000,532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7275000,7610000,7175000,58969000,19125000,49162000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1434000,609000,6791000,2290000,1797000,331000,893000,307000,1166000,233000,1099000,1226000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,15469000,19687000,29052000,37865000,29909000,32855000,46279000,33095000,33235000,27020000,38601000,33856000,56951000,57449000,46234000,40674000,54294000,57226000
52,Other Current Liabilities,2600000,5400000,4900000,10400000,21400000,61652000,60278000,65570000,68467000,58993000,43918000,51123000,52167000,51924000,38193000,58074000,49186000,44212000,35680000,36011000,31661000,51779000,43918000,49218000,51323000,50333000,53644000
53,Total Current Liabilities,4800000,11000000,8600000,18100000,40300000,94435000,71855000,74690000,84357000,97910000,83795000,114570000,110532000,95199000,93113000,130653000,112818000,102894000,85080000,89930000,84881000,144897000,142089000,136405000,191899000,147295000,224461000
54,Long-Term Debt,- -,- -,- -,400000,- -,- -,1465000,710000,629000,1272000,460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,98295000,117174000,124084000,127492000,99118000,139593000,141050000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4652000,- -,- -,6333000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,35215000,9065000,- -,- -,- -,- -,- -,3454000,- -,- -,14849000,655000,- -,- -,3095000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,200000,400000,400000,500000,592000,20617000,36171000,33579000,32617000,29060000,22258000,27380000,54847000,55718000,54681000,56377000,61224000,26838000,15680000,13613000,16705000,23543000,18688000,35121000,46333000,31379000
58,Total Non-Current Liabilities,- -,200000,400000,800000,500000,35807000,31147000,36881000,34208000,33889000,29520000,22258000,30834000,54847000,55718000,69530000,57032000,61224000,26838000,18775000,111908000,138531000,147627000,146180000,140572000,185926000,172429000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,34718000,33425000,36466000
61,Total Liabilities,4800000,11000000,9000000,18900000,40800000,130242000,103002000,111571000,118565000,131799000,113315000,136828000,141366000,150046000,148831000,200183000,169850000,164118000,111918000,108705000,196789000,283428000,289716000,282585000,332471000,333221000,396890000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,58000,59000,60000,71000,72000,74000,78000,94000,95000,96000,112000,116000,114000,99000,88000,76000,78000,83000,87000,92000,98000,103000
64,Retained Earnings,-16900000,-10900000,-6000000,-27500000,-3800000,-1657800000,-1824207000,-1901125000,-1930558000,-1928984000,-1934715000,-1933709000,-1912386000,-1848394000,-1872533000,-1876868000,-1868089000,-1879026000,-1841999000,-1888247000,-1903908000,-1976222000,-2057812000,-2067416000,-2071940000,-2101211000,-2087957000
65,Other Comprehensive Income/Loss,-4800000,-6500000,-10000000,-14000000,-19000000,-48233000,-68147000,14000,126000,-269000,-467000,-99000,-170000,-620000,-35000,-712000,-875000,-465000,-209000,-1980000,-4418000,-7270000,3382000,-1216000,-3065000,5856000,-3272000
66,Other Total Stockholders Equity,58700000,61000000,65900000,85000000,167700000,2001677000,2027349000,1963234000,2036522000,2039738000,2048090000,2078864000,2246875000,2263236000,2279945000,2397671000,2433164000,2432790000,2336275000,2261952000,2236418000,2254055000,2272690000,2296795000,2329769000,2353559000,2387922000
67,Total Stockholders Equity,37000000,43600000,49900000,43500000,144900000,295702000,135054000,62183000,106161000,110557000,112982000,145134000,334413000,414317000,407473000,520203000,564316000,553413000,494166000,371813000,328168000,270641000,218343000,228250000,254856000,258302000,296796000
68,Total Liabilities And Stockholders Equity,41800000,54600000,58900000,62400000,185700000,425944000,238056000,173754000,224726000,242356000,226297000,281962000,475779000,564363000,556304000,720386000,734166000,717531000,606084000,480518000,524957000,554069000,508059000,510835000,587327000,591523000,693686000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,41800000,54600000,58900000,62400000,185700000,425944000,238056000,173754000,224726000,242356000,226297000,281962000,475779000,564363000,556304000,720386000,734166000,717531000,606084000,480518000,524957000,554069000,508059000,510835000,587327000,591523000,693686000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851310/000109581101002067/0001095811-01-002067-index.html,https://www.sec.gov/Archives/edgar/data/851310/000089161802001226/f78639e10-k.htm,https://www.sec.gov/Archives/edgar/data/851310/000089161803001573/f88176e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013404003156/f96175e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013405005213/f04772e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013406004928/f18224e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013407005822/f27358e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000095013408004910/f37117e10vk.htm,https://www.sec.gov/Archives/edgar/data/851310/000089161809000062/0000891618-09-000062-index.html,https://www.sec.gov/Archives/edgar/data/851310/000095012310019274/0000950123-10-019274-index.html,https://www.sec.gov/Archives/edgar/data/851310/000095012311020528/0000950123-11-020528-index.html,https://www.sec.gov/Archives/edgar/data/851310/000119312512089433/0001193125-12-089433-index.html,https://www.sec.gov/Archives/edgar/data/851310/000119312513087640/0001193125-13-087640-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131014000008/hlit-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131015000010/hlit-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131016000079/0000851310-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131017000011/0000851310-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131018000017/0000851310-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131019000008/0000851310-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131020000006/0000851310-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/851310/000085131021000012/0000851310-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/851310/000085131022000012/0000851310-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4100000,5900000,4900000,-21500000,23700000,-1654008000,-166407000,-76918000,-29433000,1574000,-5731000,1007000,23421000,63992000,-24139000,-4335000,8779000,-10937000,37027000,-46248000,-15661000,-72314000,-82955000,-21035000,-5924000,-29271000,13254000
74,Depreciation and Amortization,1800000,2500000,3400000,4300000,6300000,247384000,38910000,34383000,26168000,23302000,11279000,9583000,11999000,13289000,20559000,27415000,44287000,44399000,43970000,36979000,19743000,33655000,22921000,21338000,19606000,15707000,13053000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,156000,- -,- -,-366000,- -,- -,-55859000,11818000,-1475000,-2316000,-4969000,-8537000,32163000,-512000,-10085000,2189000,661000,-2076000,-105000,-6197000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7806000,10579000,15539000,20913000,18926000,16089000,17287000,15582000,13060000,16610000,17289000,12074000,18040000,24056000
77,Change in Working Capital,-3600000,1700000,4600000,-6500000,97100000,65218000,-128010000,-35362000,64143000,21723000,241000,-19955000,185878000,91855000,-49946000,-107287000,61162000,14918000,-50328000,-100896000,58496000,-129312000,-42252000,30611000,-834000,31277000,-13855000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6529000,5426000,-19744000,-10365000,20368000,9908000,-1035000,2595000,-2563000,12598000,-14700000,-8388000,21186000,-26722000
79,Inventory,-3500000,-5600000,-700000,-6400000,-12900000,-27553000,10038000,11907000,8188000,-15296000,4581000,-3224000,7865000,7388000,7726000,-11979000,-12652000,3003000,13290000,1610000,-5954000,-4107000,11687000,-2045000,-4819000,-8195000,-39338000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7134000,5735000,-3080000,4750000,-5201000,-3363000,56000,4683000,5793000,3432000,1018000,5086000,-18173000,42303000
81,Other Working Capital,32500000,34200000,38800000,32300000,129400000,194618000,66608000,31246000,95389000,117112000,117353000,97398000,283276000,375131000,325185000,217898000,279060000,293978000,243650000,142754000,201250000,71938000,29686000,60297000,59463000,90740000,15014000
82,Other Non-Cash Items,- -,-9800000,-10900000,21700000,-105300000,981921000,230739000,72337000,-66437000,-55621000,10631000,17999000,-185938000,-60956000,42217000,87980000,-87648000,8476000,15538000,108084000,-71297000,165434000,86551000,-36580000,8449000,3515000,10706000
83,Cash Provided by Operating Activities,2300000,300000,2000000,-2000000,21800000,-359485000,-24768000,-5404000,-5559000,-9022000,16054000,8634000,35360000,60127000,11088000,17837000,45177000,70813000,53759000,47369000,6351000,438000,3064000,12284000,31295000,39163000,41017000
84,CAPEX,-3100000,-6700000,-4800000,-4700000,-9300000,-29877000,-29080000,-3292000,-3364000,-6318000,-5666000,-5143000,-5868000,-9046000,-8086000,-35624000,-17269000,-12609000,-14581000,-10065000,-14356000,-15107000,-11399000,-7044000,-10328000,-32205000,-12975000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5661000,-26232000,-6915000,-2830000,-63505000,-153504000,-250000,- -,- -,- -,- -,-75669000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-71800000,-66563000,-58490000,-27874000,-67914000,-85457000,-63328000,-70398000,-178123000,-132813000,-129202000,-51457000,-107544000,-133778000,-78764000,-35992000,-25346000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5800000,45393000,126150000,18498000,24909000,81710000,64334000,84820000,98300000,126737000,157881000,144230000,59732000,98838000,100924000,73856000,30379000,19707000,6898000,104000,- -,- -,- -
88,Other Investing Activites,- -,- -,-1300000,- -,- -,393739000,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,43515000,- -,-1091000,591000,288000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3100000,-6700000,-6100000,-4700000,-75300000,342692000,38580000,-12668000,-46369000,-10065000,-10321000,-16953000,-92606000,-17952000,-42912000,-96355000,-65331000,-47549000,51094000,27799000,-10414000,-70478000,-4213000,-6940000,-10328000,-32205000,-12975000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3527000,-8338000,-7408000,-7132000,-116516000,-14645000,-6169000
91,Common Stock Issued,24400000,700000,1400000,1600000,69400000,5454000,6260000,3770000,73251000,3194000,6478000,4778000,153337000,8463000,4243000,3859000,12701000,4819000,5186000,1106000,9222000,4444000,4716000,4947000,8406000,5472000,12311000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22639000,-116529000,-93128000,-72863000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3200000,- -,- -,600000,-400000,- -,2746000,-174000,-916000,683000,-1159000,-894000,-462000,- -,- -,18833000,1955000,121000,141000,15000,124701000,3742000,3587000,4836000,114415000,7064000,1797000
95,Cash Used/Provided by Financing Activities,21200000,700000,1400000,2200000,69000000,5454000,9006000,3596000,72335000,3877000,5319000,3884000,152875000,8463000,4243000,22692000,14656000,-17699000,-111202000,-92007000,57533000,-152000,895000,2651000,6305000,-2109000,7939000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,22000,-318000,13000,-72000,-64000,163000,71000,-78000,248000,167000,-118000,-52000,122000,8000,-458000,-312000,-363000,1643000,-763000,-203000,738000,-1195000
97,Net Change In Cash,21200000,700000,1400000,2200000,15600000,-11317000,22500000,-14463000,20335000,-15274000,11215000,-4364000,95551000,50886000,-27414000,-55944000,-5550000,5687000,-6341000,-17297000,53158000,-70555000,1389000,7232000,27069000,5587000,34786000
98,Cash at the End of Period,- -,- -,- -,- -,24800000,13505000,36005000,21542000,41877000,26603000,37818000,33454000,129005000,179891000,152477000,96533000,90983000,96670000,90329000,73032000,126190000,55635000,57024000,65989000,93058000,98645000,133431000
99,Cash at the Beginning of Period,1700000,22100000,16400000,13700000,9200000,24822000,13505000,36005000,21542000,41877000,26603000,37818000,33454000,129005000,179891000,152477000,96533000,90983000,96670000,90329000,73032000,126190000,55635000,58757000,65989000,93058000,98645000
100,Free Cash Flow,-800000,-6400000,-2800000,-6700000,12500000,-389362000,-53848000,-8696000,-8923000,-15340000,10388000,3491000,29492000,51081000,3002000,-17787000,27908000,58204000,39178000,37304000,-8005000,-14669000,-8335000,5240000,20967000,6958000,28042000
