,https://roic.ai/company/BMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,11800000,13500000,13400000,12800000,13800000,13600000,14100000,14700000,18000000,18500000,15800000,17500000,21600000,22400000,19000000,20322000,21487000,25182000,29654000,35646000,31970000,33290000,34094000,39315000,32484000,48316000,49436000,60997000,60939000,71774000,78596000,77701000,85172000,80804000,81948000,81586000,99611000
36,Other Current Assets,500000,600000,800000,1000000,900000,1100000,1200000,700000,700000,700000,700000,900000,600000,1100000,900000,952000,767000,4280000,4951000,6023000,5741000,13791000,6532000,5230000,5058000,5503000,5616000,8239000,8828000,8708000,5926000,6155000,4077000,4469000,7910000,5303000,8709000
37,Total Current Assets,20500000,22500000,24000000,23400000,26200000,26500000,26300000,27500000,31200000,34000000,31400000,35000000,42500000,45700000,48000000,44517000,44364000,55380000,62998000,71382000,72564000,79359000,79934000,86529000,86680000,97337000,101195000,121374000,127163000,141105000,149328000,151012000,158623000,164659000,200094000,220851000,261360000
38,PP&E,13100000,14500000,13200000,13100000,14600000,16400000,16600000,16900000,16600000,16600000,17400000,19400000,24000000,37400000,42100000,42594000,41124000,43468000,42838000,42016000,43870000,44709000,54578000,61823000,62871000,66088000,66102000,70484000,76416000,81806000,90920000,90194000,93601000,90321000,85761000,82705000,78050000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6958000,6958000,6958000,6958000,9162000,9365000,35930000,44695000,47722000,47978000,49314000,67424000,71258000,71258000,88708000,104313000
40,Intangible Assets,1300000,1500000,1600000,1700000,1600000,2000000,1800000,1600000,1300000,1600000,1200000,900000,700000,1500000,1100000,1097000,773000,6809000,8425000,8264000,7606000,636000,477000,25030000,23603000,34170000,33680000,58351000,57317000,66572000,62348000,51872000,59326000,60618000,53863000,59598000,69776000
41,Intangible Assets,1300000,1500000,1600000,1700000,1600000,2000000,1800000,1600000,1300000,1600000,1200000,900000,700000,1500000,1100000,1097000,773000,6809000,8425000,8264000,7606000,7594000,7435000,31988000,30561000,43332000,43045000,94281000,102012000,114294000,110326000,101186000,126750000,131876000,125121000,148306000,174089000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,- -,- -,- -,- -,3510000,3435000,9305000,5059000,1658000,2309000,- -,- -,- -,1421000,700000,2856000,2163000,742000,5090000,7529000
44,Other Non-Current Assets,1100000,1600000,2700000,3600000,4300000,5800000,6500000,7900000,8500000,9800000,10500000,10800000,15100000,12300000,11900000,10502000,12526000,20806000,19590000,21299000,21827000,4211000,4919000,5713000,5845000,7449000,6259000,4314000,10467000,3953000,3485000,6607000,9897000,3672000,10175000,11428000,9790000
