,https://roic.ai/company/CVS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0440,0.0453,0.0481,0.0523,0.0527,0.0444,0.0351,0.0128,0.0318,0.0272,-0.0678,0.0136,0.0030,0.0259,- -,0.0371,0.0186,0.0297,- -,0.0319,0.0331,0.0312,0.0345,0.0367,0.0374,0.0355,0.0323,0.0315,0.0362,0.0333,0.0342,0.0300,0.0358,-0.0031,0.0258,0.0267,0.0270
25,EPS,0.48,0.55,0.66,0.41,0.89,0.90,0.80,0.28,0.60,0.69,-1.60,0.14,0.04,0.49,- -,0.94,0.51,0.90,- -,1.05,1.49,1.65,1.97,2.23,2.58,2.51,2.59,3.05,3.77,3.98,4.66,4.93,6.47,-0.57,5.10,5.48,5.98
26,EPS Diluted,0.48,0.55,0.66,0.41,0.89,0.90,0.80,0.28,0.59,0.69,-1.60,0.14,0.04,0.49,- -,0.92,0.50,0.88,- -,1.03,1.45,1.60,1.92,2.18,2.55,2.49,2.57,3.03,3.74,3.96,4.63,4.90,6.44,-0.57,5.08,5.46,5.94
27,Weighted Average Shares Outstanding,433195876,433090909,432272727,435808000,430674157,410444444,413625000,420357143,525000000,422545455,420655226,422800000,679200000,774200000,- -,782000000,784400000,784600000,- -,788800000,811400000,820600000,1328200000,1433500000,1434000000,1367000000,1338000000,1271000000,1217000000,1161000000,1118000000,1073000000,1020000000,1044000000,1301000000,1309000000,1321000000
28,Weighted Average Shares Outstanding Diluted,433195876,433090909,432272727,435808000,430674157,410444444,413625000,420357143,529411765,422545455,432000000,422800000,692000000,810400000,- -,816000000,816600000,810600000,- -,815400000,841600000,853200000,1371800000,1469100000,1450000000,1377000000,1347000000,1280000000,1226000000,1169000000,1126000000,1079000000,1024000000,1044000000,1305000000,1314000000,1329000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64803/000089109295000026/0000891092-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/64803/000089109296000050/0000891092-96-000050-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/64803/000091205701007764/0000912057-01-007764-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465902000809/j2961_10k405.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465903004471/j8483_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/64803/000119312504040575/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312506053756/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465907014431/a07-4967_110k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312508040019/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312509041089/0001193125-09-041089-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312510043086/0001193125-10-043086-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312511040351/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/0001104659-12-010850-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/0001104659-13-011354-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/cvs-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/cvs-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480316000074/0000064803-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480317000006/0000064803-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/0001558370-18-000707-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/0000064803-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/0000064803-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480321000011/0000064803-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/0000064803-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,304700000,326800000,341800000,298400000,368800000,111100000,78700000,145100000,81000000,117000000,129600000,423900000,168500000,181000000,- -,337000000,236000000,700000000,- -,843000000,513400000,531000000,1057000000,1352400000,1086000000,1427000000,1413000000,1375000000,4089000000,2481000000,2459000000,3371000000,1696000000,4059000000,5683000000,7854000000,9408000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,- -,5000000,4000000,5000000,5000000,88000000,34000000,88000000,87000000,111000000,2522000000,2373000000,3000000000,3117000000
33,Cash and Short-Term Investments,304700000,326800000,341800000,298400000,368800000,111100000,78700000,145100000,81000000,117000000,129600000,423900000,168500000,181000000,- -,337000000,236000000,700000000,- -,843000000,513400000,531000000,1085000000,1352400000,1091000000,1431000000,1418000000,1380000000,4177000000,2515000000,2547000000,3458000000,1807000000,6581000000,8056000000,10854000000,12525000000
34,Net Receivables,63600000,78800000,82900000,111100000,126400000,148800000,213500000,245200000,244000000,229800000,296400000,160800000,452400000,650000000,- -,825000000,966000000,1019000000,- -,1350000000,1839600000,2377000000,4580000000,5384300000,5457000000,4925000000,6047000000,6473000000,8729000000,9687000000,11888000000,12164000000,13181000000,17631000000,19617000000,21742000000,24431000000
35,Inventory,807600000,904500000,1006200000,1200900000,1288400000,1656200000,1875200000,1806600000,1858800000,2138200000,1673000000,1031400000,2709500000,3190000000,- -,3558000000,3919000000,4014000000,- -,4017000000,5719800000,7109000000,8008000000,9152600000,10343000000,10695000000,10046000000,10759000000,11045000000,11930000000,14001000000,14760000000,15296000000,16450000000,17516000000,18496000000,17760000000
36,Other Current Assets,28700000,41300000,57700000,83200000,90900000,197100000,202600000,244800000,214600000,165500000,460900000,356600000,354600000,328000000,- -,217000000,333000000,249000000,- -,287000000,319900000,375000000,476000000,636900000,646000000,655000000,1083000000,1240000000,1374000000,1851000000,1942000000,660000000,945000000,4581000000,5113000000,5277000000,5292000000
37,Total Current Assets,1204600000,1351400000,1488600000,1693600000,1874500000,2113200000,2370000000,2441700000,2398400000,2650500000,2559900000,1972700000,3685000000,4349000000,- -,4937000000,5454000000,5982000000,- -,6497000000,8392700000,10392000000,14149000000,16526200000,17537000000,17706000000,18594000000,19852000000,25325000000,25983000000,30378000000,31042000000,31229000000,45243000000,50302000000,56369000000,60008000000
38,PP&E,461600000,510100000,566100000,692900000,766600000,965100000,1092500000,1207900000,1302200000,1514900000,1114400000,606500000,958200000,1351000000,- -,1742000000,1847000000,2216000000,- -,2542000000,3952600000,5334000000,5853000000,8125200000,7923000000,8322000000,8467000000,8632000000,8615000000,8843000000,9855000000,10175000000,10292000000,11349000000,32904000000,33335000000,32018000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000000,- -,819000000,827000000,879000000,- -,889000000,- -,3195000000,23922000000,25493900000,25680000000,25669000000,26458000000,26395000000,26542000000,28142000000,38106000000,38249000000,38451000000,78678000000,79749000000,79552000000,79121000000
40,Intangible Assets,127400000,123800000,145400000,306800000,300100000,417900000,461300000,429900000,443700000,448400000,195600000,120700000,711300000,- -,- -,- -,- -,351000000,- -,404000000,2592100000,1318000000,10430000000,10446200000,10127000000,9784000000,9869000000,9753000000,9529000000,9774000000,13878000000,13511000000,13630000000,36524000000,33121000000,31142000000,29026000000
41,Intangible Assets,127400000,123800000,145400000,306800000,300100000,417900000,461300000,429900000,443700000,448400000,195600000,120700000,711300000,725000000,- -,819000000,827000000,1230000000,- -,1293000000,2592100000,4513000000,34352000000,35940100000,35807000000,35453000000,36327000000,36148000000,36071000000,37916000000,51984000000,51760000000,52081000000,115202000000,112870000000,110694000000,108147000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000000,15732000000,17314000000,20812000000,23025000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,35000000,- -,- -,42000000,122500000,- -,3426000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6270000000
44,Other Non-Current Assets,13100000,13500000,31000000,42900000,90600000,166000000,161400000,134600000,128100000,121600000,91700000,131900000,282400000,311000000,- -,424000000,465000000,217000000,- -,169000000,223500000,331000000,-3058000000,368400000,374000000,688000000,1155000000,1280000000,1515000000,1510000000,1440000000,1485000000,1417000000,8930000000,9059000000,9505000000,3531000000
45,Total Non-Current Assets,602100000,647400000,742500000,1042600000,1157300000,1549000000,1715200000,1772400000,1874000000,2084900000,1401700000,859100000,1951900000,2387000000,- -,3013000000,3174000000,3663000000,- -,4046000000,6890700000,10178000000,40573000000,44433700000,44104000000,44463000000,45949000000,46060000000,46201000000,48269000000,63279000000,63420000000,63902000000,151213000000,172147000000,174346000000,172991000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1806700000,1998800000,2231100000,2736200000,3031800000,3662200000,4085200000,4214100000,4272400000,4735400000,3961600000,2831800000,5636900000,6736000000,- -,7950000000,8628000000,9645000000,- -,10543000000,15283400000,20570000000,54722000000,60959900000,61641000000,62169000000,64543000000,65912000000,71526000000,74252000000,93657000000,94462000000,95131000000,196456000000,222449000000,230715000000,232999000000
48,Accounts Payable,- -,- -,- -,- -,403400000,628200000,683600000,676500000,567100000,660700000,690700000,507700000,1181900000,1775000000,- -,1352000000,1536000000,1708000000,- -,1666000000,2467500000,2864000000,3593000000,3800700000,3560000000,4026000000,4370000000,5070000000,5548000000,6547000000,7490000000,7946000000,8863000000,8925000000,10492000000,11138000000,12544000000
49,Short-Term Debt,27000000,5900000,6200000,10900000,7500000,5500000,58500000,8200000,90000000,200000000,52000000,- -,466400000,771000000,- -,590000000,236000000,36800000,- -,323200000,595000000,2187000000,2132200000,3697400000,2419000000,1405000000,806000000,695000000,561000000,1260000000,1197000000,1916000000,4821000000,1985000000,5377000000,7078000000,4938000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,466000000,528700000,562500000,812700000,444500000,568600000,588100000,696200000,671000000,782000000,1055000000,674200000,1206700000,637000000,- -,1022000000,1294000000,1361200000,- -,1499800000,1521400000,1950000000,5040800000,5991800000,6321000000,5639000000,6780000000,8025000000,9316000000,11220000000,14482000000,16388000000,16964000000,33099000000,37434000000,43801000000,50325000000
53,Total Current Liabilities,493000000,534600000,568700000,823600000,855400000,1202300000,1330200000,1380900000,1328100000,1642700000,1797700000,1181900000,2855000000,3183000000,- -,2964000000,3066000000,3106000000,- -,3489000000,4583900000,7001000000,10766000000,13489900000,12300000000,11070000000,11956000000,13790000000,15425000000,19027000000,23169000000,26250000000,30648000000,44009000000,53303000000,62017000000,67807000000
54,Long-Term Debt,88500000,65400000,58200000,48200000,389800000,428000000,418300000,397900000,341800000,331300000,327700000,303700000,272600000,276000000,- -,537000000,810000000,1076000000,- -,753000000,1594100000,2870000000,8350000000,8057200000,8756000000,8652000000,9208000000,9133000000,12841000000,11695000000,26267000000,25615000000,22181000000,71444000000,64699000000,77964000000,88325000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6270000000
56,Deferred Tax Liabilities,36800000,48300000,55500000,59400000,65400000,73100000,81300000,22100000,83300000,81700000,9100000,20600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3701700000,3678000000,3655000000,3853000000,3784000000,3901000000,4036000000,5437000000,4214000000,2996000000,7677000000,7294000000,6794000000,6270000000
57,Other Non-Current Liabilities,86200000,87500000,90100000,98700000,-100000,- -,58500000,235100000,177100000,188200000,184200000,80500000,147900000,167000000,- -,144000000,185000000,266000000,- -,279000000,774200000,781000000,4284000000,1136700000,1139000000,1058000000,1445000000,1501000000,1421000000,1531000000,1581000000,1549000000,1611000000,14783000000,32983000000,14239000000,-11054000000
58,Total Non-Current Liabilities,211500000,201200000,203800000,206300000,455100000,501100000,558100000,655100000,602200000,601200000,521000000,404800000,420500000,443000000,- -,681000000,995000000,1342000000,- -,1032000000,2368300000,3651000000,12634000000,12895600000,13573000000,13365000000,14506000000,14418000000,18163000000,17262000000,33285000000,31378000000,26788000000,93904000000,104976000000,98997000000,89811000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20522000000,20395000000,- -
61,Total Liabilities,704500000,735800000,772500000,1029900000,1310500000,1703400000,1888300000,2036000000,1930300000,2243900000,2318700000,1586700000,3275500000,3626000000,- -,3645000000,4061000000,4448000000,- -,4521000000,6952200000,10652000000,23400000000,26385500000,25873000000,24435000000,26462000000,28208000000,33588000000,36289000000,56454000000,57628000000,57436000000,137913000000,158279000000,161014000000,157618000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250400000,- -,242700000,222600000,213300000,203000000,191500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,4000000,4000000,4000000,- -,4000000,8400000,9000000,16000000,16000000,16000000,16000000,16000000,17000000,17000000,17000000,17000000,17000000,17000000,45440000000,45972000000,46513000000,47377000000
64,Retained Earnings,1014700000,1168400000,1358100000,1597300000,1840100000,2063400000,2245700000,2208900000,2364300000,2494400000,1660400000,1314000000,1551000000,2021000000,- -,3185000000,3493000000,4104000000,- -,4847000000,6738600000,7967000000,10287000000,13097800000,16355000000,19303000000,22090000000,25049000000,28493000000,31849000000,35506000000,38983000000,43556000000,40911000000,45108000000,49640000000,54906000000
65,Other Comprehensive Income/Loss,-296800000,-340400000,-398800000,-458400000,-507300000,-588600000,-687600000,-606500000,-584000000,-674700000,-593500000,-311800000,-557700000,-542000000,- -,-859000000,-971000000,-239000000,- -,-200100000,-204300000,-154700000,-395500000,-198200000,-135000000,-143000000,-172000000,-181000000,-149000000,-217000000,-358000000,-305000000,-165000000,102000000,1019000000,1414000000,965000000
66,Other Total Stockholders Equity,384300000,435000000,499300000,567400000,388500000,484000000,638800000,575700000,561800000,671800000,576000000,242900000,1368100000,1628000000,- -,1975000000,2041000000,1077600000,- -,1128200000,1565900000,1883000000,21211400000,21467300000,19532000000,18524000000,16117000000,12819000000,9577000000,6309000000,2031000000,-1865000000,-5717000000,-28228000000,-28235000000,-28178000000,- -
67,Total Stockholders Equity,1102200000,1263000000,1458600000,1706300000,1721300000,1958800000,2196900000,2178100000,2342100000,2491500000,1642900000,1245100000,2361400000,3111000000,- -,4305000000,4567000000,5197000000,- -,6021800000,8331200000,9917600000,31321900000,34574400000,35768000000,37700000000,38051000000,37704000000,37938000000,37958000000,37196000000,36830000000,37691000000,58225000000,63864000000,69389000000,75381000000
68,Total Liabilities And Stockholders Equity,1806700000,1998800000,2231100000,2736200000,3031800000,3662200000,4085200000,4214100000,4272400000,4735400000,3961600000,2831800000,5636900000,6737000000,- -,7950000000,8628000000,9645000000,- -,10542800000,15283400000,20569600000,54721900000,60959900000,61641000000,62135000000,64513000000,65912000000,71526000000,74247000000,93650000000,94458000000,95127000000,196138000000,222143000000,230403000000,232999000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,200000,- -,400000,100000,- -,- -,34000000,30000000,- -,- -,5000000,7000000,4000000,4000000,318000000,306000000,312000000,- -
70,Total Liabilities & Equity,1806700000,1998800000,2231100000,2736200000,3031800000,3662200000,4085200000,4214100000,4272400000,4735400000,3961600000,2831800000,5636900000,6736000000,- -,7950000000,8628000000,9645000000,- -,10543000000,15283400000,20570000000,54722000000,60959900000,61641000000,62169000000,64543000000,65912000000,71526000000,74252000000,93657000000,94462000000,95131000000,196456000000,222449000000,230715000000,232999000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64803/000089109295000026/0000891092-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/64803/000089109296000050/0000891092-96-000050-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/64803/000091205701007764/0000912057-01-007764-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465902000809/j2961_10k405.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465903004471/j8483_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/64803/000119312504040575/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312506053756/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465907014431/a07-4967_110k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312508040019/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312509041089/0001193125-09-041089-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312510043086/0001193125-10-043086-index.html,https://www.sec.gov/Archives/edgar/data/64803/000119312511040351/d10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/0001104659-12-010850-index.html,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/0001104659-13-011354-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/cvs-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/cvs-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480316000074/0000064803-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480317000006/0000064803-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/0001558370-18-000707-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/0000064803-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/0000064803-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/64803/000006480321000011/0000064803-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/0000064803-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
