,https://roic.ai/company/ITIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,67000000,73000000,74000000,65000000,63000000,81000000,99000000,105000000,110000000,109000000,110000000,131000000,129000000,144000000,2271000,- -
11,COGS and Expenses,100000,- -,- -,300000,1100000,1500000,6400000,2700000,100000,8000000,12962292,17569645,25939734,40780754,40905165,37969305,55733447,61578498,74658857,64339010,69280955,67332282,73117952,74340060,65392381,62693729,81186220,98999185,104708759,109630788,109423019,110360962,131378726,129190000,143679000,186747000,244566000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3671178,- -,3980411,3894608,4259501,4531319,4684489,4444447,4619000,4752000,4393000,3773000
13,Interest Expense (Gain),100000,- -,- -,300000,- -,- -,- -,100000,100000,100000,11098,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,100000,200000,100000,200000,- -,300000,307649,328682,346547,393026,470843,794689,1413841,986894,874961,1013217,1089891,1344481,1475883,1234217,971821,851847,814646,954928,1176838,1463886,1834349,1520438,2351455,2234000,238000,297000,- -
15,EBITDA,2300000,3200000,3000000,2600000,1800000,2000000,1100000,-300000,2300000,4800000,4722405,5750219,6797329,8088535,6932237,5055152,10152839,12655736,17045975,16515383,19672814,18673915,13300218,-1982582,6887600,9467473,10313582,17034835,22719576,14952384,19611402,29651890,32622025,29303000,40061000,49958000,84932000
16,EBITDA ratio,0.3710,0.3596,0.3000,0.2857,0.2022,0.2041,0.1068,-0.0210,0.8846,0.2840,0.2719,0.2501,0.2099,0.1669,0.1464,0.1197,0.1575,0.1728,0.1877,0.2069,0.2239,0.2206,0.1566,-0.0279,0.0966,0.1328,0.1137,0.1480,0.1800,0.1214,0.1542,0.2141,0.2018,0.1875,0.2183,0.2113,0.2578
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-617000,84932000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0026,0.2578
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,900000,1100000,900000,1000000,- -,1300000,-964260,-1051143,-982418,-936992,-1247072,-621481,-500433,-339194,1260467,2466687,4551063,5261521,3642071,4658574,4957054,5521062,5532228,7701340,8274823,8627935,10309230,10944108,17575071,470000,678000,50278000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4403658,5421537,6450782,7695509,6461394,4260463,8738998,11668842,16171014,15502166,18582923,17329434,11824335,-3216799,5915779,8615626,9498936,16079907,21542738,13488498,17777053,28131452,30270570,27069000,39823000,49661000,84932000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2536,0.2358,0.1992,0.1587,0.1364,0.1009,0.1355,0.1593,0.1780,0.1942,0.2115,0.2047,0.1392,-0.0452,0.0830,0.1208,0.1047,0.1397,0.1706,0.1096,0.1398,0.2031,0.1873,0.1732,0.2170,0.2101,0.2578
22,Income Tax expense (Gain),1000000,1400000,500000,600000,300000,300000,200000,500000,-100000,1300000,1153000,1578000,1920400,2236000,2041000,1120000,2730000,3560000,5206000,4783000,5290000,4144000,3422000,-2034000,1087000,2243000,2565000,4889000,6746000,3816000,5228000,8616000,4570000,5210000,8365000,10241000,17912000
23,Net Income,1200000,1800000,2500000,1700000,1400000,1500000,800000,-1100000,2300000,3100000,3250658,3843537,4530382,5459509,4420394,3140463,6008998,8108842,10965014,10719166,13292923,13185434,8402335,-1182799,4828779,6372626,6933936,11190907,14796738,9672498,12549053,19515452,25700570,21859000,31458000,39420000,67020000
24,Net Income ratio,0.1935,0.2022,0.2500,0.1868,0.1573,0.1531,0.0777,-0.0769,0.8846,0.1834,0.1872,0.1672,0.1399,0.1126,0.0933,0.0744,0.0932,0.1107,0.1207,0.1343,0.1513,0.1557,0.0989,-0.0166,0.0677,0.0894,0.0765,0.0972,0.1172,0.0786,0.0987,0.1409,0.1590,0.1399,0.1714,0.1667,0.2034
25,EPS,0.13,0.26,0.89,0.59,0.50,0.51,0.28,-0.37,0.81,1.10,1.16,1.39,1.63,1.95,1.59,1.21,2.35,3.22,4.38,4.29,5.19,5.22,3.39,-0.50,2.11,2.79,3.22,5.33,7.15,4.75,6.32,10.23,13.63,11.60,16.66,20.84,35.42
26,EPS Diluted,0.13,0.26,0.89,0.59,0.50,0.51,0.28,-0.37,0.81,1.10,1.16,1.39,1.60,1.92,1.59,1.21,2.31,3.12,4.18,4.09,5.10,5.14,3.35,-0.50,2.10,2.78,3.20,5.24,7.08,4.74,6.30,10.19,13.56,11.54,16.59,20.80,35.42
27,Weighted Average Shares Outstanding,8928571,8789062,2808989,2881356,2800000,2941176,2857143,2972973,2839506,2818182,2804632,2772286,2782449,2806267,2776878,2594891,2554204,2517328,2503659,2496711,2560418,2527927,2479321,2364361,2291816,2284657,2151350,2081703,2056169,2031760,1984360,1907675,1886354,1887000,1888000,1892000,1895000
28,Weighted Average Shares Outstanding Diluted,8928571,8789062,2808989,2881356,2800000,2941176,2857143,2972973,2839506,2818182,2839506,2800000,2826730,2841035,2786282,2601283,2599714,2597979,2624473,2620916,2607633,2564216,2508609,2364361,2299429,2289847,2169636,2116793,2076628,2037534,1989799,1915057,1895871,1897000,1896000,1896000,1903000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000095016802000642/0000950168-02-000642-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000116923205001699/0001169232-05-001699-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420406011038/0001144204-06-011038-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420407012108/0001144204-07-012108-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420408015783/0001144204-08-015783-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677409000436/0001206774-09-000436-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677410000522/0001206774-10-000522-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752311001475/0001157523-11-001475-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752312001393/0001157523-12-001393-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752313001407/0001157523-13-001407-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085814000004/0000720858-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085815000004/0000720858-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085816000027/0000720858-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085817000008/0000720858-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085818000006/0000720858-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085819000009/0000720858-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085820000009/0000720858-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085821000008/0000720858-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085822000007/0000720858-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527008,4244570,2823177,8141354,7554297,7850991,3452455,3781961,5125356,4726443,14608481,3458432,3000762,5155046,8733221,8117031,18042258,20810018,23626761,15826515,21790068,27928472,20214468,18694000,25949000,13723000,37168000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955561,10134321,8593845,4460911,21222533,15725513,20717434,27203550,14112262,95504626,99371786,111625283,112931790,108492917,127120755,121744000,117772000,132883000,125721000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527008,4244570,2823177,8141354,7554297,7850991,3452455,3781961,6080917,14860764,23202326,7919343,24223295,20880559,29450655,35320581,32154520,116314644,122998547,127451798,134721858,136421389,147335223,140438000,143721000,146606000,162889000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1400000,300000,- -,1400000,2462769,2442753,429064,5838741,3813625,3639956,7830337,8670806,8698950,7433632,8828756,7919027,8155609,8936696,1122806,8404388,7918156,12075161,10123694,9608020,9396823,9689313,11644507,13074000,13556000,20465000,23770000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22086547,-30275710,-15643979,-32171468,-24662209,-21840240,-28354152,-15220418,-96542073,-100745256,-121233303,-122328613,-118182230,-138765262,-134818000,-131328000,-153348000,-91931000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207849,1755372,194391,207436,5155046,8733221,15370817,24852258,31847732,32376985,15826515,21790068,27928472,20214468,18694000,25949000,13723000,94728000
38,PP&E,- -,- -,- -,- -,700000,2400000,2200000,2300000,1900000,2900000,3113669,2929570,3080804,3407815,6028083,5700743,4728365,4859447,4385760,4915301,5826745,6437842,5557367,4422318,3894724,3672317,3553216,3603323,4325538,5460805,7148951,8753466,10172904,10304000,14245000,14693000,18235000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4349851,4349851,4350000,4349000,4350000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429637,1359953,1290269,1220585,7906790,7007439,6430000,5926000,5421000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429637,1359953,1290269,1220585,12256641,11357290,10780000,10275000,9771000,15951000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64771657,79842183,92049028,95152573,120106743,127392080,113850991,121374921,127109477,122069602,124015559,135515851,150880264,150445254,149672176,174487581,170233000,178880000,197802000,202574000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112516085,-109756367,-120292667,-135893673,-130639037,-131561492,-154939270,-149358000,-159351000,-212495000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13106733,19292152,20908675,21737665,28175753,39120791,41078505,41959000,44049000,9771000,236760000
46,Other Assets,7900000,9900000,11700000,13700000,15100000,16500000,17700000,21300000,17900000,24200000,28224276,33642528,41293007,51597812,55156564,59339007,70219700,84637146,100471811,112978903,126716156,143321987,149434984,134703142,137694483,138114549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568248000
47,Total Assets,7900000,9900000,11700000,13700000,15100000,16500000,17700000,21300000,17900000,24200000,28224276,33642528,41293007,51597812,55156564,59339007,70219700,84637146,100471811,113186752,128471528,143516378,149642420,139858188,146427704,153485366,37958991,51139884,53285660,37564180,49965821,67049263,61292973,60653000,69998000,23494000,331488000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072264,1160427,1319470,1621287,1790159,2140782,3561274,3892780,6970097,7553483,7928384,10211737,9488904,467388,319625,10301495,12330383,15477545,20324190,18290819,25043588,26146480,27565660,27735000,28318000,36020000,43868000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888085,281968,366168,946790,326255,1747877,- -,670290,1056356,640533,1336824,- -,92192,210355,1232432,- -,4981000,1340000,638000,3329000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8592000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5568238,-7290737,-9262311,-8542169,13668819,10202294,476534,479363,893156,4013983,5415493,5703006,11118256,8625759,4184000,7038000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985245,637647,949426,946735,14136207,10521919,10778029,12809746,16370701,24338173,23706312,30746594,37264736,36191419,31919000,35356000,44612000,- -
54,Long-Term Debt,600000,200000,- -,- -,- -,- -,- -,3000000,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5329000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197408,77845,- -,39842,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479363,893156,4013983,5415493,5703006,11118256,8625759,4184000,7038000,8592000,13121000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-958726,-1786312,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,600000,200000,- -,- -,- -,- -,- -,3000000,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-479363,-893156,4013983,5415493,5703006,11118256,8625759,4184000,7038000,- -,18450000
59,Other Liabilities,2700000,2500000,1700000,2100000,2200000,2300000,2700000,10400000,2000000,6100000,6014462,7654351,10164099,15269147,17654824,20149358,25947932,31968962,37283065,38694236,43536625,47291289,49419845,35864093,38646708,38778522,38157170,40015529,39919472,42184685,43701361,47655688,43426759,40894000,44213000,37891000,120851000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4502000,3669000,5329000
61,Total Liabilities,2100000,2300000,1700000,2100000,2200000,2300000,2700000,7400000,2000000,5600000,6014462,7654351,10164099,15269147,17654824,20149358,25947932,31968962,37283065,40679481,44174272,48240715,50366580,50000300,49168627,49556551,51446279,57279386,60243662,60475504,68744949,73802168,70992419,68629000,72531000,82503000,102401000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038414,722321,879612,732453,1,1,1,1,1,1,1,1,1,1,1,- -,- -,1,1,1,1,1,1,- -,- -,- -,- -
64,Retained Earnings,4200000,6000000,8400000,9900000,11200000,12600000,- -,12100000,14300000,17200000,20173755,23745995,27933688,33050508,36311613,37021270,41928575,49613044,59756927,69272092,81477022,92134608,95739827,88248452,92528818,98240109,99003018,105820459,116714749,124707196,131186866,143283621,161890660,174690000,188262000,196096000,225861000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3055139,3431818,3235178,2820233,3141054,3536012,1609435,4730258,5688705,7509165,8818430,11347404,12856509,11483015,11761447,15944826,949000,3100000,4326000,3226000
66,Other Total Stockholders Equity,1600000,1600000,1600000,1700000,1700000,1600000,15000000,1800000,1600000,1400000,997645,1519861,2315608,2545704,1190126,2168378,2343192,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -
67,Total Stockholders Equity,5800000,7600000,10000000,11600000,12900000,14200000,15000000,13900000,15900000,18600000,22209814,25988177,31128908,36328665,37501740,39189649,44271768,52668184,63188746,72507271,84297256,95275663,99275840,89857888,97259077,103928815,106512184,114638890,128062154,137563706,142669882,155045069,177835487,175639000,191362000,200422000,229087000
68,Total Liabilities And Stockholders Equity,7900000,9900000,11700000,13700000,15100000,16500000,17700000,21300000,17900000,24200000,28224276,33642528,41293007,51597812,55156564,59339007,70219700,84637146,100471811,113186752,128471528,143516378,149642420,139858188,146427704,153485366,157958463,171918276,188305816,198039210,211414831,228847237,248827906,244268000,263893000,282925000,331488000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119999472,-120778392,-135020156,-160475030,-161449010,-161797974,-187534933,-183615000,-193895000,-259431000,- -
70,Total Liabilities & Equity,7900000,9900000,11700000,13700000,15100000,16500000,17700000,21300000,17900000,24200000,28224276,33642528,41293007,51597812,55156564,59339007,70219700,84637146,100471811,113186752,128471528,143516378,149642420,139858188,146427704,153485366,37958991,51139884,53285660,37564180,49965821,67049263,61292973,60653000,69998000,23494000,331488000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000095016802000642/0000950168-02-000642-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/720858/000116923205001699/0001169232-05-001699-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420406011038/0001144204-06-011038-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420407012108/0001144204-07-012108-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000114420408015783/0001144204-08-015783-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677409000436/0001206774-09-000436-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000120677410000522/0001206774-10-000522-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752311001475/0001157523-11-001475-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752312001393/0001157523-12-001393-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000115752313001407/0001157523-13-001407-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085814000004/0000720858-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085815000004/0000720858-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085816000027/0000720858-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085817000008/0000720858-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085818000006/0000720858-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085819000009/0000720858-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085820000009/0000720858-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085821000008/0000720858-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/720858/000072085822000007/0000720858-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1400000,1500000,800000,-1100000,2300000,3100000,3250658,3843537,4530382,5459509,4420394,3140463,6008998,8108842,10965014,10719166,13292923,13185434,8402335,-1182799,4828779,6372626,6933936,11190907,14796738,9672498,12549053,19515452,25700570,21859000,31458000,39420000,67020000
74,Depreciation and Amortization,- -,- -,- -,- -,100000,200000,100000,200000,- -,300000,307649,328682,346547,393026,470843,794689,1413841,986894,874961,1013217,1089891,1344481,1475883,1234217,971821,851847,814646,954928,1176838,1463886,1834349,1520438,2351455,2234000,238000,297000,- -
75,Deferred Income Tax,- -,- -,- -,- -,100000,100000,- -,-700000,100000,300000,74654,-22940,-445238,-1238097,6390,149987,-483921,-906000,-786000,150000,-809000,-232000,-304000,-201000,347000,832000,21000,-292000,1804000,611000,1015000,2790000,-4664000,-4074000,269000,73000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216669,213514,74553,83852,120891,137762,132098,219315,327000,264000,229000,- -
77,Change in Working Capital,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1777396,2895121,-1872760,15736,-8241862,7192463,6381486,7449724,3434519,-7438219,-15918609,-1076729,-379738,-6640687,2751951,3818000,-21482000,120288000
78,Accounts Receivable,- -,- -,- -,- -,-300000,- -,-300000,-600000,-100000,700000,-500000,- -,-1600000,-2200000,1400000,50734,-4699594,-2020403,-78214,987079,-1614329,967662,185427,- -,- -,- -,- -,- -,1569167,206041,217594,- -,-1505358,-2097000,-460000,-147000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-100000,- -,100000,100000,900000,-200000,- -,100000,- -,200000,-800000,1080129,2208329,20996,1326756,1225139,-2640422,957589,2954482,-991398,- -,- -,- -,2372995,4923858,-2080492,6689204,-581518,1463814,216000,281000,-158000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1777396,1117725,-755035,-739299,-8981161,-1788698,4592788,12042512,15477031,8038812,-7879797,-8956526,-9336264,-15976951,-13225000,-9407000,-30889000,89399000
82,Other Non-Cash Items,- -,- -,- -,- -,300000,200000,300000,1100000,-600000,800000,-375103,1248022,801637,4273000,2840897,3050817,1784786,4100841,5697604,5580980,914155,5431638,2349705,9700917,-5958794,-10428127,-6425661,-6655393,5827881,13734314,2430196,-1043281,2926527,1288049,-34344000,-19977000,-187308000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1100000,2000000,1200000,-500000,1800000,4500000,3257858,5397301,5233328,8887438,7738524,7135956,8723704,12290577,16751579,15685967,17383090,17856793,11939659,1309473,7381269,4226501,9007159,8707514,16251090,9683980,16889631,22534969,19893180,24386000,1703000,-1440000,- -
84,CAPEX,- -,- -,- -,- -,-100000,-1800000,-100000,-100000,- -,-300000,-315763,-303417,-422111,-1187008,-3077730,-484151,-392157,-691968,-894238,-1504787,-1897230,-1902619,-463828,-493681,-171050,-317530,-361207,-568728,-1424108,-2017379,-2742619,-2456951,-2882732,-1859000,-12000,-97000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,- -,-515275,-72600,-8325296,-175000,- -,- -,- -,- -
