,https://roic.ai/company/JJSF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1386000,- -,- -,- -,- -,- -,- -,- -,- -,1110000,1880000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,179000,138000,73000,106000,115000,126000,123000,1196000,1110000,1880000,84000,7000
14,Depreciation and Amortization,500000,1500000,3000000,4300000,4700000,5600000,7200000,9100000,12800000,14800000,16100000,16900000,19300000,25200000,27700000,30382000,33516000,30986000,24963000,24068000,24262000,24608000,27008000,27470000,27753000,29852000,30234000,30937000,33552000,37093000,38271000,40123000,42445000,46477000,48610000,53048000,49391000
15,EBITDA,2900000,4200000,7800000,10800000,14100000,11400000,16600000,18100000,26000000,28400000,25400000,25900000,31300000,44100000,50400000,46205000,52116000,58986000,56063000,59668000,66062000,72680000,78108000,73370000,96068000,108131000,114475000,117278000,134467000,148400000,150316000,157065000,165841000,165739000,177952000,74598000,123424000
16,EBITDA ratio,0.1543,0.1654,0.1635,0.1519,0.1623,0.1183,0.1513,0.1426,0.1766,0.1628,0.1370,0.1392,0.1421,0.1681,0.1759,0.1439,0.1587,0.1670,0.1538,0.1432,0.1445,0.1412,0.1373,0.1166,0.1471,0.1552,0.1538,0.1412,0.1550,0.1614,0.1540,0.1582,0.1530,0.1456,0.1500,0.0730,0.1078
17,Operating Income,2900000,2600000,6000000,8100000,11200000,7000000,10500000,9000000,12200000,12400000,7100000,7900000,11500000,20500000,24800000,18812000,20549000,28266000,30847000,35192000,40249000,45064000,48580000,43336000,66938000,77162000,76583000,84967000,97404000,106848000,110888000,112810000,118107000,110775000,116956000,17194000,71218000
18,Operating Income ratio,0.1543,0.1024,0.1258,0.1139,0.1289,0.0726,0.0957,0.0709,0.0829,0.0711,0.0383,0.0425,0.0522,0.0781,0.0866,0.0586,0.0626,0.0800,0.0846,0.0845,0.0881,0.0875,0.0854,0.0689,0.1025,0.1108,0.1029,0.1023,0.1123,0.1162,0.1136,0.1136,0.1089,0.0973,0.0986,0.0168,0.0622
19,Total Other Income Expenses (Gains),-500000,100000,-1200000,-1600000,-1800000,-1200000,-1100000,- -,1000000,1200000,2200000,1100000,500000,-1700000,-2200000,-2989000,-1949000,-266000,253000,408000,1551000,3008000,2620000,2564000,1262000,938000,7517000,1333000,3396000,4352000,1031000,4009000,4093000,7377000,9621000,4272000,2808000
20,Income Before Tax,2400000,2700000,4800000,6500000,9400000,5800000,9400000,9000000,13200000,13600000,9300000,9000000,12000000,18800000,22600000,15823000,18600000,28000000,31100000,35600000,41800000,48072000,51200000,45900000,68200000,78100000,84100000,86300000,100800000,111200000,111919000,116819000,122200000,118152000,126577000,21466000,74026000
21,Income Before Tax Ratio,0.1277,0.1063,0.1006,0.0914,0.1082,0.0602,0.0857,0.0709,0.0897,0.0780,0.0502,0.0484,0.0545,0.0716,0.0789,0.0493,0.0567,0.0793,0.0853,0.0855,0.0914,0.0934,0.0900,0.0729,0.1044,0.1121,0.1130,0.1039,0.1162,0.1209,0.1146,0.1177,0.1127,0.1038,0.1067,0.0210,0.0647
22,Income Tax expense (Gain),1100000,1100000,2100000,2300000,3500000,2100000,3300000,3100000,4800000,5100000,3500000,3200000,3800000,7000000,8400000,5855000,6700000,9900000,11200000,12900000,15800000,18622000,19000000,18000000,26900000,29700000,29003000,32168000,36409000,39392000,41736000,40844000,43026000,14556000,32643000,3161000,18419000
23,Net Income,1300000,1600000,2700000,4200000,5900000,3700000,6100000,5900000,8400000,8500000,5800000,5800000,8200000,11900000,14300000,9968000,11900000,18100000,19900000,22700000,26000000,29450000,32100000,27900000,41300000,48400000,55100000,54100000,64400000,71800000,70183000,75975000,79174000,103596000,94819000,18305000,55607000
24,Net Income ratio,0.0691,0.0630,0.0566,0.0591,0.0679,0.0384,0.0556,0.0465,0.0571,0.0487,0.0313,0.0312,0.0372,0.0454,0.0499,0.0310,0.0362,0.0512,0.0546,0.0545,0.0569,0.0572,0.0564,0.0443,0.0632,0.0695,0.0740,0.0651,0.0742,0.0781,0.0719,0.0765,0.0730,0.0910,0.0799,0.0179,0.0486
25,EPS,0.03,0.04,0.06,0.09,0.20,0.11,0.17,0.14,0.20,0.21,0.30,0.33,0.46,0.66,0.79,0.56,0.70,1.03,1.13,1.27,1.43,1.60,1.72,1.49,2.23,2.61,2.95,2.87,3.43,3.85,3.76,4.07,4.23,5.54,5.04,0.97,2.92
26,EPS Diluted,0.03,0.04,0.06,0.08,0.19,0.11,0.17,0.14,0.20,0.20,0.30,0.33,0.46,0.63,0.75,0.55,0.68,0.99,1.10,1.24,1.40,1.57,1.69,1.47,2.21,2.59,2.93,2.86,3.41,3.82,3.73,4.05,4.21,5.51,5.00,0.96,2.91
27,Weighted Average Shares Outstanding,8456000,11672000,11692000,12500000,16616000,16490000,21282000,20800000,20800000,19778000,19088000,18026000,17970000,17894000,18050000,17638000,17004000,17540000,17600000,17818000,18194000,18421000,18635000,18770000,18516000,18528000,18672000,18854000,18785000,18677000,18685000,18649000,18707000,18694000,18812000,18901000,19013000
28,Weighted Average Shares Outstanding Diluted,8456000,11672000,11692000,12500000,16616000,16490000,21282000,20800000,20800000,19778000,19088000,18026000,17970000,18736000,19060000,18126000,17508000,18186000,18102000,18286000,18600000,18807000,19005000,19008000,18713000,18703000,18789000,18917000,18878000,18807000,18819000,18769000,18816000,18817000,18959000,19032000,19133000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595695000014/0000785956-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595696000006/0000785956-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595697000006/0000785956-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595698000010/0000785956-98-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595600000010/0000785956-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595601500011/0000785956-01-500011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000095011605003725/ten-k.htm,https://www.sec.gov/Archives/edgar/data/785956/000112528206007681/b415798_10k.htm,https://www.sec.gov/Archives/edgar/data/785956/000089322007003918/0000893220-07-003918-index.html,https://www.sec.gov/Archives/edgar/data/785956/000136110608000491/0001361106-08-000491-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544309003257/0001145443-09-003257-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544310002802/0001145443-10-002802-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774911009260/0001437749-11-009260-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774912012188/0001437749-12-012188-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774913015349/0001437749-13-015349-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774914021361/0001437749-14-021361-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774915021364/0001437749-15-021364-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774916042541/0001437749-16-042541-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774917019872/0001437749-17-019872-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774918021339/0001437749-18-021339-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774919023629/0001437749-19-023629-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774920024447/0001437749-20-024447-index.htm,https://www.sec.gov/Archives/edgar/data/785956/000143774921027317/0001437749-21-027317-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2000000,7100000,14500000,6900000,4800000,2000000,15200000,600000,8500000,6600000,10700000,10500000,1400000,3200000,5900000,1379000,7400000,14200000,37700000,19600000,15800000,17621000,15800000,44300000,60300000,74700000,87500000,154200000,97300000,91800000,133689000,140652000,90962000,111479000,192395000,195809000,283192000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -,900000,- -,- -,- -,- -,36500000,54200000,59000000,41200000,16500000,38700000,15500000,25500000,1200000,300000,- -,- -,13539000,59113000,21048000,51091000,51151000,7980000
33,Cash and Short-Term Investments,2000000,7100000,14500000,6900000,4800000,2000000,15200000,600000,8500000,6600000,10700000,11700000,1400000,3200000,6800000,1379000,7400000,14200000,37700000,56100000,70000000,76621000,57000000,60800000,99000000,90200000,113000000,155400000,97600000,91800000,133689000,154191000,150075000,132527000,243486000,246960000,291172000
34,Net Receivables,2300000,2800000,8000000,8800000,9600000,10800000,11900000,14100000,16100000,21600000,17500000,18200000,25500000,34400000,31900000,33626000,37000000,37900000,38200000,48000000,46900000,53663000,57200000,61900000,60500000,69900000,75000000,76400000,87500000,100000000,102649000,98325000,124553000,132342000,140938000,126587000,162939000
35,Inventory,700000,1200000,3000000,5400000,7100000,8200000,9100000,9800000,10500000,11500000,11000000,11300000,13500000,16400000,16200000,21473000,21700000,22200000,23200000,29600000,33700000,37790000,46600000,49100000,46000000,50600000,63500000,69800000,71800000,76100000,82657000,88684000,103268000,112884000,116165000,108923000,123160000
36,Other Current Assets,200000,100000,600000,800000,2700000,1700000,10100000,16500000,8400000,1700000,5300000,1000000,800000,1100000,1200000,1418000,1300000,1100000,4100000,4700000,3600000,4170000,4600000,5400000,5600000,9800000,8400000,6500000,7800000,7700000,6557000,13904000,3936000,5044000,5768000,17087000,7498000
37,Total Current Assets,5200000,11200000,26100000,21900000,24200000,22700000,46300000,41000000,43500000,41400000,44500000,42200000,41200000,55100000,56100000,57896000,67400000,75400000,103200000,138400000,154200000,172244000,165400000,177200000,211100000,220500000,259900000,308100000,264700000,275600000,325552000,355104000,381832000,382797000,506357000,499557000,584769000
38,PP&E,5400000,8400000,19300000,25900000,29200000,35400000,41400000,54000000,57400000,63100000,59200000,58200000,67200000,100100000,102000000,109169000,104800000,94400000,87100000,89500000,89000000,85447000,93200000,93100000,97200000,110100000,124700000,141500000,147200000,157500000,172054000,184213000,227581000,242673000,253448000,319726000,321742000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,21500000,51900000,50800000,- -,47700000,45900000,45900000,46500000,53600000,57948000,60300000,60300000,60300000,70100000,70100000,76900000,76900000,86400000,86442000,86442000,102511000,102511000,102511000,121833000,121833000
40,Intangible Assets,600000,1600000,4200000,10600000,10500000,12300000,11200000,10200000,9400000,9800000,8600000,- -,- -,- -,- -,48768000,- -,1500000,1200000,1800000,7000000,22669000,58300000,53600000,49100000,55300000,52000000,48500000,44000000,51000000,45819000,41819000,61272000,57762000,54922000,81622000,77776000
41,Intangible Assets,600000,1600000,4200000,10600000,10500000,12300000,11200000,10200000,9400000,9800000,8600000,9300000,21500000,51900000,50800000,48768000,47700000,47400000,47100000,48300000,60600000,80617000,118600000,113900000,109400000,125400000,122100000,125400000,120900000,137400000,132261000,128261000,163783000,160273000,157433000,203455000,199609000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,3800000,3100000,1900000,- -,1500000,700000,300000,- -,- -,- -,- -,21000000,19994000,26300000,42000000,24998000,109664000,130117000,106298000,120197000,91168000,143508000,99263000,30903000,14131000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3400000,4400000,7700000,- -,9200000,10800000,16200000,19200000,18000000,- -,19200000,23100000,27000000,30400000,41100000,44900000,45200000,44800000,40523000,48186000,- -,52322000,61920000,- -,- -
44,Other Non-Current Assets,1800000,2100000,4200000,3900000,2700000,4700000,5500000,7200000,11200000,13100000,11000000,-500000,-300000,-1300000,-4800000,4206000,-6100000,-8700000,-14400000,-18000000,-15900000,2500000,-16100000,-19900000,-24894000,-28700000,-39000000,-41898000,-41964000,-40617000,-37019000,-45474000,2864000,-49560000,-59082000,2912000,1968000
45,Total Non-Current Assets,7800000,12100000,27700000,40400000,42400000,52400000,58100000,71400000,78000000,86000000,78800000,80900000,95600000,158200000,157600000,162143000,157100000,144600000,136300000,139000000,151700000,168564000,214900000,231200000,228700000,263500000,290900000,294900000,381000000,429200000,414117000,435383000,485396000,549216000,512982000,556996000,537450000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13000000,23300000,53800000,62300000,66600000,75100000,104400000,112400000,121500000,127400000,123300000,123100000,136800000,213300000,213700000,220039000,224500000,220000000,239500000,277400000,305900000,340808000,380300000,408400000,439800000,484000000,550800000,603000000,645700000,704800000,739669000,790487000,867228000,932013000,1019339000,1056553000,1122219000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,6800000,9000000,9200000,11900000,10600000,10400000,13300000,23200000,23300000,24913000,24500000,27700000,27300000,34500000,37000000,40835000,45300000,48600000,48200000,52300000,55900000,52800000,50900000,60000000,59206000,62026000,72729000,69592000,72029000,73135000,96789000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2186000,- -,- -,- -,- -,- -,- -,91000,93000,96000,244000,278000,340000,211000,146000,273000,365000,340000,324000,339000,13522000,13577000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3385000,2393000,- -,3125000,3555000,3659000,3813000,4208000,1398000,10000000,11500000,1579000,1671000,- -,1865000,1334000,- -,- -
52,Other Current Liabilities,3200000,3900000,8800000,10900000,9800000,15000000,4400000,3900000,4400000,4500000,5900000,7000000,8700000,17400000,16600000,8728000,16200000,12500000,12800000,9715000,13507000,18254000,16084000,13952000,15745000,14743000,15414000,26962000,22089000,24354000,36058000,38229000,45975000,46118000,47532000,47469000,57263000
53,Total Current Liabilities,3200000,3900000,8800000,10900000,9800000,15000000,11200000,12900000,13600000,16400000,16500000,17400000,22000000,40600000,39900000,35827000,40700000,40200000,40100000,47600000,52900000,59089000,64600000,66200000,67700000,71100000,75800000,81500000,83200000,96000000,97116000,102291000,119044000,117899000,121234000,134126000,167629000
54,Long-Term Debt,6100000,6600000,27600000,27400000,6700000,5900000,2400000,5100000,5000000,5000000,5000000,5000000,5000000,48200000,34700000,42481000,28400000,- -,- -,- -,- -,- -,500000,400000,300000,600000,500000,300000,100000,400000,1196000,1235000,- -,753000,718000,- -,46949000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,45000,67000,70000,145000,- -,159000,- -,- -,- -
56,Deferred Tax Liabilities,- -,300000,600000,1300000,2400000,3600000,4300000,4400000,4900000,4700000,5000000,- -,- -,- -,- -,8340000,- -,- -,- -,- -,- -,18211000,- -,- -,- -,- -,41050000,44874000,45183000,44785000,43789000,48186000,62705000,52322000,61920000,64413000,61578000
57,Other Non-Current Liabilities,100000,100000,1600000,200000,- -,-100000,100000,-100000,- -,800000,700000,4000000,3900000,4800000,7900000,117000,9200000,11100000,16800000,19700000,18300000,635000,19600000,25000000,29000000,31700000,1050000,920000,572000,1048000,-2421000,656000,3157000,1789000,1716000,48516000,409000
58,Total Non-Current Liabilities,6200000,7000000,29800000,28900000,9100000,9400000,6800000,9400000,9900000,10500000,10700000,9000000,8900000,53000000,42600000,50938000,37600000,11100000,16800000,19700000,18300000,18846000,20100000,25400000,29300000,32300000,42600000,46100000,45900000,46300000,42634000,50222000,65862000,55023000,64354000,112929000,108936000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474000,381000,381000,863000,801000,687000,347000,520000,1469000,1600000,1244000,1077000,1057000,61578000,60526000
61,Total Liabilities,9400000,10900000,38600000,39800000,18900000,24400000,18000000,22300000,23500000,26900000,27200000,26400000,30900000,93600000,82500000,86765000,78300000,51300000,56900000,67300000,71200000,77935000,84700000,91600000,97000000,103400000,118400000,127600000,129100000,142300000,139750000,152513000,184906000,172922000,185588000,247055000,276565000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35800000,36900000,39100000,36300000,28403000,29400000,34000000,28100000,33100000,36100000,40315000,47300000,48400000,41800000,38500000,45000000,43000000,34500000,32600000,31653000,25332000,17382000,27340000,45744000,49268000,73597000
64,Retained Earnings,3600000,5100000,7900000,12100000,18000000,21700000,27800000,33700000,42100000,50600000,56400000,62200000,70400000,82300000,96500000,106487000,118400000,136500000,156400000,179100000,200600000,224522000,250300000,270400000,304500000,345000000,391300000,435600000,488000000,535900000,579163000,626057000,673815000,743745000,800995000,775817000,785440000
65,Other Comprehensive Income/Loss,-3800000,-5100000,-7200000,-10800000,-15000000,-20200000,-27000000,-35200000,-47000000,-59800000,-71400000,-2800000,-2800000,-3400000,-3200000,-152155000,-3200000,-3600000,-1957000,-2061000,-1918000,-1964000,-2006000,-2003000,-3431000,-2854000,-3914000,-3132000,-5930000,-5988000,-10897000,-13415000,-8875000,-11994000,-12988000,-15587000,-13383000
66,Other Total Stockholders Equity,3800000,12400000,14500000,21200000,44700000,49200000,85600000,91600000,102900000,109700000,111100000,1500000,1400000,1700000,1600000,150539000,1500000,1800000,21000,-43000,-20000,- -,-12000,-19000,-25000,-71000,2000,19000,-5000,6000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,3600000,12400000,15200000,22500000,47700000,50700000,86400000,90100000,98000000,100500000,96100000,96700000,105900000,119700000,131200000,133274000,146100000,168700000,182564000,210096000,234762000,262873000,295582000,316778000,342844000,380575000,432388000,475487000,516565000,562518000,599919000,637974000,682322000,759091000,833751000,809498000,845654000
68,Total Liabilities And Stockholders Equity,13000000,23300000,53800000,62300000,66600000,75100000,104400000,112400000,121500000,127400000,123300000,123100000,136800000,213300000,213700000,220039000,224400000,220000000,239464000,277396000,305962000,340808000,380282000,408378000,439844000,483975000,550788000,603087000,645665000,704818000,739669000,790487000,867228000,932013000,1019339000,1056553000,1122219000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,36000,4000,-62000,- -,18000,22000,-44000,25000,12000,-87000,35000,-18000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13000000,23300000,53800000,62300000,66600000,75100000,104400000,112400000,121500000,127400000,123300000,123100000,136800000,213300000,213700000,220039000,224500000,220000000,239500000,277400000,305900000,340808000,380300000,408400000,439800000,484000000,550800000,603000000,645700000,704800000,739669000,790487000,867228000,932013000,1019339000,1056553000,1122219000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595695000014/0000785956-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595696000006/0000785956-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595697000006/0000785956-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595698000010/0000785956-98-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/785956/000078595600000010/0000785956-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/785956/000078595601500011/0000785956-01-500011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785956/000095011605003725/ten-k.htm,https://www.sec.gov/Archives/edgar/data/785956/000112528206007681/b415798_10k.htm,https://www.sec.gov/Archives/edgar/data/785956/000089322007003918/0000893220-07-003918-index.html,https://www.sec.gov/Archives/edgar/data/785956/000136110608000491/0001361106-08-000491-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544309003257/0001145443-09-003257-index.html,https://www.sec.gov/Archives/edgar/data/785956/000114544310002802/0001145443-10-002802-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774911009260/0001437749-11-009260-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774912012188/0001437749-12-012188-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774913015349/0001437749-13-015349-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774914021361/0001437749-14-021361-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774915021364/0001437749-15-021364-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774916042541/0001437749-16-042541-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774917019872/0001437749-17-019872-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774918021339/0001437749-18-021339-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774919023629/0001437749-19-023629-index.html,https://www.sec.gov/Archives/edgar/data/785956/000143774920024447/0001437749-20-024447-index.htm,https://www.sec.gov/Archives/edgar/data/785956/000143774921027317/0001437749-21-027317-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,5900000,3700000,6100000,5900000,8400000,8500000,5800000,5800000,8200000,11900000,14300000,9968000,11900000,18100000,19900000,22700000,26000000,29450000,32100000,27900000,41300000,48400000,55100000,54100000,64400000,71800000,70183000,75975000,79174000,103596000,94819000,18305000,55607000
74,Depreciation and Amortization,- -,- -,- -,- -,4700000,5600000,7200000,9100000,12800000,14800000,16100000,16900000,19300000,25200000,27700000,30382000,33516000,30986000,24963000,24068000,24262000,24608000,27008000,27470000,27753000,29852000,30234000,30937000,33552000,37093000,38271000,40123000,42445000,46477000,48610000,53048000,49391000
75,Deferred Income Tax,- -,- -,- -,- -,1400000,1300000,700000,100000,500000,-100000,300000,-1600000,- -,1000000,3300000,638000,- -,1578000,2568000,2394000,-174000,-96000,557000,3446000,3839000,3219000,6108000,3108000,74000,-8000,-121000,7700000,7847000,-10392000,9637000,2622000,-2896000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1716000,1248000,918000,1246000,1870000,2076000,2166000,2375000,3048000,3858000,4230000,4595000,4199000
77,Change in Working Capital,- -,- -,- -,- -,-3700000,-6700000,27400000,-7000000,1800000,-4900000,3000000,-3200000,-5600000,-4700000,1700000,5869000,4631000,8500000,27900000,27700000,10500000,11855000,-12355000,10200000,32400000,6000000,34700000,42500000,-45100000,-1900000,48836000,24377000,9975000,2110000,120225000,-19692000,-4895000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144000,-8629000,-5231000,-605000,-11148000,-8913000,-3123000,3571000,-20370000,-7917000,-8759000,14580000,-35755000
