,https://roic.ai/company/UGP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,487356320,487356320,487600000,564770283,637754197,641129107,641457453,634923919,645904000,1073387200,1087605327,1071696000,1067978000,1067986000,2363160038,1091358000,1087550000,1082782000,1083626000,1084128000,1086485000,1087050000,1090500000
28,Weighted Average Shares Outstanding Diluted,487356320,487356320,487600000,564770283,640836784,641129107,641457453,650600000,645904000,1073387200,1087605327,1071696000,1072144000,1072342000,2363160038,1099104000,1096108000,1091018000,1091480000,1091335000,1091653000,1093478000,1096962000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094972/000119312506102073/0001193125-06-102073-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312507131726/0001193125-07-131726-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312508143960/0001193125-08-143960-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312509140670/0001193125-09-140670-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312510151051/0001193125-10-151051-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312511178343/0001193125-11-178343-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312512194215/0001193125-12-194215-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312513186539/0001193125-13-186539-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312514170911/0001193125-14-170911-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312515162165/0001193125-15-162165-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312516567969/0001193125-16-567969-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312517148050/0001193125-17-148050-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312518110362/0001193125-18-110362-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312519113656/0001193125-19-113656-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312520132504/0001193125-20-132504-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,856506659,861851380,34834500,637900343,566503130,624666079,1113505361,384169875,862329196,1275100000,1887500000,2642418000,1790954000,2050051000,2276069000,2827369000,2702893000,4274158000,5002004000,3938951000,2115379000,2661494000,2280074000
32,Short-Term Investments,- -,- -,620054100,- -,40833811,22406353,184683699,735518443,845229466,851400000,427500000,558209000,916936000,962136000,1149132000,1441813000,803304000,1412587000,1283498000,2853106000,3090212000,5033258000,1804122000
33,Cash and Short-Term Investments,856506659,861851380,654888600,637900343,607336941,647072433,1298189060,1119688318,1707558661,2126500000,2315000000,3200627000,2707890000,3012187000,3425201000,4269182000,3506197000,5686745000,6285502000,6792057000,5205591000,7694752000,4084196000
34,Net Receivables,132701255,138442190,269386800,271599769,320998244,369396731,343084751,476645738,1546872122,1741200000,1968000000,2088175000,2517251000,2810540000,2821050000,3240905000,3828439000,4439961000,5273864000,5877548000,6025549000,5816001000,5922272000
35,Inventory,92100082,99444390,95214300,106300795,137143671,206055583,191581260,216674795,631048404,1033700000,942200000,1133537000,1310132000,1225429000,1463895000,1821878000,2323511000,2532336000,3491879000,3354532000,3715560000,3846196000,3918772000
36,Other Current Assets,43801416,103344170,25545300,171097200,149991333,122730296,102235202,41897228,1894544671,234400000,191600000,35148000,40221000,128414000,193795000,170392000,253202000,352754000,150046000,187570000,111355000,132122000,11098941000
37,Total Current Assets,1125109413,1203082130,1045035000,1186898106,1215470188,1345255044,1935090273,1854906078,5780023858,5135800000,5416800000,6457487000,6575494000,7176570000,7903941000,9502357000,9911349000,13011796000,15201291000,16211707000,15058055000,17489071000,25024181000
38,PP&E,892808461,785805670,708301500,779500222,964688326,1047677634,1072031269,1109113250,2268712543,3131500000,3791300000,4003704000,4278931000,4701406000,4860225000,5091971000,5438895000,5787982000,6607788000,7278865000,9553674000,10156146000,7185886000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,6086155,- -,496700000,761000000,714391000,705989000,804697000,794626000,1456179000,1456179000,1454484000,1578157000,1525088000,931808000,931808000,818096000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,54766865,66894414,97900000,103500000,631220000,833188000,1163918000,1374129000,1701934000,1837756000,1917115000,2149316000,844267000,830785000,850847000,653160000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,60853020,66894414,594600000,864500000,1345611000,1539177000,1968615000,2168755000,3158113000,3293935000,3371599000,3727473000,2369355000,1762593000,1782655000,1471256000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,30500000,35008000,89856000,165043000,177440000,201405000,570693000,156791000,234620000,331436000,688125000,1144889000,457870000
43,Tax Assets,- -,- -,- -,- -,61151178,63317338,60961919,58059445,119589500,408700000,472700000,54770000,81395000,465190000,376132000,462573000,558993000,417344000,545611000,514187000,653694000,974711000,571755000
44,Other Non-Current Assets,205000845,276884380,197395500,161500748,156964789,211657172,608820623,809737973,1073312515,389400000,553500000,1093263000,1177886000,823101000,892052000,1063963000,1192184000,1414158000,2023539000,3793845000,3479331000,4702690000,4299409000
45,Total Non-Current Assets,1097809306,1062690050,905697000,941000970,1182804293,1322652143,1741813810,2037763688,3528508972,4531400000,5712500000,6532356000,7167245000,8123355000,8474604000,9978025000,11054700000,11147874000,13139031000,14287688000,16137417000,18761091000,13986176000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2222918719,2265772180,1950732000,2127899076,2398274481,2667907187,3676904083,3892669765,9308532829,9667200000,11129300000,12989843000,13742739000,15299925000,16378545000,19480382000,20966049000,24159670000,28340322000,30499395000,31195472000,36250162000,39010357000
48,Accounts Payable,72801483,87745050,88247400,49001728,89936519,102026465,90842786,112229210,582651397,614200000,891900000,941177000,1075103000,1312268000,968950000,1279502000,1460532000,1809516000,2227714000,2735178000,2700071000,4040652000,5789954000
49,Short-Term Debt,190102355,134542410,125404200,219801583,380057674,381702164,201773491,167495080,1903242316,12600000,1059300000,820484000,2304999000,1641100000,1829989000,3442364000,1097855000,2475604000,3503675000,2273997000,1323837000,3516133000,3054883000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,106400000,144500000,234703000,148273000,183185000,230244000,273234000,385687000,311014000,312665000,323482000,434679000,455331000,425524000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14572000,19731000,18054000,17731000,23450000,24420000,22300000,18413000,26572000,27626000,18282000,5625000
52,Other Current Liabilities,93800043,99444390,109148100,199398061,160250997,201553595,195377953,202907375,607651117,2120900000,575800000,741696000,697943000,778030000,947822000,946766000,1250584000,1179526000,1264186000,1301051000,1143535000,1665774000,3789768000
53,Total Current Liabilities,356703881,321731850,322799700,468201372,630245190,685282224,487994230,482631665,3093544829,2747700000,2527000000,2517929000,4097776000,3749452000,3764492000,5692082000,3833391000,5486946000,7013988000,6336798000,5195069000,9240841000,12640230000
54,Long-Term Debt,279102933,290533610,290287500,363599691,305063450,258167088,1277802263,1378460795,1359088457,12900000,3322500000,4637764000,3347260000,4597606000,5139637000,4932848000,7803753000,8941526000,10086919000,12932152000,14657558000,15693371000,14671071000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5912000,8724000,9853000,9134000,7709000,11036000,12510000,12896000,11850000,- -,- -,- -
56,Deferred Tax Liabilities,55001368,27298460,23223000,34799970,28583379,32108868,24085422,25937598,1800065,18200000,12600000,- -,37980000,636530000,671213000,776119000,950664000,734733000,899770000,874546000,891671000,867117000,812525000
57,Other Non-Current Liabilities,29197946,74095820,76635900,39196427,51093476,63219064,68457237,43793020,218781821,2200100000,402900000,652655000,673763000,290748000,247183000,345029000,393076000,425397000,605917000,544020000,615999000,538568000,417291000
58,Total Non-Current Liabilities,363302246,391927890,390146400,437596088,384740305,353495020,1370344921,1448191413,1579670344,2231200000,3738000000,5296331000,4067727000,5534737000,6067167000,6061705000,9158529000,10114166000,11605502000,14362568000,16165228000,17099056000,15900887000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,15300000,5545000,43653000,42913000,44391000,47044000,45894000,48716000,48515000,46066000,1588673000,1833288000,1348311000
61,Total Liabilities,720006127,713659740,712946100,905797460,1014985495,1038777244,1858339151,1930823078,4673215173,4978900000,6265000000,7814260000,8165503000,9284189000,9831659000,11753787000,12991920000,15601112000,18619490000,20699366000,21360297000,26339897000,28541117000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,499004067,547919090,434270100,663999436,661318471,664174674,945409431,- -,- -,3696800000,- -,- -,- -,3696773000,3696773000,3838686000,3838686000,3838686000,5171752000,5171752000,5171752000,5171752000,5171752000
64,Retained Earnings,109700520,452374480,- -,- -,- -,- -,- -,980824183,925424065,- -,2229948422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-872907231,-606415790,-508583700,527100437,692391752,945651170,851967801,13566965,11599827,8300000,-5300000,-18597000,-4426000,2261158000,2776489000,3773355000,4440074000,5007301000,4527491000,4648072000,4498446000,4773267000,5349551000
66,Other Total Stockholders Equity,1240510647,651263260,873184800,- -,-2489902,-8903046,-8394289,- -,- -,945000000,- -,- -,- -,32310000,46699000,85958000,-333719000,-318364000,-317982000,-371719000,-211943000,-411273000,-454382000
67,Total Stockholders Equity,976308003,1045141040,798871200,1191099873,1351220322,1600922798,1788982943,1928827058,4600519955,4650100000,4829300000,5153330000,5551067000,5990241000,6519961000,7697999000,7945041000,8527623000,9381261000,9448105000,9458255000,9533746000,10066921000
68,Total Liabilities And Stockholders Equity,1696314130,1758800780,1511817300,2096897333,2366205817,2639700042,3647322095,3859650135,9273735128,9629000000,11094300000,12967590000,13716570000,15274430000,16351620000,19451786000,20936961000,24128735000,28000751000,30147471000,30818552000,35873643000,38608038000
69,Minority Interest,526604589,506971400,438914700,31001744,32068665,28207145,29581988,33019630,34797701,38200000,35000000,22253000,26169000,25495000,26925000,28596000,29088000,30935000,339571000,351924000,376920000,376519000,402319000
70,Total Liabilities & Equity,2222918719,2265772180,1950732000,2127899076,2398274481,2667907187,3676904083,3892669765,9308532829,9667200000,11129300000,12989843000,13742739000,15299925000,16378545000,19480382000,20966049000,24159670000,28340322000,30499395000,31195472000,36250162000,39010357000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094972/000119312506102073/0001193125-06-102073-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312507131726/0001193125-07-131726-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312508143960/0001193125-08-143960-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312509140670/0001193125-09-140670-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312510151051/0001193125-10-151051-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312511178343/0001193125-11-178343-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312512194215/0001193125-12-194215-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312513186539/0001193125-13-186539-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312514170911/0001193125-14-170911-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312515162165/0001193125-15-162165-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312516567969/0001193125-16-567969-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312517148050/0001193125-17-148050-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312518110362/0001193125-18-110362-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312519113656/0001193125-19-113656-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312520132504/0001193125-20-132504-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,60399866,38997800,132371100,222300696,245403905,414610500,299014149,281417495,181884934,390300000,466700000,765303000,848764000,1011009000,1225143000,1241563000,1503466000,1561585000,1574306000,1150421000,373526000,893383000,850463000
74,Depreciation and Amortization,107700143,118943290,92892000,121401667,146306971,172746186,188982416,187446750,300575292,380600000,439300000,530829000,580076000,696332000,778937000,887827000,1002647000,1103538000,1175951000,812489000,1144705000,1267163000,913834000
75,Deferred Income Tax,1399544,-27298460,- -,4799996,-15637621,1500663,-27382428,-5386695,-92193254,-12700000,25400000,134724000,85851000,107246000,90996000,21745000,14813000,-100505000,-83029000,162417000,-97465000,-69122000,281362000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7661000,10434000,- -
77,Change in Working Capital,-24799635,-44847470,-53412900,-125801663,-26791689,-86223027,1400994,-69035423,58994424,-686900000,600900000,-262875000,-403272000,175977000,-253722000,-52398000,-497857000,-189450000,-413047000,-196039000,-362413000,574251000,-983453000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120200000,40000000,-105900000,-324193000,-245111000,-8357000,-212325000,-615381000,-326695000,-665145000,-455476000,372985000,136432000,-956779000
79,Inventory,-8300125,1949890,-6966900,-11801760,-19919214,-68318661,18588855,-25338365,-64294913,-387100000,377800000,-131300000,-164276000,46027000,-298930000,-184339000,-615390000,-262993000,-605757000,168704000,-357553000,-125001000,-1626670000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,47400000,21140000,155599000,204529000,-328785000,192061000,181030000,249121000,412393000,576164000,-31605000,1147541000,2425821000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,697328,10499491,-108000000,29855202,-179559000,-46962000,-15220000,-20481000,-108902000,5273000,-52474000,-184210000,-19422000,-101327000,-27499000,-44873000
82,Other Non-Cash Items,158002784,152091420,167205600,246098906,-39140216,37107535,-52271086,-11069808,18899795,302200000,-151700000,340216000,598714000,459302000,279332000,551959000,1178610000,138502000,25239000,959671000,1858838000,462010000,1523754000
83,Cash Provided by Operating Activities,302702702,237886580,339055800,468799602,310141349,539741857,409744045,383372320,468161192,373500000,1380600000,1508197000,1710133000,2449866000,2120686000,2650696000,3201679000,2513670000,2279420000,2888959000,2924852000,3138119000,2585960000
84,CAPEX,-76401082,-152091420,-146304900,-168799857,-170507777,-227261407,-179287537,-264061078,-664945183,-929600000,-523200000,-908452000,-1071373000,-1361225000,-1204151000,-1314817000,-1413103000,-1666370000,-2064529000,-1415905000,-1240046000,-1150814000,-1280812000
85,Acquisitions Net,- -,-1949890,-13933800,-212898934,-134555673,-10302779,- -,- -,166686757,-421000000,-1331200000,-99000,2151000,-156327000,-29478000,-19377000,-41080000,-47281000,43863000,-130369000,-79124000,-28840000,-24200000
86,Purchases of Investments,- -,- -,- -,- -,-42031157,-44512574,-469907398,-885554745,-1024315485,- -,-2373549605,-130507000,-489844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18703834,12592601,314439258,557954359,- -,358400000,32827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2022710000
88,Other Investing Activites,-25198991,-27298460,-46446000,-45500846,-42625502,-39806071,-39274532,-78111343,-34697994,13700000,2391049605,-135051000,-264635000,-652288000,-597207000,-814917000,42787000,-786296000,-693442000,-1868952000,-668088000,-1141818000,-231050000
89,Cash Used for Investing Activites,-101600073,-181339770,-206684700,-427199637,-389720108,-303178998,-675876865,-913287908,-999317546,-1299000000,-1439800000,-903575000,-1457876000,-1571747000,-1287900000,-1540230000,-801796000,-1848776000,-1912137000,-3177633000,-1835261000,-2136405000,724136000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13900000,-11176000,-6996000,-2492499000,-764974000,-930901000,-2829717000,-817536000,-2467391000,-3715838000,-2966420000,-3155789000,-2731197000
91,Common Stock Issued,334003562,- -,- -,- -,- -,- -,47071063,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-25197353,-105000000,- -,- -,- -,- -,- -,- -,-388718000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-38100702,-56546810,-243841500,-60899063,-79777836,-132334537,-129419156,-148240738,-65694371,-398900000,-242900000,-339310000,-502036000,-548610000,-711410000,-783021000,-831654000,-873270000,-940250000,-808603000,-596436000,-284767000,-705753000
94,Other Financing Activites,-55600401,-79945490,-95214300,1199999,90533749,-44512574,843872391,-34915423,1152504704,1834300000,933500000,504084000,-595387000,2422482000,897527000,1174574000,1529390000,2619194000,3747990000,3723434000,640627000,2848223000,81409000
95,Cash Used/Provided by Financing Activities,240302459,-136492300,-339055800,-59699064,10755914,-176847111,761524299,-183156160,1061612980,1330400000,676700000,153598000,-1104419000,-618627000,-578857000,-539348000,-2520699000,928388000,340349000,-801007000,-2922229000,-592333000,-3355541000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-3999996,-5996254,-14266425,-53195401,7800000,-5100000,-3301000,698000,-395000,1026000,-19818000,-3660000,-22017000,20214000,26628000,9066000,136734000,52006000
97,Net Change In Cash,441403289,-77995600,-206684700,-18099100,-68819960,55715751,489395224,-727338173,477261225,412700000,612400000,754919000,-851464000,259097000,254955000,551300000,-124476000,1571265000,727846000,-1063053000,-1823572000,546115000,6561000
98,Cash at the End of Period,856506659,861851380,654888600,637900343,566503130,624666079,1113505361,384169875,862329196,1275100000,1887500000,2642418000,1790954000,2050051000,2276069000,2827369000,2702893000,4274158000,5002004000,3938951000,2115379000,2661494000,2668055000
99,Cash at the Beginning of Period,415103371,939846980,861573300,655999442,635323090,568950328,624110137,1111508048,385067971,862400000,1275100000,1887499000,2642418000,1790954000,2021114000,2276069000,2827369000,2702893000,4274158000,5002004000,3938951000,2115379000,2661494000
100,Free Cash Flow,226301620,85795160,192750900,299999745,139633572,312480450,230456508,119311243,-196783991,-556100000,857400000,599745000,638760000,1088641000,916535000,1335879000,1788576000,847300000,214891000,1473054000,1684806000,1987305000,1305148000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094972/000119312506102073/0001193125-06-102073-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312507131726/0001193125-07-131726-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312508143960/0001193125-08-143960-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312509140670/0001193125-09-140670-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312510151051/0001193125-10-151051-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312511178343/0001193125-11-178343-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312512194215/0001193125-12-194215-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312513186539/0001193125-13-186539-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312514170911/0001193125-14-170911-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312515162165/0001193125-15-162165-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312516567969/0001193125-16-567969-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312517148050/0001193125-17-148050-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312518110362/0001193125-18-110362-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312519113656/0001193125-19-113656-index.htm,https://www.sec.gov/Archives/edgar/data/1094972/000119312520132504/0001193125-20-132504-index.htm,- -,- -
102,Forex Rate,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
