,https://roic.ai/company/XPL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-729661,-5246590,-387622,-5967374,4303240,-3607865,-1629917,-6585158,-2106842,-3070772,-5184000,-3523000,1609000,-699000,-5158000,-3966000,-3566000,-2202000,-1820000,-2054000,-2791000,-1901000,-3573000,-3227000,-1419000,-952000
16,EBITDA ratio,-10.0000,-74.9995,-6.0000,-59.5380,43.0268,-15.2739,-11.8750,-Infinity,-Infinity,-Infinity,-Infinity,-35.2300,8.0450,-3.4950,-25.7900,-16.3884,-11.8867,-7.3400,-9.1000,-Infinity,-Infinity,-Infinity,-7.1175,-7.9093,-Infinity,-Infinity
17,Operating Income,-875593,-5456453,-516829,-1072095,3924523,-2377811,-1630552,-1686850,-2290191,-3130106,-5233000,-6063000,-4487000,- -,-8180000,-8607000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-979000
18,Operating Income ratio,-12.0000,-77.9995,-8.0000,-10.6966,39.2401,-10.0665,-11.8796,-Infinity,-Infinity,-Infinity,-Infinity,-60.6300,-22.4350,- -,-40.9000,-35.5661,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity
19,Total Other Income Expenses (Gains),-510762,209863,-387622,-44239,5810775,-1279055,-38762,5709517,-1570131,1307077,2104000,2438000,5771000,4340000,1681000,1004000,181000,586000,425000,-815000,733000,972000,-867000,-497000,543000,-1388000
20,Income Before Tax,- -,-5246590,- -,- -,- -,- -,- -,4022667,-3860322,-1823029,-3129000,-3625000,1284000,-1209000,-6499000,-7603000,-4246000,-2181000,-1843000,-2880000,-2063000,-942000,-3598000,-3289000,-939000,-2367000
21,Income Before Tax Ratio,- -,-74.9995,- -,- -,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-36.2500,6.4200,-6.0450,-32.4950,-31.4174,-14.1533,-7.2700,-9.2150,-Infinity,-Infinity,-Infinity,-7.1673,-8.0613,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-69955,- -,- -,- -,- -,- -,669151,-935078,257116,54000,303000,2128000,996000,-1159000,-635000,-648000,-176000,- -,560000,-353000,- -,- -,- -,- -,- -
23,Net Income,-875593,-5176635,-387622,-6002627,4285238,-3656866,-1669950,3354293,-2925244,-2079285,-3183000,-3911000,-617000,-1786000,-4066000,-3377000,-3297000,-2052000,-1833000,8872000,-1710000,-942000,-3598000,-3289000,-939000,-2367000
24,Net Income ratio,-12.0000,-73.9995,-6.0000,-59.8897,42.8468,-15.4814,-12.1667,Infinity,-Infinity,-Infinity,-Infinity,-39.1100,-3.0850,-8.9300,-20.3300,-13.9545,-10.9900,-6.8400,-9.1650,Infinity,-Infinity,-Infinity,-7.1673,-8.0613,-Infinity,-Infinity
25,EPS,-0.07,-0.33,-0.02,-0.36,0.24,-0.16,-0.07,0.14,-0.12,-0.08,-0.11,-0.13,-0.02,-0.06,-0.14,-0.10,-0.10,-0.06,-0.05,0.23,-0.04,-0.02,-0.06,-0.06,-0.02,-0.04
26,EPS Diluted,-0.07,-0.33,-0.02,-0.36,0.23,-0.16,-0.07,0.14,-0.12,-0.08,-0.11,-0.13,-0.02,-0.06,-0.14,-0.10,-0.10,-0.06,-0.05,0.23,-0.04,-0.02,-0.06,-0.06,-0.02,-0.04
27,Weighted Average Shares Outstanding,11999356,15744503,20001135,16699942,17852927,22853984,23846209,23638000,25190000,27311000,28422000,29467000,29691000,29750000,29750000,32807000,34351000,35743000,38967000,39287000,38906000,47990000,58360000,58143000,58116000,58116000
28,Weighted Average Shares Outstanding Diluted,11999356,15744503,20001135,16699942,18902682,22853984,23846209,23638000,25650000,27311000,28422000,29467000,29691000,29750000,29750000,32807000,34351000,35743000,38967000,39287000,38906000,47990000,58360000,58143000,58116000,58116000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917225/000091722505000005/0000917225-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722506000013/0000917225-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722507000016/0000917225-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722508000002/0000917225-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722509000007/0000917225-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722510000004/0000917225-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722511000001/0000917225-11-000001-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722512000011/0000917225-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722513000011/0000917225-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722514000018/frm10k13.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722515000003/frm10k14.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722516000041/0000917225-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722517000005/0000917225-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722518000006/0000917225-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722519000003/0000917225-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495420002140/0001654954-20-002140-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495421002412/0001654954-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000165495422004166/0001654954-22-004166-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,6334178,2723332,1404969,1273094,75840,2119701,904000,2250000,1942000,1946000,478000,432000,616000,2092000,869000,17718000,119000,214000,117000,574000,605000,462000
32,Short-Term Investments,- -,- -,- -,- -,116015,268250,409227,2575687,3036086,3509330,5176000,5520000,2763000,4600000,5214000,4361000,3110000,1577000,2308000,202000,16589000,14285000,11808000,7868000,7418000,5087000
33,Cash and Short-Term Investments,- -,- -,- -,- -,6450193,2991582,1814196,3848781,3111926,5629031,6080000,7770000,4705000,6546000,5692000,4793000,3726000,3669000,3177000,17920000,16708000,14499000,11925000,8442000,8023000,5549000
34,Net Receivables,- -,- -,- -,- -,- -,- -,111203,111784,299192,- -,88000,4000,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,268000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,40006,176530,26688,32604,16668,36116,219000,198000,292000,196000,421000,488000,210000,115000,40000,70000,89000,114000,211000,46000,26000,1610000
37,Total Current Assets,- -,- -,- -,- -,6490199,3168112,1952087,3993169,3427786,5665147,6387000,7972000,4997000,6742000,6113000,5281000,7936000,3784000,3217000,17990000,16797000,14613000,12136000,8756000,8049000,7159000
38,PP&E,- -,- -,- -,- -,4873316,3693303,3742772,2759665,2652721,2675209,2687000,2704000,2785000,2739000,6153000,8901000,9327000,12193000,14723000,60000,78000,15778000,15763000,15751000,15699000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15006000,16833000,7653000,5148000,2549000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,596746,1241990,1207981,6535475,9289107,10696534,15964000,19754000,18681000,154000,509000,219000,1072000,974000,1100000,4000,739000,4000,4000,25000,53000,16460000
45,Total Non-Current Assets,- -,- -,- -,- -,5470062,4935293,4950753,9295140,11941828,13371743,18651000,22458000,21466000,17899000,23495000,16773000,15547000,15716000,15823000,64000,817000,15782000,15767000,15776000,15752000,16460000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,11960261,8103405,6902840,13288309,15369614,19036890,25038000,30430000,26463000,24641000,29608000,22054000,23483000,19500000,19040000,18054000,17614000,30395000,27903000,24532000,23801000,23619000
48,Accounts Payable,- -,- -,- -,- -,70009,43975,26053,52787,141678,68794,163000,195000,291000,269000,630000,482000,398000,367000,343000,175000,124000,141000,688000,228000,157000,239000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3304000,2727000,2227000,802000,4861000,- -,- -,- -,- -,41000,17000,37000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,80678,62194,73076,710293,79174,1406827,1669000,1532000,1291000,2155000,2045000,1727000,1066000,84000,- -,4000,2000,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,150687,106169,99129,763080,220852,1475621,1832000,1727000,1582000,2424000,5979000,4936000,3691000,1253000,5204000,179000,126000,141000,688000,269000,174000,276000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2604000,2075000,2437000,3144000,- -,- -,- -,- -,- -,- -,- -,35000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7000000,7000000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,590747,2632719,2220311,4131000,5293000,6063000,5555000,4474000,1170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,667,- -,- -,776,- -,- -,31000,1716000,767000,1548000,2775000,- -,1138000,140000,55000,- -,- -,125000,125000,132000,125000,125000
58,Total Non-Current Liabilities,- -,- -,- -,- -,667,- -,- -,591523,2632719,2220311,4162000,7009000,6830000,7103000,9853000,3245000,10575000,10284000,7055000,- -,- -,125000,125000,132000,125000,160000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4440623,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,7000,- -
61,Total Liabilities,- -,- -,- -,- -,151354,106169,99129,1354603,2853571,3695933,5994000,8736000,8412000,9527000,15832000,8181000,14266000,11537000,12259000,179000,126000,266000,813000,401000,299000,160000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,234031,233698,233844,249185,246687,275174,287000,296000,297000,297000,297000,342000,345000,375000,393000,392000,387000,584000,582000,581000,581000,620000
64,Retained Earnings,- -,- -,- -,- -,-9509935,-13167483,-14837008,-11967862,-14892908,-16973085,-20156000,-24067000,-28868000,-32930000,-36996000,-39381000,-42678000,-44730000,-46563000,-37691000,-39401000,-40343000,-43365000,-46654000,-47593000,-49960000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,217958,1155100,5029586,6129504,10451000,14241000,12454000,11722000,11786000,5877000,3914000,460000,-1120000,111000,712000,576000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,21084812,20931021,21188917,22497283,22132678,25909365,28462000,30836000,33335000,35611000,36799000,49015000,47107000,51963000,54512000,55063000,55790000,69312000,69873000,70204000,70514000,72523000
67,Total Stockholders Equity,- -,- -,- -,- -,11808908,7997236,6803711,11933706,12516043,15340958,19044000,21306000,17218000,14700000,11886000,15853000,8688000,8068000,7222000,17875000,17488000,30129000,27090000,24131000,23502000,23183000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,11960262,8103405,6902840,13288309,15369614,19036891,25038000,30042000,25630000,24227000,27718000,24034000,22954000,19605000,19481000,18054000,17614000,30395000,27903000,24532000,23801000,23343000
69,Minority Interest,- -,- -,- -,- -,-1,- -,- -,- -,- -,-1,- -,388000,833000,414000,1890000,-1980000,529000,-105000,-441000,- -,- -,- -,- -,- -,- -,276000
70,Total Liabilities & Equity,- -,- -,- -,- -,11960261,8103405,6902840,13288309,15369614,19036890,25038000,30430000,26463000,24641000,29608000,22054000,23483000,19500000,19040000,18054000,17614000,30395000,27903000,24532000,23801000,23619000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917225/000091722505000005/0000917225-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722506000013/0000917225-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722507000016/0000917225-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722508000002/0000917225-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722509000007/0000917225-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722510000004/0000917225-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722511000001/0000917225-11-000001-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722512000011/0000917225-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722513000011/0000917225-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722514000018/frm10k13.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722515000003/frm10k14.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722516000041/0000917225-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722517000005/0000917225-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722518000006/0000917225-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722519000003/0000917225-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495420002140/0001654954-20-002140-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495421002412/0001654954-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000165495422004166/0001654954-22-004166-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-875593,-5176635,-387622,-6002627,4285238,-3656866,-1669950,3354293,-2925244,-2079285,-3183000,-3911000,-617000,-1786000,-4066000,-3377000,-3297000,-2052000,-1833000,8872000,-1710000,-942000,-3598000,-3289000,-939000,-2367000
74,Depreciation and Amortization,72966,- -,- -,35253,18002,49001,40033,488278,119177,29237,49000,85000,98000,91000,67000,46000,61000,26000,13000,11000,5000,13000,25000,62000,63000,27000
75,Deferred Income Tax,- -,-69955,- -,- -,- -,- -,- -,669151,-935078,257116,54000,303000,2128000,611000,-867000,-635000,-648000,-176000,- -,560000,-353000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-269000,2513000,697000,732000,420000,778000,566000,970000,50000,660000,343000,315000,- -
77,Change in Working Capital,- -,- -,- -,1,6339511,-3277569,-1208985,1377131,-23155,982592,365474,1690000,-2830000,903000,-4184000,211000,3900000,-1714000,-4518000,19798000,-1140000,-2199000,-3024000,-2961000,-612000,-992000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,414000,-119000,-84000,-51000,-209000,-4000,-51000,18000,547000,-497000,-128000,-17000
81,Other Working Capital,- -,- -,- -,1,6339512,3061943,1852958,3230089,3206934,4189526,4555000,6245000,3415000,4318000,134000,345000,4245000,2531000,-1987000,17811000,16671000,14472000,11448000,8487000,7875000,6883000
82,Other Non-Cash Items,364831,4756908,387622,5148267,-12159620,4470558,1184838,-7045506,1554949,-761592,-1768474,-2879000,-5312000,-2763000,1097000,-4873000,-4252000,1259000,3950000,-31530000,393000,1420000,4580000,3206000,163000,1175000
83,Cash Provided by Operating Activities,-437796,-489682,- -,-819106,-1516869,-2414876,-1654064,-1156653,-2209351,-1571932,-4483000,-4712000,-6533000,-3213000,-5440000,-7931000,-3504000,-2237000,-1610000,-1723000,-1835000,-1658000,-1357000,-2639000,-1010000,-2157000
84,CAPEX,-2699745,-2378454,-969055,- -,-54674,-52143,-50200,-10092,-75840,-51595,-50000,-37000,-111000,-5000,-11000,-1765000,-3457000,-2173000,-1960000,- -,-40000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-374050,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1083000,- -,1664000,839000,556000,24000000,- -,-417000,- -,-224000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-130266,- -,- -,- -,- -,- -,- -,- -,-493000,- -,- -,- -,- -,- -,-15576000,-578000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,15835,- -,2442000,5548000,4430000,1852000,1301000,2077000,51000,90000,36000,84000,45000,3616000,1371000,3338000,976000,248000
88,Other Investing Activites,- -,279818,387622,-40091,5714762,-1143987,516616,-288775,86674,-126408,-119000,-150000,58000,84000,-38000,-119000,5612000,3761000,-323000,808000,55000,-836000,-10000,-5000,- -,-158000
89,Cash Used for Investing Activites,-2699745,-2098636,-581433,-40091,5286038,-1196130,336150,-298867,26669,-178003,2273000,5361000,4377000,1931000,-324000,193000,3870000,2517000,-1691000,24892000,-15516000,1785000,1361000,3109000,976000,90000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-3915000,-5048000,-902000,-5000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3575337,4966772,- -,- -,178690,- -,- -,1324329,985082,3793963,994000,607000,148000,- -,- -,8937000,275000,2060000,1630000,- -,- -,- -,- -,- -,- -,1841000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000,-248000,-32000,-101000,-13000,-5000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,1700000,1286000,4296000,-745000,3458000,4184000,1350000,188000,- -,- -,- -,- -,70000,83000
95,Cash Used/Provided by Financing Activities,3575337,4966772,- -,- -,178690,- -,- -,1324329,985082,3793963,994000,697000,1848000,1286000,4296000,7692000,-182000,1196000,2078000,-4879000,-248000,-32000,-101000,-13000,65000,1924000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,656694,2448409,-646036,-859197,3947860,-3611006,-1317913,-131967,-1196766,2044028,-1216000,1346000,-308000,4000,-1468000,-46000,184000,1476000,-1223000,17231000,-17599000,95000,-97000,457000,31000,-143000
98,Cash at the End of Period,1532287,3917454,3230183,2386120,6334178,2723332,1404969,1273094,75840,2119701,904000,2250000,1942000,1946000,478000,432000,616000,2092000,869000,17718000,119000,214000,117000,574000,605000,462000
99,Cash at the Beginning of Period,875593,1469045,3876219,3245317,2386318,6334338,2722882,1405061,1272606,75673,2120000,904000,2250000,1942000,1946000,478000,432000,616000,2092000,487000,17718000,119000,214000,117000,574000,605000
100,Free Cash Flow,-3137541,-2868136,-969055,-819106,-1571543,-2467019,-1704264,-1166745,-2285191,-1623527,-4533000,-4749000,-6644000,-3218000,-5451000,-9696000,-6961000,-4410000,-3570000,-1723000,-1875000,-1658000,-1357000,-2639000,-1010000,-2157000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917225/000091722505000005/0000917225-05-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722506000013/0000917225-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722507000016/0000917225-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722508000002/0000917225-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722509000007/0000917225-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722510000004/0000917225-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722511000001/0000917225-11-000001-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722512000011/0000917225-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722513000011/0000917225-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722514000018/frm10k13.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722515000003/frm10k14.htm,https://www.sec.gov/Archives/edgar/data/917225/000091722516000041/0000917225-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722517000005/0000917225-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722518000006/0000917225-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/917225/000091722519000003/0000917225-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495420002140/0001654954-20-002140-index.html,https://www.sec.gov/Archives/edgar/data/917225/000165495421002412/0001654954-21-002412-index.htm,https://www.sec.gov/Archives/edgar/data/917225/000165495422004166/0001654954-22-004166-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
