,https://roic.ai/company/AZO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,213900000,256900000,309400000,365400000,464300000,571700000,729600000,811000000,971000000,1298000000,1369000000,1625000000,1604379000,1597000000,1758000000,1817000000,1928000000,2009000000,2144000000,2241000000,2392000000,2624000000,2803000000,2967837000,3105000000,3373980000,3548341000,3659551000,4162890000,4148864000,4353074000,4773258000
11,COGS and Expenses,622400000,738700000,898700000,1076000000,1317300000,1580400000,1973700000,2370000000,2861000000,3683000000,3971000000,4430000000,4554502000,4539000000,4638000000,4735000000,4938000000,5115000000,5399000000,5641000000,6043000000,6578000000,6975000000,7374432000,7645000000,8234289000,8575281000,8808607000,9410221000,9647606000,10214288000,11685058000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3887000,2626000,2058000,1397000,1606000,1850000,1605000,2371000,3502000,5636000,7396000,5689000,5417000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,-9000000,-18000000,-45000000,-77000000,-101000000,- -,-84790000,-93000000,-102443000,-107889000,-119116000,-116745000,-142316000,-159000000,-171000000,178547000,187021000,170400000,153007000,150961000,159329000,181668000,192200000,206854000,200754000
14,Depreciation and Amortization,8300000,9500000,13700000,21300000,33100000,48300000,63500000,77800000,96600000,128500000,126800000,131333000,118255000,109748000,111121000,137940000,141024000,161130000,169509000,180433000,192084000,196209000,211831000,227251000,251267000,269919000,297397000,323051000,345084000,369957000,397466000,407683000
15,EBITDA,46600000,81600000,118200000,164500000,226100000,276600000,330500000,381800000,442600000,471500000,485800000,318333000,809403000,857958000,924121000,908497000,935135000,978014000,1060764000,1072117000,1193278000,1349481000,1842991000,2001955000,2084637000,2225538000,2361072000,2407869000,2163081000,2593490000,2820834000,3357627000
16,EBITDA ratio,0.0694,0.0998,0.1179,0.1352,0.1499,0.1530,0.1474,0.1419,0.1365,0.1146,0.1084,0.0661,0.1520,0.1572,0.1639,0.1591,0.1572,0.1585,0.1626,0.1573,0.1621,0.1672,0.2142,0.2189,0.2200,0.2185,0.2220,0.2211,0.1928,0.2186,0.2233,0.2295
17,Operating Income,49300000,79300000,103600000,140800000,190700000,227700000,268900000,321300000,382400000,433200000,512020000,387691000,771008000,917797000,998706000,975664000,1009925000,1055266000,1124134000,1176062000,1319414000,1494803000,1628891000,1773098000,1830223000,1953051000,2060395000,2080069000,1810856000,2216137000,2417679000,2944527000
18,Operating Income ratio,0.0734,0.0969,0.1034,0.1157,0.1265,0.1259,0.1199,0.1194,0.1179,0.1052,0.1142,0.0805,0.1448,0.1682,0.1772,0.1708,0.1698,0.1710,0.1723,0.1725,0.1792,0.1852,0.1893,0.1938,0.1932,0.1917,0.1937,0.1910,0.1614,0.1868,0.1914,0.2013
19,Total Other Income Expenses (Gains),-11000000,-7200000,900000,2400000,2300000,600000,-1900000,-8300000,-18400000,-45200000,-77020000,-100691000,-79860000,-84797000,-92706000,-102664000,-107925000,-119266000,-117134000,-142062000,-158414000,-170803000,-175891000,-185415000,-167223000,-150439000,-147681000,-154580000,-174527000,-184804000,-201165000,-195337000
20,Income Before Tax,38300000,72100000,104500000,143200000,193000000,228300000,267000000,313000000,364000000,388000000,435000000,287000000,691148000,833000000,906000000,873000000,902000000,936000000,1007000000,1034000000,1161000000,1324000000,1453000000,1587683000,1663000000,1802612000,1912714000,1925489000,1636329000,2031333000,2216514000,2749190000
21,Income Before Tax Ratio,0.0570,0.0881,0.1043,0.1177,0.1280,0.1263,0.1191,0.1163,0.1122,0.0943,0.0970,0.0596,0.1298,0.1526,0.1607,0.1529,0.1516,0.1517,0.1544,0.1517,0.1577,0.1640,0.1689,0.1736,0.1755,0.1769,0.1798,0.1768,0.1458,0.1712,0.1755,0.1879
22,Income Tax expense (Gain),15000000,28100000,41200000,56300000,76600000,89500000,99800000,118000000,136000000,143000000,168000000,112000000,263000000,315000000,340000000,302000000,333000000,340000000,366000000,377000000,422194000,475272000,522613000,571203000,592970000,642371000,671707000,644620000,298793000,414112000,483542000,578876000
23,Net Income,23300000,44000000,63300000,86900000,116400000,138800000,167200000,195000000,228000000,245000000,268000000,176000000,428148000,518000000,566000000,571000000,569000000,596000000,642000000,657000000,738000000,849000000,930000000,1016480000,1070000000,1160241000,1241007000,1280869000,1337536000,1617221000,1732972000,2170314000
24,Net Income ratio,0.0347,0.0538,0.0632,0.0714,0.0772,0.0768,0.0746,0.0725,0.0703,0.0595,0.0598,0.0365,0.0804,0.0949,0.1004,0.1000,0.0957,0.0966,0.0984,0.0964,0.1002,0.1052,0.1081,0.1111,0.1129,0.1139,0.1167,0.1176,0.1192,0.1363,0.1372,0.1484
25,EPS,0.19,0.33,0.43,0.59,0.78,0.93,1.11,1.29,1.50,1.64,2.01,1.56,4.10,5.45,6.66,7.27,7.57,8.62,10.14,11.89,15.23,19.91,24.04,28.28,32.16,36.76,41.52,45.05,49.59,64.78,73.62,97.60
26,EPS Diluted,0.19,0.33,0.43,0.59,0.78,0.93,1.11,1.28,1.48,1.63,2.00,1.54,4.00,5.34,6.56,7.18,7.50,8.53,10.04,11.73,14.97,19.47,23.48,27.79,31.57,36.03,40.70,44.07,48.77,63.43,71.93,95.19
27,Weighted Average Shares Outstanding,122631579,133333333,147209302,147288136,149230769,149247312,151238000,151162791,151933333,149268293,132945000,112834000,104446000,94906000,84993000,78530000,75237000,69101000,63295000,55282000,48488000,42632000,38696000,35943000,33267000,31560000,29889000,28430000,26970000,24966000,23540000,22237000
28,Weighted Average Shares Outstanding Diluted,122631579,133333333,147209302,147288136,149230769,149247312,151238000,152343750,153986486,150184049,133869000,113801000,107111000,96963000,86350000,79508000,75859000,69844000,63875000,55992000,49304000,43603000,39625000,36581000,33882000,32206000,30488000,29065000,27424000,25498000,24093000,22799000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000095014496008757/0000950144-96-008757-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000086678700500019/0000866787-00-500019-index.html,https://www.sec.gov/Archives/edgar/data/866787/000086678701500047/0000866787-01-500047-index.html,https://www.sec.gov/Archives/edgar/data/866787/000095014402010940/0000950144-02-010940-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095014403011980/0000950144-03-011980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866787/000114420405032748/0001144204-05-032748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420406043603/0001144204-06-043603-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420407055597/0001144204-07-055597-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000136231008006211/0001362310-08-006211-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012309053232/0000950123-09-053232-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012310095687/0000950123-10-095687-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012311091540/0000950123-11-091540-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312512430271/0001193125-12-430271-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312513413428/0001193125-13-413428-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312514383401/0001193125-14-383401-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312515353476/0001193125-15-353476-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312516745160/0001193125-16-745160-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312517319357/0001193125-17-319357-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312518306452/0001193125-18-306452-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312519276201/0001193125-19-276201-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837020011748/0001558370-20-011748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837021013446/0001558370-21-013446-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,9000000,57800000,84500000,56200000,6400000,3900000,4700000,6600000,5900000,7000000,7300000,6498000,6700000,76900000,74800000,91600000,86700000,242500000,92700000,98300000,97600000,103100000,142191000,124500000,175309000,189734000,293270000,217824000,176300000,1750815000,1171335000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,9000000,57800000,84500000,56200000,6400000,3900000,4700000,6600000,5900000,7000000,7300000,6498000,6700000,76900000,74800000,91600000,86700000,242500000,92700000,98300000,97600000,103100000,142191000,124500000,175309000,189734000,293270000,217824000,176300000,1750815000,1171335000
34,Net Receivables,4200000,4200000,5900000,10200000,7100000,9700000,15500000,18700000,44400000,25900000,21400000,19100000,23782000,43700000,68400000,118300000,80400000,59900000,71200000,126500000,125800000,140700000,161400000,171638000,200900000,247872000,287680000,280733000,258136000,308995000,364774000,378392000
35,Inventory,176700000,205700000,198200000,260100000,334100000,395800000,555900000,709400000,966600000,1129700000,1109000000,1242900000,1375584000,1511300000,1561500000,1663900000,1846700000,2007400000,2150100000,2207500000,2304600000,2466100000,2628000000,2861014000,3140100000,3421635000,3631916000,3882086000,3943670000,4319113000,4473282000,4639813000
36,Other Current Assets,11000000,15600000,18500000,23700000,27000000,35900000,37800000,46000000,99500000,63600000,49400000,59200000,44264000,23300000,49000000,72500000,100200000,116500000,122500000,135000000,83100000,88000000,86400000,103170000,115100000,125478000,130243000,155166000,216239000,224277000,223001000,225763000
37,Total Current Assets,192800000,234500000,280400000,378500000,424400000,447800000,613100000,778800000,1117100000,1225100000,1186800000,1328500000,1450128000,1585000000,1755800000,1929500000,2118900000,2270500000,2586300000,2561700000,2611800000,2792400000,2978900000,3278013000,3580600000,3970294000,4239573000,4611255000,4635869000,5028685000,6811872000,6415303000
38,PP&E,112200000,142800000,199800000,297400000,436100000,644200000,862900000,1081100000,1427500000,1638500000,1758400000,1710400000,1661728000,1715800000,1790100000,1937600000,2051300000,2177800000,2289700000,2354400000,2519900000,2668900000,2855900000,3071361000,3310500000,3505632000,3733254000,4031018000,4218400000,4398751000,7090898000,7575603000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,16600000,181300000,337300000,324500000,305400000,305390000,294300000,301000000,302700000,302600000,302600000,302600000,302600000,302600000,302600000,302600000,367829000,367800000,391887000,391887000,391887000,302645000,302645000,302645000,302645000
40,Intangible Assets,20900000,20300000,19700000,19000000,18400000,17800000,17200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74900000,69730000,60981000,52499000,9789000,5616000,1443000,- -
41,Intangible Assets,20900000,20300000,19700000,19000000,18400000,17800000,17200000,16600000,181300000,337300000,324500000,305400000,305390000,294300000,301000000,302700000,302600000,302600000,302600000,302600000,302600000,302600000,302600000,367829000,442700000,461617000,452868000,444386000,312434000,308261000,304088000,302645000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60304000,- -,5700000,- -,- -,- -,- -,- -,- -,- -,- -,4069000,- -,- -,284500000,371111000,285204000,26861000,27843000,41043000
44,Other Non-Current Assets,2500000,1300000,2200000,1600000,3200000,2000000,5200000,7500000,22200000,83900000,63500000,88200000,241000,85400000,60000000,75500000,53500000,53800000,78500000,99700000,137300000,105700000,128200000,170817000,184100000,164806000,-110408000,-197989000,-104927000,133355000,189171000,181605000
45,Total Non-Current Assets,135600000,164400000,221700000,318000000,457700000,664000000,885300000,1105200000,1631000000,2059700000,2146400000,2104000000,2027663000,2095500000,2156800000,2315800000,2407400000,2534200000,2670800000,2756700000,2959800000,3077200000,3286700000,3614076000,3937300000,4132055000,4360214000,4648526000,4711111000,4867228000,7612000000,8100896000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,328400000,398900000,502100000,696500000,882100000,1111800000,1498400000,1884000000,2748100000,3284800000,3333200000,3432500000,3477791000,3680500000,3912600000,4245300000,4526300000,4804700000,5257100000,5318400000,5571600000,5869600000,6265600000,6892089000,7517900000,8102349000,8599787000,9259781000,9346980000,9895913000,14423872000,14516199000
48,Accounts Payable,117600000,121000000,141300000,203700000,242800000,300600000,381300000,449800000,683400000,757400000,788800000,945700000,1145533000,1321900000,1429100000,1539800000,1699700000,1870700000,2043300000,2118700000,2433100000,2755900000,2926700000,3307535000,3609200000,3864168000,4095854000,4168940000,4409372000,4864912000,5156324000,6013924000
49,Short-Term Debt,900000,200000,200000,200000,200000,13500000,114400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16015000,15917000,- -,48133000,59378000,79723000,205979000,217415000,40528000,44834000,48134000,52290000,56246000,291344000,326500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35145000,127749000,114860000,114595000,108073000,118532000,144906000,138134000,132840000,118465000,147669000,196449000,215305000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3996000,- -,32917000,20643000,21331000,38283000,59067000,46223000,10661000,846000,- -,4708000,3631000,36855000,35308000,34620000,- -,- -,- -
52,Other Current Liabilities,46400000,56400000,65600000,82200000,96000000,103400000,117200000,142700000,176400000,243200000,245700000,321000000,388038000,349704000,389000000,238483000,334257000,377854000,421800000,529033000,536544000,604961000,648331000,655636000,709777000,804546000,512777000,513919000,532399000,590983000,835423000,1029330000
53,Total Current Liabilities,164900000,177600000,207100000,286100000,339000000,417500000,612900000,592500000,859800000,1000600000,1034500000,1266700000,1533571000,1675600000,1818100000,1811200000,2054600000,2285900000,2519300000,2706800000,3064000000,3430900000,3655600000,4169150000,4541100000,4712873000,4690320000,4766301000,5028681000,5512141000,6283091000,7369754000
54,Long-Term Debt,73900000,7000000,6800000,4300000,4000000,- -,- -,198400000,545100000,888300000,1249900000,1225400000,1194517000,1546800000,1869300000,1861900000,1857200000,1935600000,2250000000,2726900000,2882300000,3317600000,3718300000,4013267000,4162900000,4624876000,4924119000,5081238000,5005930000,5206344000,8014931000,7902662000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2000000,2100000,1800000,4300000,3000000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183833000,- -,227891000,259062000,284500000,371111000,285204000,311980000,354186000,337125000
57,Other Non-Current Liabilities,3000000,3600000,4300000,5200000,7700000,8400000,19900000,17900000,41200000,72100000,56600000,74200000,60576000,84300000,53800000,181200000,145000000,180000000,258100000,317800000,364100000,375300000,255967000,396991000,207809000,206928000,488386000,469508000,547520000,579299000,649641000,704194000
58,Total Non-Current Liabilities,78900000,12700000,12900000,13800000,14700000,9600000,19900000,216300000,586300000,960400000,1306500000,1299600000,1255093000,1631100000,1923100000,2043100000,2002200000,2115600000,2508100000,3044700000,3246400000,3692900000,4158100000,4410258000,4598600000,5090866000,5697005000,5921857000,5838654000,6097623000,9018758000,8943981000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21947000,25296000,29842000,32246000,36505000,40528000,44834000,48134000,52290000,56246000,2792904000,2959342000
61,Total Liabilities,243800000,190300000,220000000,299900000,353700000,427100000,632800000,808800000,1446100000,1961000000,2341000000,2566300000,2788664000,3306700000,3741200000,3854300000,4056800000,4401500000,5027400000,5751500000,6310400000,7123800000,7813700000,8579408000,9139700000,9803739000,10387325000,10688158000,10867335000,11609764000,15301849000,16313735000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1500000,1500000,1500000,1500000,1200000,1100000,1000000,900000,800000,800000,700000,600000,600000,500000,400000,400000,368000,300000,321000,303000,287000,275000,254000,237000,230000
64,Retained Earnings,41300000,85200000,148500000,231400000,347800000,486600000,628800000,823800000,1051700000,1296500000,1564100000,825200000,974141000,869700000,580100000,370300000,559200000,546000000,206100000,136900000,-245300000,-644000000,-1033200000,-1378936000,-1529100000,-1418738000,-1602186000,-1642387000,-1208824000,-1305347000,-1450970000,-419829000
65,Other Comprehensive Income/Loss,-31500000,-39800000,-53100000,-73500000,-102900000,-148100000,-198300000,-255800000,-351000000,-450600000,-561900000,-10600000,-770402000,-37297000,-15653000,-36581000,-15500000,-9550000,-4135000,-92035000,-106468000,-119691000,-152013000,-120788000,-128903000,-249518000,-307529000,-254557000,-235805000,-269322000,-354252000,-307986000
66,Other Total Stockholders Equity,74800000,163200000,186700000,238700000,283500000,346200000,435100000,505700000,599900000,476400000,- -,50400000,484288000,-459645000,-393954000,56488000,-74972000,-133950000,27122000,-478539000,-387497000,-490941000,-363212000,-187963000,35846000,-33455000,121874000,468280000,-76001000,-139436000,927008000,-1069951000
67,Total Stockholders Equity,84600000,208600000,282100000,396600000,528400000,684700000,865600000,1075200000,1302100000,1323800000,992200000,866200000,689127000,373758000,171393000,391007000,469528000,403200000,229687000,-433074000,-738765000,-1254232000,-1548025000,-1687319000,-1621857000,-1701390000,-1787538000,-1428377000,-1520355000,-1713851000,-877977000,-1797536000
68,Total Liabilities And Stockholders Equity,328400000,398900000,502100000,696500000,882100000,1111800000,1498400000,1884000000,2748200000,3284800000,3333200000,3432500000,3477791000,3680458000,3912593000,4245307000,4526328000,4804700000,5257087000,5318426000,5571635000,5869568000,6265675000,6892089000,7517843000,8102349000,8599787000,9259781000,9346980000,9895913000,14423872000,14516199000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,42000,7000,-7000,-28000,- -,13000,-26000,-35000,32000,-75000,- -,57000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,328400000,398900000,502100000,696500000,882100000,1111800000,1498400000,1884000000,2748100000,3284800000,3333200000,3432500000,3477791000,3680500000,3912600000,4245300000,4526300000,4804700000,5257100000,5318400000,5571600000,5869600000,6265600000,6892089000,7517900000,8102349000,8599787000,9259781000,9346980000,9895913000,14423872000,14516199000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000095014496008757/0000950144-96-008757-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866787/000086678700500019/0000866787-00-500019-index.html,https://www.sec.gov/Archives/edgar/data/866787/000086678701500047/0000866787-01-500047-index.html,https://www.sec.gov/Archives/edgar/data/866787/000095014402010940/0000950144-02-010940-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095014403011980/0000950144-03-011980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866787/000114420405032748/0001144204-05-032748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420406043603/0001144204-06-043603-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000114420407055597/0001144204-07-055597-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000136231008006211/0001362310-08-006211-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012309053232/0000950123-09-053232-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012310095687/0000950123-10-095687-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000095012311091540/0000950123-11-091540-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312512430271/0001193125-12-430271-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312513413428/0001193125-13-413428-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312514383401/0001193125-14-383401-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312515353476/0001193125-15-353476-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312516745160/0001193125-16-745160-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312517319357/0001193125-17-319357-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312518306452/0001193125-18-306452-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312519276201/0001193125-19-276201-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837020011748/0001558370-20-011748-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837021013446/0001558370-21-013446-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,23300000,44000000,63300000,86900000,116400000,138800000,167200000,195000000,228000000,245000000,268000000,176000000,428148000,518000000,566000000,571000000,569000000,596000000,642000000,657000000,738000000,849000000,930000000,1016480000,1070000000,1160241000,1241007000,1280869000,1337536000,1617221000,1732972000,2170314000
74,Depreciation and Amortization,8300000,9500000,13700000,21300000,33100000,48300000,63500000,77800000,96600000,128500000,126800000,131333000,118255000,109748000,111121000,137940000,141024000,161130000,169509000,180433000,192084000,196209000,211831000,227251000,251267000,269919000,297397000,323051000,345084000,369957000,397466000,407683000
75,Deferred Income Tax,-2600000,-4000000,-2300000,-6600000,-300000,-7200000,6100000,-7800000,20200000,42900000,39338000,-46981000,28483000,65701000,44498000,-16628000,36306000,24844000,67474000,46318000,-9023000,44667000,25557000,19704000,-14698000,35971000,45019000,74902000,-124261000,35051000,51077000,-34432000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19135000,19120000,26625000,33363000,37307000,39390000,40995000,39825000,38244000,43674000,43255000,44835000,56112000
77,Change in Working Capital,13500000,29000000,16400000,19100000,-7000000,-55100000,-30100000,186100000,71000000,-32800000,-72200000,-90500000,-145243000,-7157000,28300000,180600000,-54000000,-79700000,82400000,-212100000,-307100000,-186300000,-38200000,-214437000,-69363000,217921000,291832000,295701000,-237766000,-90644000,1012237000,-1483232000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56823000,782000,-14605000,-21276000,-8196000,-27963000,-36466000,-41447000,7795000,7534000,-48512000,-58564000,-11039000
79,Inventory,-11700000,-29000000,7400000,-61800000,-74000000,-61700000,-158700000,-153600000,-47300000,-201600000,20715000,-164164000,-168150000,-135732000,-119539000,-124566000,-182790000,-160780000,-137841000,-76337000,-96077000,-155421000,-167914000,-232846000,-276834000,-266776000,-227518000,-236807000,-188782000,-394147000,-184174000,-138517000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349122000,342826000,197406000,356935000,285091000,291520000,271198000,82614000,319609000,464176000,531131000,1029912000
81,Other Working Capital,27900000,56900000,73300000,92400000,85400000,30300000,200000,186300000,257300000,224500000,152300000,61800000,-83443000,-90600000,-62300000,118300000,64300000,-15400000,67000000,-145100000,-452200000,-638500000,-676700000,-891137000,-960500000,-742579000,-450747000,-155046000,-392812000,-483456000,528781000,-954451000
82,Other Non-Cash Items,1400000,-42800000,18200000,-3700000,-13900000,55300000,-32500000,-273600000,-48700000,-76200000,151022000,289085000,309448000,11963000,-111540000,-224829000,130417000,142920000,-40283000,233022000,563171000,361337000,61430000,328706000,64638000,-199924000,-337751000,-442155000,716025000,153673000,-518479000,2402098000
83,Cash Provided by Operating Activities,43900000,35700000,109300000,117000000,128300000,180100000,174200000,177500000,367100000,307400000,512960000,458937000,739091000,698255000,638379000,648083000,822747000,845194000,921100000,923808000,1196252000,1291538000,1223981000,1415011000,1341234000,1525123000,1577329000,1570612000,2080292000,2128513000,2720108000,3518543000
84,CAPEX,-25900000,-41100000,-70800000,-120600000,-173000000,-258100000,-288200000,-297500000,-437200000,-428300000,-249657000,-169296000,-117239000,-182242000,-184870000,-283478000,-263580000,-224474000,-243594000,-272247000,-315400000,-321604000,-378054000,-414451000,-449228000,-490579000,-498791000,-553832000,-522247000,-496050000,-457736000,-621767000
