,https://roic.ai/company/CNR,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,14800000,26700000,30400000,41300000,58900000,74000000,111800000,159600000,176439000,145563000,141400000,140400000,175100000,174900000,246000000,271800000,283800000,998900000,190870000,203200000,230800000,277300000,265400000,317843000,315605000,306421000,358637000,805438000,760194000,838960000
11,COGS and Expenses,- -,73300000,124900000,152300000,207900000,294500000,365500000,591900000,826000000,892507000,887237000,882000000,841000000,997800000,1025600000,1433200000,1493300000,1609400000,1751700000,891581000,961200000,1128800000,1310700000,1345400000,1506862000,1574285000,1660498000,1896532000,4606766000,4327243000,5223022000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000,91000,127000,112000,131000,126000,72000,146000,238000,140000,674000,1364000,205000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21600000,-19800000,15126000,14459000,24915000,28829000,23535000,20410000,17918000,-15600000,15723000,20988000,12455000,28460000,31019000,28899000,21808000,229262000,213610000,191301000
14,Depreciation and Amortization,- -,700000,1600000,2200000,3200000,5800000,7900000,17800000,28500000,33487000,36646000,24928000,23007000,22974000,24488000,31089000,35535000,35588000,32776000,34504000,33214000,33840000,36009000,35876000,51392000,41924000,41318000,42325000,263764000,284602000,292901000
15,EBITDA,- -,6300000,11400000,18200000,30200000,45700000,52000000,79600000,107500000,122907000,69332000,-10472000,40807000,112767000,135207000,175040000,169160000,189522000,-748338000,12215000,1214000,48066000,35243000,61021000,106642000,151907000,153355000,147228000,482411000,20997000,1386029000
16,EBITDA ratio,- -,0.0797,0.0848,0.1085,0.1289,0.1373,0.1275,0.1179,0.1148,0.1207,0.0726,-0.0110,0.0454,0.1039,0.1196,0.1115,0.1041,0.1074,-0.7732,0.0140,0.0013,0.0417,0.0269,0.0445,0.0682,0.0902,0.0866,0.0736,0.0987,0.0045,0.2483
17,Operating Income,- -,5700000,9600000,15500000,26300000,38400000,42300000,83400000,110600000,125817000,64825000,72224000,57163000,96976000,104470000,137287000,130939000,154710000,-683498000,-24587000,-1627000,31689000,19188000,25096000,56831000,108779000,109780000,125920000,214736000,-266506000,1137245000
18,Operating Income ratio,- -,0.0722,0.0714,0.0924,0.1123,0.1153,0.1037,0.1235,0.1181,0.1236,0.0679,0.0758,0.0636,0.0894,0.0924,0.0874,0.0806,0.0877,-0.7062,-0.0282,-0.0017,0.0275,0.0147,0.0183,0.0363,0.0646,0.0620,0.0629,0.0439,-0.0577,0.2037
19,Total Other Income Expenses (Gains),- -,-100000,200000,500000,700000,1500000,1800000,-21600000,-30600000,-36397000,-32139000,-20924000,-19563000,-22276000,-8270000,-18287000,-26139000,-24310000,-118002000,-15620000,-14673000,-22689000,-40888000,-12396000,-30041000,-29815000,-26642000,-42825000,-225351000,-210709000,-235418000
20,Income Before Tax,- -,5600000,9800000,16000000,27000000,39900000,44100000,61800000,80000000,89420000,32686000,51300000,37600000,74700000,96200000,119000000,104800000,130400000,-801500000,-40207000,-16300000,9000000,-21700000,12700000,26790000,78964000,83138000,83095000,-10615000,-477215000,901827000
21,Income Before Tax Ratio,- -,0.0709,0.0729,0.0954,0.1153,0.1199,0.1081,0.0915,0.0854,0.0878,0.0342,0.0538,0.0419,0.0689,0.0851,0.0758,0.0645,0.0739,-0.8281,-0.0462,-0.0170,0.0078,-0.0166,0.0093,0.0171,0.0469,0.0470,0.0415,-0.0022,-0.1034,0.1615
22,Income Tax expense (Gain),- -,2000000,3500000,5700000,10000000,15100000,16200000,24500000,33100000,37481000,16151000,20000000,14800000,29767000,40260000,45236000,41096000,51499000,-54524000,-13330000,-6400000,-6397000,-8854000,1490000,8972000,27937000,28414000,19989000,4775000,5563000,235968000
23,Net Income,- -,3600000,6300000,10300000,17000000,24800000,27900000,37300000,45900000,51939000,16535000,-33800000,22800000,44900000,56000000,73800000,63700000,78900000,-747000000,-26877000,-10000000,4900000,-12900000,11200000,17818000,51027000,54724000,63106000,-15390000,-482778000,665859000
24,Net Income ratio,- -,0.0456,0.0468,0.0614,0.0726,0.0745,0.0684,0.0552,0.0490,0.0510,0.0173,-0.0355,0.0254,0.0414,0.0496,0.0470,0.0392,0.0447,-0.7718,-0.0309,-0.0104,0.0042,-0.0099,0.0082,0.0114,0.0303,0.0309,0.0315,-0.0031,-0.1046,0.1193
25,EPS,- -,1.70,2.40,3.85,6.30,7.58,8.20,10.85,12.50,14.50,4.55,-9.10,6.05,11.40,13.65,18.50,16.25,20.40,-167.90,-17.07,-2.58,-3.81,-0.29,0.15,0.24,0.70,0.77,0.95,-0.12,-3.84,5.28
26,EPS Diluted,- -,1.70,2.40,3.85,6.30,7.58,8.20,10.25,12.05,14.20,4.55,-9.10,6.00,11.20,13.40,17.25,15.30,20.25,-167.90,-17.07,-2.58,-3.81,-0.29,0.15,0.24,0.70,0.77,0.94,-0.12,-3.84,5.24
27,Weighted Average Shares Outstanding,- -,2117647,2625000,2680000,2698413,3273927,3402439,3437788,3672000,3582000,3634066,3702400,3762200,3941800,4100200,3991800,3916400,3866400,4474000,18229000,18369000,18932000,44761000,73079000,73271000,72411000,70629000,66260000,125576000,125562000,126159000
28,Weighted Average Shares Outstanding Diluted,- -,2117647,2625000,2680000,2698413,3273927,3420561,3639024,3809129,3657676,3634066,3738400,3793800,3999200,4171400,4279000,4158600,3897200,4474000,18229000,18369000,18932000,44761000,74709000,73923000,72857000,70778000,66362000,125576000,125562000,127079000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883902/000095012905000342/0000950129-05-000342-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312506005498/0001193125-06-005498-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312507005444/0001193125-07-005444-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312507270478/0001193125-07-270478-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312508259832/0001193125-08-259832-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000095012309072854/0000950123-09-072854-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000095012310115513/0000950123-10-115513-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312511348916/0001193125-11-348916-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420412069401/0001144204-12-069401-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420413068730/0001144204-13-068730-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420414075333/0001144204-14-075333-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390215000009/0000883902-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390217000004/0000883902-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390217000049/0000883902-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390218000045/0000883902-18-000045-index.htm,- -,https://www.sec.gov/Archives/edgar/data/883902/000088390221000012/0000883902-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390222000014/0000883902-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5200000,3900000,6300000,17600000,20900000,32200000,4600000,16100000,2999000,21125000,9500000,14200000,8200000,200700000,25000000,75100000,68200000,90400000,77419000,79000000,55200000,77400000,66700000,99662000,65403000,65658000,143847000,98386000,674255000,394447000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,3400000,3738000,4500000,4100000,4900000,5500000,5890000,5748000,6481000,3414000,3776000,2333000,2759000
33,Cash and Short-Term Investments,- -,5200000,3900000,6300000,17600000,20900000,32200000,4600000,16100000,2999000,21125000,9500000,14200000,8200000,200700000,25000000,75100000,70800000,93800000,81157000,83500000,59300000,82300000,72200000,105552000,71151000,72139000,147261000,102162000,676588000,397206000
34,Net Receivables,- -,12200000,16600000,17100000,19100000,37700000,47000000,99300000,105600000,119368000,107981000,95000000,96600000,108900000,110100000,163800000,158400000,163000000,110500000,97815000,96700000,134000000,136500000,136900000,166800000,183240000,203514000,439532000,540206000,594028000,699830000
35,Inventory,- -,5800000,8600000,14100000,16900000,28700000,37400000,78000000,84000000,98612000,72464000,68400000,59300000,138400000,113400000,160200000,137700000,192000000,71500000,81386000,88500000,106000000,122100000,131500000,157828000,186824000,198296000,536675000,439194000,431937000,748732000
36,Other Current Assets,- -,1000000,1200000,1500000,1900000,3300000,4400000,10700000,12000000,12468000,11437000,13600000,15200000,19300000,18500000,34000000,40200000,40100000,43400000,37977000,42900000,42500000,49900000,49900000,66167000,63641000,37077000,80323000,84187000,88618000,141312000
37,Total Current Assets,- -,24200000,30300000,39000000,55500000,90600000,121000000,192600000,217700000,233447000,213007000,186500000,185300000,274800000,442700000,383000000,411400000,465900000,319200000,298335000,311600000,341800000,390800000,390500000,496347000,504856000,511026000,1203791000,1165749000,1791171000,1987080000
38,PP&E,- -,9200000,16100000,22200000,25600000,42800000,51200000,179500000,197900000,231042000,224593000,205300000,201800000,185700000,185300000,252600000,261600000,251200000,231800000,214453000,208500000,268900000,260900000,244700000,257892000,242212000,226995000,614007000,968996000,895928000,934903000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387268000,318200000,318200000,318200000,339200000,614500000,616200000,616600000,5200000,5200000,5200000,76700000,75200000,75200000,158026000,154271000,148291000,1640211000,1669594000,1194729000,1358056000
40,Intangible Assets,- -,- -,- -,1700000,1600000,22700000,21100000,413200000,398600000,395073000,- -,- -,- -,- -,- -,41600000,43900000,41700000,28400000,26312000,24300000,53000000,49000000,44900000,156395000,146769000,137148000,1669901000,1740700000,1584604000,1524635000
41,Intangible Assets,- -,- -,- -,1700000,1600000,22700000,21100000,413200000,398600000,395073000,387268000,318200000,318200000,318200000,339200000,656100000,660100000,658300000,33600000,31512000,29500000,129700000,124200000,120100000,314421000,301040000,285439000,3310112000,3410294000,2779333000,2882691000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20400000,20200000,19400000,25500000,52200000,43600000,44300000,18600000,- -,7300000,35600000,32200000,20200000,20807000,24804000,4297000,1198000,7510000,1867000,1839000
44,Other Non-Current Assets,- -,800000,300000,500000,400000,2200000,3000000,38200000,41300000,20358000,13944000,-9100000,-12300000,-15200000,-2500000,-39700000,-33600000,-39000000,10600000,16224000,4300000,-24500000,-27800000,-16800000,-9738000,-22712000,3355000,12079000,11797000,10191000,20947000
45,Total Non-Current Assets,- -,10000000,16400000,24400000,27600000,67700000,75300000,630900000,637800000,646473000,625805000,534800000,527900000,508100000,547500000,921200000,931700000,914800000,294600000,262189000,249600000,409700000,389500000,368200000,583382000,545344000,520086000,3937396000,4398597000,3687319000,3840380000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,34200000,46700000,63400000,83100000,158300000,196300000,823500000,855500000,879920000,838812000,721300000,713200000,782900000,990200000,1304200000,1343100000,1380700000,613800000,560524000,561200000,751500000,780300000,758700000,1079729000,1050200000,1031112000,5141187000,5564346000,5478490000,5827460000
48,Accounts Payable,- -,5700000,8600000,14000000,12000000,21500000,23900000,62700000,65200000,74400000,72426000,49000000,55100000,57600000,55900000,116000000,130200000,104300000,73600000,70589000,88200000,113200000,144600000,118200000,145917000,142913000,147772000,220857000,205629000,211441000,311737000
49,Short-Term Debt,- -,300000,300000,100000,100000,- -,- -,31300000,36300000,42806000,46250000,6250000,6250000,2000000,2000000,947000,22312000,920000,14645000,289000,292000,3015000,2997000,2802000,513000,460000,440000,25600000,98028000,95725000,99150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4047000,- -,- -,- -,9296000,- -,- -,- -,- -,5060000,3220000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8904000,12873000,15470000,22864000,23439000,24259000,18787000,- -,20405000,21926000,27736000,21447000,27390000,28472000,28295000,- -,- -,- -,- -
52,Other Current Liabilities,- -,3400000,5900000,8000000,11700000,17200000,20300000,40200000,55600000,50584000,44870000,51150000,48446000,75127000,76230000,111089000,105849000,105621000,71668000,79828000,65103000,81959000,76267000,103251000,147804000,154689000,139541000,403713000,344887000,359986000,444548000
53,Total Current Liabilities,- -,9400000,14800000,22100000,23800000,38700000,44200000,134200000,157100000,167790000,163546000,106400000,118700000,147600000,149600000,250900000,281800000,235100000,178700000,150706000,174000000,220100000,251600000,245700000,321624000,326534000,316048000,650170000,648544000,667152000,855435000
54,Long-Term Debt,- -,2200000,1900000,300000,300000,1700000,1700000,444400000,397100000,374448000,321250000,291100000,242500000,214700000,371000000,497000000,474700000,473500000,136100000,136305000,130700000,234400000,235400000,233000000,444147000,396051000,387290000,3085163000,3400704000,3762304000,3261904000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1400000,1400000,1300000,1300000,1800000,2600000,21300000,24000000,23574000,23673000,- -,- -,- -,- -,- -,- -,- -,- -,10947000,- -,35565000,32185000,20219000,20807000,24804000,24358000,295675000,291987000,269792000,252173000
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,20300000,20200000,19400000,25500000,57900000,46900000,48300000,26600000,261690000,17400000,12035000,8315000,13181000,21175000,21494000,-1831000,150197000,287793000,337437000,281609000
58,Total Non-Current Liabilities,- -,3600000,3200000,1600000,1600000,3400000,4300000,465700000,421100000,398022000,344923000,311400000,262700000,234100000,396500000,554900000,521600000,521800000,162700000,408942000,148100000,282000000,275900000,266400000,486129000,442349000,409817000,3531035000,3980484000,4369533000,3795686000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316208000,269000000,324211000
61,Total Liabilities,- -,13000000,18000000,23700000,25400000,42100000,48500000,599900000,578200000,565812000,508469000,417800000,381400000,381700000,546100000,805800000,803400000,756900000,341400000,559648000,322100000,502100000,527500000,512100000,807753000,768883000,725865000,4181205000,4629028000,5036685000,4651121000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,200000,186000,186000,200000,200000,200000,200000,200000,200000,200000,900000,924000,900000,900000,1500000,700000,745000,715000,687000,1256000,1261000,1255000,1270000
64,Retained Earnings,- -,10300000,16600000,26900000,43900000,68700000,96600000,133900000,179800000,231754000,239461000,205700000,228500000,273400000,329300000,403100000,462400000,541000000,-206000000,-256937000,-266900000,-369900000,-382700000,-371600000,-353733000,-302706000,-248046000,-265839000,-281229000,-764685000,-98826000
65,Other Comprehensive Income/Loss,- -,-2800000,-4200000,-6400000,-9300000,-13500000,-19300000,-28700000,-40700000,-68737000,-90490000,-107100000,-127000000,-6612000,-12674000,-1804000,357000,-1440000,-8859000,-1937000,-5485000,-6568000,-4436000,-8739000,-8280000,-10553000,-7531000,-10813000,-32398000,-51517000,-5612000
66,Other Total Stockholders Equity,- -,13700000,16300000,19200000,23100000,61000000,70500000,118400000,138000000,150905000,181186000,204659000,230051000,134189000,127318000,96913000,76739000,84069000,263624000,258826000,235795000,5040000,638394000,626181000,633244000,593861000,560137000,- -,- -,1256752000,- -
67,Total Stockholders Equity,- -,21200000,28700000,39700000,57700000,116200000,147800000,223600000,277300000,314108000,330343000,303459000,331751000,401177000,444144000,498409000,539696000,623829000,49665000,876000,-35690000,-370528000,252758000,246542000,271976000,281317000,305247000,959982000,935318000,441805000,1176339000
68,Total Liabilities And Stockholders Equity,- -,34200000,46700000,63400000,83100000,158300000,196300000,823500000,855500000,879920000,838812000,721259000,713151000,782877000,990244000,1304209000,1343096000,1380729000,391065000,560524000,286410000,131572000,780258000,758642000,1079729000,1050200000,1031112000,5141187000,5564346000,5478490000,5827460000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,49000,23000,-44000,-9000,4000,-29000,222735000,- -,274790000,619928000,42000,58000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,34200000,46700000,63400000,83100000,158300000,196300000,823500000,855500000,879920000,838812000,721300000,713200000,782900000,990200000,1304200000,1343100000,1380700000,613800000,560524000,561200000,751500000,780300000,758700000,1079729000,1050200000,1031112000,5141187000,5564346000,5478490000,5827460000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883902/000095012905000342/0000950129-05-000342-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312506005498/0001193125-06-005498-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312507005444/0001193125-07-005444-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312507270478/0001193125-07-270478-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312508259832/0001193125-08-259832-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000095012309072854/0000950123-09-072854-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000095012310115513/0000950123-10-115513-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000119312511348916/0001193125-11-348916-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420412069401/0001144204-12-069401-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420413068730/0001144204-13-068730-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000114420414075333/0001144204-14-075333-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390215000009/0000883902-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390217000004/0000883902-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390217000049/0000883902-17-000049-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/883902/000088390221000012/0000883902-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/883902/000088390222000014/0000883902-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3600000,6300000,10300000,17000000,24800000,27900000,37300000,45900000,51939000,16535000,-33800000,22800000,44900000,56000000,73800000,63700000,78900000,-747000000,-26877000,-10000000,4900000,-12900000,11200000,17818000,51027000,54724000,63106000,-15390000,-482778000,665859000
74,Depreciation and Amortization,- -,700000,1600000,2200000,3200000,5800000,7900000,17800000,28500000,33487000,36646000,24928000,23007000,22974000,24488000,31089000,35535000,35588000,32776000,34504000,33214000,33840000,36009000,35876000,51392000,41924000,41318000,42325000,263764000,284602000,292901000
75,Deferred Income Tax,- -,- -,-300000,-200000,-500000,-800000,300000,8000000,3000000,1494000,-799000,-895000,-705000,-4759000,2356000,-3179000,-7090000,266000,-24452000,43000,-6397000,2177000,-10589000,-3423000,5368000,1318000,866000,-889000,-6085000,-4319000,-59510000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13901000,4953000,6908000,9298000,14900000,10168000,9379000,10892000,10230000,11638000,14078000,17056000,29003000
77,Change in Working Capital,- -,-100000,14800000,20200000,24900000,-18400000,2200000,5057000,-16196000,30639000,-13500000,60600000,165900000,-161000000,-2500000,101200000,-90300000,7129000,-10029000,-15900000,17500000,5600000,29923000,3599000,16656000,60058000,298585000,-36416000,-53868000,-27947000,-409658000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78895000,915000,-15329000,-16719000,-3572000,-1811000,7610000,-18141000,-19582000,-35397000,-38242000,-61976000,-156066000
79,Inventory,- -,-600000,-2800000,-5000000,-2500000,-4500000,-5600000,10000000,-6000000,-13355000,16181000,4019000,10065000,-79029000,26227000,-5940000,28020000,-57025000,79362000,-9849000,-7145000,-9108000,-16090000,-9391000,4604000,-29054000,-11473000,-58534000,91822000,7927000,-311242000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30754000,150000,17569000,12047000,34559000,-26394000,11475000,-1598000,4858000,24465000,-21141000,4663000,72260000
81,Other Working Capital,- -,16900000,31700000,51900000,76800000,58400000,60600000,65657000,49461000,80100000,66600000,127200000,293100000,132100000,129600000,230800000,140500000,147629000,137600000,121700000,139200000,144800000,174723000,178322000,194978000,255036000,553621000,517205000,-35625000,-4398000,5214000
82,Other Non-Cash Items,- -,- -,-15600000,-18100000,-26600000,13100000,-9700000,41843000,32996000,-44719000,42812000,8924000,-141734000,121615000,37923000,-81396000,135780000,-81689000,830174000,9583000,212000,-8093000,6799000,-23854000,4427000,-96451000,-343364000,2699000,27109000,521803000,-734482000
83,Cash Provided by Operating Activities,- -,4200000,6800000,14400000,18000000,24500000,28600000,110000000,94200000,72840000,81694000,59757000,69268000,23730000,118267000,121514000,137625000,40194000,95370000,6306000,41437000,47722000,64142000,33566000,105040000,68768000,62359000,82463000,229608000,308417000,-215887000
84,CAPEX,- -,-5000000,-8200000,-5900000,-5800000,-34500000,-6200000,-589800000,-33300000,-28885000,-15026000,-9175000,-17912000,-9327000,-19524000,-27056000,-42041000,-24803000,-21657000,-14030000,-21040000,-28151000,-24426000,-18020000,-20683000,-21024000,-22074000,-47827000,-121085000,-81851000,-114715000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24408000,-5521000,- -,-4310000,- -,-27399000,-366598000,-20086000,- -,- -,- -,- -,-140991000,- -,- -,-247123000,-4343000,- -,-1426000,-179184000,-41841000,659057000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-400000,-4200000,-900000,-12200000,-12500000,-24400000,-8000000,3163000,4248000,5267000,3891000,3316000,1118000,308000,5764000,6113000,-19102000,-13263000,-20457000,-25159000,-23329000,-16695000,-20655000,-5607000,-10284000,-36748000,-115574000,-78282000,-109591000
89,Cash Used for Investing Activites,- -,-5000000,-8600000,-10100000,-6700000,-46700000,-18700000,-614200000,-41300000,-50130000,-16299000,-3908000,-18331000,-6011000,-45805000,-393346000,-56363000,-18690000,-19102000,-13263000,-20457000,-166150000,-23329000,-16695000,-267778000,-9950000,-10284000,-38174000,-294758000,-120123000,549466000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-235874000,-15914000,-7148000,-133486000,-69697000,-75978000,-42856000,-41430000,-46750000,-513433000,-245620000,-555620000,-886705000
91,Common Stock Issued,- -,8300000,800000,- -,100000,25500000,1300000,2500000,1000000,721000,3020000,2931000,2401000,16409000,9362000,8518000,3923000,698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20416000,-909000,-175000,-114000,- -,-40676000,-37572000,-36122000,-2226000,-451000,-381000,-1477000,-1529000,-2462000,-23798000,-3320000,-64015000,-43603000,-46705000,- -,-6428000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-3200000,-300000,-1800000,-100000,-100000,- -,474000000,-42500000,-16105000,-49380000,-70200000,-48550000,-40110000,151346000,125075000,574000,-27228000,182374000,10260000,267000,229565000,53761000,72487000,242180000,12693000,38339000,504556000,263160000,951703000,269456000
