,https://roic.ai/company/SJW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40500000,7177000,7032000,7067000,8885000,6378000,6030000,3390000,4535000,- -,12928000,14367000,15784000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100000,26000000,31300000,41000000,44377000,44146000,41374000,41031000,52437000,48266000,57069000,62006000,99578000,90255000,130246000,172047000,95262000,128108000,205961000,162711000,231819000,224794000,194012000,147344000,124846000,162723000,206711000,198134000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,249000000,259000000,275600000,307300000,338155000,358627000,376678000,410590000,434524000,484619000,523782000,556017000,646389000,735735000,818916000,850464000,897335000,969895000,1044588000,1070334000,1201211000,1267587000,1343765000,1391143000,1453667000,3010424000,3184134000,3351888000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,262500000,280500000,296500000,323200000,359380000,372427000,391930000,431017000,453223000,511717000,552152000,587709000,705864000,767326000,850877000,878474000,935362000,1038810000,1087499000,1109986000,1269304000,1340963000,1443376000,1458001000,1956389000,3132470000,3311465000,3485973000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,700000,300000,700000,2163000,476000,351000,422000,381000,2217000,870000,5120000,7267000,9268000,5758000,6562000,5487000,7417000,8481000,12587000,7001000,16196000,18739000,22960000,24937000,34886000,34200000,30391000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,1000000,1500000,- -,- -,3300000,11200000,11500000,11450000,184000,275000,332000,15985000,5622000,19105000,6881000,5133000,838000,20692000,22954000,13784000,38091000,14325000,25000000,100000000,139481000,251335000,102102000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,9100000,7200000,8200000,9591000,13066000,15191000,12237000,11769000,12675000,14206000,15492000,13994000,18064000,18460000,18515000,18535000,20033000,19934000,23654000,23909000,25336000,30509000,37092000,39048000,60200000,65260000,70778000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15200000,10800000,9000000,8900000,11754000,16842000,26742000,24159000,23600000,15076000,15351000,20944000,37246000,32954000,43323000,31958000,29155000,28288000,49107000,59195000,44694000,79623000,63573000,85052000,163985000,234567000,350795000,203271000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,76500000,75000000,75000000,90000000,90000000,90000000,110000000,110000000,139614000,143604000,145281000,163648000,216312000,216613000,246879000,295704000,343848000,335598000,334997000,384365000,380825000,433335000,431092000,431424000,1283597000,1287580000,1492935000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179000,69452000,1070000,1137000,1213000,1323000,217766000,236391000,244525000,248853000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,13300000,16100000,21900000,25541000,25947000,22563000,24611000,29704000,38207000,51422000,54100000,83347000,76378000,98713000,102381000,107961000,135036000,147579000,140736000,185506000,198775000,205203000,85795000,79651000,195598000,191415000,200451000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,71000000,76400000,83900000,88859000,95753000,108337000,122889000,136396000,152379000,157074000,171519000,193505000,204710000,237974000,243321000,178058000,266564000,279474000,252670000,293261000,80191000,83228000,148328000,143164000,528724000,564515000,554797000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,143200000,160800000,167500000,180800000,204400000,211700000,220900000,257500000,276100000,330200000,352100000,370900000,440500000,497400000,553300000,593760000,651175000,746518000,763788000,729616000,864455000,877557000,958157000,909740000,903092000,2007919000,2043510000,2248183000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,286500000,- -,- -,- -,408877000,- -,- -,515004000,552224000,660473000,704210000,- -,- -,994838000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,158500000,171600000,176500000,189600000,216231000,228533000,247605000,281663000,299724000,345349000,367461000,391801000,477682000,530392000,596551000,625718000,680330000,774806000,812895000,788811000,909149000,957180000,1021730000,994792000,1067077000,2242486000,2394305000,2451454000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,10200000,9900000,9900000,9899000,9516000,9516000,9516000,9516000,9516000,9516000,9516000,9522000,9564000,9611000,9635000,9662000,9684000,9724000,10505000,10567000,10616000,21000,21000,28000,28000,29000,30000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,72100000,76600000,88000000,96000000,104553000,113058000,116232000,122415000,128242000,138058000,148525000,160588000,186876000,195331000,204744000,207888000,219568000,227494000,236453000,244266000,280773000,302220000,338386000,376119000,393918000,383191000,408037000,428260000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95100000,-100000000,-107600000,-114900000,-122809000,-129828000,-139396000,-149721000,-161576000,-174985000,-192388000,10000000,16000000,13000000,19000000,13000000,2000000,2000000,2000000,3000000,3000000,2000000,2000000,2000000,-607090000,-962019000,-1064000,-163000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,116800000,122100000,129700000,142600000,151506000,151148000,157973000,167144000,177317000,193779000,219038000,15804000,15784000,19039000,20971000,22233000,23802000,24826000,26427000,63404000,65815000,68947000,81239000,85069000,1102456000,1468784000,510158000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,108900000,120000000,133600000,143149000,143894000,144325000,149354000,153499000,166368000,184691000,195908000,228182000,236934000,254326000,252756000,255032000,264004000,274604000,321175000,360155000,383783000,421646000,463209000,889312000,889984000,917160000,1034519000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,262500000,280500000,296500000,323200000,359380000,372427000,391930000,431017000,453223000,511717000,552152000,587709000,705864000,767326000,850877000,878474000,935362000,1038810000,1087499000,1109986000,1269304000,1340963000,1443376000,1458001000,1956389000,3132470000,3311465000,3485973000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,262500000,280500000,296500000,323200000,359380000,372427000,391930000,431017000,453223000,511717000,552152000,587709000,705864000,767326000,850877000,878474000,935362000,1038810000,1087499000,1109986000,1269304000,1340963000,1443376000,1458001000,1956389000,3132470000,3311465000,3485973000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/766829/000076682995000004/0000766829-95-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766829/000076682901500013/0000766829-01-500013-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766829/000110465907017528/0001104659-07-017528-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000114036108006293/0001140361-08-006293-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312509047816/0001193125-09-047816-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312510048821/0001193125-10-048821-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000119312511052239/0001193125-11-052239-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682912000007/0000766829-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682913000005/0000766829-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682914000012/0000766829-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682915000009/0000766829-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682916000053/0000766829-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682917000043/0000766829-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682918000058/0000766829-18-000058-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682919000063/0000766829-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682920000055/0000766829-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682921000047/0000766829-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/766829/000076682922000060/0000766829-22-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,11500000,18600000,20700000,16018000,15884000,10665000,12863000,14232000,18677000,19786000,21840000,38581000,19323000,21461000,15171000,24406000,20878000,22318000,22384000,51806000,37882000,52839000,59204000,38767000,23403000,61515000,60478000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25643000,28331000,32709000,34629000,36595000,39491000,42330000,46295000,50501000,56907000,68489000,91622000,96474000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,300000,300000,1900000,1648000,813000,-1538000,1993000,2998000,6398000,10110000,1918000,10773000,-6909000,6079000,6305000,8077000,16458000,12235000,11567000,26067000,15925000,4803000,-436000,-9486000,-1249000,-5497000,-2851000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,807000,812000,651000,564000,912000,1031000,1603000,1691000,2643000,2117000,3406000,3553000,4246000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,12400000,1200000,-4900000,2471000,-12513000,-8448000,7758000,-1169000,16923000,997000,-2271000,11481000,-23592000,-9999000,7414000,12820000,31755000,-46823000,-13347000,42942000,-29646000,42285000,-54232000,356931000,-451258000,-110943000,261613000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1670000,-2197000,-2470000,-800000,-3073000,-1276000,735000,-5377000,-1702000,- -,- -,- -,-5931000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192000,-83000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-464000,- -,-133000,933000,-21000,-449000,1550000,-337000,2888000,2130000,1946000,-357000,4843000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1700000,10700000,11900000,7000000,9471000,-3042000,-11490000,-3732000,-4901000,12022000,13019000,10748000,22229000,-1363000,-11362000,-3948000,8872000,40627000,-6196000,-19543000,23399000,-6247000,36038000,-18194000,338737000,-112521000,-223464000,38149000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,-2000000,-800000,6200000,6797000,19396000,23355000,2840000,13030000,-11000,10338000,21134000,-16311000,53209000,34251000,-884000,-37279000,-38247000,51444000,5314000,-95426000,29163000,-33841000,43432000,-353893000,487214000,63801000,-289920000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18500000,22200000,19300000,23900000,26934000,23580000,24034000,25454000,29091000,41987000,41231000,42621000,44524000,42031000,51792000,54456000,37167000,64204000,74367000,63425000,65911000,97257000,114072000,101112000,91343000,130005000,104051000,130040000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17400000,-19000000,-21100000,-24200000,-38716000,-32362000,-33765000,-48002000,-37596000,-62342000,-42263000,-51769000,-71759000,-74377000,-71537000,-64155000,-108701000,-71566000,4839000,4599000,4559000,828000,20013000,11063000,-123000,608000,-214975000,- -
