,https://roic.ai/company/NNN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-400000,-400000,-400000,-500000,-400000,-500000,-600000,-800000,-1100000,-2300000,4038721,6397000,9825000,17494000,30870000,15856000,29784000,22381000,29772000,56036000,61276000,62850000,64407000,80143000,82229000,84640000,86929000,124865000,131822000,148680000,169534000,185609000,207525000,208646000,226783000,234860000,9947000
11,COGS and Expenses,-400000,-400000,-400000,-500000,-400000,-500000,-600000,-800000,-1100000,-2300000,4038721,6397000,9825000,17494000,30870000,15856000,29784000,22381000,29772000,56036000,61276000,62850000,64407000,85022000,98321000,121246000,146912000,141934000,149922000,167585000,189308000,206461000,230630000,233745000,254439000,263222000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3748000,1375000,1513000,1511000,2232000,1493000,357000,109000,170000,322000,1810000,3112000,417000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58483000,62151000,65179000,74845000,82502000,85283000,85510000,90008000,96352000,109109000,115847000,120023000,129431000,36684000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,300000,400000,600000,1300000,2058197,3552000,5302000,6759000,8634000,9088000,9211000,11742000,13569000,17398000,22350000,24524000,32976000,45402000,48485000,49084000,58817000,75334000,99617000,116165000,134798000,149101000,173720000,174398000,188871000,196623000,205220000
15,EBITDA,1600000,1600000,1500000,1300000,1400000,1700000,1600000,2000000,4100000,10200000,15065468,23591000,36087000,39200000,43945000,47339000,38174000,59800000,67042000,79790000,108974000,195886000,181549000,219466000,164320000,187735000,226766000,292765000,345663000,392201000,432960000,484953000,547802000,582692000,608074000,554853000,654316000
16,EBITDA ratio,0.8000,0.8000,0.7895,0.7222,0.7778,0.8947,0.8421,0.7692,0.7455,0.8293,0.7320,0.7070,0.7198,0.6114,0.5741,0.5852,0.4741,0.6373,0.6531,0.6170,0.7506,1.2336,0.9722,0.9484,0.6617,0.7015,0.7293,0.8347,0.8811,0.9019,0.8966,0.9088,0.9365,0.9358,0.9069,0.8398,17.8643
17,Operating Income,2400000,2400000,2300000,2300000,2200000,2400000,2500000,3400000,6600000,14600000,16541659,26972000,41110000,43518000,51473000,65035000,50742000,69564000,72886000,73273000,83901000,94358000,120907000,145636000,120683000,134915000,164427000,197603000,239248000,266246000,288655000,309069000,337503000,424762000,416780000,374489000,449096000
18,Operating Income ratio,1.2000,1.2000,1.2105,1.2778,1.2222,1.2632,1.3158,1.3077,1.2000,1.1870,0.8038,0.8083,0.8200,0.6788,0.6725,0.8040,0.6301,0.7414,0.7100,0.5667,0.5779,0.5942,0.6475,0.6293,0.4859,0.5041,0.5288,0.5634,0.6098,0.6123,0.5977,0.5792,0.5770,0.6822,0.6216,0.5668,12.2613
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-800000,- -,- -,- -,400000,- -,-3534388,-6933000,-10325000,-3100000,5800000,-3980000,-1475000,1334000,6154000,-28684000,-33887000,-42059000,-44533000,-55539000,-60776000,-63666000,-73037000,-80270000,-83790000,-86544000,-90826000,-96745000,-108787000,-132277000,-117172000,-145693000,- -
20,Income Before Tax,- -,- -,- -,- -,1400000,- -,- -,- -,- -,- -,13007271,20039000,30785000,- -,- -,- -,- -,- -,- -,44589000,50014000,52299000,76374000,90097000,59907000,71249000,91390000,117333000,155458000,179702000,197829000,212324000,228716000,292485000,299608000,228796000,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,0.7778,- -,- -,- -,- -,- -,0.6320,0.6005,0.6140,- -,- -,- -,- -,- -,- -,0.3448,0.3445,0.3294,0.4090,0.3893,0.2412,0.2662,0.2939,0.3345,0.3962,0.4133,0.4097,0.3979,0.3910,0.4697,0.4469,0.3463,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,300000,200000,400000,- -,- -,- -,- -,- -,- -,-2542000,-2776000,-11143000,-8537000,-7501000,-1126000,475000,779000,-7086000,618000,-75000,10318000,- -,- -,- -,- -,- -,- -
23,Net Income,1600000,1600000,1500000,1300000,1300000,1400000,1300000,1600000,3500000,8900000,12707271,19839000,30385000,32441000,35311000,38251000,28963000,48058000,53473000,64934000,89400000,182505000,157110000,123082000,54810000,72997000,92325000,142015000,160145000,190601000,197836000,239500000,264973000,292447000,299180000,228799000,- -
24,Net Income ratio,0.8000,0.8000,0.7895,0.7222,0.7222,0.7368,0.6842,0.6154,0.6364,0.7236,0.6174,0.5945,0.6061,0.5060,0.4613,0.4729,0.3597,0.5122,0.5209,0.5022,0.6158,1.1494,0.8413,0.5319,0.2207,0.2728,0.2969,0.4049,0.4082,0.4383,0.4097,0.4488,0.4530,0.4697,0.4462,0.3463,- -
25,EPS,1.10,1.05,1.01,0.91,0.88,0.94,0.85,0.95,0.95,1.04,1.09,1.18,1.26,1.11,1.16,1.26,0.92,1.09,1.14,1.15,1.58,3.08,2.27,1.57,0.60,0.80,0.96,1.13,1.11,1.24,1.21,1.39,1.45,1.65,1.56,1.22,-0.01
26,EPS Diluted,1.10,1.05,1.01,0.91,0.88,0.94,0.85,0.95,0.95,1.04,1.09,1.18,1.25,1.10,1.16,1.26,0.91,1.09,1.13,1.15,1.56,3.05,2.26,1.56,0.60,0.80,0.96,1.11,1.10,1.24,1.20,1.38,1.45,1.65,1.56,1.22,-0.01
27,Weighted Average Shares Outstanding,1454545,1523810,1485149,1428571,1477273,1489362,1529412,1684211,1818182,8557692,11663672,16798918,24070697,29169371,30331327,30387371,31539857,40383405,43108213,51312434,52984821,57428063,66152437,74249137,79846258,82716000,88100000,106965000,118204000,124258000,133999000,144176000,149111000,155745000,164688000,172109713,174629442
28,Weighted Average Shares Outstanding Diluted,1454545,1523810,1485149,1428571,1477273,1489362,1529412,1684211,1818182,8557692,11663672,16798918,24220792,29397154,30408219,30407507,31717043,40588957,43896800,51742518,54640143,58079875,66407530,74521909,79953499,82849000,88837000,109118000,119865000,124710000,134489000,144661000,149433000,156296000,165084000,172217077,174738903
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000075136496000017/0000751364-96-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000075136402000031/k10_2001.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000095013305001031/w06705e10vk.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312506040125/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312507036172/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312508036431/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312509039243/0001193125-09-039243-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312510040917/0001193125-10-040917-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312511045441/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000144530512000439/0001445305-12-000439-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136413000007/0000751364-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136414000007/nnn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136415000008/nnn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136416000103/0000751364-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136417000026/0000751364-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136418000024/0000751364-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136419000024/0000751364-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136420000021/0000751364-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136421000018/0000751364-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000095017022000944/0000950170-22-000944-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300714,1410000,2160000,1442000,3329000,2190000,6974000,1737000,4364000,1947000,8234000,1675000,27499000,2626000,15225000,2048000,2082000,2076000,1485000,10604000,14260000,294540000,1364000,114267000,1112000,267236000,171322000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4139000,- -,- -,- -,- -,13096000,11721000,11626000,11115000,36000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300714,1410000,2160000,1442000,3329000,2190000,6974000,1737000,4364000,1947000,8234000,1675000,31638000,2626000,15225000,2048000,2082000,15172000,13206000,22230000,25375000,294576000,1364000,114267000,1112000,267236000,171322000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394154,812000,527000,3532000,18360000,2070000,2083000,1227000,4458000,- -,- -,- -,- -,3612000,1946000,3403000,2149000,56340000,46023000,39747000,37561000,29771000,30233000,29184000,31771000,58296000,3154000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101106000,72423000,32076000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23972000,25745000,25535000,62388000,41773000,15344000,5395000,32666000,23850000,4083000,13606000,7010000,7588000,-171322000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131316000,115339000,63062000,66619000,113285000,74573000,67372000,95602000,348197000,35680000,157057000,39893000,333120000,3154000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155956739,361444000,519724000,658757000,671684000,638179000,813552000,811773000,990094000,58049000,131074000,1740489000,2093343000,2389134000,2361144000,2519950000,3224023000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44568000,70259000,77521000,72242000,64881000,50872000,50010000,76417000,69539000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44568000,70259000,77521000,72242000,64881000,50872000,50010000,76417000,69539000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102633000,171371000,74871000,51086000,30945000,70103000,4927000,4703000,4515000,4358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123985000,109776000,126048000,139429000,3830173000,4309691000,4781821000,5292200000,5921073000,6473982000,6896371000,7318557000,7235185000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2518046000,2475623000,2650513000,3367810000,3874741000,4379950000,4859342000,5364442000,5985954000,6524854000,6946381000,7394974000,7304724000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219256676,370953000,537014000,685595000,749789000,761611000,1006628000,954108000,1208310000,1300048000,1733416000,1916785000,2539605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7747900000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219256676,370953000,537014000,685595000,749789000,761611000,1006628000,954108000,1208310000,1300048000,1733416000,1916785000,2539605000,2649362000,2590962000,2713575000,3434429000,3988026000,4454523000,4926714000,5460044000,6334151000,6560534000,7103438000,7434867000,7637844000,7751054000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448145,151000,1357000,5389000,1761000,1077000,- -,- -,- -,- -,- -,- -,155609000,26290000,25290000,185269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56736000,154807000,242271000,258681000,327933000,345689000,437338000,323132000,493321000,489804000,718290000,1026514000,962056000,948416000,1339109000,174200000,46400000,- -,- -,- -,120500000,- -,133600000,- -,3735769000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351855,1249000,-54993000,-151396000,-236632000,-252458000,-321233000,- -,-424838000,-278232000,-423021000,-420204000,-801699000,7608000,7471000,7342000,15108000,17527000,17142000,17396000,20113000,19665000,20311000,19519000,18250000,19401000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1400000,3100000,8800000,7400000,7300000,6700000,345689000,12500000,44900000,70300000,69600000,72200000,1060412000,994817000,1141027000,1354217000,191727000,63542000,17396000,20113000,19665000,140811000,19519000,151850000,19401000,3735769000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82600000,117049000,115100000,138100000,108700000,101700000,107400000,38900000,27800000,175068000,341683000,260892000,184500000,- -,- -,- -,- -,1412764000,1523659000,1741054000,1975944000,2311689000,2459707000,2851395000,2854757000,3220922000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000,13748000,6340000,1671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49000,56700000,154800000,242300000,258700000,327900000,- -,437300000,322430000,479569000,483468000,873929000,45526000,29283000,43774000,76336000,85950000,89037000,85172000,121594000,85869000,119106000,77919000,96578000,78217000,113622000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82600000,117000000,171800000,292900000,351000000,360400000,435300000,38900000,465100000,498200000,835000000,750700000,1060100000,45526000,29283000,43774000,76336000,1498714000,1612696000,1826226000,2097538000,2397558000,2578813000,2929314000,2951335000,3299139000,113622000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165214563,- -,- -,585805000,702027000,720810000,- -,98178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26041000,26041000,26041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83414563,118379000,174870000,301705000,358427000,367710000,441988000,404967000,477556000,541022000,900390000,818084000,1127652000,1105938000,1024100000,1184801000,1430553000,1690441000,1676238000,1843622000,2117651000,2417223000,2719624000,2948833000,3103185000,3318540000,3849391000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44551000,69541000,69540000,69540000,136540000,92000000,92000000,92000000,92000000,92000000,287500000,575000000,575000000,575000000,920000000,632500000,632500000,345000000,345000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116637,208000,280000,295000,303000,305000,406000,404000,500000,521000,551000,598000,725000,784000,825000,838000,1049000,1117000,1221000,1322000,1412000,1473000,1537000,1616000,1718000,1753000,1757000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2904275,-1933000,71000,-3160000,-5344000,-4853000,-14527000,-21657000,-28167000,-35188000,-20489000,80263000,137599000,143789000,62413000,3234000,-44946000,-90952000,-147837000,-196827000,-263124000,-319254000,-379181000,-424225000,-499229000,-644779000,-747853000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,2000000,2000000,1000000,2000000,-4000000,-2000000,-5000000,-9000000,-20000000,-8000000,-14000000,-6000000,-11000000,-16445000,-14956000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138629751,254299000,361793000,386755000,396403000,398449000,578761000,525843000,688880000,722125000,778485000,874104000,1174961000,1303636000,1408002000,1429411000,1958395000,2100620000,2353661000,2712020000,3048846000,3322580000,3599737000,3950359000,4495186000,4633771000,3901663000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135842113,252574000,362144000,383890000,391362000,393901000,564640000,549141000,730754000,756998000,828087000,1096505000,1407285000,1542209000,1564240000,1527483000,2002498000,2296285000,2777045000,3082515000,3342134000,3916799000,3840593000,4154250000,4331675000,4319300000,3901663000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219256676,370953000,537014000,685595000,749789000,761611000,1006628000,954108000,1208310000,1298020000,1728477000,1914589000,2534937000,2648147000,2588340000,2712284000,3433051000,3986726000,4453283000,4926137000,5459785000,6334022000,6560217000,7103083000,7434860000,7637840000,7751054000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2028000,4939000,2196000,4668000,1215000,2622000,1291000,1378000,1300000,1240000,577000,259000,129000,317000,355000,7000,4000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219256676,370953000,537014000,685595000,749789000,761611000,1006628000,954108000,1208310000,1300048000,1733416000,1916785000,2539605000,2649362000,2590962000,2713575000,3434429000,3988026000,4454523000,4926714000,5460044000,6334151000,6560534000,7103438000,7434867000,7637844000,7751054000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/751364/000075136496000017/0000751364-96-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000075136402000031/k10_2001.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/751364/000095013305001031/w06705e10vk.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312506040125/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312507036172/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312508036431/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000119312509039243/0001193125-09-039243-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312510040917/0001193125-10-040917-index.html,https://www.sec.gov/Archives/edgar/data/751364/000119312511045441/d10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000144530512000439/0001445305-12-000439-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136413000007/0000751364-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136414000007/nnn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136415000008/nnn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136416000103/0000751364-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136417000026/0000751364-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136418000024/0000751364-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136419000024/0000751364-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/751364/000075136420000021/0000751364-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000075136421000018/0000751364-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/751364/000095017022000944/0000950170-22-000944-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1400000,1300000,1600000,3500000,8900000,12707271,19839000,30385000,32441000,35311000,38251000,28963000,48058000,53473000,64934000,89400000,182505000,157110000,123082000,54810000,72997000,92325000,142015000,160145000,190601000,197836000,239500000,264973000,292447000,299180000,228799000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,300000,400000,600000,1300000,2058197,3552000,5302000,6759000,8634000,9088000,9211000,11742000,13569000,17398000,22350000,24524000,32976000,45402000,48485000,49084000,58817000,75334000,99617000,116165000,134798000,149101000,173720000,174398000,188871000,196623000,205220000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2938000,-8366000,-4590000,-5593000,-16649000,-2544000,884000,-6939000,800000,58000,10488000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2588000,4172000,122000,- -,10136000,8518000,9841000,10474000,11401000,14223000,10417000,11547000,14479000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-200000,- -,- -,- -,-800000,- -,-600000,-1700000,-5700000,1400000,100000,600000,6700000,-12500000,-32400000,-25400000,700000,-2600000,-856896000,49618000,-198487000,-209633000,1209156000,89473000,38945000,25513000,253043000,-433663000,242669000,-249495000,425676000,-4046334000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-300000,200000,-2700000,100000,-6100000,-2400000,-2837000,-5940000,-1231000,-9404000,-9721000,27369000,-82940000,-2467000,- -,- -,- -,- -,-264000,62000,16000,-335000,-74000,-175000,-203000,923000,-1464000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33698000,-3243000,41584000,968000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-100000,100000,100000,400000,100000,100000,1000000,500000,2600000,-100000,43000,-5943000,598000,2731000,2131000,-3452000,2401000,9764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-800000,-1400000,-3100000,-8800000,-7400000,-7300000,-6700000,- -,-12500000,-44900000,-70300000,-69600000,-72200000,-929096000,-879478000,-1077965000,-1287598000,-78442000,11031000,49976000,75489000,328532000,-105131000,137538000,-111957000,313719000,-3732615000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,100000,-100000,100000,-300000,600000,-625691,-575000,23000,7760000,2531000,2759000,-766000,-7795000,-223000,24860000,-52482000,-180802000,-53262000,928165000,9066000,266742000,240553000,-1201572000,-84132000,-58877000,-38014000,-237708000,402304000,-248022000,251624000,-415383000,4409539000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1600000,1500000,2100000,3800000,9500000,14139777,22216000,34010000,41260000,47876000,50198000,38008000,58705000,54319000,74792000,30930000,18561000,129634000,236748000,149502000,187914000,182946000,228130000,274421000,296733000,341095000,415337000,421557000,471909000,501727000,450194000,568425000
