,https://roic.ai/company/AES,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0815,0.1277,0.1392,0.1375,0.2696,0.2394,0.2216,0.1708,0.1902,0.1042,0.3276,0.0539,-0.4096,0.2112,0.0669,0.2698,0.2005,0.2443,0.3020,0.2706,0.1814,0.2060,0.1523,0.2034,0.2277,0.2240,0.0949,0.2059,0.3698,0.2699,0.2451,0.1279
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615000000,- -,- -,2276000000,- -,2957000000,3096000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2414,- -,- -,0.2705,- -,0.2667,0.2517,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-90300000,-84000000,-93000000,-117000000,-302000000,-569000000,-715000000,-1354000000,-2212000000,-1746000000,-1975000000,-1860000000,-2407000000,-1416000000,-585000000,-807000000,-2528000000,-1564000000,-3099000000,-1979000000,-1325000000,-1548000000,-2050000000,-1478000000,-356000000,-1152000000,-2040000000,-109000000
20,Income Before Tax,- -,- -,- -,- -,141800000,164000000,185000000,244000000,452000000,356000000,900000000,697000000,-2617000000,530000000,615000000,1097000000,689000000,1614000000,2751000000,2343000000,1044000000,2179000000,314000000,1048000000,1576000000,1122000000,137000000,771000000,2018000000,1001000000,488000000,-1064000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.2662,0.2394,0.2216,0.1729,0.1885,0.1094,0.1345,0.0747,-0.3032,0.0630,0.0648,0.0990,0.0560,0.1188,0.1712,0.1659,0.0627,0.1261,0.0173,0.0659,0.0919,0.0750,0.0101,0.0732,0.1880,0.0982,0.0505,-0.0955
22,Income Tax expense (Gain),- -,- -,- -,- -,43500000,57000000,60000000,56000000,145000000,111000000,252000000,230000000,-27000000,194000000,249000000,465000000,403000000,685000000,774000000,599000000,307000000,636000000,708000000,343000000,419000000,465000000,-188000000,990000000,708000000,352000000,216000000,-133000000
23,Net Income,15500000,42600000,55800000,71300000,100100000,107000000,125000000,185000000,311000000,228000000,641000000,273000000,-3509000000,-403000000,386000000,630000000,261000000,-95000000,1234000000,658000000,9000000,58000000,-912000000,114000000,769000000,306000000,-1130000000,-1161000000,1203000000,303000000,46000000,-409000000
24,Net Income ratio,0.0815,0.1277,0.1392,0.1375,0.1879,0.1562,0.1497,0.1311,0.1297,0.0701,0.0958,0.0293,-0.4065,-0.0479,0.0407,0.0568,0.0212,-0.0070,0.0768,0.0466,0.0005,0.0034,-0.0503,0.0072,0.0449,0.0205,-0.0832,-0.1103,0.1121,0.0297,0.0048,-0.0367
25,EPS,0.07,0.17,0.21,0.25,0.34,0.36,0.41,0.56,0.88,0.59,1.45,0.52,-6.51,-0.68,0.60,0.96,0.40,-0.14,1.84,0.99,0.01,0.07,-1.21,0.15,1.07,0.45,-1.72,-1.76,1.82,0.46,0.07,-0.62
26,EPS Diluted,0.07,0.17,0.21,0.25,0.34,0.36,0.41,0.55,0.84,0.58,1.40,0.51,-6.51,-0.68,0.60,0.95,0.39,-0.14,1.82,0.98,0.01,0.07,-1.21,0.15,1.06,0.44,-1.72,-1.76,1.81,0.45,0.07,-0.61
27,Weighted Average Shares Outstanding,221428571,250588235,265714286,285200000,294411765,297222222,308641975,333333333,355428571,383193277,442068966,525000000,539016897,592647059,643333333,656250000,652500000,668000000,669000000,667000000,769000000,778000000,755000000,743000000,718691589,680000000,656976744,660000000,660989011,667000000,657142857,657142857
28,Weighted Average Shares Outstanding Diluted,221428571,250588235,265714286,285200000,294411765,297222222,308641975,339449541,368047337,393103448,457857143,535294118,539016897,601492537,643333333,663157895,669230769,678000000,689000000,670000000,769000000,783000000,755000000,748000000,725471698,695454545,656976744,660000000,664640884,667000000,668000000,668000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874761/000091205702011424/0000912057-02-011424-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746903010240/0001047469-03-010240-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746904007896/0001047469-04-007896-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465905013802/0001104659-05-013802-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465906021893/0001104659-06-021893-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465907042479/0001104659-07-042479-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746908002833/0001047469-08-002833-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746909001899/0001047469-09-001899-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312510041006/0001193125-10-041006-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312511047720/0001193125-11-047720-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312512078654/0001193125-12-078654-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312513077580/0001193125-13-077580-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476114000011/0000874761-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476115000009/0000874761-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476116000077/0000874761-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476117000003/0000874761-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476118000014/0000874761-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476119000012/0000874761-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/0000874761-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476121000015/0000874761-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/0000874761-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,255200000,239000000,185000000,302000000,491000000,669000000,881000000,922000000,780000000,1737000000,1408000000,1810000000,2123000000,2058000000,903000000,1809000000,2554000000,1710000000,1970000000,1642000000,1539000000,1262000000,1305000000,949000000,1166000000,1029000000,1089000000,943000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1306000000,1382000000,1648000000,1730000000,1356000000,696000000,668000000,709000000,484000000,798000000,424000000,313000000,400000000,335000000,232000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,255200000,239000000,185000000,302000000,491000000,669000000,881000000,922000000,780000000,1737000000,1408000000,1810000000,2123000000,3364000000,2285000000,3457000000,4284000000,3066000000,2666000000,2310000000,2248000000,1746000000,2103000000,1373000000,1479000000,1429000000,1424000000,1175000000
34,Net Receivables,- -,- -,- -,- -,43600000,65000000,104000000,346000000,383000000,936000000,1498000000,1598000000,1264000000,1211000000,1575000000,1617000000,1903000000,2326000000,2264000000,2176000000,2389000000,2554000000,2712000000,2363000000,2709000000,2473000000,2166000000,1463000000,1595000000,1479000000,1300000000,1418000000
35,Inventory,- -,- -,- -,- -,23100000,36000000,81000000,95000000,119000000,307000000,499000000,626000000,384000000,376000000,418000000,460000000,518000000,480000000,574000000,569000000,600000000,789000000,769000000,684000000,702000000,675000000,630000000,562000000,577000000,487000000,461000000,604000000
36,Other Current Assets,- -,- -,- -,- -,113800000,85000000,132000000,447000000,261000000,675000000,2695000000,1507000000,1921000000,1562000000,1537000000,1345000000,2021000000,2166000000,2203000000,2585000000,2173000000,2819000000,2318000000,2382000000,2167000000,1972000000,1512000000,3000000000,1364000000,1836000000,2229000000,2159000000
37,Total Current Assets,- -,- -,- -,- -,435700000,425000000,502000000,1190000000,1254000000,2587000000,5573000000,4653000000,4349000000,4886000000,4938000000,5232000000,6565000000,8336000000,7326000000,8787000000,9446000000,9228000000,8465000000,7739000000,7826000000,6866000000,6411000000,6398000000,5015000000,5231000000,5414000000,5356000000
38,PP&E,- -,- -,- -,- -,1183100000,1550000000,2220000000,4149000000,5504000000,13447000000,17846000000,23434000000,18846000000,18505000000,18788000000,18654000000,19074000000,20020000000,21393000000,24297000000,24621000000,25731000000,25913000000,25112000000,25151000000,22816000000,22847000000,20296000000,21396000000,22574000000,22826000000,19906000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1416000000,1421000000,1299000000,1271000000,3733000000,1999000000,1622000000,1458000000,1157000000,1157000000,1059000000,1059000000,1059000000,1061000000,1177000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000000,500000000,510000000,516000000,566000000,429000000,297000000,281000000,214000000,359000000,366000000,436000000,469000000,827000000,1450000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,23000000,- -,795000000,2307000000,3208000000,1388000000,1378000000,1378000000,1428000000,1724000000,1921000000,1921000000,1809000000,1787000000,4299000000,2428000000,1919000000,1739000000,1371000000,1516000000,1425000000,1495000000,1528000000,1888000000,2627000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000000,901000000,1157000000,1320000000,1422000000,1196000000,1010000000,537000000,610000000,621000000,1197000000,1114000000,966000000,835000000,1080000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000000,567000000,604000000,646000000,715000000,996000000,666000000,662000000,543000000,781000000,130000000,97000000,156000000,288000000,409000000
44,Other Non-Current Assets,- -,- -,- -,- -,296100000,345000000,900000000,3547000000,4023000000,4051000000,5307000000,5441000000,9193000000,5135000000,4628000000,4118000000,3800000000,2786000000,2698000000,2881000000,2691000000,3938000000,2832000000,3965000000,3051000000,4644000000,3943000000,3666000000,3404000000,3193000000,3352000000,3585000000
45,Total Non-Current Assets,- -,- -,- -,- -,1479200000,1895000000,3120000000,7719000000,9527000000,18293000000,25460000000,32083000000,29427000000,25018000000,24794000000,24200000000,24598000000,26117000000,27480000000,30748000000,31065000000,36105000000,33365000000,32672000000,31140000000,29984000000,29708000000,26714000000,27506000000,28417000000,29189000000,27607000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1914900000,2320000000,3622000000,8909000000,10781000000,20880000000,31033000000,36736000000,33776000000,29904000000,29732000000,29432000000,31163000000,34453000000,34806000000,39535000000,40511000000,45333000000,41830000000,40411000000,38966000000,36850000000,36119000000,33112000000,32521000000,33648000000,34603000000,32963000000
48,Accounts Payable,- -,- -,- -,- -,12300000,33000000,64000000,205000000,215000000,381000000,708000000,819000000,1139000000,1225000000,1143000000,1104000000,892000000,1073000000,1042000000,1217000000,2060000000,2020000000,2638000000,2259000000,2278000000,1721000000,1656000000,1371000000,1329000000,1311000000,1156000000,1153000000
49,Short-Term Debt,- -,- -,- -,- -,60800000,134000000,198000000,596000000,1413000000,1216000000,2465000000,2672000000,3341000000,2846000000,1760000000,1798000000,1453000000,1365000000,1228000000,1973000000,3040000000,2457000000,2854000000,2180000000,2133000000,2529000000,1303000000,2164000000,1659000000,1868000000,1430000000,1367000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,253000000,257000000,266000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000000,85000000
52,Other Current Liabilities,- -,- -,- -,- -,34400000,61000000,120000000,403000000,348000000,973000000,1709000000,1550000000,2031000000,2416000000,1919000000,2504000000,2684000000,3044000000,2912000000,3431000000,2965000000,3969000000,2827000000,3214000000,2586000000,2700000000,2313000000,2493000000,1411000000,1917000000,2338000000,2127000000
53,Total Current Liabilities,- -,- -,- -,- -,107500000,228000000,382000000,1204000000,1976000000,2570000000,4882000000,5041000000,6511000000,6487000000,4822000000,5406000000,5029000000,5482000000,5182000000,6621000000,8065000000,8446000000,8319000000,7653000000,6997000000,6950000000,5272000000,6028000000,4399000000,5096000000,5362000000,4732000000
54,Long-Term Debt,- -,- -,- -,- -,1144100000,1223000000,2008000000,4585000000,5241000000,12136000000,15699000000,19586000000,16706000000,16792000000,16823000000,15908000000,14892000000,16629000000,16863000000,17943000000,16693000000,20116000000,18519000000,18869000000,18725000000,18278000000,19160000000,17801000000,17636000000,18305000000,18451000000,17332000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,73300000,149000000,243000000,273000000,268000000,1787000000,1632000000,1904000000,981000000,1051000000,685000000,721000000,790000000,1197000000,1132000000,1090000000,895000000,1328000000,1238000000,1119000000,1277000000,1090000000,804000000,1006000000,1280000000,1213000000,1100000000,977000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,268000000,1366000000,1502000000,1750000000,4009000000,4666000000,9919000000,4929000000,5549000000,5748000000,7525000000,7981000000,7960000000,5001000000,4445000000,5714000000,6240000000,5119000000,4642000000,4361000000,5183000000,3432000000,3602000000,3805000000,4970000000,5355000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,1217400000,1372000000,2519000000,6224000000,7011000000,15673000000,21340000000,26156000000,27606000000,22772000000,23057000000,22377000000,23207000000,25807000000,25955000000,24034000000,22033000000,27158000000,25997000000,25107000000,24644000000,23729000000,25147000000,22239000000,22518000000,23323000000,24521000000,23664000000
59,Other Liabilities,- -,- -,- -,- -,2439800000,2757000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,1329900000,1613000000,2688000000,6353000000,7705000000,17095000000,24840000000,29667000000,33299000000,28454000000,26482000000,26172000000,25027000000,31289000000,31137000000,30655000000,30098000000,35604000000,34316000000,32760000000,31641000000,30679000000,30419000000,28267000000,26917000000,28419000000,29883000000,28396000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825000000
63,Common Stock,- -,- -,- -,- -,700000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,7000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000
64,Retained Earnings,- -,- -,- -,- -,164300000,271000000,396000000,581000000,892000000,1120000000,1761000000,2809000000,-700000000,-1103000000,-813000000,-1214000000,-1025000000,-1241000000,-8000000,650000000,620000000,678000000,-264000000,-150000000,512000000,143000000,-1146000000,-2276000000,-1005000000,-692000000,-680000000,-1089000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-161900000,-222000000,-282000000,-373000000,-525000000,-763000000,-1304000000,-3314000000,-4959000000,-3995000000,-3890000000,-3661000000,-2600000000,-2378000000,-3018000000,-2724000000,-2383000000,-2758000000,-2920000000,-2882000000,-3286000000,-3883000000,-2756000000,-1876000000,-2071000000,-2229000000,-2397000000,-2220000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,581900000,657000000,819000000,2346000000,2707000000,3426000000,5731000000,7569000000,5312000000,5737000000,6341000000,6517000000,6654000000,6776000000,6688000000,6742000000,8228000000,8018000000,7745000000,7354000000,7038000000,6881000000,6688000000,6609000000,6276000000,5909000000,5703000000,5274000000
67,Total Stockholders Equity,- -,- -,- -,- -,585000000,707000000,934000000,2556000000,3076000000,3785000000,6193000000,7069000000,-341000000,645000000,1645000000,1649000000,3036000000,3164000000,3669000000,4675000000,6473000000,5946000000,4569000000,4330000000,4272000000,3149000000,2794000000,2465000000,3208000000,2996000000,2634000000,2798000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1914900000,2320000000,3622000000,8909000000,10781000000,20880000000,31033000000,36736000000,32958000000,29099000000,28127000000,27821000000,28063000000,34453000000,34806000000,35330000000,36571000000,41550000000,38885000000,37090000000,35913000000,33828000000,33213000000,30732000000,30125000000,31415000000,32517000000,31194000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000000,805000000,1605000000,1611000000,3100000000,- -,- -,4205000000,3940000000,3783000000,2945000000,3321000000,3053000000,3022000000,2906000000,2380000000,2396000000,2233000000,2086000000,1769000000
70,Total Liabilities & Equity,- -,- -,- -,- -,1914900000,2320000000,3622000000,8909000000,10781000000,20880000000,31033000000,36736000000,33776000000,29904000000,29732000000,29432000000,31163000000,34453000000,34806000000,39535000000,40511000000,45333000000,41830000000,40411000000,38966000000,36850000000,36119000000,33112000000,32521000000,33648000000,34603000000,32963000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874761/000091205702011424/0000912057-02-011424-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746903010240/0001047469-03-010240-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746904007896/0001047469-04-007896-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465905013802/0001104659-05-013802-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465906021893/0001104659-06-021893-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000110465907042479/0001104659-07-042479-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746908002833/0001047469-08-002833-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000104746909001899/0001047469-09-001899-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312510041006/0001193125-10-041006-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312511047720/0001193125-11-047720-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312512078654/0001193125-12-078654-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000119312513077580/0001193125-13-077580-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476114000011/0000874761-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476115000009/0000874761-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476116000077/0000874761-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476117000003/0000874761-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476118000014/0000874761-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476119000012/0000874761-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/0000874761-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476121000015/0000874761-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/0000874761-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,100100000,107000000,125000000,185000000,311000000,228000000,641000000,273000000,-3509000000,-403000000,386000000,630000000,261000000,-95000000,1234000000,658000000,9000000,58000000,-912000000,114000000,769000000,306000000,-1130000000,-1161000000,1203000000,303000000,46000000,-409000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942000000,1001000000,1049000000,1178000000,1262000000,1394000000,1294000000,1245000000,1144000000,1176000000,1169000000,1003000000,1045000000,1068000000,1056000000
75,Deferred Income Tax,- -,- -,- -,- -,38600000,48000000,26000000,20000000,67000000,-195000000,45000000,47000000,-315000000,-105000000,46000000,100000000,-37000000,- -,- -,15000000,-418000000,-199000000,162000000,-158000000,47000000,-50000000,-793000000,672000000,313000000,-8000000,-233000000,-406000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-15800000,-131200000,-77000000,-134000000,-708000000,739000000,674000000,-1079000000,-1774000000,561000000,1717000000,-290000000,1710000000,1318000000,-710000000,22000000,-785000000,-599000000,-636000000,-60000000,743000000,-913000000,1223000000,-769000000,246000000,-481000000,-83000000,-1362000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-306000000,-451000000,62000000,-98000000,-236000000,-241000000,146000000,-520000000,-378000000,237000000,-177000000,-206000000,73000000,48000000,-170000000
79,Inventory,- -,- -,- -,- -,300000,- -,- -,- -,- -,-32000000,-84000000,-10000000,129000000,-2000000,-33000000,-73000000,-24000000,-26000000,-93000000,-34000000,10000000,-141000000,24000000,16000000,-48000000,-26000000,42000000,-28000000,-36000000,28000000,-20000000,-93000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-398000000,260000000,- -,- -,322000000,330000000,-725000000,-85000000,31000000,-620000000,163000000,62000000,-6000000,-186000000,-251000000
81,Other Working Capital,- -,- -,- -,- -,328200000,197000000,120000000,-14000000,-722000000,17000000,691000000,-388000000,-2162000000,-1601000000,116000000,-174000000,1536000000,2854000000,2144000000,2166000000,1381000000,782000000,146000000,86000000,829000000,-84000000,1139000000,370000000,616000000,135000000,52000000,-314000000
82,Other Non-Cash Items,- -,- -,- -,- -,40600000,173200000,108000000,122000000,858000000,-575000000,-901000000,2450000000,7106000000,1589000000,-577000000,1725000000,477000000,192000000,640000000,469000000,3526000000,2362000000,2893000000,1525000000,-1013000000,1647000000,2408000000,2578000000,-422000000,1607000000,1957000000,3023000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,163500000,197000000,182000000,193000000,528000000,197000000,459000000,1691000000,1508000000,1642000000,1572000000,2165000000,2411000000,2357000000,2165000000,2213000000,3510000000,2884000000,2901000000,2715000000,1791000000,2134000000,2884000000,2489000000,2343000000,2466000000,2755000000,1902000000
84,CAPEX,- -,- -,- -,- -,-9700000,-158000000,-506000000,-511000000,-517000000,-834000000,-2150000000,-3173000000,-2116000000,-1228000000,-892000000,-1143000000,-1460000000,-2425000000,-2840000000,-2520000000,-2310000000,-2430000000,-2236000000,-1988000000,-2016000000,-2308000000,-2345000000,-2177000000,-2121000000,-2405000000,-1900000000,-2116000000
