,https://roic.ai/company/BC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,85726496,83560606,88842105,87772727,88024691,88625000,87777778,93928571,96250000,95689655,96363636,98829787,100300000,99000000,92600000,88700000,88100000,90700000,91900000,97300000,98800000,94700000,90200000,88300000,88400000,88700000,92200000,92400000,93800000,95100000,94300000,92000000,90100000,88200000,81900000,79700000,79700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493095000003/0000014930-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493096000002/0000014930-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14930/000095013197002142/0000950131-97-002142-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013199001700/0000950131-99-001700-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013101001498/0000950131-01-001498-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013704001426/c83280e10vk.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493005000066/form10k2004.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493006000041/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493007000052/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493008000028/form10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493011000033/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493012000028/0000014930-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493013000059/0000014930-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493014000039/bc2013123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493015000050/bc2014123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000162828016011325/0001628280-16-011325-index.html,https://www.sec.gov/Archives/edgar/data/1657250/000169082417000004/0001690824-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493018000056/0000014930-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493019000054/0000014930-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493020000027/0000014930-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493021000029/0000014930-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493022000041/0000014930-22-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,104600000,12200000,3100000,31600000,21700000,84600000,102100000,195500000,248800000,185200000,344300000,238500000,85600000,126100000,100800000,125200000,108500000,351400000,345900000,499800000,487700000,283400000,331400000,317500000,526600000,551400000,338200000,284300000,356500000,552700000,657300000,422400000,448800000,294400000,320300000,519600000,354500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84700000,76700000,92300000,12700000,83200000,11500000,35800000,800000,800000,800000,56700000,800000
33,Cash and Short-Term Investments,104600000,12200000,3100000,31600000,21700000,84600000,102100000,195500000,248800000,185200000,344300000,238500000,85600000,126100000,100800000,125200000,108500000,351400000,345900000,499800000,487700000,283400000,331400000,317500000,526600000,636100000,414900000,376600000,369200000,635900000,668800000,458200000,449600000,295200000,321100000,576300000,355300000
34,Net Receivables,143500000,181800000,206500000,184900000,184000000,173600000,181400000,160100000,168900000,218900000,257700000,326900000,457400000,420800000,515700000,477300000,361900000,407300000,374400000,463200000,522400000,492300000,572400000,444800000,332400000,327300000,346200000,349200000,364600000,386500000,398100000,417300000,480200000,550700000,331800000,337600000,485300000
35,Inventory,252200000,374800000,383800000,462300000,404600000,359600000,353900000,305900000,321400000,409000000,411400000,444900000,566300000,645500000,623300000,510700000,557400000,546900000,623800000,786800000,874600000,861900000,906700000,811700000,484900000,527500000,532600000,575800000,599300000,652300000,685000000,762100000,765600000,943700000,824500000,711800000,1208000000
36,Other Current Assets,73000000,64900000,71900000,108000000,169000000,193100000,187800000,203400000,210600000,244400000,264200000,231500000,256700000,262000000,338400000,718600000,373100000,354600000,371100000,348900000,350300000,440800000,303800000,162900000,114800000,44900000,62400000,58500000,175500000,293100000,233000000,50900000,151300000,90600000,48400000,44800000,76000000
37,Total Current Assets,573300000,633700000,665300000,786800000,779300000,810900000,825200000,864900000,949700000,1057500000,1277600000,1241800000,1366000000,1454400000,1578200000,1831800000,1400900000,1660200000,1715200000,2098700000,2235000000,2078400000,2114300000,1736900000,1458700000,1535800000,1356100000,1360100000,1508600000,1967800000,1984900000,1688500000,1846700000,1880200000,1525800000,1670500000,2124600000
38,PP&E,322700000,463100000,531900000,630500000,637300000,578600000,564000000,535000000,544300000,565400000,598900000,685400000,783000000,845100000,881800000,803200000,805600000,792700000,827100000,876400000,970200000,1014900000,1052800000,917600000,724300000,630200000,585500000,581400000,617800000,460300000,505200000,645300000,659500000,805300000,879600000,946600000,1139700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474400000,452800000,- -,- -,- -,663600000,678900000,290900000,292500000,290900000,290300000,291700000,291700000,296900000,298700000,413800000,425300000,767100000,415000000,417700000,888400000
40,Intangible Assets,66600000,729400000,289200000,286300000,148700000,125900000,186500000,209200000,224400000,253800000,281400000,352400000,842200000,820500000,658400000,507900000,128900000,117500000,699700000,952800000,1023100000,322600000,245600000,86600000,75600000,56700000,49200000,38100000,35400000,45500000,55100000,164800000,144400000,646400000,583500000,552300000,1052100000
41,Intangible Assets,66600000,729400000,289200000,286300000,148700000,125900000,186500000,209200000,224400000,253800000,281400000,352400000,842200000,820500000,658400000,507900000,603300000,570300000,699700000,952800000,1023100000,986200000,924500000,377500000,368100000,347600000,339500000,329800000,327100000,342400000,353800000,578600000,569700000,1413500000,998500000,970000000,1940500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000000,143000000,132000000,75400000,56700000,74700000,140600000,94500000,41300000,19000000,21500000,20700000,25000000,34600000,29500000,32500000,43800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377000000,290900000,239700000,307800000,165600000,96100000,118700000,136600000,146000000
44,Other Non-Current Assets,39600000,48700000,409900000,388400000,419500000,379900000,281200000,298900000,265300000,245600000,202600000,522800000,250200000,231500000,236400000,253600000,347700000,383900000,360500000,418500000,252200000,227800000,142000000,116500000,101600000,89700000,72300000,58400000,44000000,54000000,47400000,43800000,91700000,56000000,12300000,14400000,30400000
45,Total Non-Current Assets,428900000,1241200000,1231000000,1305200000,1205500000,1084400000,1031700000,1043100000,1034000000,1064800000,1082900000,1560600000,1875400000,1897100000,1776600000,1564700000,1756600000,1746900000,1887300000,2247700000,2386500000,2371900000,2251300000,1487000000,1250700000,1142200000,1137900000,1064100000,1407200000,1166600000,1167600000,1596200000,1511500000,2405500000,2038600000,2100100000,3300400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1002200000,1874900000,1896300000,2092000000,1984800000,1895300000,1856900000,1908000000,1983700000,2122300000,2360500000,2802400000,3241400000,3351500000,3354800000,3396500000,3157500000,3407100000,3602500000,4346400000,4621500000,4450300000,4365600000,3223900000,2709400000,2678000000,2494000000,2424200000,2915800000,3134400000,3152500000,3284700000,3358200000,4285700000,3564400000,3770600000,5425000000
48,Accounts Payable,- -,- -,- -,- -,167100000,129600000,118000000,106800000,122800000,157300000,154800000,202400000,252900000,286100000,310700000,238600000,214500000,291200000,321300000,387900000,472200000,448600000,437300000,301300000,261200000,288200000,282000000,334400000,315600000,317400000,339100000,392700000,409700000,527800000,393500000,457600000,693500000
49,Short-Term Debt,13500000,5700000,2400000,7400000,10800000,5800000,6300000,16000000,11900000,8200000,6100000,112600000,109300000,170100000,107700000,172700000,40000000,28900000,23800000,10700000,1100000,700000,800000,3200000,11500000,2200000,2400000,8200000,6400000,5500000,6000000,5900000,5600000,41300000,59700000,62300000,63200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,10500000,12200000,7900000,7200000,7000000,6400000,5800000,4500000,15500000,33100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74500000,- -,- -,- -,45800000,46800000,52400000,57700000,57200000,64200000,65200000,84300000,38700000,48200000,61400000
52,Other Current Liabilities,282500000,413100000,503100000,546500000,385200000,396000000,415000000,380100000,467200000,455800000,519500000,516100000,586000000,580200000,670000000,836600000,648200000,685500000,756700000,855200000,831900000,843900000,783600000,696700000,633900000,661200000,577900000,547800000,508700000,519500000,505800000,502100000,554600000,603100000,452500000,511100000,624100000
53,Total Current Liabilities,296000000,418800000,505500000,553900000,563100000,531400000,539300000,502900000,601900000,621300000,680400000,831100000,948200000,1036400000,1088400000,1247900000,902700000,1005600000,1101800000,1253800000,1305200000,1293200000,1296200000,1001200000,906600000,951600000,908100000,937200000,883100000,900100000,908100000,964900000,1035100000,1256500000,944400000,1079200000,1442200000
54,Long-Term Debt,97600000,659600000,395400000,413300000,462200000,301500000,315900000,304500000,324500000,318800000,312800000,455400000,645500000,635400000,622500000,601800000,600200000,589500000,583800000,728400000,723700000,725700000,727400000,728500000,839400000,828400000,690400000,563600000,453400000,450200000,442500000,436500000,431800000,1179500000,1068000000,978100000,1854500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,47500000,67100000,103000000,128000000,145300000,182500000,182900000,175400000,103900000,133800000,157800000,155600000,144300000,165100000,131900000,215400000,185200000,144100000,- -,180300000,147500000,86300000,12300000,25000000,10100000,71600000,81800000,92700000,- -,3200000,12300000,2500000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,37900000,38600000,43500000,47000000,38100000,55900000,40100000,102700000,149000000,137700000,166400000,162600000,188400000,203300000,211800000,264300000,358500000,566100000,593900000,471600000,466300000,473300000,436800000,739300000,743000000,756000000,782800000,753000000,540900000,609400000,508300000,440700000,408400000,267100000,251100000,203300000,214100000
58,Total Non-Current Liabilities,183000000,765300000,541900000,588300000,645600000,539900000,538900000,582600000,577400000,590300000,637000000,773600000,978200000,1003800000,966200000,1081500000,1143900000,1299700000,1177700000,1380300000,1337500000,1285300000,1176500000,1492800000,1592500000,1656000000,1555000000,1409300000,994300000,1062800000,963100000,879700000,840200000,1446600000,1319100000,1181400000,2068600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88500000,89000000,101300000
61,Total Liabilities,479000000,1184100000,1047400000,1142200000,1208700000,1071300000,1078200000,1085500000,1179300000,1211600000,1317400000,1604700000,1926400000,2040200000,2054600000,2329400000,2046600000,2305300000,2279500000,2634100000,2642700000,2578500000,2472700000,2494000000,2499100000,2607600000,2463100000,2346500000,1877400000,1962900000,1871200000,1844600000,1875300000,2703100000,2263500000,2260600000,3510800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000,76900000
64,Retained Earnings,482500000,568600000,709400000,865900000,755500000,787600000,734700000,667300000,648500000,735500000,814800000,951300000,1052200000,1189500000,1181500000,1041400000,1079400000,1112700000,1202000000,1413700000,1741900000,1820700000,1888400000,1095900000,505300000,390300000,457700000,503200000,1263300000,1467300000,1660400000,1881000000,1966800000,2135700000,1931300000,2225700000,2720100000
65,Other Comprehensive Income/Loss,-294800000,-328800000,-385200000,-432200000,-522200000,-550300000,-595600000,-571400000,-595000000,-643300000,-608300000,-670300000,-656700000,-699000000,-762200000,-756800000,-803800000,-168000000,-82300000,-60600000,-72300000,-89000000,-52700000,-432300000,-374800000,-415500000,-540800000,-555100000,-401500000,-480500000,-474100000,-434600000,-359800000,-363100000,-53400000,-42700000,-31500000
66,Other Total Stockholders Equity,335500000,451000000,524700000,516100000,542800000,586700000,639600000,726600000,750900000,818500000,836600000,916700000,919500000,820800000,804000000,705600000,758400000,80200000,126400000,282300000,232300000,63200000,-19700000,- -,- -,18700000,37100000,52700000,99700000,107800000,18100000,-83200000,-201000000,-266900000,-653900000,-749900000,- -
67,Total Stockholders Equity,523200000,690800000,848900000,949800000,776100000,824000000,778700000,822500000,804400000,910700000,1043100000,1197700000,1315000000,1311300000,1300200000,1067100000,1110900000,1101800000,1323000000,1712300000,1978800000,1871800000,1892900000,729900000,210300000,70400000,30900000,77700000,1038400000,1171500000,1281300000,1440100000,1482900000,1582600000,1300900000,1510000000,1914200000
68,Total Liabilities And Stockholders Equity,1002200000,1874900000,1896300000,2092000000,1984800000,1895300000,1856900000,1908000000,1983700000,2122300000,2360500000,2802400000,3241400000,3351500000,3354800000,3396500000,3157500000,3407100000,3602500000,4346400000,4621500000,4450300000,4365600000,3223900000,2709400000,2678000000,2494000000,2424200000,2915800000,3134400000,3152500000,3284700000,3358200000,4285700000,3564400000,3770600000,5425000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1002200000,1874900000,1896300000,2092000000,1984800000,1895300000,1856900000,1908000000,1983700000,2122300000,2360500000,2802400000,3241400000,3351500000,3354800000,3396500000,3157500000,3407100000,3602500000,4346400000,4621500000,4450300000,4365600000,3223900000,2709400000,2678000000,2494000000,2424200000,2915800000,3134400000,3152500000,3284700000,3358200000,4285700000,3564400000,3770600000,5425000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493095000003/0000014930-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493096000002/0000014930-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14930/000095013197002142/0000950131-97-002142-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013199001700/0000950131-99-001700-index.html,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013101001498/0000950131-01-001498-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000095013704001426/c83280e10vk.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493005000066/form10k2004.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493006000041/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493007000052/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493008000028/form10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/14930/000001493011000033/form10_k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493012000028/0000014930-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493013000059/0000014930-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493014000039/bc2013123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493015000050/bc2014123110k.htm,https://www.sec.gov/Archives/edgar/data/14930/000162828016011325/0001628280-16-011325-index.html,https://www.sec.gov/Archives/edgar/data/1657250/000169082417000004/0001690824-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493018000056/0000014930-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493019000054/0000014930-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493020000027/0000014930-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/14930/000001493021000029/0000014930-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/14930/000001493022000041/0000014930-22-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-71300000,70900000,-23700000,-26300000,23100000,129000000,127200000,185800000,150500000,186300000,37900000,-95800000,81800000,78400000,135200000,269800000,385400000,133900000,111600000,-788100000,-586200000,-110600000,71900000,50000000,769200000,245700000,241400000,276000000,146400000,265300000,-131000000,372700000,593300000
74,Depreciation and Amortization,- -,- -,- -,- -,159800000,145600000,133400000,115900000,117800000,119800000,120500000,129700000,156900000,159700000,165600000,148800000,160400000,148400000,150600000,157500000,162200000,167300000,180100000,177200000,157300000,129300000,104500000,90000000,87500000,81200000,88900000,103900000,98200000,149600000,138700000,153400000,178100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236200000,-8000000,5600000,-3300000,10700000,-577500000,47500000,55000000,82700000,82500000,37400000,64600000,-11500000,-3800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,19200000,17300000,27100000,29700000
