,https://roic.ai/company/DRE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.2034,0.2439,0.0968,-0.0190,-0.0390,-0.0952,-0.0395,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2107,0.0203,-0.0033,-0.0792,0.0522,0.1933,0.1951,0.3466,0.3717,0.4138,0.4528,0.2996,0.7959
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6070000,-1126000,-194000,-103000,-5080000,-844000,-3928000,-589000,-357000,8828000,8686000,-5112000,18549000
23,Net Income,1200000,2000000,900000,-300000,-600000,-1600000,-700000,5000000,26216000,35019000,53431000,78484000,110704000,182240000,261939000,282409000,206325000,199232000,188701000,355662000,204147000,279467000,113996000,-260150000,65798000,95565000,-73977000,190592000,243588000,615310000,312143000,1634431000,383729000,428972000,299915000,852895000
24,Net Income ratio,0.2034,0.2439,0.0968,-0.0190,-0.0390,-0.0952,-0.0395,0.1253,0.2431,0.2665,0.2934,0.3113,0.2965,0.3091,0.3296,0.3513,0.2645,0.2522,0.2256,0.4513,0.2246,0.3027,0.1144,-0.1936,0.0472,0.0750,-0.0667,0.1762,0.2091,0.6481,0.3460,2.0929,0.4048,0.4405,0.3020,0.7712
25,EPS,2.40,4.00,0.47,-0.07,-0.15,-0.39,-0.17,0.23,0.77,0.77,0.91,0.99,1.13,1.33,1.68,1.77,1.20,1.19,1.07,2.19,1.08,1.56,0.39,-1.67,-0.07,0.11,-0.48,0.47,0.60,1.77,0.89,4.58,1.07,1.18,0.81,2.27
26,EPS Diluted,2.40,4.00,0.47,-0.07,-0.15,-0.39,-0.17,0.23,0.77,0.77,0.91,0.98,1.12,1.32,1.66,1.75,1.19,1.19,1.06,2.17,1.07,1.55,0.38,-1.67,-0.07,0.11,-0.48,0.47,0.60,1.77,0.88,4.56,1.07,1.18,0.80,2.24
27,Weighted Average Shares Outstanding,500000,500000,1900000,4100000,4100000,4100000,4100000,33333333,34278000,45358000,56134000,66427000,80704000,104884000,126836000,129660000,133981000,135595000,141379000,141508000,134883000,139255000,146915000,201206000,238920000,285600000,267900000,322133000,335777000,345057000,349942000,355762000,357569000,362234000,370057000,379220000
28,Weighted Average Shares Outstanding Diluted,500000,500000,1900000,4100000,4100000,4100000,4100000,33333333,34278000,45358000,56134000,74993000,92468000,120511000,147441000,151710000,150839000,151141000,157062000,155877000,149393000,149614000,155041000,201206000,238920000,285600000,267900000,326712000,340446000,352197000,357076000,362011000,363297000,367339000,374156000,384624000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/0000783280-97-000039-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/000110465902000746/j3192_10k405.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465903004907/j8375_10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465904006524/a04-2962_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465905009494/a05-1765_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465906014364/a06-1916_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465907015612/a07-5490_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465908014097/a08-2526_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312509037302/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312510044034/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312511047257/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328012000004/dre10k2011.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328013000004/a201210kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000144530514000524/a201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328015000018/a201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328016000080/a10k2015.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328017000012/a10k2016.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328018000012/a10k2017.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328019000010/a10k2018.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328020000010/a10k2019.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328021000012/0000783280-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328022000010/0000783280-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,100000,300000,- -,- -,200000,- -,10100000,40433000,5727000,5300000,10353000,6950000,18765000,39191000,9483000,17414000,12632000,5589000,26732000,68483000,48012000,22532000,147322000,18384000,213809000,33889000,19275000,17922000,22533000,12639000,67562000,17901000,110891000,6309000,69752000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,100000,300000,- -,- -,200000,- -,10100000,40433000,5727000,5300000,10353000,6950000,18765000,39191000,9483000,17414000,12632000,5589000,26732000,68483000,48012000,22532000,147322000,18384000,213809000,33889000,19275000,17922000,22533000,12639000,67562000,17901000,110891000,6309000,69752000
34,Net Receivables,500000,1400000,600000,900000,700000,400000,300000,1200000,11735000,14646000,29200000,43378000,59135000,86151000,99360000,95970000,90658000,132169000,165966000,145983000,170087000,206671000,226283000,171293000,155181000,168402000,182340000,163633000,193864000,152086000,146736000,552569000,437353000,285300000,199730000,242932000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67946000,144651000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198009000,275256000,283075000,455085000,289402000,320840000,182028000,252474000,303066000,332197000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248815000,318615000,173565000,382211000,414238000,458164000,494861000,629704000,448777000,940971000,637282000,648665000,577051000,789532000
38,PP&E,69100000,66300000,121700000,123700000,123000000,120000000,115000000,569100000,685655000,907164000,1361142000,2060463000,2682499000,5192396000,5074435000,5027428000,5018377000,5147085000,5379186000,5034422000,5914454000,6448383000,6079706000,5842407000,6326334000,5527909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236686000,191630000,151004000,126956000,88653000,107716000,96581000,90875000,84128000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236686000,191630000,151004000,126956000,88653000,107716000,96581000,90875000,84128000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273591000,711634000,501121000,394287000,420439000,372256000,342947000,293650000,268390000,197807000,126487000,110795000,133074000,131898000,168336000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1300000,1100000,1000000,1300000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650728000,642136000,750090000,673878000,6773607000,6714817000,6774698000,5868015000,5998462000,6232085000,6948231000,7542242000,8311570000,9403659000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7442068000,6985664000,7470711000,6622226000,7145863000,7294450000,7259978000,6287409000,6323225000,6447225000,7166742000,7771897000,8534343000,9656123000
46,Other Assets,73400000,70600000,134800000,132100000,129800000,126900000,121900000,632900000,774901000,1045588000,1361142000,2176214000,2853653000,5486238000,5460036000,5330033000,5348823000,5561249000,5896643000,5647560000,7238595000,7661981000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,73400000,70600000,134800000,132100000,129800000,126900000,121900000,632900000,774901000,1045588000,1361142000,2176214000,2853653000,5486238000,5460036000,5330033000,5348823000,5561249000,5896643000,5647560000,7238595000,7661981000,7690883000,7304279000,7644276000,7004437000,7560101000,7752614000,7754839000,6917113000,6772002000,7388196000,7804024000,8420562000,9111394000,10445655000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,869000,1132000,1585000,1342000,4836000,3179000,4312000,2274000,548000,2268000,526000,781000,77232000,142655000,- -,84347000,44782000,55775000,84679000,69380000,72839000,54921000,53742000,54545000,92288000,68840000,62332000,107009000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51474000,52958000,55748000,60883000,59276000,- -,- -,- -,83615000,69272000,74565000,74696000,78092000,71617000,73190000,67374000,73358000,69042000,76501000,77464000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,900000,1100000,1800000,2100000,3400000,3400000,3700000,36800000,30031000,54868000,78815000,220058000,271364000,700921000,769588000,727826000,625752000,556732000,551574000,593319000,695968000,452745000,284766000,154876000,207470000,188350000,192468000,197090000,199898000,168863000,162101000,86448000,89511000,84110000,102604000,104557000
53,Total Current Liabilities,900000,1100000,1800000,2100000,3400000,3400000,3700000,36800000,30900000,56000000,80400000,221400000,276200000,704100000,773900000,730100000,626300000,559000000,552100000,594100000,773200000,595400000,284766000,239223000,252252000,244125000,277147000,266470000,272737000,223784000,215843000,140993000,181799000,152950000,164936000,211566000
54,Long-Term Debt,6900000,7900000,75800000,78900000,81200000,83300000,82100000,249800000,298640000,454820000,525815000,720119000,1007317000,2113476000,1973215000,1814856000,2106285000,2335536000,2518704000,2600651000,3961845000,4316460000,4298478000,3854032000,4207079000,3809589000,4446170000,4254376000,4453403000,3341739000,2908477000,2422891000,2658501000,2914765000,3385051000,3689282000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-800000,-40000,-20000,-15000,-19000,-17000,24000,-15000,44000,15000,-36000,-4000,49000,-45000,40000,285881000,243164000,195042000,171065000,210666000,187139000,148819000,146789000,154389000,249934000,250481000,272587000,326959000,405846000
58,Total Non-Current Liabilities,6900000,7900000,75800000,78900000,81200000,83300000,82100000,249000000,298600000,454800000,525800000,720100000,1007300000,2113500000,1973200000,1814900000,2106300000,2335500000,2518700000,2600700000,3961800000,4316500000,4584359000,4097196000,4402121000,3980654000,4656836000,4441515000,4602222000,3488528000,3062866000,2672825000,2908982000,3187352000,3712010000,4095128000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7800000,9000000,77600000,81000000,84600000,86700000,85800000,283900000,328183000,506063000,593127000,834169000,1176812000,2383897000,2311829000,2149834000,2424002000,2681706000,2875661000,3012196000,4578159000,4828265000,4869125000,4336419000,4654373000,4224779000,4933983000,4707985000,4874959000,3712312000,3278709000,2813818000,3090781000,3340302000,3876946000,4306694000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440889000,540508000,657250000,657250000,876250000,744000000,1016625000,1016625000,904540000,793910000,625638000,447683000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,60200000,60200000,100000,100000,100000,100000,100000,- -,204000,241000,731107000,1071990000,1290313000,1258000,1279000,1314000,1350000,1366000,1429000,1347000,1339000,1462000,1484000,2240000,2522000,2529000,2794000,3264000,3441000,3453000,3548000,3564000,3589000,3680000,3733000,3825000
64,Retained Earnings,-2700000,-6700000,-11100000,-17200000,-23000000,-28100000,-32100000,-30600000,-35921000,-43740000,-48463000,-55647000,-67999000,-82432000,-77383000,-76023000,-159226000,-254942000,-364724000,-464885000,-575829000,-626765000,-855541000,-1355086000,-1533740000,-1677328000,-1993206000,-2062787000,-2090942000,-1785250000,-1730423000,-676036000,-585087000,-475992000,-532519000,-75210000
65,Other Comprehensive Income/Loss,-1400000,-3000000,-4900000,-7300000,-10500000,-14100000,-17500000,- -,-38058000,-56335000,-82207000,-116264000,-179887000,-254574000,-338426000,-425721000,-2111000,- -,-6547000,-7118000,5435000,-1279000,-8652000,-5630000,-1432000,987000,2691000,4119000,3026000,1806000,682000,- -,-4676000,-35036000,-31568000,-28011000
66,Other Total Stockholders Equity,9500000,11100000,73100000,75500000,78700000,82300000,85600000,379600000,520493000,639359000,167578000,441966000,634414000,3438089000,3562737000,3680629000,2335278000,2379817000,2538461000,2266204000,2196388000,2632615000,2667842000,3267196000,3573720000,3594588000,3953497000,4620964000,4944800000,4961923000,5192011000,5205316000,5244375000,5525463000,5723326000,- -
67,Total Stockholders Equity,65600000,61600000,57200000,51100000,45300000,40200000,36100000,349000000,446718000,539525000,768015000,1342045000,1676841000,3102341000,3148207000,3180199000,2616180000,2666749000,2825869000,2452798000,2503583000,2750033000,2821758000,2925345000,2945610000,2714686000,2591414000,3013243000,2860325000,3181932000,3465818000,4532844000,4658201000,5018115000,5162972000,6043751000
68,Total Liabilities And Stockholders Equity,73400000,70600000,134800000,132100000,129900000,126900000,121900000,632900000,774901000,1045588000,1361142000,2176214000,2853653000,5486238000,5460036000,5330033000,5040182000,5348455000,5701530000,5464994000,7081742000,7578298000,7690883000,7261764000,7599983000,6939465000,7525397000,7721228000,7735284000,6894244000,6744527000,7346662000,7748982000,8358417000,9039918000,10350445000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308641000,212794000,195113000,182566000,156853000,83683000,- -,42515000,44293000,64972000,34704000,31386000,19555000,22869000,27475000,41534000,55042000,62145000,71476000,95210000
70,Total Liabilities & Equity,73400000,70600000,134800000,132100000,129800000,126900000,121900000,632900000,774901000,1045588000,1361142000,2176214000,2853653000,5486238000,5460036000,5330033000,5348823000,5561249000,5896643000,5647560000,7238595000,7661981000,7690883000,7304279000,7644276000,7004437000,7560101000,7752614000,7754839000,6917113000,6772002000,7388196000,7804024000,8420562000,9111394000,10445655000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/0000783280-97-000039-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783280/000110465902000746/j3192_10k405.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465903004907/j8375_10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465904006524/a04-2962_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465905009494/a05-1765_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465906014364/a06-1916_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465907015612/a07-5490_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000110465908014097/a08-2526_110k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312509037302/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312510044034/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000119312511047257/d10k.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328012000004/dre10k2011.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328013000004/a201210kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000144530514000524/a201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328015000018/a201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328016000080/a10k2015.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328017000012/a10k2016.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328018000012/a10k2017.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328019000010/a10k2018.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328020000010/a10k2019.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328021000012/0000783280-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/783280/000078328022000010/0000783280-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,2000000,900000,-300000,-600000,-1600000,-700000,5000000,26216000,35019000,53431000,78484000,110704000,182240000,261939000,282409000,206325000,199232000,188701000,355662000,204147000,279467000,113996000,-260150000,65798000,95565000,-73977000,190592000,243588000,615310000,312143000,1634431000,383729000,428972000,299915000,852895000
74,Depreciation and Amortization,1400000,1700000,1900000,3200000,3500000,3800000,4000000,7400000,15068000,20416000,27568000,39771000,61414000,100063000,141989000,138723000,154565000,168959000,189119000,204377000,206999000,214477000,314952000,280482000,271058000,267222000,262825000,288583000,290279000,253683000,255419000,242606000,256250000,272422000,297158000,304935000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-200000,-200000,-700000,-300000,-1300000,- -,-300000,-33100000,5900000,-25100000,-24400000,-141000000,-54800000,-427900000,-69800000,43800000,103800000,67300000,6900000,-42000000,-179100000,177800000,559449000,115343000,-158079000,216773000,-995000,54603000,30430000,183796000,-172986000,567044000,-344495000,40232000,-83600000,48194000
78,Accounts Receivable,- -,- -,-100000,-300000,200000,300000,100000,100000,700000,- -,4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-900000,-1100000,-1800000,-2100000,-3400000,-3400000,-3700000,-36800000,-30900000,-56000000,-80400000,-221400000,-276200000,-704100000,-773900000,-730100000,-626300000,-559000000,-552100000,-594100000,-773200000,-595400000,-35951000,79392000,-78687000,138086000,137091000,191694000,222124000,405920000,232934000,799978000,455483000,495715000,412115000,- -
82,Other Non-Cash Items,-400000,-200000,900000,-1600000,1800000,300000,2500000,34900000,4689000,48285000,38536000,181940000,103870000,488277000,115002000,-31276000,104906000,-66863000,-5945000,-113780000,43677000,-347813000,-345550000,257519000,212379000,-242023000,111304000,-98102000,-119810000,-673408000,55559000,-1995965000,188923000,-235728000,52963000,-563598000
