,https://roic.ai/company/IDXX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,127700000,107000000,109100000,58600000,46007000,66666000,113788000,186717000,47156000,67151000,61666000,60360000,78868000,106728000,156915000,183895000,223986000,279058000,322536000,128994000,154901000,187675000,123794000,90326000,383928000,144454000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,29196000,12893000,33403000,33988000,90116000,65580000,35000000,- -,- -,- -,- -,- -,- -,- -,- -,213591000,236949000,284255000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,127700000,107000000,109100000,58600000,75203000,79559000,147191000,220705000,137272000,132731000,96666000,60360000,78868000,106728000,156915000,183895000,223986000,279058000,322536000,342585000,391850000,471930000,123794000,90326000,383928000,144454000
34,Net Receivables,- -,- -,- -,- -,- -,66600000,47300000,47900000,58400000,57266000,50772000,45689000,53976000,65639000,71688000,81389000,108384000,111498000,115107000,120080000,141275000,138324000,158038000,181306000,200110000,232166000,270072000,272623000,307487000,374742000,425584000
35,Inventory,- -,- -,- -,- -,- -,48400000,60200000,55400000,47500000,65935000,86194000,75086000,75333000,76424000,69369000,95996000,98804000,115926000,110425000,127885000,133099000,140946000,133427000,160342000,188833000,158034000,164318000,173303000,195019000,209873000,269030000
36,Other Current Assets,- -,- -,- -,- -,- -,59000000,59700000,50900000,67900000,17426000,19051000,21154000,20575000,22257000,25457000,28212000,38115000,49598000,44078000,55711000,65958000,66281000,82183000,95214000,90106000,63534000,65665000,84452000,86807000,94195000,116587000
37,Total Current Assets,- -,- -,- -,- -,- -,301700000,274200000,263300000,232400000,215830000,235576000,289120000,370589000,301592000,299245000,302263000,305663000,355890000,376338000,460591000,524227000,569537000,652706000,759398000,821634000,845584000,971985000,654172000,679639000,1062738000,955655000
38,PP&E,- -,- -,- -,- -,- -,36400000,41000000,41500000,39600000,45661000,49215000,49455000,45224000,62630000,65697000,99628000,141852000,189646000,199946000,201725000,216777000,245177000,281214000,303587000,333026000,357422000,379096000,437270000,614452000,646338000,692768000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104826000,236414000,138768000,148705000,149112000,172610000,174994000,180521000,184450000,178934000,178228000,199873000,214489000,239724000,243347000,359345000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56157000,61766000,124494000,118746000,43353000,- -,68327000,63907000,55752000,69209000,62833000,58844000,65122000,55909000,46155000,43846000,41825000,58468000,52543000,99035000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56157000,61766000,124494000,118746000,148179000,236414000,207095000,212612000,204864000,241819000,237827000,239365000,249572000,234843000,224383000,243719000,256314000,298192000,295890000,458380000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10324000,13075000,10765000,12165000,10978000,9949000,10894000,13657000,12065000,13348000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3253000,6644000,1170000,1017000,630000,- -,- -,- -,- -,- -,- -,7698000,8481000,8100000,31549000,24784000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,35800000,61800000,85700000,88200000,74305000,88316000,21920000,44296000,25521000,6988000,6237000,11606000,11636000,18614000,29334000,47991000,40737000,44156000,60889000,73325000,92337000,100969000,170218000,218435000,245981000,292268000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,72200000,102800000,127200000,127800000,119966000,137531000,127532000,151286000,212645000,191431000,257297000,396516000,409547000,432189000,436553000,506587000,534065000,577810000,624813000,653359000,685120000,741431000,883177000,1152836000,1231823000,1481548000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,373900000,377000000,390500000,360200000,335796000,373107000,416652000,521875000,514237000,490676000,559560000,702179000,765437000,808527000,897144000,1030814000,1103602000,1230516000,1384211000,1474993000,1530704000,1713416000,1537349000,1832475000,2294561000,2437203000
48,Accounts Payable,- -,- -,- -,- -,- -,18700000,12500000,26800000,19600000,13714000,10887000,9427000,19160000,14723000,19842000,24374000,32510000,28006000,19133000,22669000,36551000,35288000,29941000,44743000,52648000,60057000,66968000,69534000,72172000,74558000,116140000
49,Short-Term Debt,- -,- -,- -,- -,- -,3000000,4100000,5200000,3300000,8472000,8380000,973000,494000,1291000,551000,678000,72956000,151385000,119603000,129862000,243917000,213107000,278035000,549000000,573000000,611000000,655000000,398937000,304046000,67721000,168427000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13324000,9980000,12320000,- -,14945000,16508000,28439000,18963000,23973000,29389000,26609000,31108000,42676000,42605000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13220000,13569000,8275000,10153000,7965000,8976000,10678000,11285000,12610000,13983000,15028000,20192000,21458000,31812000,25583000,27380000,29181000,41290000,41462000,42567000,40034000
52,Other Current Liabilities,- -,- -,- -,- -,- -,29400000,57700000,46500000,52600000,51863000,38890000,51710000,72807000,73785000,78208000,90715000,107248000,104616000,104959000,118598000,141383000,137746000,148919000,195351000,205530000,236131000,253418000,260683000,307657000,397915000,438978000
53,Total Current Liabilities,- -,- -,- -,- -,- -,51100000,74300000,78500000,75500000,74049000,71377000,75679000,100736000,99952000,106566000,124743000,223392000,295292000,256305000,285112000,436879000,406333000,478353000,820906000,856761000,934568000,1004567000,770444000,725337000,582761000,763579000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,4200000,300000,- -,- -,- -,786000,392000,- -,6447000,5727000,5094000,4281000,3418000,2501000,1394000,150359000,350000000,597085000,593110000,606075000,601348000,698910000,935531000,862582000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3787000,3813000,4627000,10823000,12692000,18427000,21665000,27055000,33015000,35545000,60697000,48743000,46163000,41174000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,8450000,6026000,7154000,14697000,11933000,18283000,18661000,23288000,23028000,33948000,41688000,49389000,39287000,25353000,29267000,33024000,11707000,8935000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,1400000,- -,100000,- -,- -,6200000,6825000,7783000,8774000,11355000,20040000,11137000,11266000,11045000,17730000,23898000,31215000,32363000,28698000,38937000,95718000,84826000,148636000,85604000,70941000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,100000,1400000,4200000,400000,- -,- -,6200000,7847000,16625000,14800000,24956000,40464000,31951000,37643000,37751000,54342000,61012000,233949000,445716000,702227000,704349000,762691000,776138000,929313000,1079005000,983632000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82753000,94772000,107308000
61,Total Liabilities,- -,- -,- -,- -,- -,51200000,74300000,82700000,75900000,74049000,71377000,75679000,108583000,116577000,121366000,149699000,263856000,327243000,293948000,322863000,491221000,467345000,712302000,1266622000,1558988000,1638917000,1767258000,1546582000,1654650000,1661766000,1747211000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4025000,4135000,4233000,4439000,4522000,4594000,4662000,9450000,9539000,9633000,9797000,9923000,10016000,10119000,10195000,10258000,10334000,10428000,10509000,10571000,10646000,10688000
64,Retained Earnings,- -,- -,- -,- -,- -,67400000,46300000,31000000,63600000,100251000,137871000,183260000,240350000,318682000,396936000,490614000,585862000,702031000,824256000,965540000,1127326000,1305593000,1493393000,1675299000,318356000,540401000,803545000,1167928000,1595648000,2175595000,2920440000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-22900000,-30400000,-41000000,-49100000,-52491000,-59487000,-2511000,4703000,11966000,2182000,12418000,24906000,5675000,10341000,13467000,15443000,15954000,13622000,-8071000,-42265000,-43053000,-36470000,-41791000,-46182000,-53615000,-53484000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,278200000,286800000,317800000,265800000,209962000,219211000,155991000,163800000,62490000,-34702000,-97833000,-181895000,-279051000,-329661000,-414569000,-613113000,-695340000,-998948000,-1559907000,-370474000,-616034000,-831609000,-1146159000,-1382564000,-1500538000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,322700000,302700000,307800000,284300000,261747000,301730000,340973000,413292000,397660000,369010000,409861000,438323000,438194000,514569000,574235000,539579000,636223000,518186000,117516000,-84125000,-108352000,-54106000,-9513000,177473000,632088000,689992000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,373900000,377000000,390500000,360200000,335796000,373107000,416652000,521875000,514237000,490376000,559560000,702179000,765437000,808517000,897098000,1030800000,1103568000,1230488000,1384138000,1474863000,1530565000,1713152000,1537069000,1832123000,2293854000,2437203000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,10000,46000,14000,34000,28000,73000,130000,139000,264000,280000,352000,707000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,373900000,377000000,390500000,360200000,335796000,373107000,416652000,521875000,514237000,490676000,559560000,702179000,765437000,808527000,897144000,1030814000,1103602000,1230516000,1384211000,1474993000,1530704000,1713416000,1537349000,1832475000,2294561000,2437203000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874716/000087471602000001/final10k2001.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471603000033/form10kmar15edgar.htm,https://www.sec.gov/Archives/edgar/data/874716/000095013504001102/b48970ile10vk.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471605000035/form10k_dec312004.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471606000041/form10k_dec312005.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471607000048/0000874716-07-000048-index.html,https://www.sec.gov/Archives/edgar/data/874716/000136231008001141/c72515e10vk.htm,https://www.sec.gov/Archives/edgar/data/874716/000136231009002521/0001362310-09-002521-index.html,https://www.sec.gov/Archives/edgar/data/874716/000095012310014507/0000950123-10-014507-index.html,https://www.sec.gov/Archives/edgar/data/874716/000114420411010145/v211843_10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000114420412009868/0001144204-12-009868-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471613000005/0000874716-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471614000004/c716-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471615000003/c716-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471616000020/0000874716-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471617000004/0000874716-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471618000005/0000874716-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471619000004/0000874716-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471620000006/0000874716-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/874716/000087471621000008/0000874716-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/874716/000087471622000007/0000874716-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3200000,4900000,9700000,13300000,21500000,32600000,-21100000,-15200000,32600000,36632000,37620000,45389000,57090000,78332000,78254000,93678000,94014000,116169000,122225000,141284000,161786000,178267000,187800000,181906000,192078000,222045000,263144000,377031000,427720000,581776000,744845000
74,Depreciation and Amortization,1000000,3500000,3800000,4500000,5700000,10400000,14400000,15900000,17200000,19481000,22229000,20124000,18897000,18427000,24369000,29816000,41100000,48819000,49773000,45956000,48202000,52408000,54596000,58888000,68956000,78218000,83140000,83178000,88011000,95998000,104596000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3381000,-380000,3750000,-1192000,4599000,-4477000,-6135000,-9074000,5634000,3270000,-908000,5996000,-1970000,2073000,830000,5143000,20881000,-7918000,1209000,6162000,-38082000,-3377000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10501000,11623000,13262000,15496000,15952000,16539000,18099000,19884000,19891000,23517000,25157000,39278000,30951000,37755000
77,Change in Working Capital,-300000,- -,- -,- -,- -,250600000,-50700000,-15100000,-27900000,-15119000,22418000,49242000,56412000,-68213000,-8961000,-15159000,-95249000,-21673000,59435000,55446000,-88131000,75856000,11149000,-235861000,26381000,-53857000,56402000,-83690000,70574000,525675000,-137523000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10266000,-1155000,-6914000,-24809000,3487000,-15946000,-3626000,-50142000,-22554000,-24918000,-18401000,-22472000,-60722000,-33141000
79,Inventory,-600000,-4300000,-1600000,-6200000,-7400000,-19200000,-11200000,4900000,5200000,-28506000,-20319000,11405000,71000,758000,7433000,-25679000,-5230000,-18468000,6223000,-19469000,-6310000,-13752000,-1347000,-38310000,-34969000,7648000,-19062000,-25623000,-37306000,-18885000,-52919000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4327000,-9156000,3482000,13884000,-1304000,-4399000,6703000,-2468000,2117000,1391000,-166000,1957000,981000,11233000
81,Other Working Capital,- -,- -,- -,- -,- -,250600000,199900000,184800000,156900000,141781000,164199000,213441000,269853000,201640000,192679000,177520000,82271000,60598000,120033000,175479000,87348000,163204000,174353000,-61508000,-35127000,-88984000,-32582000,-116272000,-45698000,479977000,-62696000
82,Other Non-Cash Items,-100000,-8500000,-6100000,-3000000,-20400000,-285600000,70900000,60500000,28700000,-16135000,-35523000,-15252000,-14052000,62234000,27367000,7626000,104333000,-16142000,-71374000,-76207000,77351000,-90231000,-26161000,211984000,-96078000,47393000,-45009000,-2801000,-172587000,-548255000,9250000
83,Cash Provided by Operating Activities,3800000,-100000,7400000,14800000,6800000,8000000,13500000,46100000,52600000,28240000,46364000,103253000,117155000,95379000,116552000,109826000,135124000,143308000,174952000,178833000,220700000,230282000,245996000,235846000,216364000,334571000,373276000,400084000,459158000,648063000,755546000
84,CAPEX,-9400000,-2300000,-2100000,-4400000,-15900000,-11800000,-35500000,-48100000,-12400000,-15520000,-17381000,-15087000,-16896000,-31705000,-24199000,-71355000,-66244000,-98620000,-59077000,-39302000,-53464000,-66392000,-78636000,-60698000,-82921000,-64787000,-76704000,-122936000,-155224000,-107876000,-119549000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11945000,- -,-1375000,-2300000,-53942000,-10219000,- -,-89884000,- -,3377000,- -,-43757000,342000,-7423000,-19715000,-10302000,-1964000,-14579000,-22500000,-50304000,-1500000,-173418000
86,Purchases of Investments,-5200000,-8500000,-6500000,-4800000,-22800000,-5100000,- -,- -,-25800000,- -,-4639000,-32605000,-58177000,-37114000,-63619000,-79810000,- -,- -,- -,-4000000,- -,- -,- -,- -,-271958000,-227894000,-334164000,-87000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,6500000,- -,- -,43156000,- -,18716000,37865000,86010000,107880000,110465000,35000000,- -,- -,- -,- -,- -,- -,- -,56775000,203859000,286759000,284125000,- -,- -,- -
88,Other Investing Activites,-1500000,-10100000,-200000,-2200000,-3600000,-21600000,-3700000,-300000,-800000,8534000,-4210000,-2444000,-2724000,- -,2751000,- -,- -,-1624000,-6335000,-282000,-775000,-855000,-1024000,-175000,- -,- -,-2320000,-7185000,-255000,-918000,- -
89,Cash Used for Investing Activites,-16100000,-20900000,-8800000,-11400000,-42300000,-38500000,-32700000,-48400000,-39000000,24225000,-26230000,-32795000,-42232000,-36751000,12594000,-40700000,-121128000,-91595000,-53621000,-43190000,-96996000,-66005000,-86059000,-80413000,-308406000,-90786000,-138688000,138602000,-205528000,-109376000,-292967000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-595000,-33756000,-813000,-863000,-31917000,-1107000,-1394000,- -,- -,- -,-256040000,-110275000,-289625000,-50000000
91,Common Stock Issued,14300000,29400000,2300000,2400000,158100000,11900000,3000000,5800000,6600000,10229000,14044000,11949000,31165000,19376000,18841000,20922000,20941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-64200000,-70257000,-12986000,-29830000,-35817000,-129191000,-123769000,-105711000,-118387000,-132342000,-83099000,-143090000,-255505000,-132268000,-367761000,-618158000,-401981000,-304086000,-290638000,-378694000,-309711000,-203418000,-762339000
