,https://roic.ai/company/NBR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,22900000,17500000,11600000,11100000,14600000,26600000,42900000,57100000,59200000,91100000,80100000,103000000,136800000,161900000,165100000,258917000,325392000,337260000,400530000,495787000,588505000,830561000,976194000,1138029000,1122118000,1175917000,1413986000,1726751000,1671051000,2088796000,1449952000,1214803000,1145196000,1203456000,1261606000,237079000,249130000
11,COGS and Expenses,93100000,68700000,38300000,57100000,71200000,126300000,213300000,252200000,320400000,416200000,514200000,642700000,874600000,785700000,583800000,1147239000,1622333000,1311170000,1677483000,2068436000,2585772000,3400361000,3740753000,4248345000,3134470000,3599519000,5189950000,6210071000,5652879000,6593860000,3821388000,2559101000,2863265000,3180430000,3190937000,2423850000,2229407000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4957000,8424000,4705000,1527000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264948000,273044000,256633000,251552000,223418000,177948000,181928000,185360000,222889000,227124000,204311000,206274000,171476000
14,Depreciation and Amortization,12600000,9900000,5700000,3200000,3300000,4500000,8500000,14400000,18700000,19900000,31000000,46100000,66400000,84900000,99800000,152413000,221548000,226205000,266264000,326708000,369579000,420785000,555397000,668238000,669259000,767183000,927460000,1055757000,1099741000,1145328000,970442000,874296000,845439000,868509000,876103000,853697000,693382000
15,EBITDA,-11400000,100000,-87000000,-1900000,8800000,21500000,38400000,50000000,55200000,24200000,89600000,127700000,248800000,284900000,145400000,381002000,773488000,366979000,440887000,662546000,1243529000,1891704000,1725752000,1469862000,699433000,1110108000,1570377000,1506971000,1410960000,717267000,681657000,-156917000,438547000,533954000,469105000,311616000,351207000
16,EBITDA ratio,-0.1245,0.0014,-3.0420,-0.0339,0.1181,0.1547,0.1599,0.1746,0.1568,0.0573,0.1564,0.1774,0.2417,0.2943,0.2264,0.2871,0.3647,0.2416,0.2293,0.2706,0.3502,0.3827,0.3493,0.2771,0.1996,0.2633,0.2591,0.2156,0.2293,0.1054,0.1764,-0.0704,0.1710,0.1746,0.1541,0.1460,0.1741
17,Operating Income,-1500000,500000,-9700000,-1000000,3300000,12700000,26800000,34100000,31600000,6400000,58600000,77000000,154700000,182500000,58500000,179885000,498824000,207842000,245363000,379716000,965237000,1542353000,1199928000,1055443000,368961000,616021000,870401000,779502000,499136000,210337000,43049000,-331262000,-298980000,-122811000,-147554000,-289807000,-80787000
18,Operating Income ratio,-0.0164,0.0072,-0.3392,-0.0178,0.0443,0.0914,0.1116,0.1191,0.0898,0.0151,0.1023,0.1070,0.1503,0.1885,0.0911,0.1355,0.2352,0.1368,0.1276,0.1551,0.2718,0.3120,0.2429,0.1990,0.1053,0.1461,0.1436,0.1115,0.0811,0.0309,0.0111,-0.1487,-0.1166,-0.0402,-0.0485,-0.1358,-0.0400
19,Total Other Income Expenses (Gains),-16300000,-10300000,-83000000,-4100000,3000000,4300000,3100000,1500000,4900000,-2100000,- -,4600000,27700000,17500000,-12900000,46822000,43458000,-67068000,-70740000,-43878000,-91287000,-71434000,-64597000,-253819000,-604077000,-533975000,-382632000,-504819000,-392976000,-814952000,-470584000,-866813000,-281104000,-395983000,-441368000,-415760000,-407302000
20,Income Before Tax,-17800000,-9800000,-92700000,-5100000,- -,17000000,29900000,35600000,36500000,4300000,58600000,81600000,182400000,200000000,45600000,226707000,542282000,140774000,174623000,335838000,873950000,1470919000,1135331000,801624000,-235116000,82046000,487769000,274683000,106160000,-604615000,-427535000,-1198075000,-580084000,-518794000,-588922000,-705567000,-488089000
21,Income Before Tax Ratio,-0.1943,-0.1416,-3.2413,-0.0909,- -,0.1223,0.1245,0.1243,0.1037,0.0102,0.1023,0.1134,0.1772,0.2066,0.0710,0.1708,0.2557,0.0927,0.0908,0.1372,0.2461,0.2976,0.2298,0.1511,-0.0671,0.0195,0.0805,0.0393,0.0173,-0.0889,-0.1106,-0.5378,-0.2262,-0.1697,-0.1935,-0.3306,-0.2419
22,Income Tax expense (Gain),-1200000,-200000,-7100000,-800000,- -,2400000,2800000,1800000,2200000,3600000,7500000,11100000,67600000,75000000,17900000,91233000,194490000,19285000,-17605000,33381000,225255000,450183000,239664000,250451000,-149228000,-24814000,142605000,32628000,-55181000,62666000,-98038000,-186831000,-82970000,79269000,91576000,57286000,55621000
23,Net Income,-22800000,-9600000,-85600000,-4300000,5500000,14600000,27100000,33800000,34300000,700000,51100000,70500000,114800000,125000000,27700000,137356000,357450000,121489000,192228000,302457000,648695000,1020736000,930691000,551173000,-85546000,94695000,243679000,167034000,142982000,-668675000,-372675000,-1029742000,-546811000,-640948000,-702885000,-805641000,-569272000
24,Net Income ratio,-0.2489,-0.1387,-2.9930,-0.0766,0.0738,0.1050,0.1129,0.1181,0.0974,0.0017,0.0892,0.0980,0.1115,0.1291,0.0431,0.1035,0.1685,0.0800,0.1000,0.1235,0.1827,0.2065,0.1884,0.1039,-0.0244,0.0225,0.0402,0.0239,0.0232,-0.0983,-0.0964,-0.4622,-0.2132,-0.2096,-0.2310,-0.3775,-0.2822
25,EPS,-69.75,-75.25,-213.75,-4.75,3.00,6.75,11.00,13.00,12.50,0.25,14.50,19.00,28.00,31.00,6.25,23.75,62.00,21.25,32.75,50.75,104.00,176.00,167.00,99.00,-15.00,16.50,42.50,28.50,23.50,-114.00,-64.50,-182.00,-95.00,-99.50,-105.50,-118.69,-68.76
26,EPS Diluted,-69.75,-75.25,-213.75,-4.75,3.00,6.75,11.00,13.00,12.50,0.25,14.25,18.75,26.50,29.00,5.75,22.50,56.00,20.25,31.25,48.00,100.00,170.00,162.50,96.50,-15.00,16.50,41.50,28.00,23.50,-114.00,-64.50,-182.00,-95.00,-99.50,-105.50,-118.69,-68.76
27,Weighted Average Shares Outstanding,326882,400000,400468,1674880,1833333,2162963,2463636,2600000,2744000,2800000,3524138,3710526,4100000,4032258,4432000,5773760,5777200,5746200,5859800,5957440,6242680,5804820,5580520,5563320,5666520,5702900,5742360,5799300,5883640,5813880,5659640,5529500,5613060,6687940,7032340,7059000,7907000
28,Weighted Average Shares Outstanding Diluted,326882,400000,400468,1674880,1833333,2162963,2463636,2600000,2744000,2800000,3585965,3760000,4332075,4310345,4817391,6096680,6751600,5999880,6275880,6561200,6487560,5996540,5732120,5705700,5666520,5799920,5849680,5846460,5931840,5813880,5659640,5529500,5613060,6687940,7032340,7059000,7907000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012903001724/0000950129-03-001724-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012907001102/h44035e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095012908001323/h54178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095013409004091/0000950134-09-004091-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012310018307/0000950123-10-018307-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012311020720/h78262e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000119312512089662/0001193125-12-089662-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000110465913016655/0001104659-13-016655-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000104746914001701/a2218436z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000104746915001506/a2223297z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000110465916100551/0001104659-16-100551-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837017001099/0001558370-17-001099-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837018001382/0001558370-18-001382-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837019001349/0001558370-19-001349-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837020001335/0001558370-20-001335-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837021001631/0001558370-21-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1163739/000155837022001407/0001558370-22-001407-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50100000,5200000,6300000,13300000,6700000,20800000,15000000,14800000,63100000,22400000,12000000,95900000,3900000,- -,80600000,197312000,198443000,414051000,579737000,384709000,565001000,700549000,531306000,442087000,927815000,641702000,398575000,524922000,389915000,501149000,254530000,264093000,336997000,447766000,435990000,472246000,991471000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31100000,353641000,343169000,457600000,339936000,428342000,858524000,439467000,235745000,142158000,163036000,159488000,140914000,253282000,117218000,35020000,20059000,31109000,28369000,34036000,16506000,9500000,17000
33,Cash and Short-Term Investments,50100000,5200000,6300000,13300000,6700000,20800000,15000000,14800000,63100000,22400000,12000000,95900000,3900000,- -,111700000,550953000,541612000,871651000,919673000,813051000,1423525000,1140016000,767051000,584245000,1090851000,801190000,539489000,778204000,507133000,536169000,274589000,295202000,365366000,481802000,452496000,481746000,991488000
34,Net Receivables,16500000,7000000,6800000,10100000,12400000,52100000,46800000,53600000,88800000,109700000,132500000,172700000,245000000,- -,205600000,350302000,361086000,277735000,410487000,540103000,822104000,1109738000,1039238000,1160768000,724040000,1116510000,1576555000,1382623000,1399543000,1517503000,784671000,508355000,698477000,756320000,453042000,362977000,287572000
35,Inventory,- -,- -,- -,- -,1600000,5900000,11800000,20900000,20000000,14800000,14100000,18500000,21400000,- -,25800000,18029000,18515000,20524000,23289000,28653000,51292000,100487000,133786000,150118000,100819000,158836000,272852000,251133000,209793000,230067000,153824000,103595000,166307000,165587000,176341000,160585000,126448000
36,Other Current Assets,6400000,7800000,3000000,3500000,4100000,4200000,9500000,12300000,16300000,13200000,24800000,41400000,35500000,- -,118200000,99034000,109733000,199998000,162198000,199167000,320387000,154615000,265037000,271462000,260954000,536394000,699418000,720897000,637361000,458135000,262813000,248687000,217186000,189854000,166787000,126157000,112301000
37,Total Current Assets,73000000,20000000,16100000,26900000,24800000,83000000,83100000,101600000,188200000,160100000,183400000,328500000,305800000,- -,461300000,1018318000,1030946000,1369908000,1515647000,1580974000,2617308000,2504856000,2205112000,2166593000,2176664000,2612930000,3088314000,3132857000,2753830000,2741874000,1475897000,1155839000,1447336000,1593563000,1248666000,1131465000,1517809000
38,PP&E,106600000,99800000,33400000,23900000,37600000,99300000,168400000,199200000,230800000,230400000,383700000,511200000,861400000,- -,1669500000,1821392000,2433247000,- -,- -,- -,- -,- -,- -,- -,9529340000,11310920000,- -,13677360000,14140934000,14216818000,12547035000,12925172000,13282140000,13301089000,13231616000,3985707000,3332498000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362269000,368432000,175749000,164265000,494372000,501258000,472326000,512964000,173928000,166659000,166917000,173226000,183914000,28380000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169100000,192181000,199048000,306762000,336027000,327225000,341939000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169100000,192181000,199048000,306762000,336027000,327225000,341939000,362269000,368432000,175749000,164265000,494372000,501258000,472326000,512964000,173928000,166659000,166917000,173226000,183914000,28380000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407490000,308023000,382145000,65959000,67496000,61057000,415177000,893000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419003000,345091000,305844000,247171000,258631000
44,Other Non-Current Assets,300000,300000,500000,4800000,5600000,26800000,11000000,8600000,7800000,28500000,16400000,31600000,67000000,- -,98100000,104977000,488674000,3387202000,3751018000,3954410000,4271160000,6275178000,7529838000,8125640000,-1633069000,-3079676000,8940423000,-4692480000,-5315413000,-5313735000,-5066928000,-6061806000,-6919721000,-7569713000,-8053848000,139085000,416426000
45,Total Non-Current Assets,106900000,100100000,33900000,28700000,43200000,126100000,179400000,207800000,238600000,258900000,400100000,542800000,928400000,- -,1936700000,2118550000,3120969000,3693964000,4087045000,4281635000,4613099000,6637447000,7898270000,8301389000,8468026000,9033639000,9823826000,9523165000,9405981000,9138068000,8061943000,7031176000,6954648000,6260381000,5511992000,4371963000,4007555000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,179900000,120100000,50000000,55600000,68000000,209100000,262500000,309400000,426800000,419000000,583500000,871300000,1234200000,- -,2398000000,3136868000,4151915000,5063872000,5602692000,5862609000,7230407000,9142303000,10103382000,10467982000,10644690000,11646569000,12912140000,12656022000,12159811000,11879942000,9537840000,8187015000,8401984000,7853944000,6760658000,5503428000,5525364000
48,Accounts Payable,- -,- -,- -,- -,- -,8500000,17500000,16300000,37300000,26700000,53900000,65000000,86100000,- -,80300000,139162000,131821000,109163000,128840000,211600000,336589000,459179000,348524000,424908000,226423000,355282000,782753000,499010000,545512000,780060000,271984000,264578000,363416000,392843000,295159000,220922000,253748000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492985000,299385000,804550000,767912000,- -,700000000,225030000,163000,1379018000,275326000,364000,10185000,6190000,6508000,297000,181000,561000,- -,561000,5422000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10157000,53220000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19542000,- -,- -,- -,- -,- -,172578000,148165000,202918000,298345000,340472000,255626000,218370000,149266000,89051000,61473000,59816000
52,Other Current Liabilities,21300000,11900000,11200000,17600000,16400000,43400000,50300000,49400000,43000000,49400000,96700000,91400000,148900000,- -,185200000,140017000,198309000,149306000,170148000,183166000,228413000,395181000,445608000,478921000,382036000,420080000,571905000,484843000,552809000,482880000,387535000,301433000,337509000,289407000,272338000,232513000,206242000
53,Total Current Liabilities,21300000,11900000,11200000,17600000,16400000,51900000,67800000,65700000,80300000,76100000,150600000,156400000,235000000,- -,265500000,279179000,330130000,751454000,598373000,1199316000,1352456000,854360000,1494132000,1128859000,608622000,2154380000,1802562000,1132382000,1311424000,1567475000,1006499000,821934000,919476000,832077000,656548000,515469000,525228000
54,Long-Term Debt,12900000,42000000,14800000,1600000,5900000,37800000,51900000,46800000,68900000,57500000,51500000,229500000,229500000,- -,482600000,854777000,1567616000,1614656000,1985553000,1201686000,1251751000,4004074000,3306433000,3887711000,3940605000,3064126000,4348490000,4379336000,3904117000,4348859000,3655200000,3578335000,4027766000,3585884000,3333220000,2968701000,3262795000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6500000,6500000,1100000,1400000,1200000,2600000,2300000,2300000,- -,800000,4000000,18400000,28300000,- -,93000000,97297000,285401000,402054000,372824000,385877000,716645000,584472000,541982000,497415000,673427000,770247000,797925000,599335000,516161000,443003000,29326000,9495000,10338000,6311000,3149000,1576000,2773000
57,Other Non-Current Liabilities,144800000,1800000,49800000,100000,-100000,13600000,- -,9800000,9900000,7800000,8600000,9200000,13600000,- -,86800000,99147000,110902000,137253000,155667000,146337000,151415000,162744000,246714000,261878000,240057000,314953000,361946000,587852000,446932000,601816000,552947000,522456000,505631000,679346000,717576000,760874000,340347000
58,Total Non-Current Liabilities,164200000,50300000,65700000,3100000,7000000,54000000,54200000,58900000,78800000,66100000,64100000,257100000,271400000,- -,662400000,1051221000,1963919000,2153963000,2514044000,1733900000,2119811000,4751290000,4095129000,4647004000,4854089000,4149326000,5508361000,5566523000,4867210000,5393678000,4237473000,4110286000,4543735000,4271541000,4053945000,3731151000,3605915000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13479000,8305000,5422000
61,Total Liabilities,185500000,62200000,76900000,20700000,23400000,105900000,122000000,124600000,159100000,142200000,214700000,413500000,506400000,- -,927900000,1330400000,2294049000,2905417000,3112417000,2933216000,3472267000,5605650000,5589261000,5775863000,5462711000,6303706000,7310923000,6698905000,6178634000,6961153000,5243972000,4932220000,5463211000,5103618000,4710493000,4246620000,4131143000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,6000,5000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,14715000,14771000,145000,147000,150000,158000,299000,305000,312000,314000,315000,317000,319000,324000,328000,331000,334000,368000,410000,416000,419000,466000
64,Retained Earnings,-48100000,8100000,-77500000,1900000,5400000,15800000,35500000,59600000,93900000,86800000,138100000,200200000,312300000,- -,506300000,643629000,1001079000,927955000,1120183000,1422640000,1989526000,2473373000,3359080000,3910253000,3613186000,3707881000,3956364000,4120398000,4213212000,3573172000,3131134000,2033427000,1423154000,650842000,-104775000,-946100000,-1537988000
65,Other Comprehensive Income/Loss,-113000000,-122300000,-189300000,-131800000,-117300000,-107100000,-114600000,-126400000,-140600000,-172700000,-212400000,-250900000,-315600000,- -,-482900000,-596094000,-703475000,-855905000,-1106218000,-1399837000,193000000,201000000,323000000,54000000,293000000,342000000,321000000,432000000,216000000,78000000,-48000000,-12000000,11000000,-29000000,-12000000,-11000000,-10634000
66,Other Total Stockholders Equity,155500000,172100000,239900000,164800000,156500000,194500000,219600000,251600000,314400000,362700000,443100000,508500000,731100000,- -,1433000000,1744218000,1545491000,2086260000,2476163000,2906440000,1575456000,861981000,831736000,727554000,1261156000,1277966000,1310134000,1392212000,1539550000,1257119000,1199245000,1225264000,1477294000,2078592000,2099164000,2108060000,2138812000
67,Total Stockholders Equity,-5600000,57900000,-26900000,34900000,44600000,103200000,140500000,184800000,267700000,276800000,368800000,457800000,727800000,- -,1470100000,1806468000,1857866000,2158455000,2490275000,2929393000,3758140000,3536653000,4514121000,4692119000,5167656000,5328162000,5587815000,5944929000,5969086000,4908619000,4282710000,3247025000,2911816000,2700850000,1982811000,1151384000,590656000
68,Total Liabilities And Stockholders Equity,179900000,120100000,50000000,55600000,68000000,209100000,262500000,309400000,426800000,419000000,583500000,871300000,1234200000,- -,2398000000,3136868000,4151915000,5063872000,5602692000,5862609000,7230407000,9142303000,10103382000,10467982000,10630367000,11631868000,12898738000,12643834000,12147720000,11869772000,9526682000,8179245000,8375027000,7804468000,6693304000,5398004000,4721799000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14323000,14701000,13402000,12188000,12091000,10170000,11158000,7770000,26957000,49476000,67354000,105424000,803565000
70,Total Liabilities & Equity,179900000,120100000,50000000,55600000,68000000,209100000,262500000,309400000,426800000,419000000,583500000,871300000,1234200000,- -,2398000000,3136868000,4151915000,5063872000,5602692000,5862609000,7230407000,9142303000,10103382000,10467982000,10644690000,11646569000,12912140000,12656022000,12159811000,11879942000,9537840000,8187015000,8401984000,7853944000,6760658000,5503428000,5525364000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012903001724/0000950129-03-001724-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163739/000095012907001102/h44035e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095012908001323/h54178e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000095013409004091/0000950134-09-004091-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012310018307/0000950123-10-018307-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000095012311020720/h78262e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163739/000119312512089662/0001193125-12-089662-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000110465913016655/0001104659-13-016655-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000104746914001701/a2218436z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000104746915001506/a2223297z10-k.htm,https://www.sec.gov/Archives/edgar/data/1163739/000110465916100551/0001104659-16-100551-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837017001099/0001558370-17-001099-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837018001382/0001558370-18-001382-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837019001349/0001558370-19-001349-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837020001335/0001558370-20-001335-index.html,https://www.sec.gov/Archives/edgar/data/1163739/000155837021001631/0001558370-21-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1163739/000155837022001407/0001558370-22-001407-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,14600000,27100000,33800000,34300000,700000,51100000,70500000,114800000,125000000,27700000,137356000,357450000,121489000,192228000,302457000,648695000,1020736000,930691000,551173000,-85546000,94695000,243679000,167034000,142982000,-668675000,-372675000,-1029742000,-546811000,-640948000,-702885000,-805641000,-569272000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4500000,8500000,14400000,18700000,19900000,31000000,46100000,66400000,84900000,99800000,152413000,221548000,226205000,266264000,326708000,369579000,420785000,555397000,668238000,669259000,767183000,927460000,1055757000,1099741000,1145328000,970442000,874296000,845439000,868509000,876103000,853697000,693382000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1300000,-200000,- -,-700000,800000,2600000,2600000,56100000,34700000,20400000,71639000,110772000,9100000,-26099000,12514000,194738000,218323000,-24725000,61619000,-218760000,55964000,-34739000,-145147000,-103277000,-240195000,-203145000,-206670000,9096000,71579000,35894000,64717000,-10711000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106725000,13746000,21244000,18312000,53255000,37190000,47313000,32000000,31896000,26396000,24660000,24638000,19362000
77,Change in Working Capital,- -,- -,- -,- -,- -,-8200000,22700000,-15800000,20600000,72000000,-23900000,-51200000,139300000,-101300000,125000000,543339000,-38323000,-82362000,298820000,-535616000,883194000,385644000,-939516000,326754000,530308000,-1109492000,827202000,714723000,-558069000,-268007000,-705001000,-135493000,193955000,233626000,-169368000,23878000,188135000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450530000,-249725000,-459455000,200537000,-44561000,-126883000,529151000,250400000,-165353000,-66486000,276685000,67502000,71805000
