,https://roic.ai/company/SXT,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,0.0889,0.0718,0.0876,0.0918,0.1041,0.1298,0.1459,0.1132,0.1145,0.1264,0.1881,0.1266,0.1547,0.1772,0.1826,0.1568,0.1774,0.1684,0.1534,0.1376,0.1028,0.1243,0.1313,0.1645,0.1574,0.1314,0.1334,0.1642,0.1529,0.1202,0.1554,0.1706,0.1588,0.1850,0.1331,0.1519,0.1609
17,Operating Income,- -,34900000,45700000,55400000,62300000,77200000,91300000,106300000,102700000,105700000,109100000,102900000,108900000,107200000,128900000,145100000,131193000,121490000,146495000,137484000,129156000,94214000,129277000,147370000,161599000,146963000,174577000,190823000,191208000,172362000,130665000,166341000,185609000,167806000,203378000,121110000,152656000,170028000
18,Operating Income ratio,- -,0.0710,0.0758,0.0780,0.0864,0.0922,0.1088,0.1274,0.1163,0.1186,0.1173,0.1298,0.1350,0.1298,0.1504,0.1577,0.1621,0.1487,0.1559,0.1392,0.1233,0.0920,0.1177,0.1244,0.1290,0.1223,0.1314,0.1334,0.1310,0.1174,0.0902,0.1209,0.1342,0.1232,0.1467,0.0915,0.1146,0.1232
19,Total Other Income Expenses (Gains),- -,-3600000,-16600000,-9000000,-12700000,-10600000,-8800000,-14000000,-35700000,-15100000,-28000000,11700000,-40300000,-16800000,-21300000,-26100000,-53165000,-31531000,-29523000,-29140000,-31265000,-35737000,-35748000,-36127000,-32306000,-23788000,-20384000,-19439000,-16901000,-16147000,-16067000,-16945000,-18324000,-19383000,-21853000,-20107000,-14811000,-12544000
20,Income Before Tax,- -,31300000,29100000,46400000,49600000,66600000,82500000,92300000,67000000,90600000,81100000,114600000,68600000,90400000,107600000,119000000,78028000,89959000,116972000,108344000,97891000,58477000,93529000,111243000,129293000,123175000,154193000,171384000,174307000,156215000,114598000,149396000,167285000,148423000,181525000,101003000,137845000,157484000
21,Income Before Tax Ratio,- -,0.0637,0.0483,0.0654,0.0688,0.0795,0.0983,0.1106,0.0758,0.1016,0.0872,0.1445,0.0851,0.1095,0.1256,0.1293,0.0964,0.1101,0.1245,0.1097,0.0935,0.0571,0.0851,0.0939,0.1032,0.1025,0.1161,0.1198,0.1195,0.1064,0.0792,0.1086,0.1209,0.1090,0.1309,0.0763,0.1035,0.1141
22,Income Tax expense (Gain),- -,13900000,13700000,21600000,22000000,26600000,33100000,34500000,25300000,34000000,30200000,48500000,24400000,25700000,35000000,38900000,21681000,24996000,36282000,26912000,23973000,14282000,27104000,33457000,38432000,36614000,47049000,50900000,50399000,42920000,32827000,42149000,44372000,58823000,24165000,18956000,28373000,38739000
23,Net Income,- -,17400000,15400000,24800000,27600000,40000000,49400000,57800000,41700000,33000000,50900000,66100000,44200000,64700000,72600000,80100000,59612000,73602000,80690000,81432000,73918000,44195000,66425000,77786000,90861000,86561000,107144000,120484000,123908000,113295000,73646000,106785000,126256000,89600000,157360000,82047000,109472000,118745000
24,Net Income ratio,- -,0.0354,0.0256,0.0349,0.0383,0.0478,0.0589,0.0693,0.0472,0.0370,0.0547,0.0834,0.0548,0.0784,0.0847,0.0870,0.0737,0.0901,0.0859,0.0825,0.0706,0.0432,0.0605,0.0657,0.0725,0.0720,0.0807,0.0842,0.0849,0.0772,0.0509,0.0776,0.0913,0.0658,0.1135,0.0620,0.0822,0.0860
25,EPS,- -,0.37,0.32,0.47,0.56,0.80,0.98,1.09,0.79,0.63,0.97,1.27,0.85,1.27,1.42,1.59,1.27,1.54,1.70,1.74,1.59,0.95,1.45,1.66,1.91,1.79,2.18,2.42,2.50,2.28,1.52,2.33,2.84,2.05,3.71,1.94,2.59,2.81
26,EPS Diluted,- -,0.37,0.32,0.47,0.56,0.80,0.98,1.09,0.79,0.63,0.97,1.27,0.85,1.27,1.40,1.57,1.26,1.54,1.69,1.73,1.58,0.94,1.44,1.65,1.89,1.78,2.17,2.41,2.49,2.27,1.51,2.31,2.82,2.03,3.70,1.94,2.59,2.80
27,Weighted Average Shares Outstanding,- -,47027027,48125000,52765957,49285714,50000000,50408163,53027523,52784810,52380952,52262000,52122000,51596000,51026000,51155000,50528000,48898000,47671000,47379000,46741000,46562000,46746000,45900000,46740000,47654000,48379000,49138000,49746000,49596000,49755000,48525000,45910000,44523000,43780000,42404000,42263000,42301000,42301000
28,Weighted Average Shares Outstanding Diluted,- -,47027027,48125000,52765957,49285714,50000000,50408163,53027523,52784810,52380952,52262000,52122000,51596000,51444444,51837000,51109000,49166000,47926000,47788000,47041000,46877000,47067000,46204000,47257000,48131000,48641000,49424000,49937000,49822000,49934000,48819000,46204000,44843000,44031000,42499000,42294000,42346000,42346000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000089706994000121/0000897069-94-000121-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706995000215/0000897069-95-000215-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706996000442/0000897069-96-000442-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012497006655/0000950124-97-006655-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012498007741/0000950124-98-007741-index.html,- -,https://www.sec.gov/Archives/edgar/data/310142/000095013001001497/0000950130-01-001497-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000119312505050657/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312506054705/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312507043088/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312508043100/0001193125-08-043100-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312509041687/0001193125-09-041687-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312510043675/0001193125-10-043675-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012311018319/c61215e10vk.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036112011033/0001140361-12-011033-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036113009616/0001140361-13-009616-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036114010109/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036115009106/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036116054898/0001140361-16-054898-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036117008738/0001140361-17-008738-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036118009754/0001140361-18-009754-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036119003673/0001140361-19-003673-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036120003752/0001140361-20-003752-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036121005623/0001140361-21-005623-index.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036122006156/0001140361-22-006156-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9200000,8900000,14900000,2600000,3900000,8200000,13200000,11000000,11400000,43400000,8700000,3400000,1300000,1600000,- -,3217000,2317000,2103000,3250000,2243000,7068000,5035000,10522000,8498000,12219000,14255000,22855000,15062000,19836000,20329000,11997000,25865000,29344000,31901000,21153000,24770000,25740000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9200000,8900000,14900000,2600000,3900000,8200000,13200000,11000000,11400000,43400000,8700000,3400000,1300000,1600000,- -,3217000,2317000,2103000,3250000,2243000,7068000,5035000,10522000,8498000,12219000,14255000,22855000,15062000,19836000,20329000,11997000,25865000,29344000,31901000,21153000,24770000,25740000
34,Net Receivables,- -,54400000,64300000,60000000,68000000,78600000,69200000,75300000,89300000,94300000,95300000,105800000,105900000,117300000,121800000,- -,121719000,134626000,160155000,168073000,172912000,163724000,178307000,196458000,198903000,200186000,218614000,219494000,237626000,233751000,228907000,232047000,194509000,195439000,255350000,213201000,234132000,261121000
35,Inventory,- -,83000000,107300000,99900000,103000000,115700000,132900000,174100000,174500000,174600000,156100000,179000000,174200000,185600000,197100000,- -,235363000,240955000,269701000,318755000,328191000,313513000,333070000,361534000,381246000,390011000,392166000,414449000,442714000,474452000,449409000,409159000,404320000,463517000,490757000,422517000,381346000,411635000
36,Other Current Assets,- -,6900000,10700000,9200000,15100000,15600000,15700000,21600000,25400000,31800000,33000000,32900000,41100000,38000000,37300000,- -,131099000,37324000,43619000,46652000,32898000,36039000,35290000,41530000,38876000,55693000,47270000,50072000,55952000,61786000,60744000,100140000,92367000,45175000,44857000,131342000,101338000,42657000
37,Total Current Assets,- -,153500000,191200000,184000000,188700000,213800000,226000000,284200000,300200000,312100000,327800000,326400000,324600000,342200000,357800000,- -,491398000,415222000,475578000,536730000,536244000,520344000,551702000,610044000,627523000,658109000,672305000,706870000,751354000,789825000,759389000,753343000,717061000,733475000,822865000,788213000,741586000,741153000
38,PP&E,- -,109600000,145600000,143000000,147900000,180400000,214300000,252800000,268900000,282000000,255700000,259700000,268500000,309000000,355600000,- -,315508000,312300000,331238000,391798000,415651000,379380000,391456000,418334000,402866000,425617000,432536000,451539000,514708000,565308000,495567000,469678000,476523000,498523000,491056000,437179000,445493000,446478000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449194000,476611000,440416000,455995000,445115000,444365000,451318000,457269000,424114000,399646000,383568000,408995000,416175000,407042000,423290000,420034000
40,Intangible Assets,- -,18200000,50600000,49300000,50500000,72900000,87900000,94900000,107900000,107400000,147800000,148700000,141500000,181300000,217000000,- -,293600000,305174000,397476000,446475000,470331000,435165000,14507000,14789000,13754000,13621000,13219000,12660000,11578000,10546000,8760000,9209000,8126000,7211000,18867000,11802000,10930000,14975000
41,Intangible Assets,- -,18200000,50600000,49300000,50500000,72900000,87900000,94900000,107900000,107400000,147800000,148700000,141500000,181300000,217000000,- -,293600000,305174000,397476000,446475000,470331000,435165000,463701000,491400000,454170000,469616000,458334000,457025000,462896000,467815000,432874000,408855000,391694000,416206000,435042000,418844000,434220000,435009000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3149000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12120000,7885000,9189000,14976000,29678000,29901000
44,Other Non-Current Assets,- -,10900000,12900000,15400000,17100000,21500000,20600000,21300000,25100000,28500000,32400000,42100000,45900000,55200000,60800000,- -,63743000,72124000,85679000,78525000,66352000,63384000,44059000,44404000,40878000,38349000,36093000,38730000,47685000,47786000,77376000,79561000,70462000,68251000,66788000,80939000,89883000,92952000
45,Total Non-Current Assets,- -,138700000,209100000,207700000,215500000,274800000,322800000,369000000,401900000,417900000,435900000,450500000,455900000,545500000,633400000,- -,672851000,689598000,814393000,916798000,952334000,877929000,902365000,954138000,897914000,933582000,926963000,947294000,1025289000,1080909000,1005817000,958094000,950799000,990865000,1002075000,951938000,999274000,1004340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,292200000,400300000,391700000,404200000,488600000,548800000,653200000,702100000,730000000,763700000,776900000,780500000,887700000,991200000,- -,1164249000,1104820000,1289971000,1453528000,1488578000,1398273000,1454067000,1564182000,1525437000,1591691000,1599268000,1654164000,1776643000,1870734000,1765206000,1711437000,1667860000,1724340000,1824940000,1740151000,1740860000,1745493000
48,Accounts Payable,- -,- -,- -,- -,- -,97900000,109000000,121200000,125400000,129500000,127800000,121900000,127600000,135500000,122300000,- -,115615000,95897000,55546000,67535000,75066000,77080000,80916000,88812000,82976000,88915000,95852000,93851000,96283000,99117000,99033000,95442000,92450000,109780000,131812000,94653000,107324000,125519000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25300000,28200000,8700000,12900000,49700000,- -,107147000,68466000,46992000,128733000,90043000,270559000,91226000,57487000,34213000,39181000,25450000,22974000,20048000,7050000,15888000,20655000,20578000,20130000,20046000,20612000,9247000,8539000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988000,692000,7120000,4377000,3797000,5478000,3591000,7504000,14080000,11036000,8234000,6841000,4598000,11016000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,68600000,93800000,89100000,99000000,23200000,26300000,36100000,59300000,45000000,39100000,32500000,25900000,30100000,37800000,- -,29370000,27825000,106792000,86152000,90116000,94448000,88468000,82974000,79082000,88049000,83761000,90450000,87905000,116726000,109984000,96825000,100647000,86413000,62842000,86110000,99384000,98247000
53,Total Current Liabilities,- -,68600000,93800000,89100000,99000000,121100000,135300000,157300000,184700000,174500000,192200000,182600000,162200000,178500000,209800000,- -,252132000,192188000,209330000,282420000,255225000,442087000,260610000,229273000,196271000,216145000,205063000,207275000,204236000,222893000,224905000,212922000,213675000,216323000,214700000,201375000,215955000,232305000
54,Long-Term Debt,- -,73800000,111500000,85300000,85300000,125500000,117100000,152200000,167700000,171900000,172200000,160700000,196900000,252500000,291600000,- -,417141000,423137000,511707000,525924000,525153000,283123000,441306000,449621000,445682000,388852000,324360000,312422000,333979000,348124000,451011000,613877000,582780000,604159000,689553000,598499000,518004000,503006000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,17600000,22400000,26900000,24700000,23400000,14000000,22100000,24200000,20600000,17300000,14500000,12800000,17600000,25500000,- -,35707000,18071000,10942000,23529000,10470000,4881000,- -,12548000,14590000,12810000,21034000,21822000,13032000,19956000,- -,12970000,9650000,18724000,28976000,15053000,13411000,14349000
57,Other Non-Current Liabilities,- -,3700000,7400000,7400000,17500000,15200000,39000000,29600000,22300000,57900000,54600000,57300000,57600000,58600000,58700000,- -,42211000,40608000,58634000,41537000,39032000,45954000,48047000,58319000,50298000,65189000,65026000,63435000,71498000,37077000,42355000,26541000,26014000,32833000,31764000,43635000,59154000,57408000
58,Total Non-Current Liabilities,- -,95100000,141300000,119600000,127500000,164100000,170100000,203900000,214200000,250400000,244100000,232500000,267300000,328700000,375800000,- -,495059000,481816000,581283000,590990000,574655000,333958000,489353000,520488000,510570000,466851000,410420000,397679000,418509000,405157000,493366000,653388000,618444000,655716000,750293000,657187000,590569000,574763000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,163700000,235100000,208700000,226500000,285200000,305400000,361200000,398900000,424900000,436300000,415100000,429500000,507200000,585600000,- -,747191000,674004000,790613000,873410000,829880000,776045000,749963000,749761000,706841000,682996000,615483000,604954000,622745000,628050000,718271000,866310000,832119000,872039000,964993000,858562000,806524000,807068000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000,5396000
64,Retained Earnings,- -,96000000,103300000,118400000,123700000,150300000,182500000,217800000,237100000,246900000,273800000,314900000,333300000,371400000,416900000,- -,518128000,566374000,621525000,674803000,720625000,736544000,774677000,818180000,873444000,922963000,991094000,1069610000,1150092000,1217874000,1243627000,1302302000,1378923000,1414485000,1516243000,1536100000,1578662000,1630713000
65,Other Comprehensive Income/Loss,- -,-58800000,-71100000,-84300000,-95200000,-109600000,-109600000,-140400000,-158500000,-190200000,-172700000,-187700000,-211300000,-227100000,-270000000,- -,-238753000,-267561000,-62879000,-24803000,1067000,-38567000,1273000,47970000,-26288000,-1290000,-14630000,-39048000,-4585000,6002000,-85128000,-170062000,-213465000,-149334000,-165555000,-163008000,-159091000,-174628000
66,Other Total Stockholders Equity,- -,91300000,133000000,148900000,149200000,162700000,170500000,214600000,224600000,248400000,226300000,234600000,229000000,236200000,258700000,- -,132287000,126607000,-64684000,-75278000,-68390000,-81145000,-77242000,-57125000,-33956000,-18374000,1925000,13252000,2995000,13412000,-116960000,-292509000,-335113000,-418246000,-496137000,-496899000,-490631000,-523056000
67,Total Stockholders Equity,- -,128500000,165200000,183000000,177700000,203400000,243400000,292000000,303200000,305100000,327400000,361800000,351000000,380500000,405600000,- -,417058000,430816000,499358000,580118000,658698000,622228000,704104000,814421000,818596000,908695000,983785000,1049210000,1153898000,1242684000,1046935000,845127000,835741000,852301000,859947000,881589000,934336000,938425000
68,Total Liabilities And Stockholders Equity,- -,292200000,400300000,391700000,404200000,488600000,548800000,653200000,702100000,730000000,763700000,776900000,780500000,887700000,991200000,- -,1164249000,1104820000,1289971000,1453528000,1488578000,1398273000,1454067000,1564182000,1525437000,1591691000,1599268000,1654164000,1776643000,1870734000,1765206000,1711437000,1667860000,1724340000,1824940000,1740151000,1740860000,1745493000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,292200000,400300000,391700000,404200000,488600000,548800000,653200000,702100000,730000000,763700000,776900000,780500000,887700000,991200000,- -,1164249000,1104820000,1289971000,1453528000,1488578000,1398273000,1454067000,1564182000,1525437000,1591691000,1599268000,1654164000,1776643000,1870734000,1765206000,1711437000,1667860000,1724340000,1824940000,1740151000,1740860000,1745493000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000089706994000121/0000897069-94-000121-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706995000215/0000897069-95-000215-index.html,https://www.sec.gov/Archives/edgar/data/310142/000089706996000442/0000897069-96-000442-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012497006655/0000950124-97-006655-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012498007741/0000950124-98-007741-index.html,undefined,https://www.sec.gov/Archives/edgar/data/310142/000095013001001497/0000950130-01-001497-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310142/000119312505050657/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312506054705/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312507043088/d10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000119312508043100/0001193125-08-043100-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312509041687/0001193125-09-041687-index.html,https://www.sec.gov/Archives/edgar/data/310142/000119312510043675/0001193125-10-043675-index.html,https://www.sec.gov/Archives/edgar/data/310142/000095012311018319/c61215e10vk.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036112011033/0001140361-12-011033-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036113009616/0001140361-13-009616-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036114010109/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036115009106/form10k.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036116054898/0001140361-16-054898-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036117008738/0001140361-17-008738-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036118009754/0001140361-18-009754-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036119003673/0001140361-19-003673-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036120003752/0001140361-20-003752-index.html,https://www.sec.gov/Archives/edgar/data/310142/000114036121005623/0001140361-21-005623-index.htm,https://www.sec.gov/Archives/edgar/data/310142/000114036122006156/0001140361-22-006156-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,40000000,49400000,57800000,41700000,33000000,50900000,66100000,44200000,64700000,72600000,80100000,59612000,73602000,80690000,81432000,73918000,44195000,66425000,77786000,90861000,86561000,107144000,120484000,123908000,113295000,73646000,106785000,126256000,89600000,157360000,82047000,109472000,118745000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,20600000,26400000,29400000,33000000,35100000,36400000,34600000,33500000,37300000,44200000,49000000,45554000,46290000,41290000,43098000,46243000,46769000,43044000,44312000,44445000,42183000,- -,- -,48352000,52016000,51456000,47939000,47019000,48518000,53244000,55015000,49641000,52051000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1300000,-9400000,8100000,2000000,3000000,-4900000,-5900000,-1700000,4800000,8100000,9200000,4829000,-9496000,-2592000,10538000,- -,-10105000,-278000,9381000,3329000,-3895000,8685000,-3138000,2916000,-6178000,-16780000,-4452000,10428000,17414000,9844000,-19340000,-8705000,-6071000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3798000,3860000,5678000,7819000,10086000,8430000,6265000,1598000,7709000,5855000,503000,-739000,5608000,9573000
