,https://roic.ai/company/WY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,486930000,489395000,506105000,526492537,546634615,526336898,504500000,510989011,515480427,514860140,511287313,498497268,500000000,500000000,516666667,564516129,549689441,552752294,554000000,590699816,614932886,615489130,550139276,528145000,528355000,321096000,539879000,542310000,571239000,560899000,519618000,722401000,756666000,756827000,745897000,747899000,747899000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106535/000010653595000002/0000106535-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653596000008/0000106535-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653597000007/0000106535-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653598000004/0000106535-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653599000007/0000106535-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653500000007/0000106535-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653501500006/0000106535-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/106535/000089102002000172/v79391e10-k405.htm,https://www.sec.gov/Archives/edgar/data/106535/000089102003000649/0000891020-03-000649-index.html,https://www.sec.gov/Archives/edgar/data/106535/000095012404000703/0000950124-04-000703-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312505041798/0001193125-05-041798-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312506036731/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312507044292/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312508042058/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000119312509039546/0001193125-09-039546-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312510041278/0001193125-10-041278-index.html,https://www.sec.gov/Archives/edgar/data/106535/000119312511047563/d10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653512000016/0000106535-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653513000011/0000106535-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653514000010/wy-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653515000006/wy-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/106535/000010653516000046/0000106535-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653517000007/0000106535-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653518000013/0000106535-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/106535/000010653519000014/0000106535-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459020004822/0001564590-20-004822-index.html,https://www.sec.gov/Archives/edgar/data/106535/000156459021006960/0001564590-21-006960-index.htm,https://www.sec.gov/Archives/edgar/data/106535/000156459022005707/0001564590-22-005707-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,84000000,33000000,100000000,28000000,1640000000,123000000,202000000,115000000,171000000,1044000000,818000000,243000000,93000000,2294000000,1869000000,1467000000,950000000,898000000,835000000,1580000000,1012000000,676000000,824000000,334000000,139000000,495000000,1879000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,49000000,- -,- -,- -,- -,- -,- -,- -,- -,253000000,362000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,84000000,33000000,100000000,28000000,1640000000,123000000,202000000,115000000,171000000,1044000000,818000000,243000000,93000000,2432000000,1918000000,1467000000,950000000,898000000,835000000,1580000000,1012000000,676000000,824000000,587000000,501000000,495000000,1879000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,909000000,1223000000,902000000,913000000,886000000,1296000000,1328000000,1024000000,1413000000,1484000000,1604000000,1727000000,1713000000,1333000000,771000000,1150000000,502000000,490000000,635000000,670000000,550000000,517000000,474000000,410000000,474000000,407000000,532000000,531000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,746000000,960000000,1001000000,983000000,962000000,1329000000,1499000000,1428000000,1941000000,1911000000,2045000000,1917000000,1929000000,1255000000,737000000,447000000,478000000,476000000,531000000,542000000,595000000,568000000,358000000,383000000,389000000,416000000,443000000,520000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000000,265000000,289000000,298000000,294000000,278000000,427000000,407000000,419000000,455000000,600000000,414000000,400000000,333000000,273000000,191000000,194000000,149000000,148000000,279000000,308000000,77000000,114000000,98000000,152000000,287000000,139000000,205000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1978000000,2532000000,2225000000,2294000000,2170000000,4543000000,3377000000,3061000000,3888000000,4021000000,5293000000,4876000000,4285000000,3014000000,4213000000,3706000000,2641000000,2065000000,2212000000,2326000000,3033000000,2174000000,1622000000,1715000000,1602000000,1611000000,1609000000,3135000000
