,https://roic.ai/company/NEM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,734500000,304200000,334600000,365400000,460900000,524300000,479900000,509500000,552200000,571200000,642100000,721600000,1230600000,1858000000,1181800000,1425950000,1640000000,2440778000,2510000000,3308009000,3429000000,3564000000,4203000000,4807000000,4753000000,5302000000,6232000000,6546000000,7498000000,6514000000,6457000000,5702000000,6039000000,6074000000,8199000000,8528000000,10234000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,16000000,11000000,- -,12000000,13000000,4000000,- -,- -,28000000,56000000,57000000,24000000,18000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000000,120000000,279000000,244000000,249000000,303000000,361000000,325000000,273000000,241000000,207000000,301000000,308000000,274000000
14,Depreciation and Amortization,- -,- -,- -,- -,69300000,84800000,94000000,98800000,110000000,91100000,106800000,124800000,321000000,341700000,296400000,415349000,349000000,542793000,528000000,700615000,615000000,636000000,695000000,747000000,806000000,945000000,1036000000,1032000000,1362000000,1229000000,1239000000,1220000000,1249000000,1215000000,1960000000,2300000000,2323000000
15,EBITDA,-37500000,113900000,449100000,221000000,221400000,499400000,216200000,180600000,261800000,137900000,236400000,190500000,381500000,-232600000,335600000,407712000,273000000,720754000,1210000000,1419824000,1251000000,1851000000,-991000000,1815000000,3011000000,4357000000,2359000000,3959000000,-1610000000,2231000000,2428000000,1429000000,2517000000,2149000000,5898000000,6141000000,4861000000
16,EBITDA ratio,-0.0547,0.2991,0.8737,0.4419,0.3803,0.7307,0.3471,0.2945,0.4127,0.2308,0.3716,0.2479,0.2426,-0.1600,0.2399,0.2602,0.1649,0.2626,0.3765,0.3138,0.2839,0.3712,-0.1793,0.2928,0.3908,0.4567,0.2277,0.4012,-0.1935,0.3060,0.3141,0.2129,0.3425,0.2963,0.6055,0.5341,0.3977
17,Operating Income,-48400000,76600000,179400000,134700000,121200000,159200000,142900000,103700000,82100000,26200000,-5900000,46900000,342200000,-404100000,217100000,140723000,16000000,304222000,704000000,1216176000,977000000,1423000000,1323000000,1392000000,2952000000,4238000000,4126000000,3322000000,824000000,778000000,1272000000,1009000000,1309000000,1179000000,1541000000,2969000000,1988000000
18,Operating Income ratio,-0.0705,0.2012,0.3490,0.2693,0.2082,0.2329,0.2294,0.1691,0.1294,0.0439,-0.0093,0.0610,0.2176,-0.2779,0.1552,0.0898,0.0097,0.1108,0.2190,0.2688,0.2217,0.2853,0.2394,0.2246,0.3831,0.4442,0.3983,0.3366,0.0990,0.1067,0.1646,0.1504,0.1781,0.1626,0.1582,0.2582,0.1627
19,Total Other Income Expenses (Gains),9800000,38000000,269700000,3500000,34500000,81300000,-20700000,-10300000,31200000,20600000,135500000,18800000,-281700000,-137300000,-177900000,-139953000,-92000000,-133962000,221000000,-117171000,87000000,202000000,-2086000000,-116000000,-39000000,-241000000,-2316000000,-208000000,-4409000000,-272000000,-306000000,-1223000000,-217000000,-441000000,2152000000,174000000,-880000000
20,Income Before Tax,-38600000,114600000,449100000,138200000,155700000,240500000,122200000,93400000,113300000,46800000,129600000,65700000,60500000,-541400000,39200000,770000,-76000000,170260000,925000000,1099005000,1064000000,1625000000,-763000000,1276000000,2913000000,3997000000,1810000000,3114000000,-3585000000,506000000,966000000,-214000000,1092000000,738000000,3693000000,3143000000,1108000000
21,Income Before Tax Ratio,-0.0563,0.3009,0.8737,0.2763,0.2675,0.3519,0.1962,0.1523,0.1786,0.0783,0.2037,0.0855,0.0385,-0.3724,0.0280,0.0005,-0.0459,0.0620,0.2878,0.2429,0.2415,0.3258,-0.1381,0.2058,0.3781,0.4190,0.1747,0.3156,-0.4308,0.0694,0.1250,-0.0319,0.1486,0.1018,0.3792,0.2734,0.0907
22,Income Tax expense (Gain),-53500000,46100000,111500000,46100000,26200000,72000000,27900000,2800000,18600000,-29300000,17000000,-19400000,-7900000,-180900000,14400000,11310000,-53000000,19900000,207000000,275882000,314000000,424000000,200000000,113000000,788000000,856000000,713000000,869000000,-813000000,133000000,644000000,563000000,1125000000,386000000,832000000,704000000,1098000000
23,Net Income,16000000,67800000,337600000,174900000,125900000,342600000,94300000,79000000,133200000,76100000,112600000,85100000,68400000,-393400000,24800000,-18947000,-23000000,158061000,475000000,443327000,322000000,791000000,-1886000000,853000000,1297000000,2277000000,366000000,1809000000,-2462000000,508000000,220000000,-627000000,-98000000,341000000,2805000000,2829000000,1166000000
24,Net Income ratio,0.0233,0.1780,0.6568,0.3497,0.2163,0.5012,0.1514,0.1288,0.2100,0.1274,0.1770,0.1107,0.0435,-0.2706,0.0177,-0.0121,-0.0139,0.0576,0.1478,0.0980,0.0731,0.1586,-0.3413,0.1376,0.1683,0.2387,0.0353,0.1833,-0.2958,0.0697,0.0285,-0.0934,-0.0133,0.0470,0.2880,0.2461,0.0954
25,EPS,0.22,0.36,4.21,3.05,1.50,4.05,1.11,0.90,2.02,0.80,0.95,0.63,0.44,-2.47,0.15,-0.11,-0.16,0.42,1.16,1.00,0.72,1.76,-4.17,1.88,2.66,4.63,0.74,3.65,-4.94,1.02,0.43,-1.18,-0.21,0.64,3.82,3.52,0.29
26,EPS Diluted,0.22,0.36,4.21,3.05,1.50,4.05,1.11,0.90,2.02,0.80,0.95,0.63,0.44,-2.47,0.15,-0.11,-0.16,0.41,1.15,0.99,0.72,1.75,-4.17,1.87,2.66,4.55,0.73,3.63,-4.94,1.02,0.43,-1.18,-0.21,0.64,3.81,3.51,0.29
27,Weighted Average Shares Outstanding,72727273,76022000,80190024,84045000,83933333,84592593,84954955,85888889,85491803,75375000,106000000,120800000,155454545,159271255,165333333,168078000,195059000,370940000,410600000,443463000,446000000,450000000,452000000,454000000,487000000,492000000,494000000,496000000,498380567,498039216,511627907,531355932,533000000,533000000,735000000,804000000,799000000
28,Weighted Average Shares Outstanding Diluted,72727273,76022000,80190024,84045000,83933333,84592593,84954955,85888889,85491803,75375000,106000000,120800000,155454545,159271255,165333333,168078000,195059000,372975000,413723000,446511000,449000000,452000000,452000000,455000000,487000000,500000000,504000000,499000000,498380567,498039216,511627907,531355932,535000000,535000000,736220472,806000000,800000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164727/000104596903000796/0001045969-03-000796-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312504042223/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312505050868/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312506043441/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312507038537/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312508035169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000095013409003236/0000950134-09-003236-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012310016613/0000950123-10-016613-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012311017350/d79003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/0001193125-12-075918-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/0001193125-13-070256-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312514061205/d653301d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/nem-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1164727/000155837016003258/0001558370-16-003258-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837017000729/0001558370-17-000729-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837018000894/0001558370-18-000894-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837019000806/0001558370-19-000806-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837020001041/0001558370-20-001041-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/0001164727-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/0001164727-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401683000,1314000000,782706000,1082000000,1166000000,1231000000,435000000,3215000000,4056000000,1760000000,1561000000,1555000000,2403000000,2782000000,2756000000,3259000000,3397000000,2243000000,5540000000,4992000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13188000,145000000,943162000,817000000,109000000,61000000,12000000,56000000,113000000,94000000,86000000,78000000,73000000,19000000,56000000,62000000,48000000,237000000,290000000,82000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414871000,1459000000,1725868000,1899000000,1275000000,1292000000,447000000,3271000000,4169000000,1854000000,1647000000,1633000000,2476000000,2801000000,2812000000,3321000000,3445000000,2480000000,5830000000,5074000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44510000,91000000,210477000,230000000,358000000,345000000,327000000,551000000,670000000,1428000000,860000000,612000000,600000000,445000000,343000000,237000000,346000000,373000000,449000000,337000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498317000,474000000,264374000,320000000,760000000,463000000,519000000,493000000,1275000000,714000000,1979000000,1396000000,1306000000,710000000,617000000,679000000,630000000,1014000000,1790000000,1787000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155558000,336000000,520430000,587000000,249000000,572000000,1068000000,1507000000,1139000000,1392000000,1459000000,1233000000,1057000000,1027000000,905000000,829000000,856000000,2405000000,436000000,498000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1113256000,2360000000,2721149000,3036000000,2642000000,2672000000,2361000000,5822000000,7253000000,5388000000,5945000000,4874000000,5439000000,4983000000,4677000000,5066000000,5277000000,6272000000,8505000000,7696000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2317880000,2348000000,5360892000,5645000000,6847000000,9140000000,10132000000,12370000000,12907000000,15881000000,18010000000,14277000000,13650000000,14303000000,12485000000,12267000000,12258000000,25276000000,24281000000,24124000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3004000000,186000000,188000000,188000000,188000000,188000000,188000000,132000000,105000000,58000000,- -,- -,- -,2674000000,2771000000,2771000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4439924000,4422000000,3025935000,2879000000,- -,- -,- -,29000000,91000000,147000000,136000000,98000000,109000000,94000000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4439924000,4422000000,3025935000,2879000000,3004000000,186000000,188000000,217000000,279000000,335000000,324000000,230000000,214000000,152000000,- -,- -,- -,2674000000,2771000000,2771000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655000000,1186000000,1568000000,1472000000,1446000000,439000000,334000000,402000000,227000000,280000000,271000000,3199000000,3197000000,3243000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761428000,752000000,491708000,517000000,799000000,1027000000,1145000000,937000000,1437000000,1605000000,481000000,1607000000,1790000000,1718000000,1331000000,537000000,401000000,549000000,337000000,269000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522030000,1168000000,1171004000,1915000000,2309000000,2573000000,1358000000,1767000000,2219000000,2793000000,3444000000,3337000000,3489000000,3624000000,2311000000,2413000000,2508000000,2004000000,2278000000,2461000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9041262000,8690000000,10049539000,10956000000,12959000000,12926000000,13478000000,16477000000,18410000000,22086000000,23705000000,19890000000,19477000000,20199000000,16354000000,15497000000,15438000000,33702000000,32864000000,32868000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10154518000,11050000000,12770688000,13992000000,15601000000,15598000000,15839000000,22299000000,25663000000,27474000000,29650000000,24764000000,24916000000,25182000000,21031000000,20563000000,20715000000,39974000000,41369000000,40564000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105277000,163000000,230976000,232000000,340000000,339000000,412000000,396000000,427000000,561000000,657000000,478000000,406000000,396000000,320000000,375000000,303000000,539000000,493000000,518000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115322000,191000000,285477000,196000000,159000000,255000000,169000000,157000000,259000000,996000000,10000000,571000000,165000000,140000000,561000000,- -,626000000,- -,674000000,193000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000000,384000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,3000000,- -,- -,54000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472864000,480000000,584552000,922000000,1231000000,903000000,1015000000,1767000000,2007000000,2383000000,2474000000,1691000000,1627000000,880000000,869000000,1020000000,858000000,1846000000,2202000000,1943000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693463000,834000000,1101005000,1350000000,1739000000,1500000000,1596000000,2320000000,2747000000,3940000000,3141000000,2740000000,2198000000,1416000000,1750000000,1395000000,1787000000,2385000000,3369000000,2654000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701282000,887000000,1311260000,1733000000,1752000000,2683000000,3373000000,4652000000,4182000000,3624000000,6284000000,6136000000,6472000000,6069000000,4044000000,4047000000,3418000000,6138000000,6136000000,6109000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656452000,633000000,476134000,449000000,703000000,1025000000,1051000000,1341000000,1488000000,2147000000,858000000,635000000,656000000,840000000,592000000,595000000,612000000,2407000000,2073000000,2144000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329515000,964000000,1169569000,1153000000,972000000,1393000000,2717000000,1373000000,1530000000,1992000000,2419000000,2189000000,2501000000,2565000000,2771000000,2896000000,3433000000,6674000000,5946000000,7844000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3687249000,2484000000,2956963000,3335000000,3427000000,5101000000,7141000000,7366000000,7200000000,7763000000,9561000000,8960000000,9629000000,9474000000,7407000000,7538000000,7463000000,15219000000,14155000000,16097000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,33000000,9000000,27000000,10000000,18000000,217000000,771000000,779000000,650000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4380712000,3318000000,4057968000,4685000000,5166000000,6601000000,8737000000,9686000000,9947000000,11703000000,12702000000,11700000000,11827000000,10890000000,9157000000,8933000000,9250000000,17604000000,17524000000,18751000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565019000,638000000,655759000,666000000,677000000,696000000,709000000,770000000,778000000,784000000,787000000,789000000,798000000,847000000,849000000,853000000,855000000,1298000000,1287000000,1276000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120213000,301000000,610812000,754000000,1284000000,-801000000,7000000,1149000000,3180000000,3052000000,4166000000,1093000000,1242000000,1410000000,716000000,484000000,383000000,2291000000,4002000000,3098000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2957025000,-3467000000,-4999156000,378000000,673000000,957000000,-253000000,626000000,1108000000,652000000,490000000,-182000000,-478000000,-334000000,-334000000,-292000000,-284000000,-265000000,-216000000,-133000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7931467000,9913000000,11670245000,6578000000,6703000000,6696000000,6639000000,8158000000,8279000000,8408000000,8330000000,8441000000,8712000000,9427000000,9490000000,9564000000,9548000000,18096000000,17935000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5419248000,7385000000,7937660000,8376000000,9337000000,7548000000,7102000000,10703000000,13345000000,12896000000,13773000000,10141000000,10274000000,11350000000,10721000000,10609000000,10502000000,21420000000,23008000000,22022000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9799960000,10703000000,11995628000,13061000000,14503000000,14149000000,15839000000,20389000000,23292000000,24599000000,26475000000,21841000000,22101000000,22240000000,19878000000,19542000000,19752000000,39024000000,40532000000,40773000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354558000,347000000,775060000,931000000,1098000000,1449000000,- -,1910000000,2371000000,2875000000,3175000000,2923000000,2815000000,2942000000,1153000000,1021000000,963000000,950000000,837000000,-209000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10154518000,11050000000,12770688000,13992000000,15601000000,15598000000,15839000000,22299000000,25663000000,27474000000,29650000000,24764000000,24916000000,25182000000,21031000000,20563000000,20715000000,39974000000,41369000000,40564000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1164727/000104596903000796/0001045969-03-000796-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312504042223/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312505050868/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312506043441/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312507038537/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312508035169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000095013409003236/0000950134-09-003236-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012310016613/0000950123-10-016613-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000095012311017350/d79003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/0001193125-12-075918-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/0001193125-13-070256-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312514061205/d653301d10k.htm,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/nem-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1164727/000155837016003258/0001558370-16-003258-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837017000729/0001558370-17-000729-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837018000894/0001558370-18-000894-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837019000806/0001558370-19-000806-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000155837020001041/0001558370-20-001041-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/0001164727-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/0001164727-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,125900000,342600000,94300000,79000000,133200000,76100000,112600000,85100000,68400000,-393400000,24800000,-18947000,-23000000,158061000,475000000,443327000,322000000,791000000,-1886000000,853000000,1297000000,2277000000,366000000,1809000000,-2462000000,508000000,220000000,-627000000,-98000000,341000000,2805000000,2829000000,1166000000
74,Depreciation and Amortization,- -,- -,- -,- -,69300000,84800000,94000000,98800000,110000000,91100000,106800000,124800000,321000000,341700000,296400000,415349000,349000000,542793000,528000000,700615000,615000000,636000000,695000000,747000000,806000000,945000000,1036000000,1032000000,1362000000,1229000000,1239000000,1220000000,1249000000,1215000000,1960000000,2300000000,2323000000
75,Deferred Income Tax,- -,- -,- -,- -,-11900000,3300000,-16700000,-30600000,-65800000,-28100000,-16300000,-15800000,-48800000,-221000000,-65000000,-65560000,-85000000,-100291000,-36000000,24787000,-12000000,-55000000,-152000000,-300000000,1000000,-380000000,-671000000,15000000,-1314000000,-149000000,317000000,434000000,795000000,150000000,334000000,-222000000,-109000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,57000000,70000000,79000000,72000000,64000000,51000000,77000000,70000000,70000000,76000000,97000000,72000000,72000000
77,Change in Working Capital,- -,- -,- -,- -,-5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419793000,1106207000,94144000,65856000,-783000000,269000000,-407000000,2737000000,1004000000,-3058000000,1356000000,-670000000,1107000000,326000000,-640000000,744000000,-181000000,397000000,1249000000,-541000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,42000000,- -,52000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
