,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032975/000120677409001138/0001206774-09-001138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000119312511153485/0001193125-11-153485-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746912006385/0001047469-12-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746913006614/0001047469-13-006614-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746914009167/0001047469-14-009167-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297515000023/0001032975-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297516000083/0001032975-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297517000016/0001032975-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297518000016/0001032975-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000103297520000015/0001032975-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297521000017/0001032975-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,218734000,294753000,341277000,245014000,196197000,482352000,492800000,319944000,477900000,478400000,333800000,469400000,533380000,519195000,547533000,641947000,604516000,715566000,1750327000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214625000,3940000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,218734000,294753000,341277000,245014000,410822000,486292000,494400000,319944000,477900000,478400000,333800000,469400000,533380000,519195000,547533000,641947000,604516000,715566000,1750327000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,181644000,206187000,229234000,289849000,310377000,373619000,231200000,215552000,276100000,242500000,197000000,200300000,186514000,165350000,208311000,244362000,417630000,428359000,679935000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,124123000,135561000,175986000,196864000,217964000,245737000,233500000,219593000,280800000,297100000,261100000,222400000,255980000,228786000,253401000,259906000,293495000,229249000,661116000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,38762000,45304000,50364000,34479000,68257000,60668000,39600000,38572000,41600000,46500000,52600000,40900000,76146000,12916000,18600000,26885000,34795000,41304000,67940000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,563263000,681805000,796861000,766206000,1007420000,1166316000,998700000,793661000,1076400000,1064500000,844500000,933000000,1052020000,926247000,1027845000,1173100000,1350436000,1414478000,3159318000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,38914000,37308000,52656000,74810000,87054000,104461000,104132000,91229000,84160000,94884000,87649000,88391000,91593000,3962000,85408000,86304000,78552000,76119000,145229000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135396000,179991000,194383000,242900000,553462000,547200000,560500000,340100000,345000000,218213000,218224000,249741000,275451000,343684000,400917000,429604000
