,https://roic.ai/company/QUMU,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),400000,400000,400000,200000,200000,600000,700000,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1809000,- -,73000,-100000
14,Depreciation and Amortization,- -,100000,300000,400000,800000,2700000,2000000,2500000,1700000,492942,715038,570824,794745,930480,918945,1228000,1519000,1525000,1372000,1250000,2108000,2937000,4332000,3028000,2049000,3118000,3303000,3045000,2366000,1526000,1518000,983000
15,EBITDA,-700000,1700000,1700000,2600000,1300000,900000,-1700000,4500000,8000000,10187083,14020587,8007725,10973824,13002331,14962229,19271000,21977000,25919000,15831000,14362000,14302000,7769000,-35197000,-6725000,-13035000,-26420000,-8124000,-9037000,856000,-5111000,-7915000,-15874000
16,EBITDA ratio,-0.1045,0.1700,0.1278,0.1429,0.0514,0.0175,-0.0407,0.1157,0.2139,0.2805,0.2816,0.2059,0.2356,0.2417,0.2112,0.2020,0.2128,0.2381,0.1732,0.1726,0.1612,0.0929,-0.4430,-0.0815,-0.4915,-0.7668,-0.2564,-0.3208,0.0342,-0.2015,-0.2723,-0.6608
17,Operating Income,-300000,1500000,1400000,2000000,400000,-1600000,-3700000,2800000,6300000,8779960,12829519,6464901,9419138,11556510,13435069,16624000,17774000,20881000,11748000,11246000,11572000,4448000,-39744000,-9685000,-28726000,-29404000,-11361000,-8871000,-6913000,-5310000,-7304000,-18295000
18,Operating Income ratio,-0.0448,0.1500,0.1053,0.1099,0.0158,-0.0311,-0.0885,0.0720,0.1684,0.2418,0.2577,0.1662,0.2022,0.2148,0.1896,0.1742,0.1721,0.1918,0.1285,0.1351,0.1304,0.0532,-0.5003,-0.1174,-1.0831,-0.8534,-0.3586,-0.3149,-0.2764,-0.2094,-0.2512,-0.7616
19,Total Other Income Expenses (Gains),-300000,-300000,-400000,- -,100000,-800000,-700000,-800000,-300000,424687,476030,972000,759941,515341,608215,1419000,2684000,3513000,2711000,1866000,524000,221000,-44000,-193000,-181000,-124000,-66000,-3211000,3594000,-1327000,-2202000,1538000
20,Income Before Tax,- -,1200000,1000000,2000000,- -,-2400000,-4400000,2000000,6000000,9204647,13305549,7436901,10179079,12071851,14043284,18043000,20458000,24394000,14459000,13112000,12096000,4669000,-39788000,-9878000,-28907000,-29528000,-11427000,-12082000,-3319000,-6637000,-9506000,-16757000
21,Income Before Tax Ratio,- -,0.1200,0.0752,0.1099,- -,-0.0466,-0.1053,0.0514,0.1604,0.2535,0.2672,0.1912,0.2185,0.2244,0.1982,0.1891,0.1981,0.2241,0.1582,0.1575,0.1363,0.0558,-0.5008,-0.1198,-1.0900,-0.8570,-0.3607,-0.4289,-0.1327,-0.2617,-0.3270,-0.6976
22,Income Tax expense (Gain),- -,300000,300000,700000,- -,-1000000,800000,100000,900000,3350891,5056109,2627756,3715364,4406226,4971323,6675000,7374000,8633000,5028000,4617000,4494000,1997000,8809000,-59000,-6564000,-839000,-252000,-358000,298000,-194000,-306000,-392000
23,Net Income,-1100000,900000,700000,1300000,300000,-1400000,-5200000,1900000,5100000,6343250,8249440,4809145,6463715,7665625,9071961,11368000,13084000,15761000,9431000,8495000,7700000,2835000,-48338000,-9694000,-8520000,-28699000,-11175000,-11724000,-3617000,-6443000,-9200000,-16365000
24,Net Income ratio,-0.1642,0.0900,0.0526,0.0714,0.0119,-0.0272,-0.1244,0.0488,0.1364,0.1747,0.1657,0.1236,0.1388,0.1425,0.1280,0.1191,0.1267,0.1448,0.1032,0.1021,0.0868,0.0339,-0.6085,-0.1175,-0.3213,-0.8330,-0.3527,-0.4162,-0.1446,-0.2540,-0.3165,-0.6813
25,EPS,-0.32,0.26,0.18,0.15,0.03,-0.08,-0.75,0.28,0.71,0.83,0.98,0.55,0.74,0.86,0.98,1.19,1.33,1.59,0.99,0.91,0.81,0.29,-4.85,-1.12,-3.26,-3.11,-1.21,-1.25,-0.38,-0.62,-0.68,-0.92
26,EPS Diluted,-0.32,0.26,0.18,0.15,0.03,-0.08,-0.75,0.26,0.60,0.73,0.85,0.51,0.68,0.79,0.91,1.10,1.26,1.52,0.97,0.89,0.80,0.29,-4.85,-1.12,-3.26,-3.11,-1.23,-1.25,-0.39,-0.63,-0.70,-0.92
27,Weighted Average Shares Outstanding,3485915,3491379,2500000,4271000,4384000,4384000,6918383,6944157,7153513,7586985,8416730,8701248,8702552,8931084,9289553,9530000,9812000,9915000,9556000,9374000,9524000,9674000,9971000,8691000,8836000,9235000,9232000,9347000,9499000,10395000,13612000,17872000
28,Weighted Average Shares Outstanding Diluted,3485915,3491379,2500000,4271000,4384000,4384000,6918383,7372212,8457210,8730150,9673384,9509155,9496723,9743104,9931687,10312000,10356000,10371000,9729000,9507000,9596000,9699000,9971000,8691000,8836000,9235000,9232000,9347000,9606000,10414000,13627000,17881000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892482/000089710105000732/rimage051268_10-k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710106000590/rimage061167_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710107000600/rimage071135_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710108000645/rimage081141_10-k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710109000532/rimage091153_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710110000537/rimage101201_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710111000403/rimage111295_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710112000447/rimage120677_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000144530513000625/rimg10k12-31x12.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248214000003/qumu10k10k123113.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248215000003/qumu10k10k12312014.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248216000029/qumu10k12312015.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248217000024/qumu10k12312016.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248218000015/qumu10k12312017.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248219000013/qumu10k12312018.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248220000007/qumu10k12312019.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248221000008/0000892482-21-000008-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,- -,100000,1600000,400000,200000,100000,700000,7300000,13441857,21023233,4978871,17339135,26741627,13320681,18489000,8500000,7416000,14885000,72507000,107982000,70161000,28644000,37725000,11684000,7072000,10364000,7690000,8636000,10639000,11878000,20563000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23131393,18997987,21855434,39174799,45982000,30266000,51605000,39870000,28581000,8790000,- -,21496000,13233000,23486000,6249000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,100000,1600000,400000,200000,100000,700000,7300000,13441857,21023233,28110264,36337122,48597061,52495480,64471000,38766000,59021000,54755000,101088000,116772000,70161000,50140000,50958000,35170000,13321000,10364000,7690000,8636000,10639000,11878000,20563000
34,Net Receivables,1100000,2000000,3000000,4300000,4600000,9800000,5100000,4800000,5300000,5340607,9013207,5008176,6643613,6242516,10183814,12689000,21697000,14447000,11099000,13732000,13764000,15496000,13055000,12236000,10090000,11916000,7812000,5685000,7090000,6013000,6558000,3709000
35,Inventory,1500000,1400000,3000000,4300000,4700000,4700000,4000000,2300000,2000000,2286867,2936119,3624701,3041828,3334370,7395689,6621000,6072000,8075000,5625000,4123000,4502000,6198000,6036000,4102000,168000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,200000,300000,1000000,900000,1800000,1300000,400000,800000,947127,2771875,2039572,1314484,1675382,1589856,2663000,3581000,3228000,2672000,1817000,1494000,6582000,6719000,4453000,7324000,3392000,2470000,1830000,2192000,1981000,2302000,3186000
37,Total Current Assets,2900000,3600000,6400000,11200000,10600000,16500000,10500000,8200000,15400000,22016458,35744434,38782713,47337047,59849329,71664839,86444000,70116000,84771000,74151000,120760000,136532000,98437000,75950000,71749000,52752000,28629000,20646000,15205000,17918000,18633000,20738000,27458000
38,PP&E,200000,300000,1500000,2100000,2100000,4900000,7800000,5800000,900000,816965,651569,1608197,1313922,1137446,2386494,2525000,3626000,3206000,6183000,7855000,7528000,6177000,5966000,5419000,1899000,2942000,1827000,911000,545000,2342000,581000,483000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22218000,- -,- -,8525000,8103000,6749000,7390000,6971000,7203000,7455000,7388000
40,Intangible Assets,- -,- -,- -,1500000,2300000,1000000,900000,800000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19238000,9964000,8578000,13384000,11032000,8110000,6295000,4247000,3075000,2143000,1388000
41,Intangible Assets,- -,- -,- -,1500000,2300000,1000000,900000,800000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41456000,9964000,8578000,21909000,19135000,14859000,13685000,11218000,10278000,9598000,8776000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,35000000,40647000,9037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57468,55274,36676,- -,18000,23000,1918000,2281000,2630000,2509000,8589000,606000,85000,2000,57000,70000,77000,55000,21000,19000,17000
44,Other Non-Current Assets,200000,100000,300000,300000,800000,1400000,800000,400000,- -,129593,159461,6004,3011,906,86667,22000,-406000,201000,194000,- -,1475000,3001000,3077000,3315000,3615000,3649000,4827000,4398000,544000,442000,490000,362000
45,Total Non-Current Assets,400000,400000,1800000,3900000,5200000,7300000,9500000,7000000,1700000,946558,811030,1671669,1372207,1175028,2473161,2565000,42243000,40325000,49305000,19522000,11512000,59223000,19613000,17397000,27425000,25783000,21583000,19071000,12362000,13083000,10688000,9638000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3300000,4000000,8200000,15100000,15800000,23800000,20000000,15200000,17100000,22963016,36555464,40454382,48709254,61024357,74138000,89009000,112359000,125096000,123456000,140282000,148044000,157660000,95563000,89146000,80177000,54412000,42229000,34276000,30280000,31716000,31426000,37096000
48,Accounts Payable,800000,900000,1500000,2000000,2100000,5800000,4300000,2800000,2300000,2089505,2288789,2102178,2590299,2365213,4717073,5413000,7136000,7564000,4534000,6898000,6045000,5469000,5192000,5282000,3197000,- -,- -,- -,2838000,- -,- -,- -
49,Short-Term Debt,4000000,3400000,1200000,1300000,1000000,4800000,6400000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2941000,597000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322729,1793725,1821057,2531000,- -,5281000,- -,- -,- -,- -,- -,9550000,9015000,10413000,8992000,8923000,9672000,10140000,12918000,10862000
52,Other Current Liabilities,600000,700000,1000000,1500000,1600000,2000000,2100000,1700000,2600000,2618474,3305736,3048813,2639094,4854291,4739276,4523000,9027000,5037000,7476000,10691000,10258000,14687000,14615000,8196000,7165000,8700000,6439000,7749000,4543000,7664000,7797000,10770000
53,Total Current Liabilities,5400000,5000000,3700000,4800000,4700000,12600000,12800000,5800000,4900000,4707979,5594525,5150991,6552122,9013229,11277406,12467000,16163000,17882000,12010000,17589000,16303000,20156000,19807000,23028000,19377000,19113000,15431000,16672000,17053000,17804000,23656000,22229000
54,Long-Term Debt,100000,100000,1100000,1100000,1400000,1800000,3000000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2398000,- -,- -,- -,- -,- -,- -,- -,6617000,7605000,3431000,- -,629000,21000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4769000,- -,2902000,1047000,2215000,423000,141000,1672000,1449000,3488000,1507000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,122932,- -,- -,1930000,- -,- -,- -,- -,- -,- -,1071000,575000,294000,153000,2000,- -,- -,17000
57,Other Non-Current Liabilities,200000,200000,200000,- -,-100000,- -,- -,- -,- -,- -,- -,68750,- -,- -,16317,13000,720000,223000,- -,2744000,3104000,435000,5129000,635000,409000,1752000,888000,513000,1117000,2255000,768000,-21503000
58,Total Non-Current Liabilities,300000,300000,1300000,1100000,1300000,1900000,3000000,3400000,- -,- -,- -,68750,- -,- -,139249,13000,720000,2153000,2398000,2744000,3104000,5204000,5129000,3537000,2527000,4542000,8222000,8412000,6222000,3704000,4885000,-19958000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1021000,678000,1050000,209000,2414000,1770000,- -
61,Total Liabilities,5700000,5300000,5000000,5900000,6000000,14500000,15800000,9200000,4900000,4707979,5594525,5219741,6552122,9013229,11416655,12480000,16883000,20035000,14408000,20333000,19407000,25360000,24936000,26565000,21904000,23655000,23653000,25084000,23275000,21508000,28541000,2271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,51048,86533,86355,87194,91102,93655,96000,99000,97000,93000,94000,95000,102000,87000,87000,91000,92000,92000,94000,96000,136000,138000,178000
64,Retained Earnings,-3100000,-1900000,400000,1700000,2000000,-1200000,-6300000,-4400000,600000,6990727,14861224,19670369,26134084,33799709,42871670,54240000,67324000,70462000,70287000,78782000,84657000,76875000,13615000,3921000,-4599000,-33298000,-44473000,-56197000,-58875000,-65128000,-74328000,-90693000
65,Other Comprehensive Income/Loss,-100000,-200000,-400000,-1500000,-2200000,-4700000,-6000000,-8000000,-3000000,-1295979,-1723749,-1723749,-1723749,-1723749,-1723749,-4627000,-5004000,1000000,1000000,1000000,-10471000,-12221000,-14399000,-15829000,-1000000,-2000000,-4000000,-3000000,-3000000,-3000000,-2414000,-2544000
66,Other Total Stockholders Equity,800000,800000,3200000,8900000,9900000,15100000,16400000,18300000,14600000,12509241,17736931,17201666,17659603,19844066,21479769,26820000,33057000,33502000,37668000,40073000,53850000,67184000,71221000,74402000,63781000,65963000,66957000,68295000,68784000,78200000,79489000,105655000
67,Total Stockholders Equity,-2400000,-1300000,3200000,9100000,9700000,9200000,4100000,5900000,12200000,18255037,30960939,35234641,42157132,52011128,62721345,76529000,95476000,105061000,109048000,119949000,128131000,131940000,70524000,62581000,58273000,30757000,18576000,9192000,7005000,10208000,2885000,12596000
68,Total Liabilities And Stockholders Equity,3300000,4000000,8200000,15000000,15700000,23700000,19900000,15100000,17100000,22963016,36555464,40454382,48709254,61024357,74138000,89009000,112359000,125096000,123456000,140282000,147538000,157300000,95460000,89146000,80177000,54412000,42229000,34276000,30280000,31716000,31426000,14867000
69,Minority Interest,- -,- -,- -,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,360000,103000,- -,- -,- -,- -,- -,- -,- -,- -,22229000
70,Total Liabilities & Equity,3300000,4000000,8200000,15100000,15800000,23800000,20000000,15200000,17100000,22963016,36555464,40454382,48709254,61024357,74138000,89009000,112359000,125096000,123456000,140282000,148044000,157660000,95563000,89146000,80177000,54412000,42229000,34276000,30280000,31716000,31426000,37096000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892482/000089710105000732/rimage051268_10-k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710106000590/rimage061167_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710107000600/rimage071135_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710108000645/rimage081141_10-k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710109000532/rimage091153_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710110000537/rimage101201_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710111000403/rimage111295_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000089710112000447/rimage120677_10k.htm,https://www.sec.gov/Archives/edgar/data/892482/000144530513000625/rimg10k12-31x12.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248214000003/qumu10k10k123113.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248215000003/qumu10k10k12312014.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248216000029/qumu10k12312015.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248217000024/qumu10k12312016.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248218000015/qumu10k12312017.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248219000013/qumu10k12312018.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248220000007/qumu10k12312019.htm,https://www.sec.gov/Archives/edgar/data/892482/000089248221000008/0000892482-21-000008-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1100000,900000,700000,1300000,300000,-1400000,-5200000,1900000,5100000,6343250,8249440,4809145,6463715,7665625,9071961,11368000,13084000,15761000,9431000,8495000,7700000,2835000,-48338000,-9694000,-8520000,-28699000,-11175000,-11724000,-3617000,-6443000,-9200000,-16365000
74,Depreciation and Amortization,- -,100000,300000,400000,800000,2700000,2000000,2500000,1700000,492942,715038,570824,794745,930480,918945,1228000,1519000,1525000,1372000,1250000,2108000,2937000,4332000,3028000,2049000,3118000,3303000,3045000,2366000,1526000,1518000,983000
75,Deferred Income Tax,- -,- -,-100000,-100000,-100000,-700000,1100000,- -,-800000,-44000,-301592,-36049,136023,-254452,234295,-392000,-1056000,-1227000,672000,-573000,-123000,-2096000,7899000,570000,-126000,-564000,-229000,-166000,-131000,31000,2000,2000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1128000,1542000,1937000,1980000,2124000,1778000,1841000,1834000,1421000,1190000,1082000,857000,1178000,2067000
77,Change in Working Capital,300000,1100000,4100000,3700000,-500000,-2000000,-6200000,4700000,8100000,6808479,12841430,3481813,7153203,10051175,9551333,13589567,-20024000,12936000,-4748000,41030000,17058000,-41948000,-22138000,-7422000,-15346000,-23859000,-4301000,-6682000,2332000,-36000,-3747000,8147000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000,1720000,-938000,- -
79,Inventory,- -,100000,-1700000,-600000,-500000,800000,800000,1900000,100000,-531045,-307609,-987252,710543,-292542,-4061319,775000,549000,-2003000,2450000,1486000,-429000,-1545000,143000,1906000,-18000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3019000,-194000,1213000,-1414000,-214000,131000,973000,- -,- -,- -,-1196000,- -,- -,-530000
81,Other Working Capital,-2500000,-1400000,2700000,6400000,5900000,3900000,-2300000,2400000,10500000,17308479,30149909,33631722,40784925,50836100,60387433,73977000,53953000,66889000,62141000,103171000,120229000,78281000,56143000,48721000,33375000,9516000,5215000,-1467000,865000,829000,-2918000,5229000
82,Other Non-Cash Items,100000,-1500000,-6100000,-5000000,-800000,1200000,9700000,-3900000,-7200000,-5967697,-15454963,348144,-6303492,-6455945,-14810564,-14054567,18492000,-2857000,4338000,-37582000,-17039000,43356000,54196000,14107000,-2542000,24943000,1497000,12325000,-4875000,2527000,11819000,-12242000
83,Cash Provided by Operating Activities,-700000,600000,-1100000,300000,-300000,-200000,1400000,5200000,6900000,7632974,6049353,9173877,8244194,11936883,4965970,11739000,12015000,26138000,12193000,14162000,11641000,7064000,-1925000,2367000,-22644000,-23227000,-9484000,-2012000,-2843000,-1538000,1570000,-17408000
84,CAPEX,- -,-100000,-300000,-400000,-700000,-2000000,-2900000,-400000,-500000,-605959,-336532,-1550907,-497532,-781650,-2206336,-1328000,-2712000,-1285000,-4366000,-424000,-4178000,-1177000,-2521000,-1320000,-1051000,-635000,-76000,-24000,-127000,-168000,-128000,-239000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39379000,- -,- -,-11556000,- -,- -,- -,9778000,41000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23131393,-5654849,-52470170,-194300156,-246303000,-120026000,-82128000,-77714000,-70479000,- -,-2000000,-54991000,-28755000,-33499000,-10250000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49612723,176980791,239535000,102778000,64505000,84679000,113066000,28555000,8585000,32999000,37000000,23250000,27465000,6250000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1800000,-200000,- -,200000,400000,2200000,-261554,29763,- -,3425,1347,80,-48000,141000,182000,108000,- -,-290000,-500000,- -,-349000,19676000,2343000,- -,- -,- -,- -,- -,50000
89,Cash Used for Investing Activites,- -,-100000,-300000,-2200000,-900000,-2000000,-2700000,- -,1700000,-867513,-306769,-24682300,-6148956,-3637750,-19525621,-8144000,-19819000,-18726000,2707000,42163000,24087000,-34471000,-24513000,6926000,-3180000,18923000,6174000,-24000,9651000,-127000,-128000,-189000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,-35000,-19000,-20000,-21000,-20000,- -,-320000,-1018000,-730000,-14402000,-4320000,-372000,-25000
91,Common Stock Issued,- -,- -,3300000,4200000,- -,- -,100000,- -,- -,389932,1760145,259724,378565,951907,993684,1845000,2263000,2754000,- -,1225000,944000,279000,- -,7000,193000,142000,- -,- -,- -,8201000,- -,23085000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1008300,- -,-960206,- -,- -,- -,- -,- -,-12628000,-9612000,- -,-1826000,-6028000,-9758000,-66000,-99000,-50000,-26000,-17000,-33000,-75000,-188000,-51000
93,Dividends Paid,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,700000,-500000,-1900000,-800000,- -,2000000,1100000,-4700000,-2000000,- -,- -,- -,- -,- -,- -,-11000,1180000,1208000,2223000,64000,646000,13000,-5219000,-50000,-59000,- -,8000000,- -,8692000,-204000,440000,3267000
95,Cash Used/Provided by Financing Activities,700000,-500000,1400000,3400000,- -,1200000,1200000,-4700000,-2000000,-618368,1760145,-700482,378565,951907,993684,1834000,3443000,-8666000,-7413000,1254000,-255000,-10351000,-14998000,-129000,35000,-228000,6956000,-747000,-5743000,3602000,-120000,26276000
