,https://roic.ai/company/ZEUS,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2217000,2305000,5953000,8357000,6703000,6780000,5690000,5273000,7518000,10681000,11289000,7411000,7631000
14,Depreciation and Amortization,1800000,3300000,4300000,6000000,7000000,7900000,9222000,10084000,13852000,9060000,9753000,8980000,8356000,8950000,9733000,12227000,13872000,16730000,22156000,23582000,21840000,19873000,19402000,18587000,18035000,19548000,- -,20954000
15,EBITDA,16300000,14500000,27000000,20100000,-5500000,13100000,-3697000,4153000,7467000,4059000,108646000,45173000,57762000,49455000,117831000,-85100000,19974000,60168000,40652000,43209000,12506000,-8031000,25095000,42455000,74780000,36126000,7911000,193384000
16,EBITDA ratio,0.0427,0.0261,0.0482,0.0331,-0.0095,0.0250,-0.0071,0.0100,0.0163,0.0086,0.1215,0.0481,0.0589,0.0481,0.0960,-0.1626,0.0248,0.0477,0.0294,0.0342,0.0087,-0.0068,0.0238,0.0319,0.0436,0.0229,0.0064,0.0836
17,Operating Income,18300000,22100000,30400000,22100000,-4600000,13600000,-1512000,1633000,5838000,166000,102807000,44021000,54220000,43324000,109246000,-97327000,6102000,44468000,18449000,19655000,-9208000,-27779000,5748000,23986000,57052000,16610000,573000,172466000
18,Operating Income ratio,0.0479,0.0399,0.0543,0.0363,-0.0080,0.0259,-0.0029,0.0039,0.0127,0.0004,0.1150,0.0469,0.0553,0.0421,0.0890,-0.1860,0.0076,0.0352,0.0133,0.0156,-0.0064,-0.0236,0.0054,0.0180,0.0333,0.0105,0.0005,0.0746
19,Total Other Income Expenses (Gains),-3800000,-10900000,-7700000,-8000000,-7900000,-8400000,-11407000,-7564000,-7465000,-5167000,-3914000,-7828000,-4814000,-2819000,-1148000,-2217000,-2305000,-6983000,-8310000,-6731000,-6906000,-5815000,-5328000,-7636000,-10988000,-11321000,-73000,-7667000
20,Income Before Tax,14500000,11200000,22700000,14100000,-12500000,5200000,-12919000,-5931000,-1627000,-5001000,98893000,36193000,49406000,40505000,108098000,-99544000,3797000,37485000,10139000,12924000,-16114000,-33594000,420000,16350000,46064000,5289000,500000,164799000
21,Income Before Tax Ratio,0.0380,0.0202,0.0405,0.0232,-0.0217,0.0099,-0.0248,-0.0142,-0.0035,-0.0106,0.1106,0.0385,0.0504,0.0394,0.0881,-0.1902,0.0047,0.0297,0.0073,0.0102,-0.0112,-0.0286,0.0004,0.0123,0.0269,0.0033,0.0004,0.0713
22,Income Tax expense (Gain),13600000,4500000,8600000,5300000,-4100000,2000000,-4198000,-2283000,-626000,-1741000,38815000,14101000,18358000,15235000,40396000,-38316000,1665000,12515000,7862000,5277000,2950000,-6817000,1498000,-2613000,12305000,1433000,- -,43748000
23,Net Income,900000,6700000,14100000,8800000,-8400000,3200000,-8721000,-3648000,-5759000,-3260000,60078000,22092000,31048000,25270000,67702000,-61228000,2132000,24970000,2277000,7647000,-19064000,-26777000,-1078000,18963000,33759000,3856000,500000,121051000
24,Net Income ratio,0.0024,0.0121,0.0252,0.0145,-0.0146,0.0061,-0.0168,-0.0088,-0.0125,-0.0069,0.0672,0.0235,0.0316,0.0246,0.0552,-0.1170,0.0026,0.0198,0.0016,0.0061,-0.0133,-0.0228,-0.0010,0.0143,0.0197,0.0024,0.0004,0.0524
25,EPS,0.12,0.78,1.50,0.83,-0.79,0.30,-0.90,-0.38,-0.60,-0.34,6.12,2.18,2.99,2.38,6.24,-5.62,0.20,2.28,0.21,0.69,-1.71,-2.39,-0.10,1.67,2.95,0.34,-0.49,10.53
26,EPS Diluted,0.12,0.78,1.50,0.83,-0.79,0.30,-0.90,-0.38,-0.60,-0.34,5.88,2.11,2.92,2.35,6.21,-5.62,0.20,2.28,0.21,0.69,-1.71,-2.39,-0.10,1.67,2.95,0.34,-0.49,10.52
27,Weighted Average Shares Outstanding,7500000,8589744,9427000,10692000,10692000,10452000,9677000,9588000,9637000,9646000,9816000,10134000,10383000,10628000,10847000,10887000,10905000,10937000,10989000,11065000,11120000,11192000,11210000,11381000,11432000,11509000,11447000,11492000
28,Weighted Average Shares Outstanding Diluted,7500000,8589744,9427000,10692000,10810811,10500000,9677000,9588000,9637000,9646000,10222000,10457000,10633000,10763000,10895000,10887000,10918000,10951000,10995000,11074000,11120000,11192000,11210000,11381000,11440000,11509000,11447000,11503000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917470/000095015204002504/0000950152-04-002504-index.htm,- -,https://www.sec.gov/Archives/edgar/data/917470/000095015206002108/0000950152-06-002108-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000119312507053478/0001193125-07-053478-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095015208001940/0000950152-08-001940-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095015209002013/0000950152-09-002013-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095012310017069/0000950123-10-017069-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095012311017858/0000950123-11-017858-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000119312512075260/0001193125-12-075260-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774913001801/0001437749-13-001801-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774914002959/0001437749-14-002959-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774915003515/0001437749-15-003515-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774916026045/0001437749-16-026045-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774917003663/0001437749-17-003663-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774918003787/0001437749-18-003787-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774919002753/0001437749-19-002753-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774920003270/0001437749-20-003270-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774921004100/0001437749-21-004100-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774922004464/0001437749-22-004464-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,1900000,2000000,1700000,1800000,1400000,1449000,1054000,1736000,3087000,4684000,9555000,5211000,7707000,891000,5190000,1492000,7403000,7782000,3186000,2238000,1604000,2315000,3009000,9319000,5742000,5533000,9812000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,1900000,2000000,1700000,1800000,1400000,1449000,1054000,1736000,3087000,4684000,9555000,5211000,7707000,891000,5190000,1492000,7403000,7782000,3186000,2238000,1604000,2315000,3009000,9319000,5742000,5533000,9812000
34,Net Receivables,43600000,7400000,9500000,6400000,3100000,9800000,5260000,38754000,48877000,56501000,93336000,80131000,85883000,88414000,77737000,93232000,91059000,122579000,112841000,115288000,123804000,92877000,101902000,132737000,175252000,133572000,151601000,284570000
35,Inventory,109100000,113000000,138200000,132200000,121400000,119600000,89404000,72287000,101837000,92775000,186124000,134236000,210738000,178530000,255300000,111663000,200606000,277765000,290023000,286371000,311108000,206645000,254526000,275307000,368738000,273531000,240001000,485029000
36,Other Current Assets,1800000,2100000,2600000,1900000,5800000,6700000,7724000,5174000,10236000,3431000,3163000,3733000,6383000,8737000,14552000,4686000,5652000,13112000,11731000,12786000,21559000,7820000,6197000,9083000,9460000,6997000,5069000,9989000
37,Total Current Assets,155200000,124400000,152300000,142200000,132100000,137500000,103837000,117269000,162686000,155794000,287307000,227655000,308215000,283388000,348480000,214771000,298809000,420859000,422377000,417631000,458709000,308946000,364940000,420136000,562769000,419842000,402204000,789400000
38,PP&E,43500000,67600000,79000000,104000000,119300000,124200000,117573000,111111000,97323000,89782000,83571000,77751000,87359000,89651000,113505000,113560000,118234000,193413000,196327000,190884000,177386000,166538000,155766000,147648000,159609000,182592000,434579000,174782000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6583000,6583000,6583000,6583000,7083000,47254000,40787000,40787000,16951000,- -,- -,- -,2358000,3423000,5123000,10496000
40,Intangible Assets,- -,10100000,9900000,13300000,3700000,3600000,3519000,3415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,36313000,35424000,34535000,33646000,24757000,23869000,22980000,24914000,29259000,32593000,33653000
41,Intangible Assets,- -,10100000,9900000,13300000,3700000,3600000,3519000,3415000,- -,- -,- -,- -,6583000,6583000,6583000,6583000,7083000,83567000,76211000,75322000,50597000,24757000,23869000,22980000,27272000,32682000,37716000,44149000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2300000,- -,-100000,6000000,1000000,1700000,- -,3620000,2902000,3426000,3268000,200000,3163000,6461000,5679000,3534000,5312000,9660000,11079000,13512000,14056000,13229000,11493000,13394000,11090000,14439000,-233894000,15241000
45,Total Non-Current Assets,45800000,77700000,88800000,123300000,124000000,129500000,121092000,118146000,100225000,93208000,86839000,77951000,97105000,102695000,125767000,123677000,130629000,286640000,283617000,279718000,242039000,204524000,191128000,184022000,197971000,229713000,238401000,234172000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201000000,202100000,241100000,265500000,256100000,267000000,224929000,235415000,262911000,249002000,374146000,305606000,405320000,386083000,474247000,338448000,429438000,707499000,705994000,697349000,700748000,513470000,556068000,604158000,760740000,649555000,640605000,1023572000
48,Accounts Payable,26400000,15200000,25300000,24300000,28900000,20700000,18398000,20143000,28665000,31345000,63680000,77412000,75095000,73408000,64883000,52167000,81645000,104425000,101471000,126012000,91252000,55685000,79458000,84034000,95367000,69452000,87291000,148649000
49,Short-Term Debt,- -,- -,1900000,3700000,4900000,6100000,6061000,4786000,6973000,4877000,4892000,- -,- -,- -,- -,- -,- -,9662000,10942000,13090000,3530000,2690000,1825000,930000,- -,5589000,5580000,5940000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9818000,- -
52,Other Current Liabilities,11400000,16000000,9100000,9100000,9400000,9400000,8213000,7526000,8324000,6352000,27116000,17191000,17245000,18882000,30397000,14087000,20980000,25488000,25689000,26531000,37195000,18685000,23615000,26183000,33060000,26046000,24036000,69747000
53,Total Current Liabilities,37800000,31200000,36300000,37100000,43200000,36200000,32672000,32455000,43962000,42574000,95688000,94603000,92340000,92290000,95280000,66254000,102625000,139575000,138102000,165633000,131977000,77060000,104898000,111147000,128427000,101087000,126725000,224336000
54,Long-Term Debt,91200000,93800000,62700000,76200000,71600000,87400000,61948000,79713000,99820000,92920000,91130000,2962000,68328000,16707000,40198000,- -,55235000,234554000,230769000,186179000,244090000,145800000,164599000,196235000,302530000,192925000,- -,349901000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4800000,3100000,4800000,6000000,3500000,6500000,4568000,1975000,3634000,1272000,10803000,7720000,3751000,3787000,1417000,633000,5133000,37214000,35856000,33476000,30651000,24496000,23119000,12145000,13465000,12262000,- -,9890000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,100000,821000,- -,- -,- -,- -,- -,6664000,9779000,14394000,11949000,4807000,9580000,11410000,13445000,13249000,11419000,10062000,12048000,9327000,34929000,22478000,15006000
58,Total Non-Current Liabilities,96000000,96900000,67500000,82200000,75200000,94000000,67337000,81688000,103454000,94192000,101933000,10682000,78743000,30273000,56009000,12582000,65175000,281348000,278035000,233100000,287990000,181715000,197780000,220428000,325322000,240116000,22478000,374797000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235348000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26450000,25545000,28077000
61,Total Liabilities,133800000,128100000,103800000,119300000,118400000,130200000,100009000,114143000,147416000,136766000,197621000,105285000,171083000,122563000,151289000,78836000,167800000,420923000,416137000,398733000,419967000,258775000,302678000,331575000,453749000,341203000,339595000,599133000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,102200000,99058000,99733000,99766000,99790000,103252000,104956000,109075000,- -,- -,- -,- -,- -,122272000,124118000,126339000,128129000,128619000,129453000,130778000,131647000,132382000,133427000
64,Retained Earnings,10100000,16900000,31000000,39900000,31400000,34600000,25862000,22214000,16455000,13195000,73273000,95365000,125162000,148938000,203824000,141400000,142662000,166760000,168164000,174935000,154991000,127335000,125380000,143467000,176345000,179321000,172843000,293008000
65,Other Comprehensive Income/Loss,-8000000,-10900000,-15000000,-20300000,-25500000,-32600000,-41270000,-48433000,-726000,-749000,-69664000,-77480000,-86386000,-94199000,-97820000,-108589000,-121266000,-135703000,-579000,-437000,-549000,-70000,- -,-229062000,-244176000,-2281000,-4215000,-1996000
66,Other Total Stockholders Equity,65100000,68000000,121300000,126600000,131800000,32600000,41270000,47758000,- -,- -,69664000,77480000,86386000,208781000,216954000,226801000,240242000,255519000,- -,- -,- -,-699000,-609000,228725000,244044000,-335000,- -,- -
67,Total Stockholders Equity,67200000,74000000,137300000,146200000,137700000,136800000,124920000,121272000,115495000,112236000,176525000,200321000,234237000,263520000,322958000,259612000,261638000,286576000,289857000,298616000,280781000,254695000,253390000,272583000,306991000,308352000,301010000,424439000
68,Total Liabilities And Stockholders Equity,201000000,202100000,241100000,265500000,256100000,267000000,224929000,235415000,262911000,249002000,374146000,305606000,405320000,386083000,474247000,338448000,429438000,707499000,705994000,697349000,700748000,513470000,556068000,604158000,760740000,649555000,640605000,1023572000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,201000000,202100000,241100000,265500000,256100000,267000000,224929000,235415000,262911000,249002000,374146000,305606000,405320000,386083000,474247000,338448000,429438000,707499000,705994000,697349000,700748000,513470000,556068000,604158000,760740000,649555000,640605000,1023572000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917470/000095015204002504/0000950152-04-002504-index.htm,- -,https://www.sec.gov/Archives/edgar/data/917470/000095015206002108/0000950152-06-002108-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000119312507053478/0001193125-07-053478-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095015208001940/0000950152-08-001940-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095015209002013/0000950152-09-002013-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095012310017069/0000950123-10-017069-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000095012311017858/0000950123-11-017858-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000119312512075260/0001193125-12-075260-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774913001801/0001437749-13-001801-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774914002959/0001437749-14-002959-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774915003515/0001437749-15-003515-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774916026045/0001437749-16-026045-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774917003663/0001437749-17-003663-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774918003787/0001437749-18-003787-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774919002753/0001437749-19-002753-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774920003270/0001437749-20-003270-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774921004100/0001437749-21-004100-index.htm,https://www.sec.gov/Archives/edgar/data/917470/000143774922004464/0001437749-22-004464-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,900000,6700000,14100000,8800000,-8400000,3200000,-8721000,-3648000,-5759000,-3260000,60078000,22092000,31048000,25270000,67702000,-61228000,2132000,24970000,2277000,7647000,-19064000,-26777000,-1078000,18963000,33759000,3856000,500000,121051000
74,Depreciation and Amortization,1800000,3300000,4300000,6000000,7000000,7900000,9222000,10084000,13852000,9060000,9753000,8980000,8356000,8950000,9733000,12227000,13872000,16730000,22156000,23582000,21840000,19873000,19402000,18587000,18035000,19548000,- -,20954000
75,Deferred Income Tax,4800000,-1700000,1700000,1200000,-2500000,3000000,-1964000,-2593000,3958000,-2362000,9531000,-3083000,-3800000,36000,-2370000,-784000,4500000,8582000,- -,- -,- -,- -,- -,- -,- -,- -,1220000,-6231000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1139000,627000,806000,1951000,1724000,2074000,1759000,534000,1096000,1529000,2188000,1215000,1045000
77,Change in Working Capital,-25500000,22800000,-10900000,-16200000,12400000,-30135000,13649000,33910000,-5504000,78399000,-58567000,82823000,-24777000,62102000,-104683000,47667000,85100000,2991000,-32277000,74734000,-94846000,28156000,48947000,125353000,-115587000,-43276000,243904000,-283899000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26468000,-31590000,-17342000,9738000,-2447000,-8516000,30927000,-9025000,-30835000,-35906000,42141000,-14790000,-131459000
79,Inventory,-23700000,24300000,-25300000,6000000,10900000,1800000,30181000,17117000,-29550000,9062000,-93349000,51888000,-70994000,32208000,-76770000,143637000,-88943000,-26064000,-12258000,3652000,-24737000,104463000,-47881000,-20781000,-78662000,95836000,37186000,-241899000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2649000,26612000,8671000,-2828000,9282000,-24090000,-21923000,28619000,3918000,2898000,-33651000,23333000,60538000
81,Other Working Capital,93200000,116000000,105100000,88900000,101300000,71165000,84814000,118724000,113220000,191619000,133052000,215875000,191098000,253200000,148517000,196184000,281284000,284275000,251998000,326732000,231886000,260042000,308989000,434342000,318755000,275479000,519383000,-1189000
82,Other Non-Cash Items,- -,28700000,-9100000,25700000,22500000,17035000,20855000,-50991000,-26092000,-72285000,-17332000,-23769000,-61630000,-31677000,35857000,70647000,-146662000,-38239000,33243000,-53006000,50412000,84474000,-77618000,-183040000,11763000,147242000,-185187000,706000
83,Cash Provided by Operating Activities,-18000000,59800000,100000,25500000,31000000,1000000,33041000,-13238000,-19545000,9552000,3463000,87043000,-50803000,64681000,6239000,67390000,-40431000,15840000,27350000,54681000,-39584000,107485000,-9813000,-19041000,-50501000,129558000,61652000,-146374000
84,CAPEX,-17100000,-65100000,-15500000,-31800000,-27400000,-12600000,-5451000,-2635000,-1490000,-836000,-2029000,-2230000,-12303000,-12498000,-33759000,-11862000,-17846000,-39487000,-23373000,-16098000,-7834000,-7317000,-6824000,-10160000,-25715000,-10165000,1154000,-11011000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9065000,- -,- -,- -,- -,-148759000,- -,- -,- -,- -,- -,- -,-21907000,-11133000,-19500000,-12105000
86,Purchases of Investments,- -,- -,- -,-6200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-646000,-1012000,1615000,-708000,123000,- -,9000,1702000,816000,-11847000,-17769000,-37571000,-22887000,-16078000,-7766000,-7314000,-6448000,-9169000,-25589000,-9896000,-8650154,-1359000
89,Cash Used for Investing Activites,-17100000,-65100000,-15500000,-38000000,-27500000,-12600000,-6097000,-3647000,125000,-1544000,-1906000,-2230000,-21359000,-10796000,-32943000,-11847000,-17769000,-186330000,-22887000,-16078000,-7766000,-7314000,-6448000,-9169000,-47496000,-21029000,-28149000,-13464000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40198000,- -,-465015000,-537864000,-465674000,-584375000,-410502000,-289364000,-356479000,-492509000,-646549000,-242000,-591460000
91,Common Stock Issued,57000000,- -,49200000,- -,- -,- -,- -,- -,33000,24000,1840000,6959000,3992000,4667000,2904000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4100000,-3179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-699000,- -,- -,- -,-1522000,-145000,- -
93,Dividends Paid,-17500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1251000,-1494000,-12816000,-1196000,-870000,-872000,-873000,-876000,-878000,-879000,-877000,-878000,-880000,-879000,-885000,-886000
94,Other Financing Activites,-4200000,6500000,-33600000,12200000,-3400000,15300000,-23749000,16490000,20069000,-6681000,-1800000,-86901000,65077000,-54562000,29800000,-9850000,55372000,642288000,534653000,423351000,631655000,311275000,307213000,386261000,597696000,536844000,-32440000,756463000
95,Cash Used/Provided by Financing Activities,35300000,6500000,15600000,12200000,-3400000,11200000,-26928000,16490000,20102000,-6657000,40000,-79942000,67818000,-51389000,19888000,-51244000,54502000,176401000,-4084000,-43199000,46402000,-100805000,16972000,28904000,104307000,-112106000,-33712000,164117000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-400000,16000,-395000,682000,1351000,1597000,4871000,-4344000,2496000,-6816000,4299000,-3698000,5911000,379000,-4596000,-948000,-634000,711000,694000,6310000,-3577000,- -,4279000
98,Cash at the End of Period,- -,- -,- -,- -,- -,1400000,1449000,1054000,1736000,3087000,4684000,9555000,5211000,7707000,891000,5190000,1492000,7403000,7782000,3186000,2238000,1604000,2315000,3009000,9319000,5742000,- -,9812000
99,Cash at the Beginning of Period,400000,700000,1900000,2000000,1700000,1800000,1433000,1449000,1054000,1736000,3087000,4684000,9555000,5211000,7707000,891000,5190000,1492000,7403000,7782000,3186000,2238000,1604000,2315000,3009000,9319000,- -,5533000
100,Free Cash Flow,-35100000,-5300000,-15400000,-6300000,3600000,-11600000,27590000,-15873000,-21035000,8716000,1434000,84813000,-63106000,52183000,-27520000,55528000,-58277000,-23647000,3977000,38583000,-47418000,100168000,-16637000,-29201000,-76216000,119393000,62806000,-157385000
