,https://roic.ai/company/CCMP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102934/000095013702006608/0000950137-02-006608-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013703006272/0000950137-03-006272-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013704010865/0000950137-04-010865-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293405000054/body.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293406000088/form10k.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293407000108/0001102934-07-000108-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293408000088/0001102934-08-000088-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293409000035/0001102934-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293410000042/0001102934-10-000042-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293411000029/0001102934-11-000029-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293412000040/0001102934-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293413000024/0001102934-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293414000027/0001102934-14-000027-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293415000033/0001102934-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293416000064/0001102934-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000028/0001102934-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000028/0001102934-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000058/0001102934-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293420000055/0001102934-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1102934/000114036122001917/0001140361-22-001917-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9971000,47677000,69605000,111318000,157318000,44436000,54965000,54557000,221467000,199952000,254164000,302546000,178459000,226029000,284155000,354190000,287479000,397890000,352921000,188495000,257354000,185979000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,126605000,110965000,157915000,4950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9971000,47677000,69605000,111318000,157318000,171041000,165930000,212472000,226417000,199952000,254164000,302546000,178459000,226029000,284155000,354190000,287479000,397890000,352921000,188495000,257354000,185979000
34,Net Receivables,19900000,30595000,26735000,26082000,37564000,41347000,36759000,48028000,52302000,41630000,53538000,57456000,52747000,53506000,54640000,60693000,49405000,62830000,64793000,75886000,146113000,134023000,150099000
35,Inventory,5300000,14014000,16806000,21959000,23814000,24474000,28797000,40326000,37266000,47466000,44940000,51896000,56128000,66472000,63786000,64979000,70678000,72123000,71873000,71926000,145278000,159134000,173464000
36,Other Current Assets,900000,4473000,5236000,5637000,6416000,6542000,9210000,7221000,8714000,15079000,18422000,17513000,18984000,19451000,21257000,18166000,20235000,14659000,16426000,22048000,28670000,26558000,25439000
37,Total Current Assets,26100000,59053000,96454000,123283000,179112000,229681000,245807000,261505000,310754000,330592000,316852000,381029000,430405000,317888000,365712000,427993000,494508000,437091000,550982000,522781000,508556000,577069000,534981000
38,PP&E,40000000,71873000,97426000,132264000,133695000,127794000,135784000,130176000,118454000,115843000,122782000,115811000,130791000,125020000,111985000,100821000,93743000,106496000,106361000,111403000,276818000,393066000,384073000
39,Goodwill,- -,- -,- -,1373000,- -,- -,- -,4565000,7069000,7069000,39732000,40436000,41148000,44620000,44306000,43245000,40442000,100639000,101932000,101083000,710071000,718647000,576902000
40,Intangible Assets,1600000,1328000,2607000,935000,1968000,1723000,1373000,11447000,11549000,8712000,18741000,17089000,14651000,12473000,9785000,7163000,4565000,50476000,42710000,35202000,754044000,670964000,625434000
41,Intangible Assets,1600000,1328000,2607000,2308000,1968000,1723000,1373000,16012000,18618000,15781000,58473000,57525000,55799000,57093000,54091000,50408000,45007000,151115000,144642000,136285000,1464115000,1389611000,1202336000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9341000,7549000,7414000,6522000,6248000,1137000,- -,- -,- -
43,Tax Assets,- -,- -,194000,530000,- -,- -,- -,1365000,6686000,11178000,7953000,8044000,862000,5879000,10291000,11353000,12212000,20747000,21598000,5840000,6566000,7713000,6813000
44,Other Non-Current Assets,2600000,3852000,- -,- -,842000,4093000,3799000,3075000,617000,4043000,9084000,9347000,10372000,11945000,3086000,3043000,7590000,5955000,4269000,3527000,5711000,9008000,22682000
45,Total Non-Current Assets,44200000,77053000,100227000,135102000,136505000,133610000,140956000,150628000,144375000,146845000,198292000,190727000,197824000,199937000,188794000,173174000,165966000,290835000,283118000,258192000,1753210000,1799398000,1615904000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,70300000,136106000,196681000,258385000,315617000,363291000,386763000,412133000,455129000,477437000,515144000,571756000,628229000,517825000,554506000,601167000,660474000,727926000,834100000,780973000,2261766000,2376467000,2150885000
48,Accounts Payable,1000000,9425000,13557000,11748000,12521000,13080000,10236000,15104000,15859000,13885000,15182000,17521000,22436000,19542000,16663000,15304000,15448000,16834000,17624000,18171000,54529000,49254000,52748000
49,Short-Term Debt,- -,- -,- -,1585000,1716000,1272000,1170000,1254000,1066000,1129000,1210000,1296000,10000,10939000,10938000,8750000,8750000,7656000,10938000,1487000,13313000,17163000,20959000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,808000,3884000,7882000,6630000,5251000,8653000,11405000,20021000,22006000,21260000,23456000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3341000,458000,1223000,538000,2282000,3059000,6381000,5008000,8501000,8883000
52,Other Current Liabilities,6800000,14775000,12809000,17238000,14679000,18023000,24216000,22475000,19638000,22787000,23144000,34513000,33104000,29397000,39441000,30171000,35908000,39113000,59592000,75115000,98610000,106428000,123268000
53,Total Current Liabilities,7800000,24200000,26366000,30571000,28916000,32375000,35622000,38833000,36563000,37801000,39536000,53330000,55550000,63219000,67500000,55448000,60644000,65885000,91213000,101154000,171460000,181346000,205858000
54,Long-Term Debt,- -,3500000,3500000,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,161875000,150937000,164063000,155313000,147657000,132997000,- -,928463000,910764000,903031000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,160000,268000,1514000,5384000,7374000,4967000,- -,- -,- -,- -,- -,- -,2017000,1559000,510000,76000,75000,63000,81000,121993000,112212000,74930000
57,Other Non-Current Liabilities,400000,684000,260000,9294000,9544000,7920000,7090000,5529000,5362000,5403000,4879000,4083000,6325000,7123000,7433000,9144000,15477000,16661000,14790000,13046000,59473000,97832000,88129000
58,Total Non-Current Liabilities,400000,4344000,4028000,14308000,14928000,15294000,12057000,5529000,5362000,5403000,4879000,4083000,6325000,171015000,159929000,173717000,170866000,164393000,147850000,13127000,1109929000,1120808000,1066090000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,7452000,6385000,5436000,4420000,3608000,2518000,2518000,1308000,12000,21000,- -,- -,- -,- -,- -,- -,- -,6513000,7646000
61,Total Liabilities,8200000,28544000,30394000,44879000,43844000,47669000,47679000,44362000,41925000,43204000,44415000,57413000,61875000,234234000,227429000,229165000,231510000,230278000,239063000,114281000,1281389000,1302154000,1271948000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,24000,24000,24000,25000,25000,24000,24000,24000,26000,26000,26000,28000,29000,30000,32000,33000,34000,35000,36000,40000,40000,40000
64,Retained Earnings,- -,18538000,60440000,101125000,138858000,185586000,218059000,251007000,284843000,323122000,334309000,383767000,435429000,129441000,180826000,227942000,284088000,330776000,397881000,471673000,461501000,553718000,431968000
65,Other Comprehensive Income/Loss,-5000000,-8881000,-15519000,-27316000,977000,1752000,989000,272000,1259000,3054000,13690000,18538000,24127000,30466000,17436000,9255000,-6090000,9556000,3949000,4539000,-23238000,-14104000,4791000
66,Other Total Stockholders Equity,67100000,97881000,121342000,139673000,131913000,128259000,120012000,116468000,127078000,108031000,122704000,112012000,106770000,123655000,128785000,134773000,150933000,157282000,193172000,190444000,542074000,534659000,- -
67,Total Stockholders Equity,62100000,107562000,166287000,213506000,271773000,315622000,339084000,367771000,413204000,434233000,470729000,514343000,566354000,283591000,327077000,372002000,428964000,497648000,595037000,666692000,980377000,1074313000,878937000
68,Total Liabilities And Stockholders Equity,70300000,136106000,196681000,258385000,315617000,363291000,386763000,412133000,455129000,477437000,515144000,571756000,628229000,517825000,554506000,601167000,660474000,727926000,834100000,780973000,2261766000,2376467000,2150885000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,70300000,136106000,196681000,258385000,315617000,363291000,386763000,412133000,455129000,477437000,515144000,571756000,628229000,517825000,554506000,601167000,660474000,727926000,834100000,780973000,2261766000,2376467000,2150885000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102934/000095013702006608/0000950137-02-006608-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013703006272/0000950137-03-006272-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013704010865/0000950137-04-010865-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293405000054/body.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293406000088/form10k.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293407000108/0001102934-07-000108-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293408000088/0001102934-08-000088-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293409000035/0001102934-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293410000042/0001102934-10-000042-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293411000029/0001102934-11-000029-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293412000040/0001102934-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293413000024/0001102934-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293414000027/0001102934-14-000027-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293415000033/0001102934-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293416000064/0001102934-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000028/0001102934-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000028/0001102934-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000058/0001102934-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293420000055/0001102934-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1102934/000114036122001917/0001140361-22-001917-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12300000,30502000,41902000,40685000,37733000,46728000,32473000,32948000,33836000,38338000,11187000,49458000,51662000,40826000,51385000,50751000,56146000,59849000,86952000,110043000,39215000,142828000,-68577000
74,Depreciation and Amortization,2800000,4891000,7787000,12009000,15732000,17611000,19072000,21174000,24170000,25951000,24832000,24994000,- -,- -,20457000,19941000,18719000,26031000,25930000,25876000,98592000,127737000,132170000
75,Deferred Income Tax,-200000,-2117000,-394000,1756000,4447000,1119000,-2417000,-5571000,-5708000,-5894000,-2064000,-2150000,4934000,-3523000,-3118000,-700000,869000,-1757000,392000,22175000,-27150000,-11267000,-41347000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12802000,11643000,12646000,13306000,13350000,14042000,16445000,13787000,13004000,18517000,18227000,16396000,19678000
77,Change in Working Capital,-7000000,16553000,35235000,22624000,57484000,47110000,12879000,12487000,51519000,18600000,-15475000,50383000,47156000,-120186000,43543000,74333000,61319000,-62658000,88563000,-38142000,-84531000,58627000,-15170000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8519000,-1985000,6623000,-4622000,-5936000,-8181000,9013000,-8017000,-3986000,-12068000,-6156000,13075000,-13429000
79,Inventory,600000,-8865000,-2827000,-4429000,-2045000,-1256000,-4760000,-5635000,3658000,-9268000,8084000,-5715000,-2816000,-10228000,-1683000,-3794000,-8290000,3351000,-1220000,-442000,-20993000,-12337000,-13023000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-464000,1555000,-1021000,2026000,-1359000,-850000,801000,-478000,892000,128000,1163000,-2861000,3586000
81,Other Working Capital,18300000,34853000,70088000,92712000,150196000,197306000,210185000,222672000,274191000,292791000,277316000,327699000,374855000,254669000,298212000,372545000,433864000,371206000,459769000,421627000,337096000,395723000,- -
82,Other Non-Cash Items,1100000,-17959000,-21986000,-23574000,-67812000,-48358000,-14045000,-2370000,-39183000,-6156000,13415000,-45943000,-22832000,135984000,-40134000,-90889000,-55312000,59959000,-73472000,30396000,130628000,-47037000,243859000
83,Cash Provided by Operating Activities,9000000,31870000,62544000,53500000,47584000,64210000,47962000,58668000,64634000,70839000,44697000,88385000,93566000,66407000,85483000,67478000,98186000,95211000,141369000,168865000,174981000,287284000,270613000
84,CAPEX,-17200000,-38923000,-35328000,-35259000,-16396000,-10968000,-21137000,-27230000,-13013000,-19232000,-8493000,-11972000,-28252000,-19741000,-14633000,-12551000,-13812000,-17670000,-21174000,-21308000,-55972000,-125839000,-42103000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-20919000,-2500000,- -,-60520000,- -,- -,- -,- -,- -,- -,-126976000,- -,- -,-1182187000,- -,-126877000
86,Purchases of Investments,- -,- -,- -,- -,- -,-1820000,-143500000,-185655000,-155175000,-233775000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218930000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,128975000,201392000,108225000,383290000,50000,50000,25000,50000,25000,2305000,202000,200000,175000,214460000,- -,- -,- -
88,Other Investing Activites,100000,1675000,2000,- -,1861000,15000,6000,19000,172000,42000,1000,-313000,-159000,-147000,20000,1264000,201000,17000,1216000,3027000,5183000,1587000,2620000
89,Cash Used for Investing Activites,-17100000,-37248000,-35326000,-35259000,-14535000,-12773000,-35656000,-32393000,-62291000,130325000,-68962000,-11920000,-28186000,-19683000,-14588000,-8982000,-13409000,-144429000,-19783000,-22751000,-1232976000,-124252000,-166360000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1129000,-1210000,-1296000,-2199000,-10958000,-6562000,-8750000,-8750000,-10938000,-145575000,-105326000,-173313000,-7988000
91,Common Stock Issued,- -,92835000,10390000,4500000,12761000,3385000,6983000,1359000,7759000,4889000,2206000,3429000,38051000,36497000,30905000,43070000,35782000,19512000,30615000,23031000,17210000,14427000,13388000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-8000000,-16999000,-15996000,-9995000,-39001000,-336000,-25764000,-55499000,-34537000,-41294000,-55072000,-42247000,-28818000,-14208000,-44288000,-14720000,-38238000,-125587000
93,Dividends Paid,- -,-81300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-347140000,- -,- -,- -,-8658000,-19041000,-30730000,-46324000,-50383000,-53015000
94,Other Financing Activites,8100000,3624000,- -,-857000,-4242000,-815000,-869000,-933000,-999000,-1072000,- -,- -,830000,175636000,1148000,19756000,6207000,2305000,6557000,- -,1043592000,149851000,-2134000
95,Cash Used/Provided by Financing Activities,8100000,15159000,10390000,3643000,8519000,-5430000,-10885000,-15570000,-3235000,-35184000,741000,-23545000,-17914000,-171743000,-20199000,1192000,-9008000,-24409000,-7015000,-197562000,894432000,-97656000,-175336000
96,Effect of Forex Changes on Cash,100000,152000,98000,44000,145000,-7000,-293000,-176000,484000,930000,2009000,1292000,916000,932000,-3126000,-1562000,-5734000,6916000,-4160000,6479000,-863000,3483000,-292000
97,Net Change In Cash,- -,9933000,37706000,21928000,41713000,46000000,1128000,10529000,-408000,166910000,-21515000,54212000,48382000,-124087000,47570000,58126000,70035000,-66711000,110411000,-44969000,-164426000,68859000,-71375000
98,Cash at the End of Period,- -,9971000,47677000,69605000,111318000,157318000,44436000,54965000,54557000,221467000,199952000,254164000,302546000,178459000,226029000,284155000,354190000,287479000,397890000,352921000,188495000,257354000,185979000
99,Cash at the Beginning of Period,- -,38000,9971000,47677000,69605000,111318000,43308000,44436000,54965000,54557000,221467000,199952000,254164000,302546000,178459000,226029000,284155000,354190000,287479000,397890000,352921000,188495000,257354000
100,Free Cash Flow,-8200000,-7053000,27216000,18241000,31188000,53242000,26825000,31438000,51621000,51607000,36204000,76413000,65314000,46666000,70850000,54927000,84374000,77541000,120195000,147557000,119009000,161445000,228510000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102934/000095013702006608/0000950137-02-006608-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013703006272/0000950137-03-006272-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000095013704010865/0000950137-04-010865-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293405000054/body.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293406000088/form10k.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293407000108/0001102934-07-000108-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293408000088/0001102934-08-000088-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293409000035/0001102934-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293410000042/0001102934-10-000042-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293411000029/0001102934-11-000029-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293412000040/0001102934-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293413000024/0001102934-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293414000027/0001102934-14-000027-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293415000033/0001102934-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293416000064/0001102934-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000028/0001102934-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000028/0001102934-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000058/0001102934-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293420000055/0001102934-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1102934/000114036122001917/0001140361-22-001917-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
