,https://roic.ai/company/CRVL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3100000,5400000,6000000,8500000,9600000,11100000,12800000,16300000,18900000,21717000,16389000,18783000,25081000,26067000,28144000,29590000,35383000,39720000,42133000,42056000,59167000,50405000,47765000,51974000,54405000,58484000,57243000,59350000,63296000,65210000,64449000
11,COGS and Expenses,27800000,44200000,57700000,73400000,86200000,97000000,107900000,126600000,148700000,167462000,188399000,212008000,256028000,279913000,274485000,250650000,244129000,263549000,278467000,294485000,343265000,369231000,385415000,422309000,447061000,457524000,471137000,510447000,534227000,531514000,493469000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,700000,1100000,1100000,2400000,2400000,3000000,4200000,5300000,6300000,6965000,6759000,8414000,10839000,9958000,11085000,10940000,10122000,11768000,11778000,11988000,12249000,14723000,15739000,16411000,17995000,19952000,20948000,21775000,22984000,22516000,23436000
15,EBITDA,1600000,3700000,5200000,9600000,12100000,15000000,17900000,20500000,23100000,26268000,27914000,32318000,37587000,35324000,27600000,26794000,40574000,50113000,43387000,55471000,49652000,58160000,59634000,72918000,63559000,66012000,68497000,69678000,84497000,83227000,82611000
16,EBITDA ratio,0.0554,0.0789,0.0841,0.1191,0.1263,0.1375,0.1471,0.1447,0.1396,0.1406,0.1332,0.1370,0.1329,0.1157,0.0948,0.1005,0.1478,0.1660,0.1399,0.1641,0.1304,0.1409,0.1389,0.1523,0.1290,0.1311,0.1321,0.1248,0.1418,0.1405,0.1495
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37403000,- -,43895000,56507000,45564000,46060000,47549000,47903000,61513000,60711000,59175000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0983,- -,0.1022,0.1180,0.0925,0.0915,0.0917,0.0858,0.1033,0.1025,0.1071
19,Total Other Income Expenses (Gains),-200000,-100000,- -,- -,100000,-100000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,900000,2600000,4100000,7200000,9700000,12000000,13700000,15200000,16800000,19303000,21155000,23904000,26748000,25366000,16515000,15854000,30452000,38345000,31609000,43483000,37403000,43437000,43895000,56507000,45564000,46060000,47549000,47903000,61513000,60711000,59175000
21,Income Before Tax Ratio,0.0311,0.0554,0.0663,0.0893,0.1013,0.1100,0.1126,0.1073,0.1015,0.1034,0.1010,0.1013,0.0946,0.0831,0.0568,0.0595,0.1109,0.1270,0.1019,0.1287,0.0983,0.1053,0.1022,0.1180,0.0925,0.0915,0.0917,0.0858,0.1033,0.1025,0.1071
22,Income Tax expense (Gain),200000,1000000,1600000,2800000,3800000,4700000,5200000,5700000,6400000,7336000,7933000,9083000,10164000,9353000,6358000,6101000,11876000,14961000,12332000,17387000,12740000,16885000,17165000,22115000,16974000,17535000,18070000,12208000,14810000,13334000,12819000
23,Net Income,700000,1600000,2500000,4400000,5900000,7300000,8500000,9500000,10400000,11967000,13222000,14821000,16584000,16013000,10157000,9753000,18576000,23384000,19277000,26096000,24663000,26552000,26730000,34392000,28590000,28525000,29479000,35695000,46703000,47377000,46356000
24,Net Income ratio,0.0242,0.0341,0.0405,0.0546,0.0616,0.0669,0.0698,0.0670,0.0628,0.0641,0.0631,0.0628,0.0586,0.0525,0.0349,0.0366,0.0677,0.0775,0.0622,0.0772,0.0648,0.0643,0.0623,0.0718,0.0580,0.0566,0.0568,0.0639,0.0784,0.0800,0.0839
25,EPS,-0.00,0.01,0.02,0.03,0.04,0.17,0.20,0.25,0.14,0.33,0.39,0.45,0.51,0.50,0.32,0.34,0.66,0.84,0.71,1.04,1.04,1.16,1.20,1.63,1.38,1.44,1.52,1.90,2.48,2.59,2.59
26,EPS Diluted,-0.00,0.01,0.02,0.03,0.03,0.17,0.20,0.25,0.14,0.33,0.38,0.43,0.50,0.49,0.32,0.33,0.65,0.83,0.71,1.03,1.02,1.14,1.19,1.61,1.37,1.43,1.51,1.87,2.46,2.55,2.55
27,Weighted Average Shares Outstanding,14160836,30686306,30686306,36602390,38103886,42066000,42201000,37737000,73395000,36094500,34195500,33129000,32205000,31755000,31257000,29067000,28140000,27712000,26916000,24998000,23602000,22952000,22256000,21104000,20669000,19826000,19418000,18825000,18794000,18326000,17930000
28,Weighted Average Shares Outstanding Diluted,14160836,30686306,30686306,36602390,38103886,42066000,42201000,38574000,74349000,36679500,35014500,34101000,33171000,32514000,31560000,29184000,28536000,28072000,27240000,25344000,24058000,23254000,22458000,21372000,20890000,20004000,19570000,19042000,19008000,18602000,18166000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874866/000089256902001426/0000892569-02-001426-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256903001609/0000892569-03-001609-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256904000707/0000892569-04-000707-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256905000572/0000892569-05-000572-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256906000828/0000892569-06-000828-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256907000796/0000892569-07-000796-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095013408011259/0000950134-08-011259-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012309013720/0000950123-09-013720-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012310057644/0000950123-10-057644-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012311058355/0000950123-11-058355-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312512265393/0001193125-12-265393-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312513253579/0001193125-13-253579-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312514234829/0001193125-14-234829-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312515220604/0001193125-15-220604-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312516619107/0001193125-16-619107-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459017012405/0001564590-17-012405-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459018015318/0001564590-18-015318-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459019022038/0001564590-19-022038-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459020028917/0001564590-20-028917-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459021030813/0001564590-21-030813-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,5900000,3500000,8400000,13200000,17100000,15700000,8400000,9100000,5643000,9457000,12601000,5913000,8641000,8945000,14206000,15020000,17911000,14681000,11933000,12269000,6597000,19822000,34866000,25516000,32779000,28611000,55771000,91713000,83223000,139716000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5279000,5816000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,5900000,3500000,8400000,13200000,17100000,15700000,8400000,9100000,5643000,9457000,12601000,5913000,8641000,8945000,14206000,15020000,17911000,14681000,11933000,17548000,12413000,19822000,34866000,25516000,32779000,28611000,55771000,91713000,83223000,139716000
34,Net Receivables,5500000,8500000,11200000,13200000,15900000,18400000,22300000,25600000,31600000,35874000,34316000,33040000,45394000,45538000,45611000,39521000,41027000,39164000,41249000,43930000,48964000,49334000,49105000,57229000,57537000,59747000,62841000,64940000,71336000,65767000,64722000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,1900000,1900000,2400000,2000000,2600000,1800000,3200000,4000000,5764000,6595000,5535000,6844000,9679000,8043000,6742000,8240000,9318000,9372000,11283000,15715000,19500000,23973000,28865000,36175000,30582000,37415000,42606000,52444000,60001000,64503000
37,Total Current Assets,6000000,16300000,16600000,24000000,31100000,38100000,39800000,37200000,44700000,47281000,50368000,51176000,58151000,63858000,62599000,60469000,64287000,66393000,65302000,67146000,82227000,81247000,92900000,120960000,119228000,123108000,128867000,163317000,215493000,208991000,268941000
38,PP&E,2400000,3900000,4900000,6900000,8900000,11500000,13100000,16500000,17100000,16631000,20071000,22481000,25848000,29387000,29649000,26459000,24864000,30569000,29790000,30026000,38500000,47364000,46584000,51253000,56299000,53268000,63042000,69356000,61980000,166566000,115943000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12620000,22341000,31875000,34852000,35988000,36769000,36814000,36814000,36814000,36814000,36814000,36814000,36814000,36814000,36814000,36814000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8868000,12562000,12642000,- -,1970000,7789000,7495000,6909000,6729000,6146000,5663000,5193000,4736000,4287000,3851000,3415000,2975000,2540000,2104000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8868000,12562000,12642000,12620000,24311000,39664000,42347000,42897000,43498000,42960000,42477000,42007000,41550000,41101000,40665000,40229000,39789000,39354000,38918000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550000,- -,3949000,3770000,299000,- -,311000,- -,- -,- -,- -,- -,- -,- -,- -,613000
44,Other Non-Current Assets,3500000,3500000,3800000,3700000,4000000,4400000,5900000,6800000,6900000,7275000,7126000,6638000,458000,504000,403000,- -,306000,- -,- -,- -,- -,- -,421000,261000,1677000,2792000,2809000,1102000,756000,1349000,345000
45,Total Non-Current Assets,5900000,7400000,8700000,10600000,12900000,15900000,19000000,23300000,24000000,23906000,27197000,29119000,35174000,42453000,42694000,39629000,49481000,74182000,75907000,73222000,81998000,90635000,89482000,93521000,99526000,97161000,106516000,110687000,102525000,207269000,155819000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11900000,23700000,25300000,34600000,44000000,54000000,58800000,60500000,68700000,71187000,77565000,80295000,93325000,106311000,105293000,100098000,113768000,140575000,141209000,140368000,164225000,171882000,182382000,214481000,218754000,220269000,235383000,274004000,318018000,416260000,424760000
48,Accounts Payable,300000,1000000,2000000,2300000,2400000,3100000,6600000,6100000,6500000,5310000,3006000,3432000,6880000,10765000,12293000,13712000,13418000,14068000,- -,- -,- -,- -,12559000,17437000,13578000,11191000,16583000,11787000,9925000,15145000,12353000
49,Short-Term Debt,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13223000,12765000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028000,1028000,2192000,2042000,- -,1666000,- -,- -,1221000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2082000,- -,- -,- -,- -,14353000,21805000,25054000,33470000,42567000,50812000,62168000,66636000,79012000
52,Other Current Liabilities,2300000,6400000,3000000,4100000,4600000,4200000,4600000,6300000,6500000,7575000,12232000,12205000,13758000,11847000,11059000,12160000,15851000,20798000,37206000,39950000,54838000,44762000,25843000,32598000,35456000,35754000,30901000,35390000,44826000,38685000,58330000
53,Total Current Liabilities,2800000,7400000,5000000,6400000,7000000,7300000,11200000,12400000,13000000,12885000,15238000,15637000,20638000,22612000,23352000,25872000,29269000,36948000,37206000,39950000,54838000,44762000,52755000,71840000,74088000,80415000,90051000,97989000,116919000,133689000,162460000
54,Long-Term Debt,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,900000,1200000,1400000,1500000,2300000,2500000,3009000,3609000,3675000,5467000,6077000,7700000,6190000,5302000,7249000,7706000,4690000,9748000,16738000,18225000,16119000,16743000,7906000,6686000,4839000,6294000,7764000,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85096000,41898000
58,Total Non-Current Liabilities,400000,- -,-100000,900000,1200000,1400000,1500000,2300000,2500000,3009000,3609000,3675000,5467000,6077000,7700000,6190000,5302000,7249000,7706000,4690000,9748000,16738000,18225000,16119000,16743000,7906000,6686000,4839000,6294000,92860000,41898000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98319000,54663000
61,Total Liabilities,3200000,7400000,4900000,7300000,8200000,8700000,12700000,14700000,15500000,15894000,18847000,19312000,26105000,28689000,31052000,32062000,34571000,44197000,44912000,44640000,64586000,61500000,70980000,87959000,90831000,88321000,96737000,102828000,123213000,226549000,204358000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,-2800000,-1200000,1300000,5700000,11600000,18900000,27400000,36900000,47300000,59253000,72475000,87296000,103880000,119893000,130050000,139155000,157731000,178458000,197735000,223831000,248494000,275046000,301776000,336168000,364758000,393283000,422762000,458457000,505160000,552537000,598893000
65,Other Comprehensive Income/Loss,-1100000,-2000000,-1800000,-3900000,-6000000,-8900000,-12700000,-17400000,-23300000,-29415000,-23421000,-31317000,-39731000,-44526000,-49828000,-59404000,-61808000,-70061000,-74107000,-77588000,-82811000,-91097000,-97551000,-109293000,-118712000,-130736000,-143738000,-161432000,-178293000,-167288000,- -
66,Other Total Stockholders Equity,12600000,19500000,20900000,25500000,30200000,35300000,31400000,26300000,29200000,25454000,9663000,5002000,3069000,2253000,-5983000,-11717000,-16729000,-12022000,-27334000,-50518000,-66047000,-73570000,-92826000,-100356000,-118126000,-130602000,-140381000,-125852000,-132065000,-195541000,-378494000
67,Total Stockholders Equity,8700000,16300000,20400000,27300000,35800000,45300000,46100000,45800000,53200000,55293000,58718000,60983000,67220000,77622000,74241000,68036000,79197000,96378000,96297000,95728000,99639000,110382000,111402000,126522000,127923000,131948000,138646000,171176000,194805000,189711000,220402000
68,Total Liabilities And Stockholders Equity,11900000,23700000,25300000,34600000,44000000,54000000,58800000,60500000,68700000,71187000,77565000,80295000,93325000,106311000,105293000,100098000,113768000,140575000,141209000,140368000,164225000,171882000,182382000,214481000,218754000,220269000,235383000,274004000,318018000,416260000,424760000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11900000,23700000,25300000,34600000,44000000,54000000,58800000,60500000,68700000,71187000,77565000,80295000,93325000,106311000,105293000,100098000,113768000,140575000,141209000,140368000,164225000,171882000,182382000,214481000,218754000,220269000,235383000,274004000,318018000,416260000,424760000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874866/000089256902001426/0000892569-02-001426-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256903001609/0000892569-03-001609-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256904000707/0000892569-04-000707-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256905000572/0000892569-05-000572-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256906000828/0000892569-06-000828-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000089256907000796/0000892569-07-000796-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095013408011259/0000950134-08-011259-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012309013720/0000950123-09-013720-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012310057644/0000950123-10-057644-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000095012311058355/0000950123-11-058355-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312512265393/0001193125-12-265393-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312513253579/0001193125-13-253579-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312514234829/0001193125-14-234829-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312515220604/0001193125-15-220604-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000119312516619107/0001193125-16-619107-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459017012405/0001564590-17-012405-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459018015318/0001564590-18-015318-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459019022038/0001564590-19-022038-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459020028917/0001564590-20-028917-index.htm,https://www.sec.gov/Archives/edgar/data/874866/000156459021030813/0001564590-21-030813-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,1600000,2500000,4400000,5900000,7300000,8500000,9500000,10400000,11967000,13222000,14821000,16584000,16013000,10157000,9753000,18576000,23384000,19277000,26096000,24663000,26552000,26730000,34392000,28590000,28525000,29479000,35695000,46703000,47377000,46356000
74,Depreciation and Amortization,700000,1100000,1100000,2400000,2400000,3000000,4200000,5300000,6300000,6965000,6759000,8414000,10839000,9958000,11085000,10940000,10122000,11768000,11778000,11988000,12249000,14723000,15739000,16411000,17995000,19952000,20948000,21775000,22984000,22516000,23436000
75,Deferred Income Tax,-100000,-200000,-800000,500000,- -,-100000,400000,100000,-600000,-131000,303000,-40000,999000,1329000,1787000,-1474000,-1517000,-2226000,2000,308000,624000,9051000,2276000,-2519000,304000,-1656000,-1220000,-874000,1456000,1470000,-8376000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1332000,2102000,2544000,2276000,997000,2140000,2209000,2192000,2432000,3164000,4349000,4485000,4978000
77,Change in Working Capital,-1500000,5700000,2700000,6000000,6500000,6700000,-2200000,-3800000,6900000,2696000,734000,409000,1974000,3733000,-1999000,-4650000,421000,-5573000,-1349000,-900000,193000,9096000,3660000,8975000,-3980000,-2447000,-3877000,26512000,33246000,-23272000,31179000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4388000,-5549000,-7419000,-2516000,-1894000,-9456000,-2038000,-3567000,-5429000,-4658000,-8271000,3964000,-976000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1817000,814000,2535000,-2695000,-2537000,3350000,-3130000,-1975000,1095000,- -
81,Other Working Capital,3200000,8900000,11600000,17600000,24100000,30800000,28600000,24800000,31700000,34396000,35130000,35539000,37513000,41246000,39247000,34597000,35018000,29445000,28096000,27196000,27389000,36485000,40145000,49120000,45140000,42693000,38816000,65328000,98574000,75302000,106481000
82,Other Non-Cash Items,- -,-7900000,-5200000,-6500000,-8300000,-9700000,1200000,200000,-12800000,-8778000,2747000,2972000,-8148000,-5344000,5325000,14175000,2390000,9914000,267000,-1307000,4789000,-26026000,5417000,-4599000,-802000,4745000,4290000,-24120000,-30099000,28250000,-3194000
83,Cash Provided by Operating Activities,-200000,300000,300000,6800000,6500000,7200000,12100000,11300000,10200000,12719000,23765000,26576000,22248000,25689000,26355000,28744000,29992000,37267000,31307000,38287000,45062000,35672000,54819000,54800000,44316000,51311000,52052000,62152000,78639000,80826000,94379000
84,CAPEX,-1200000,-2500000,-4300000,-4400000,-4200000,-5600000,-5800000,-8700000,-6600000,-6240000,-10154000,-10876000,-13929000,-13122000,-11560000,-7754000,-8533000,-14757000,-10482000,-11668000,-18504000,-23214000,-14887000,-18344000,-22868000,-16756000,-31041000,-27689000,-15274000,-32360000,-17243000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3395000,-4228000,-80000,- -,-11972000,-14586000,-3365000,-600000,-1235000,-45000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-600000,34000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1100000,-100000,-4300000,-4400000,-4200000,-5600000,-5800000,-8700000,-6600000,-6240000,-10154000,-10876000,-17324000,-17350000,-11640000,-7754000,-20505000,-29343000,-13847000,-12268000,-19739000,-23259000,-14887000,-18344000,-24268000,-17356000,-31007000,-27689000,-15274000,-32360000,-17243000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,1700000,- -,2600000,2500000,2200000,1700000,2500000,2300000,3078000,4150000,2681000,3375000,6543000,2789000,2995000,9621000,2838000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,2500000,-9900000,1500000,- -,- -,- -,-9500000,-12300000,-5300000,-12966000,-13947000,-15237000,- -,- -,-17200000,-18724000,-21886000,-8211000,-23460000,-32561000,-30608000,-21643000,-30727000,-27179000,-31798000,-31525000,-27999000,-11187000,-35167000,-65608000,-32671000
93,Dividends Paid,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,13600000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,-14987000,-12154000,- -,- -,3592000,340000,2770000,3794000,7312000,3558000,4020000,5767000,2400000,4833000,2786000,3884000,7744000,8652000,12028000
95,Cash Used/Provided by Financing Activities,1500000,5400000,1500000,2600000,2500000,2200000,-7700000,-9800000,-3000000,-9888000,-9797000,-12556000,-11612000,-5611000,-14411000,-15729000,-8673000,-5033000,-20690000,-28767000,-23296000,-18085000,-26707000,-21412000,-29398000,-26692000,-25213000,-7303000,-27423000,-56956000,-20643000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
