,https://roic.ai/company/BCOR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-7000000,-13500000,-122070146,-206544000,-13524000,-3562000,5416000,89476000,19381000,16109000,-21371000,-2032000,15313000,303000,-6677000,-29623000,-14766000,-12542000,-39781000,-44551000,-15797000,-16915000,-31304000,-32080000
20,Income Before Tax,- -,- -,-280219758,-498244000,-138201000,-5443000,50973000,135893000,-53626000,-71066000,-15876000,7584000,21113000,20233000,37528000,44826000,-23207000,-17349000,-2664000,3486000,51880000,-16906000,-300424000,-1461000
21,Income Before Tax Ratio,- -,- -,-1.3062,-3.0771,-1.0151,-0.0340,0.2044,0.3997,-0.1443,-0.5057,-0.1013,0.0365,0.0855,0.0884,0.0922,0.0781,-0.0400,-0.1474,-0.0058,0.0068,0.0926,-0.0235,-0.3979,-0.0017
22,Income Tax expense (Gain),- -,- -,137101,664000,430000,876000,-29000,-23475000,-38538000,19671000,598000,181000,7410000,-11288000,15002000,20427000,12340000,-4623000,-1285000,-25890000,311000,-65054000,42331000,-9218000
23,Net Income,-9100000,-21700000,-282412396,-502079000,-345250000,-6319000,82401000,159368000,-15088000,14579000,-18699000,7403000,13703000,21594000,22526000,24399000,-35547000,-40074000,-65158000,27039000,50634000,48148000,-342755000,7757000
24,Net Income ratio,-0.9681,-0.5881,-1.3164,-3.1008,-2.5360,-0.0395,0.3305,0.4688,-0.0406,0.1037,-0.1193,0.0357,0.0555,0.0944,0.0554,0.0425,-0.0612,-0.3405,-0.1429,0.0531,0.0903,0.0671,-0.4540,0.0088
25,EPS,-0.84,-0.57,-9.30,-15.80,-11.26,-0.20,2.57,4.94,-0.48,0.45,-0.54,0.28,0.38,0.59,0.56,0.59,-0.86,-0.98,-1.57,0.61,0.94,1.00,-7.14,0.16
26,EPS Diluted,-0.84,-0.58,-9.30,-15.80,-11.26,-0.20,2.26,4.47,-0.48,0.45,-0.54,0.28,0.37,0.58,0.54,0.56,-0.86,-0.98,-1.57,0.57,0.90,0.98,-7.14,0.16
27,Weighted Average Shares Outstanding,10848214,37426312,30447997,31839500,30656000,31232000,32109000,32284000,31254000,32640000,34415000,34983000,35886000,37954000,40279000,41201000,41396000,40959000,41494000,44370000,47394000,48264000,47978000,47978000
28,Weighted Average Shares Outstanding Diluted,10848214,37426312,30447997,31839500,30656000,31232000,36541000,35616000,31254000,32640000,34415000,35431000,36829000,38621000,41672000,43480000,41396000,40959000,41494000,47211000,49381000,49282000,47978000,47978000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1068875/000103221099000428/0001032210-99-000428-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221000000650/0001032210-00-000650-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221001500167/0001032210-01-500167-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221002000470/0001032210-02-000470-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221003000461/0001032210-03-000461-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312504037728/0001193125-04-037728-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312505041749/0001193125-05-041749-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312506037824/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312507037427/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312508036854/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312509042774/0001193125-09-042774-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312510041281/0001193125-10-041281-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312511064197/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1068875/000119312513096577/0001193125-13-096577-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312514072914/d634729d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887515000053/bcor10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887516000198/0001068875-16-000198-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887517000015/0001068875-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887518000018/0001068875-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887519000011/0001068875-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887520000056/0001068875-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887521000047/0001068875-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887522000042/0001068875-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14600000,29500000,153913477,118561000,136672000,229045000,85245000,153013000,163505000,498326000,49936000,83750000,155645000,81897000,68278000,130225000,46444000,55473000,51713000,59965000,84524000,80820000,150125000,134824000
32,Short-Term Investments,- -,124700000,216234797,80319000,138895000,71465000,198410000,222360000,238444000,39019000,141592000,142647000,98091000,211654000,94010000,203480000,254854000,11301000,7101000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14600000,154200000,370148274,198880000,275567000,300510000,283655000,375373000,401949000,537345000,191528000,226397000,253736000,293551000,162288000,333705000,301298000,66774000,58814000,59965000,84524000,80820000,150125000,134824000
34,Net Receivables,3400000,21200000,56201338,43502000,40683000,44281000,77583000,75633000,82144000,24185000,16772000,31419000,21840000,25561000,38874000,56373000,34283000,48619000,30357000,30696000,37947000,40344000,39585000,46979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28826000,29246000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,75800000,10100000,14491522,8239000,2921000,3564000,3623000,12639000,14753000,6632000,1767000,2526000,3178000,1958000,10911000,9774000,13477000,225282000,8676000,8736000,8597000,17979000,10958000,18476000
37,Total Current Assets,93800000,185500000,440841134,250621000,319171000,348355000,364861000,463645000,498846000,568162000,210067000,260342000,278754000,321070000,212073000,428678000,378304000,340675000,97847000,99397000,131068000,139143000,200668000,200279000
38,PP&E,1200000,4500000,51137383,39443000,26252000,15416000,16782000,26889000,33212000,10945000,18078000,12315000,7470000,5277000,7533000,16108000,15942000,11308000,10836000,9831000,12389000,28857000,81955000,94104000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,104424000,44123000,- -,44815000,69878000,44815000,230290000,348957000,304658000,548959000,548741000,549037000,548685000,662375000,454821000,454821000
40,Intangible Assets,5300000,73800000,621031549,403560000,108827000,126380000,204999000,221059000,19565000,- -,- -,457000,1383000,1315000,132815000,178064000,168919000,396295000,362178000,328205000,294603000,290211000,322179000,302289000
41,Intangible Assets,5300000,73800000,621031549,403560000,108827000,126380000,204999000,221059000,123989000,44123000,44123000,45272000,71261000,46130000,363105000,527021000,473577000,945254000,910919000,877242000,843288000,952586000,777000000,757110000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,13916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,25000000,101571000,- -,- -,- -,- -,19102000,- -,- -,- -,- -,- -,- -,- -,9997000,- -,- -
44,Other Non-Current Assets,2000000,88800000,159099934,143381000,27146000,2164000,39452000,6786000,8221000,11194000,4949000,4287000,4258000,3560000,2582000,6223000,4891000,2311000,3057000,15201000,10980000,6989000,4569000,20450000
45,Total Non-Current Assets,8500000,167100000,831268866,586384000,162225000,143960000,261233000,279734000,266993000,103262000,81066000,61874000,82989000,74069000,373220000,549352000,494410000,958873000,924812000,902274000,866657000,998429000,863524000,871664000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,102300000,352600000,1272110000,837005000,481396000,492315000,626094000,743379000,765839000,671424000,291133000,322216000,361743000,395139000,585293000,978030000,872714000,1299548000,1022659000,1001671000,997725000,1137572000,1064192000,1071943000
48,Accounts Payable,1600000,1900000,4537528,9139000,4688000,4588000,6669000,11585000,13031000,5148000,6518000,6736000,7241000,28947000,37687000,61268000,37755000,4689000,4536000,4413000,3798000,10969000,9290000,8216000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4590000,189486000,7914000,31631000,2560000,- -,- -,14500000,4088000,6708000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6814000,792000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,15794000,9169000,5212000,4750000,2474000,6708000,- -,- -,- -,- -,- -,3157000,7510000,7884000,11521000,12156000,9953000,10257000,12014000,12298000,13180000
52,Other Current Liabilities,6400000,19000000,69428493,25791000,18086000,35908000,44031000,51917000,61156000,399752000,20816000,34131000,42753000,10250000,22254000,31109000,21505000,118263000,35115000,37390000,34225000,56049000,75440000,83618000
53,Total Current Liabilities,8000000,20900000,73966021,50724000,31943000,45708000,55450000,65976000,80895000,404900000,27334000,40867000,49994000,39197000,67688000,289373000,75058000,166104000,54367000,51756000,48280000,93532000,101116000,111722000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69278000,113193000,271012000,539768000,412397000,338081000,260390000,381485000,552553000,586401000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1319000,1814000,1915000,1902000,1849000,804000,8581000,7172000,6247000,5322000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,7745000,10421000,5502000,- -,- -,- -,- -,- -,29333000,56861000,42963000,103520000,111126000,43433000,40394000,- -,30663000,20124000
57,Other Non-Current Liabilities,100000,100000,7974111,3693000,1317000,75000,503000,2011000,877000,634000,1475000,1514000,955000,837000,2225000,2719000,2741000,25970000,25901000,26210000,32485000,11868000,61323000,6752000
58,Total Non-Current Liabilities,100000,100000,7974111,3693000,1317000,75000,8248000,12432000,6379000,634000,1475000,1514000,955000,837000,102155000,174587000,318631000,671160000,551273000,408528000,341850000,400525000,650786000,618599000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9188000,38708000,38163000
61,Total Liabilities,8100000,21000000,81940132,54417000,33260000,45783000,63698000,78408000,87274000,405534000,28809000,42381000,50949000,40034000,169843000,463960000,393689000,837264000,605640000,460284000,390130000,494057000,751902000,730321000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,31667,31000,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000
64,Retained Earnings,-9900000,-35700000,-408646738,-910725000,-1255975000,-1262294000,-1179893000,-1020525000,-1035613000,-1021034000,-1032579000,-1025176000,-1011473000,-998902000,-976376000,-951977000,-987524000,-1027598000,-1092756000,-1014174000,-961689000,-914791000,-1257546000,-1249789000
65,Other Comprehensive Income/Loss,-400000,-1300000,-17385666,-32461000,-15000,1206000,1045000,519000,1278000,702000,2540000,1340000,-2000,32000,-276000,- -,-1113000,-527000,-381000,-4000,-446000,-272000,- -,- -
66,Other Total Stockholders Equity,104500000,368600000,1616170605,1725743000,1704123000,1707617000,1741241000,1684974000,1712897000,1286219000,1292360000,1303667000,1322265000,- -,1392098000,1466043000,1467658000,1490405000,1510152000,1555560000,1569725000,1558573000,1569831000,- -
67,Total Stockholders Equity,94200000,331600000,1190169868,782588000,448136000,446532000,562396000,664971000,678565000,265890000,262324000,279835000,310794000,355105000,415450000,514070000,479025000,462284000,417019000,541387000,607595000,643515000,312290000,341622000
68,Total Liabilities And Stockholders Equity,102300000,352600000,1272110000,837005000,481396000,492315000,626094000,743379000,765839000,671424000,291133000,322216000,361743000,395139000,585293000,978030000,872714000,1299548000,1022659000,1001671000,997725000,1137572000,1064192000,1071943000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,102300000,352600000,1272110000,837005000,481396000,492315000,626094000,743379000,765839000,671424000,291133000,322216000,361743000,395139000,585293000,978030000,872714000,1299548000,1022659000,1001671000,997725000,1137572000,1064192000,1071943000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1068875/000103221099000428/0001032210-99-000428-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221000000650/0001032210-00-000650-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221001500167/0001032210-01-500167-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221002000470/0001032210-02-000470-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221003000461/0001032210-03-000461-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312504037728/0001193125-04-037728-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312505041749/0001193125-05-041749-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312506037824/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312507037427/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312508036854/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312509042774/0001193125-09-042774-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312510041281/0001193125-10-041281-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312511064197/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1068875/000119312513096577/0001193125-13-096577-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312514072914/d634729d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887515000053/bcor10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887516000198/0001068875-16-000198-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887517000015/0001068875-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887518000018/0001068875-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887519000011/0001068875-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887520000056/0001068875-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887521000047/0001068875-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887522000042/0001068875-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9100000,-21700000,-282412396,-502079000,-345250000,-6319000,82401000,159368000,-15088000,14579000,-18699000,7403000,13703000,21594000,22526000,24399000,-35547000,-40074000,-65158000,27039000,50634000,48148000,-342755000,7757000
74,Depreciation and Amortization,2500000,5600000,183526433,256067000,35939000,18965000,16894000,24326000,28296000,5542000,7335000,7252000,7091000,7456000,23011000,28265000,36675000,22590000,38688000,38139000,38590000,44208000,39907000,43426000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-26931000,-39001000,19810000,-2667000,2814000,218000,-18870000,-8738000,-10849000,-13667000,-12607000,-18055000,-16159000,-3039000,-67549000,41059000,-10539000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14304000,10568000,14751000,7688000,13223000,11527000,11884000,8694000,13764000,11653000,13253000,16300000,10066000,20754000
77,Change in Working Capital,1500000,78800000,202275113,-166978113,87331000,15419000,6764000,88258000,20282000,-254689000,19471000,36742000,9285000,53113000,-137488000,-5080000,163941000,-128675000,-131091000,4161000,35147000,-37177000,53941000,-56533000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1643000,-13043000,9551000,-5734000,-597000,-9911000,17001000,-1862000,-2156000,-1161000,-3026000,400000,5749000,-9152000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1349000,-420000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000,641000,-3428000,26253000,-1600000,12275000,-23513000,369000,-548000,1103000,-3229000,461000,-5076000,-1074000
81,Other Working Capital,85800000,164600000,366875113,199897000,287228000,302647000,309411000,397669000,417951000,163262000,182733000,219475000,228760000,281873000,144385000,139305000,303246000,174571000,43480000,47641000,82788000,45611000,99552000,-43000
82,Other Non-Cash Items,4100000,-81200000,-86610536,372017113,211184000,7451000,-53576000,-87434000,49051000,215140000,-57924000,-34779000,824000,-51874000,136297000,46794000,-107552000,180521000,247114000,8013000,-29037000,88874000,241861000,31966000
83,Cash Provided by Operating Activities,-1000000,-18500000,16778614,-40973000,-10796000,35516000,52483000,157587000,43540000,382000,-38180000,30000000,45872000,19107000,48831000,95056000,55734000,30449000,85262000,72846000,105548000,92804000,44079000,36831000
84,CAPEX,-1500000,-23100000,-44369792,-12007000,-5806000,-3330000,-10410000,-16969000,-22920000,-3684000,-12277000,-2435000,-3019000,-2679000,-3756000,-4747000,-5213000,-1512000,-3812000,-5039000,-7633000,-10501000,-39145000,-30276000
85,Acquisitions Net,- -,- -,-45679740,-16586000,-2430000,-29075000,-130607000,-26364000,- -,- -,- -,-395000,-15985000,- -,-279386000,-188982000,-44927000,-573366000,-1788000,- -,- -,-159093000,-101561000,- -
86,Purchases of Investments,-73400000,-52600000,-41270460,-10971000,- -,5565000,-499204000,-188964000,-313883000,-135354000,-145338000,-190178000,-200493000,-336770000,-122433000,-351883000,-336495000,-214257000,-8767000,-409000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,130243951,2707000,34353000,80081000,446863000,203101000,298288000,294381000,43980000,196856000,244777000,223327000,240246000,239428000,284699000,452961000,12807000,7501000,- -,- -,- -,- -
88,Other Investing Activites,-3800000,-84400000,-4484775,58740000,1855000,- -,82465000,-4356000,35000,342606000,2351000,573000,537000,11000,256000,2491000,- -,-390000,83608000,1028000,- -,- -,-3143000,-8316000
89,Cash Used for Investing Activites,-78700000,-160100000,-5560816,21883000,27972000,53241000,-110893000,-33552000,-38480000,497949000,-111284000,4421000,25817000,-116111000,-165073000,-303693000,-101936000,-336564000,82048000,3081000,-7633000,-169594000,-140706000,-38592000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233000,-564000,-589000,-221000,-25504000,-10000000,-64000000,-51940000,-163867000,-466027000,-80000000,-313000,-66531000,-2314000
91,Common Stock Issued,93900000,193000000,38983112,9599000,935000,3616000,32747000,14126000,5432000,15118000,587000,399000,350000,7377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-24359,- -,- -,- -,- -,-70393000,- -,- -,- -,- -,- -,- -,- -,-10006000,-38650000,-7735000,- -,- -,- -,-28399000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208203000,-299296000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-612638,-25861000,- -,- -,- -,- -,- -,30694000,16000,-442000,445000,16100000,128127000,290590000,65071000,379312000,-7177000,397465000,5196000,106548000,227470000,-11863000
95,Cash Used/Provided by Financing Activities,93900000,193000000,38346115,-16262000,935000,3616000,32747000,-56267000,5432000,-162391000,-298926000,-607000,206000,23256000,102623000,270584000,-37579000,319637000,-171044000,-68562000,-74804000,77836000,160939000,-14177000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,-26000,78000,-56000,38000,- -,- -
97,Net Change In Cash,93900000,14300000,49563913,-35352000,18111000,92373000,-25663000,67768000,10492000,335939000,-448390000,33814000,71895000,-73748000,-13619000,61947000,-83781000,13505000,-3760000,7443000,23055000,1084000,64312000,-15938000
98,Cash at the End of Period,- -,29500000,153913477,118561000,136672000,229045000,85245000,153013000,163505000,498326000,49936000,83750000,155645000,81897000,68278000,130225000,46444000,55473000,51713000,62311000,85366000,86450000,150762000,134824000
99,Cash at the Beginning of Period,300000,15200000,104349564,153913000,118561000,136672000,110908000,85245000,153013000,162387000,498326000,49936000,83750000,155645000,81897000,68278000,130225000,41968000,55473000,54868000,62311000,85366000,86450000,150762000
100,Free Cash Flow,-2500000,-41600000,-27591178,-52980000,-16602000,32186000,42073000,140618000,20620000,-3302000,-50457000,27565000,42853000,16428000,45075000,90309000,50521000,28937000,81450000,67807000,97915000,82303000,4934000,6555000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1068875/000103221099000428/0001032210-99-000428-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221000000650/0001032210-00-000650-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221001500167/0001032210-01-500167-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221002000470/0001032210-02-000470-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000103221003000461/0001032210-03-000461-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312504037728/0001193125-04-037728-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312505041749/0001193125-05-041749-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312506037824/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312507037427/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312508036854/d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000119312509042774/0001193125-09-042774-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312510041281/0001193125-10-041281-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312511064197/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1068875/000119312513096577/0001193125-13-096577-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000119312514072914/d634729d10k.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887515000053/bcor10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887516000198/0001068875-16-000198-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887517000015/0001068875-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887518000018/0001068875-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887519000011/0001068875-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887520000056/0001068875-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/1068875/000106887521000047/0001068875-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1068875/000106887522000042/0001068875-22-000042-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
