,https://roic.ai/company/CMLS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,17200000,33740000,45770000,52756000,18273000,19847000,21383000,21643000,17621000,13167000,8974000,11136000,9098000,52443000,143303000,116951000,115275000,102105000,87267000,62239000,56106000,76607000,63178000,53545000
15,EBITDA,3600000,13248000,44284000,18709000,1877000,49566000,77299000,-205759000,-32767000,-248637000,-470640000,-103984000,72594000,142397000,283265000,401019000,270713000,-360923000,-310973000,-192355000,675453000,236728000,43941000,141652000
16,EBITDA ratio,0.0364,0.0736,0.1960,0.0929,0.0074,0.1758,0.2415,-0.6278,-0.0980,-0.7573,-1.5107,-0.4061,0.2757,0.2591,0.2631,0.3908,0.2143,-0.3088,-0.2724,-0.1694,0.5923,0.2126,0.0538,0.1546
17,Operating Income,1400000,1758000,-48711000,-15631000,61688000,67869000,78369000,-203484000,-39000,-151078000,-425090000,-115181000,71227000,82254000,84805000,187366000,161830000,-478515000,-408789000,-210446000,156228000,166207000,-10602000,69116000
18,Operating Income ratio,0.0142,0.0098,-0.2156,-0.0776,0.2442,0.2407,0.2448,-0.6208,-0.0001,-0.4601,-1.3645,-0.4498,0.2705,0.1497,0.0788,0.1826,0.1281,-0.4094,-0.3581,-0.1853,0.1370,0.1493,-0.0130,0.0754
19,Total Other Income Expenses (Gains),-13200000,-22250000,47225000,-18416000,-36384000,-38150000,-22453000,-23918000,-45149000,-61294000,-32272000,-34125000,-38046000,-79688000,-203534000,-212217000,-139807000,-113819000,-128085000,-159845000,412141000,-82687000,-68366000,-48856000
20,Income Before Tax,-11800000,-20492000,-1486000,-34047000,25304000,29719000,55916000,-227402000,-45188000,-212372000,-457362000,-149306000,33181000,2566000,-118729000,-24851000,22023000,-592334000,-536874000,-370291000,568369000,83520000,-78968000,20260000
21,Income Before Tax Ratio,-0.1194,-0.1138,-0.0066,-0.1691,0.1002,0.1054,0.1747,-0.6938,-0.1352,-0.6468,-1.4681,-0.5831,0.1260,0.0047,-0.1103,-0.0242,0.0174,-0.5068,-0.4704,-0.3261,0.4984,0.0750,-0.0967,0.0221
22,Income Tax expense (Gain),100000,-6870000,812000,-3494000,76357000,24678000,25547000,-14035000,-5800000,-38000000,-117945000,-22604000,3779000,-61294000,-26552000,-68464000,10254000,-45840000,-26154000,-163726000,-189212000,22263000,-19249000,2982000
23,Net Income,-13700000,-13622000,-2298000,-30553000,-92753000,5041000,30369000,-213367000,-44588000,-223804000,-361669000,-126702000,29402000,63860000,-32729000,176083000,11769000,-546494000,-510720000,-206565000,757581000,61257000,-59719000,17278000
24,Net Income ratio,-0.1387,-0.0757,-0.0102,-0.1518,-0.3672,0.0179,0.0949,-0.6510,-0.1334,-0.6816,-1.1609,-0.4948,0.1117,0.1162,-0.0304,0.1716,0.0093,-0.4676,-0.4475,-0.1819,0.6643,0.0550,-0.0732,0.0189
25,EPS,-13.60,-12.00,-3.92,-10.96,-17.60,0.40,3.52,-25.52,-7.04,-41.44,-68.40,-25.04,5.60,3.84,-2.64,4.80,0.40,-18.72,-17.45,-7.05,45.76,3.04,-2.94,0.84
26,EPS Diluted,-13.60,-12.00,-3.92,-10.96,-17.60,0.40,3.44,-25.52,-7.04,-41.44,-68.40,-25.04,5.52,3.68,-2.64,4.80,0.40,-18.72,-17.45,-7.05,45.76,3.02,-2.94,0.83
27,Weighted Average Shares Outstanding,2010625,3117250,4392331,4396237,6808350,8038211,8598629,8363840,6353047,5398430,5289322,5053251,5042626,11391114,20325485,40844042,28267807,29176930,29270455,29306374,16555684,20150329,20312585,20508135
28,Weighted Average Shares Outstanding Diluted,2438725,3117250,4392331,4396237,6808350,8368802,8913512,8363840,6353047,5398430,5289322,5053251,5148645,11999938,20325485,40844042,28620394,29176930,29270455,29306374,16555684,20283775,20312585,20717018
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058623/000095014403004263/0000950144-03-004263-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014404002503/0000950144-04-002503-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014405003201/0000950144-05-003201-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014406002393/0000950144-06-002393-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014407002374/0000950144-07-002374-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014408002024/0000950144-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014409002269/0000950144-09-002269-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012310020660/0000950123-10-020660-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012311025267/0000950123-11-025267-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312512110079/0001193125-12-110079-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312513112578/0001193125-13-112578-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862314000014/0001058623-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862315000008/0001058623-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862316000053/0001058623-16-000053-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1058623/000105862318000016/0001058623-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862319000016/0001058623-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862320000010/0001058623-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862321000045/0001058623-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862322000028/0001058623-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24900000,219581000,10979000,5308000,60380000,6720000,31960000,5121000,2392000,32286000,53003000,16224000,12814000,30592000,88050000,32792000,7271000,31657000,131259000,102891000,27584000,15142000,271761000,177028000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24900000,219581000,10979000,5308000,60380000,6720000,31960000,5121000,2392000,32286000,53003000,16224000,12814000,30592000,88050000,32792000,7271000,31657000,131259000,102891000,27584000,15142000,271761000,177028000
34,Net Receivables,28100000,53521000,43498000,34394000,47367000,51215000,54834000,54258000,55013000,52496000,44199000,42992000,41872000,242771000,213667000,269224000,250763000,247574000,236570000,239471000,253501000,245389000,203261000,198832000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2700000,8351000,9536000,26345000,23681000,15453000,8782000,11859000,5477000,5835000,3287000,5498000,5007000,50976000,51402000,75039000,112792000,80044000,72098000,51258000,113906000,120150000,27942000,30656000
37,Total Current Assets,55700000,281453000,64013000,66047000,131428000,73388000,95576000,71238000,62882000,90617000,100489000,64714000,59693000,324339000,353119000,377055000,370826000,359275000,439927000,393620000,394991000,380681000,502964000,406516000
38,PP&E,41400000,66963000,79829000,82974000,92064000,91149000,93206000,87588000,71474000,61735000,55124000,46981000,39684000,278070000,255903000,254702000,221497000,169437000,162063000,191604000,235898000,376370000,366260000,334457000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,176791000,98300000,58891000,56121000,56079000,1334512000,1195594000,1256741000,1253823000,703354000,135214000,135214000,- -,- -,- -,- -
40,Intangible Assets,404200000,530052000,762996000,791863000,1117842000,1299709000,1408796000,1226857000,934140000,783638000,325134000,161380000,160970000,2015924000,1861134000,1911827000,1840355000,1752596000,1656682000,1286803000,1129187000,994873000,969977000,962295000
41,Intangible Assets,404200000,530052000,762996000,791863000,1117842000,1299709000,1408796000,1226857000,1110931000,881938000,384025000,217501000,217049000,3350436000,3056728000,3168568000,3094178000,2455950000,1791896000,1422017000,1129187000,994873000,969977000,962295000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,72000000,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7779000,6356000
44,Other Non-Current Assets,16300000,39688000,48097000,24433000,14180000,13384000,18819000,20683000,15860000,4252000,3881000,4868000,3210000,87746000,77825000,70110000,58940000,40125000,18805000,20078000,15076000,9408000,12758000,7758000
45,Total Non-Current Assets,461900000,636703000,890922000,899270000,1224086000,1404242000,1520821000,1335128000,1270265000,969925000,443030000,269350000,259943000,3716252000,3390456000,3493380000,3374615000,2665512000,1972764000,1633699000,1380161000,1380651000,1356774000,1310866000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,517600000,918156000,954935000,965317000,1355514000,1477630000,1616397000,1406366000,1333147000,1060542000,543519000,334064000,319636000,4040591000,3743575000,3870435000,3745441000,3024787000,2412691000,2027319000,1775152000,1761332000,1859738000,1717382000
48,Accounts Payable,19000000,26540000,45858000,50271000,45165000,21500000,19078000,1932000,2626000,1129000,2484000,819000,399000,20920000,8467000,16532000,33176000,15866000,4550000,1928000,14273000,3184000,1537000,6641000
49,Short-Term Debt,- -,20000,208000,770000,5558000,27313000,40957000,- -,7500000,13490000,7400000,49026000,15165000,13250000,76468000,5937000,- -,- -,- -,- -,13000000,39712000,33371000,28395000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3408000,7385000,7605000,294000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,59000,- -,- -,- -,- -,- -,6000000,6000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,800000,1010000,679000,808000,458000,33000,- -,27629000,28200000,22567000,18101000,18350000,27218000,144265000,110308000,133851000,116446000,100904000,96241000,34229000,89625000,96666000,94128000,104778000
53,Total Current Liabilities,19800000,27570000,46745000,51849000,51181000,48846000,60035000,29561000,38326000,37406000,28044000,68195000,42782000,178435000,195243000,156320000,155622000,122770000,100791000,36157000,116898000,139562000,129036000,139814000
54,Long-Term Debt,222700000,285227000,285020000,319248000,414704000,460031000,441145000,569000000,743750000,722810000,688600000,584482000,575843000,610000000,2624599000,2620956000,2485127000,2425300000,2384157000,- -,1230299000,1006493000,1096934000,924562000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15100000,8940000,29666000,32863000,152680000,183338000,234242000,203870000,197044000,162890000,44479000,- -,24730000,556771000,559918000,500506000,507991000,415881000,388050000,- -,12384000,21038000,- -,- -
57,Other Non-Current Liabilities,1200000,1977000,1924000,137473000,16109000,1112000,4642000,17925000,17020000,18158000,30543000,53899000,17590000,2404672000,45313000,79913000,55121000,44804000,31431000,2687277000,25742000,139023000,236177000,233509000
58,Total Non-Current Liabilities,239000000,296144000,316610000,489584000,583493000,644481000,680029000,790795000,957814000,903858000,763622000,638381000,618163000,3571443000,3229830000,3201375000,3048239000,2885985000,2803638000,2687277000,1268425000,1166554000,1333111000,1158071000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2227287000,- -,- -,- -,- -,- -,- -,- -,145646000,157394000,154033000
61,Total Liabilities,258800000,323714000,363355000,541433000,634674000,693327000,740064000,820356000,996140000,941264000,791666000,706576000,660945000,3749878000,3425073000,3357695000,3203861000,3008755000,2904429000,2723434000,1385323000,1306116000,1462147000,1297885000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71869000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,348000,352000,359000,626000,660000,699000,705000,660000,659000,660000,660000,660000,1738000,1987000,2383000,2555000,2564000,321000,321000,- -,- -,- -,- -
64,Retained Earnings,-17300000,-25214000,-30780000,-61333000,-154086000,-149045000,-118676000,-323412000,-366967000,-590364000,-952033000,-1078735000,-1049333000,-985473000,-1018202000,-842119000,-830350000,-1376844000,-1887564000,-2093554000,61425000,122682000,62963000,80241000
65,Other Comprehensive Income/Loss,-4000000,-12102000,-18505000,-32032000,-9984000,-4591000,-2125000,2409000,7028000,4800000,828000,- -,-160753000,-170187000,-187435000,-186913000,-220738000,-251594000,- -,-307031000,-14981000,-41652000,- -,- -
66,Other Total Stockholders Equity,280100000,631410000,640513000,516890000,884284000,937279000,996435000,906308000,696286000,704183000,702398000,705563000,868117000,1444635000,1450283000,1539389000,1590113000,1641906000,- -,1704149000,343385000,374186000,- -,- -
67,Total Stockholders Equity,258800000,594442000,591580000,423884000,720840000,784303000,876333000,586010000,337007000,119278000,-248147000,-372512000,-341309000,290713000,318502000,512740000,541580000,16032000,-491738000,-696115000,389829000,455216000,397591000,419497000
68,Total Liabilities And Stockholders Equity,517600000,918156000,954935000,965317000,1355514000,1477630000,1616397000,1406366000,1333147000,1060542000,543519000,334064000,319636000,4040591000,3743575000,3870435000,3745441000,3024787000,2412691000,2027319000,1775152000,1761332000,1859738000,1717382000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,517600000,918156000,954935000,965317000,1355514000,1477630000,1616397000,1406366000,1333147000,1060542000,543519000,334064000,319636000,4040591000,3743575000,3870435000,3745441000,3024787000,2412691000,2027319000,1775152000,1761332000,1859738000,1717382000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058623/000095014403004263/0000950144-03-004263-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014404002503/0000950144-04-002503-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014405003201/0000950144-05-003201-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014406002393/0000950144-06-002393-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014407002374/0000950144-07-002374-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014408002024/0000950144-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014409002269/0000950144-09-002269-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012310020660/0000950123-10-020660-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012311025267/0000950123-11-025267-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312512110079/0001193125-12-110079-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312513112578/0001193125-13-112578-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862314000014/0001058623-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862315000008/0001058623-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862316000053/0001058623-16-000053-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1058623/000105862318000016/0001058623-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862319000016/0001058623-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862320000010/0001058623-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862321000045/0001058623-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862322000028/0001058623-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13700000,-13622000,-2298000,-30553000,-92753000,5041000,30369000,-213367000,-44588000,-223804000,-361669000,-126702000,29402000,63860000,-32729000,176083000,11769000,-546494000,-510720000,-206565000,757581000,61257000,-59719000,17278000
74,Depreciation and Amortization,17200000,33740000,45770000,52756000,18273000,19847000,21383000,21643000,17621000,13167000,8974000,11136000,9098000,52443000,143303000,116951000,115275000,102105000,87267000,62239000,56106000,76607000,63178000,53545000
75,Deferred Income Tax,- -,-6983000,812000,-3494000,76357000,24678000,25547000,-19946000,-3607000,-34154000,-118411000,-23178000,3429000,-61993000,-18227000,-76378000,6902000,-48262000,-27831000,-168226000,-206866000,8654000,-28816000,1423000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2879000,2451000,5855000,11893000,10804000,17638000,21033000,2948000,1614000,3404000,5301000,3337000,5191000
77,Change in Working Capital,-10100000,217983000,-236615000,-3070000,66049000,-55705000,10999000,6136000,-17121000,28655000,19234000,-75926000,20392000,128993000,11972000,62859000,-5531000,21301000,102631000,18327000,-79370000,-36974000,132809000,25780000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2685000,-152000,-5635000,28251000,4687000,14159000,-1320000,9901000,-8708000,-39699000,3486000,34423000,4619000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1964000,-501000,-17190000,-40453000,7192000,-33712000,-16640000,45101000,-10077000,-32244000,-28931000,12809000
81,Other Working Capital,35900000,253883000,17268000,14198000,80247000,24542000,35541000,41677000,24556000,53211000,72445000,-3481000,16911000,145904000,157876000,220735000,215204000,236505000,339136000,357463000,278093000,241119000,373928000,11334000
82,Other Non-Cash Items,1900000,-244762000,177766000,-4199000,-27650000,52016000,-13285000,283930000,113017000,262193000,528526000,240482000,-22034000,-117801000,63278000,-169178000,-9257000,532749000,381450000,379207000,-469325000,-10575000,-77579000,-34699000
83,Cash Provided by Operating Activities,-4700000,-13644000,-14565000,11440000,40276000,45877000,75013000,78396000,65322000,46057000,76654000,28691000,42738000,71357000,179490000,121141000,136796000,82432000,35745000,86596000,61530000,104270000,33210000,68518000
84,CAPEX,-349500000,-18561000,-9480000,-10091000,-11922000,-9629000,-12123000,-9315000,-19055000,-5764000,-7077000,-3110000,-2721000,-6690000,-16605000,-333919000,-27506000,-19236000,-23037000,-31932000,-29703000,-29469000,-14868000,-29091000
85,Acquisitions Net,- -,-152737000,-172795000,-82001000,-132345000,-133558000,-11001000,-47389000,-26000,-265000,- -,-52000,- -,-2024172000,- -,- -,- -,- -,- -,- -,-18000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1500000,-20807000,-7999000,43928000,5533000,-3482000,-5633000,-36059000,2597000,6000000,323000,-3008000,-2425000,-6690000,98143000,-92625000,-15572000,-7961000,83854000,-26816000,586000,117589000,64359000,-1541000
89,Cash Used for Investing Activites,-351000000,-192105000,-190274000,-48164000,-138734000,-146669000,-28757000,-92763000,-19217000,-29000,-6754000,-3060000,-2425000,-2030862000,98143000,-92625000,-15572000,-7961000,83854000,-26816000,-47117000,117589000,64359000,-1541000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59110000,-43136000,- -,-174313000,-2111688000,-156125000,-50000000,-20000000,-88057000,- -,-1245836000,-103369000,-176592000
91,Common Stock Issued,223300000,416781000,2500000,56000,213796000,10749000,1167000,748000,1681000,303000,52000,- -,- -,- -,- -,94300000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-51269000,- -,-2500000,-144961000,-15417000,-14640000,-95739000,-224040000,-104000,-6522000,-193000,- -,-41565000,-49233000,-150391000,- -,- -,- -,- -,- -,-1171000,-1243000,-563000
93,Dividends Paid,- -,- -,-3530000,-379000,-11806000,-1146000,- -,- -,- -,- -,- -,- -,- -,-521000,-15017000,-9395000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,155700000,34933000,-2733000,33876000,96501000,52946000,-7543000,82519000,173525000,-16333000,-42713000,-3107000,-587000,2019369000,18388000,2093400000,9380000,-85000,3000,-91000,-96265000,1012117000,261797000,15445000
95,Cash Used/Provided by Financing Activities,379000000,400445000,-3763000,31053000,153530000,47132000,-21016000,-12472000,-48834000,-16134000,-49183000,-62410000,-43723000,1977283000,-220175000,-83774000,-146745000,-50085000,-19997000,-88148000,-96265000,-234890000,157185000,-161710000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,379000000,194696000,-208602000,-5671000,55072000,-53660000,25240000,-26839000,-2729000,29894000,20717000,-36779000,-3410000,17778000,57458000,-55258000,-25521000,24386000,99602000,-28368000,-81852000,-13031000,254754000,-94733000
98,Cash at the End of Period,- -,219581000,10979000,5308000,60380000,6720000,31960000,5121000,2392000,32286000,53003000,16224000,12814000,30592000,88050000,32792000,7271000,31657000,131259000,102891000,21039000,17007000,271761000,177028000
99,Cash at the Beginning of Period,1600000,24885000,219581000,10979000,5308000,60380000,6720000,31960000,5121000,2392000,32286000,53003000,16224000,12814000,30592000,88050000,32792000,7271000,31657000,131259000,102891000,30038000,17007000,271761000
100,Free Cash Flow,-354200000,-32205000,-24045000,1349000,28354000,36248000,62890000,69081000,46267000,40293000,69577000,25581000,40017000,64667000,162885000,-212778000,109290000,63196000,12708000,54664000,31827000,74801000,18342000,39427000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058623/000095014403004263/0000950144-03-004263-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014404002503/0000950144-04-002503-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014405003201/0000950144-05-003201-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014406002393/0000950144-06-002393-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014407002374/0000950144-07-002374-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014408002024/0000950144-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095014409002269/0000950144-09-002269-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012310020660/0000950123-10-020660-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000095012311025267/0000950123-11-025267-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312512110079/0001193125-12-110079-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000119312513112578/0001193125-13-112578-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862314000014/0001058623-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862315000008/0001058623-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862316000053/0001058623-16-000053-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1058623/000105862318000016/0001058623-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862319000016/0001058623-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862320000010/0001058623-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862321000045/0001058623-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1058623/000105862322000028/0001058623-22-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
