,https://roic.ai/company/LPX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,175900000,189800000,225400000,222700000,225200000,226900000,229500000,266700000,349000000,322500000,324000000,331500000,352300000,368700000,421400000,470200000,469300000,277700000,199200000,356800000,294000000,298100000,303700000,615000000,194400000,200800000,190100000,199900000,267700000,262400000,271200000,313800000,321700000,192300000,227000000,202000000,243000000
11,COGS and Expenses,1224100000,1386900000,1676100000,1578500000,1705400000,1648700000,1595800000,1887200000,2078700000,2480900000,2574300000,2455000000,2491000000,2222500000,2501500000,2832800000,2591400000,1897400000,1729900000,2098500000,2077300000,2124900000,1971300000,2019800000,1188900000,1388700000,1434300000,1603000000,1904600000,2020200000,1953900000,2037800000,2203700000,2276300000,2234000000,2122000000,2725000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100000,- -,- -,- -,- -,- -,- -,- -,- -,18100000,9000000,2000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71600000,60800000,54300000,49300000,36000000,29800000,31200000,32100000,19300000,15800000,17000000,19000000,12000000
14,Depreciation and Amortization,108200000,120000000,147500000,145100000,141800000,152300000,149800000,163000000,183200000,197300000,202600000,191800000,183900000,185400000,202000000,235500000,195200000,157600000,141300000,145100000,135100000,128000000,109800000,100400000,80000000,82000000,78900000,73900000,91300000,100700000,101900000,112800000,123300000,120000000,123000000,111000000,119000000
15,EBITDA,138900000,228200000,355800000,377600000,433700000,289300000,237200000,446100000,600400000,754000000,105100000,-134500000,38500000,203200000,558300000,210200000,-88800000,99900000,646900000,845500000,651900000,275900000,-203500000,-680400000,-33200000,81700000,-87200000,159600000,345500000,27900000,42300000,314500000,651500000,652700000,122000000,754000000,1934000000
16,EBITDA ratio,0.1102,0.1515,0.1852,0.2098,0.2158,0.1613,0.1394,0.2042,0.2391,0.2481,0.0370,-0.0541,0.0160,0.0885,0.1939,0.0717,-0.0376,0.0514,0.2812,0.2967,0.2508,0.1234,-0.1194,-0.4944,-0.0315,0.0590,-0.0643,0.0930,0.1657,0.0144,0.0224,0.1408,0.2383,0.2308,0.0528,0.2704,0.4248
17,Operating Income,36800000,119300000,245500000,220900000,304100000,144600000,106300000,297500000,432600000,558600000,268900000,31000000,-88500000,74600000,377100000,100000000,-231700000,45300000,570300000,750900000,521600000,110200000,-266400000,-643600000,-133300000,-7600000,-140100000,107400000,202800000,-77600000,-63300000,204000000,523400000,526100000,-20000000,636000000,1824000000
18,Operating Income ratio,0.0292,0.0792,0.1278,0.1228,0.1513,0.0806,0.0625,0.1362,0.1723,0.1838,0.0946,0.0125,-0.0368,0.0325,0.1310,0.0341,-0.0982,0.0233,0.2479,0.2635,0.2007,0.0493,-0.1563,-0.4677,-0.1264,-0.0055,-0.1033,0.0626,0.0973,-0.0401,-0.0334,0.0913,0.1914,0.1860,-0.0087,0.2281,0.4006
19,Total Other Income Expenses (Gains),-6100000,-11100000,-37200000,-6800000,-12200000,-7600000,-18900000,-14400000,-5000000,-1900000,-366400000,-357300000,-56900000,-56800000,-20800000,-125300000,-57400000,-66200000,-53200000,-47700000,14800000,43800000,-4200000,-109700000,-36100000,-40300000,-44000000,-69400000,3800000,-27400000,-32100000,-39100000,-13200000,-2100000,-3000000,-15000000,-29000000
20,Income Before Tax,30700000,108200000,208300000,214100000,291900000,137000000,87400000,283100000,427600000,556700000,-97500000,-326300000,-145400000,17800000,356300000,-25300000,-289100000,-20900000,517100000,703200000,536400000,154000000,-270600000,-753300000,-169400000,-47900000,-184100000,38000000,206600000,-105000000,-95400000,164900000,510200000,524000000,-23000000,621000000,1795000000
21,Income Before Tax Ratio,0.0243,0.0718,0.1084,0.1190,0.1453,0.0764,0.0513,0.1296,0.1703,0.1832,-0.0343,-0.1313,-0.0605,0.0077,0.1238,-0.0086,-0.1225,-0.0108,0.2248,0.2468,0.2064,0.0689,-0.1587,-0.5474,-0.1606,-0.0346,-0.1357,0.0221,0.0991,-0.0543,-0.0504,0.0738,0.1866,0.1853,-0.0100,0.2227,0.3942
22,Income Tax expense (Gain),5200000,43300000,83300000,78900000,99300000,45900000,31500000,106200000,173200000,209800000,-45800000,-125600000,-43600000,15800000,139500000,-11500000,-112400000,4300000,233100000,279700000,61300000,24200000,-133400000,-202000000,-63400000,-22100000,-39100000,7600000,41100000,-27200000,-2700000,19800000,119100000,122300000,-13000000,125000000,426000000
23,Net Income,25500000,64900000,125000000,153600000,192600000,91100000,55900000,176900000,244000000,346900000,-51700000,-200700000,-101800000,2000000,216800000,-13800000,-171600000,-62000000,272500000,420700000,455500000,123700000,-179900000,-578800000,-121400000,-39000000,-181300000,28800000,177100000,-75400000,-88100000,149800000,389800000,394600000,-5000000,499000000,1377000000
24,Net Income ratio,0.0202,0.0431,0.0650,0.0854,0.0958,0.0508,0.0328,0.0810,0.0972,0.1141,-0.0182,-0.0807,-0.0424,0.0009,0.0753,-0.0047,-0.0727,-0.0319,0.1185,0.1476,0.1753,0.0553,-0.1055,-0.4206,-0.1151,-0.0282,-0.1336,0.0168,0.0849,-0.0390,-0.0466,0.0671,0.1426,0.1395,-0.0022,0.1790,0.3024
25,EPS,0.23,0.58,1.09,1.34,1.68,0.82,0.52,1.63,2.23,3.15,-0.48,-1.87,-0.94,0.02,2.04,-0.13,-1.64,-0.59,2.58,3.88,4.18,1.18,-1.73,-5.62,-1.12,-0.30,-1.28,0.21,1.27,-0.53,-0.62,1.04,2.70,2.76,-0.04,4.48,2.03
26,EPS Diluted,0.23,0.58,1.09,1.34,1.68,0.82,0.52,1.63,2.23,3.15,-0.48,-1.87,-0.94,0.02,2.04,-0.13,-1.64,-0.59,2.56,3.84,4.15,1.17,-1.73,-5.62,-1.12,-0.30,-1.28,0.20,1.23,-0.53,-0.62,1.03,2.66,2.73,-0.04,4.46,2.03
27,Weighted Average Shares Outstanding,110869565,111896552,114678899,114626866,114642857,111097561,107500000,108527607,109417040,110140000,107040000,107410000,108450000,108400000,106200000,104100000,104400000,104600000,105500000,108300000,109000000,105100000,103700000,102900000,108400000,129100000,133200000,137100000,139600000,141100000,142400000,143400000,144400000,143000000,123000000,111000000,94000000
28,Weighted Average Shares Outstanding Diluted,110869565,111896552,114678899,114626866,114642857,111097561,107500000,108527607,109417040,110168067,107534247,107514451,108783784,108600000,106200000,104100000,104400000,104600000,106500000,109600000,109700000,105500000,103700000,102900000,108400000,129100000,133200000,142600000,144300000,141100000,142400000,145300000,146400000,144400000,123000000,112000000,94000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000089291795000074/0000892917-95-000074-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000091205702010142/0000912057-02-010142-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746903008920/0001047469-03-008920-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746904007508/0001047469-04-007508-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465905010457/0001104659-05-010457-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465906014863/0001104659-06-014863-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465907015101/0001104659-07-015101-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746908002334/0001047469-08-002334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000119312510044563/0001193125-10-044563-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000119312511049415/0001193125-11-049415-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433712000010/0001504337-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433713000009/0001504337-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000150433715000010/0001504337-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433716000048/0001504337-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433717000007/0001504337-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433718000006/0001504337-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433719000008/0001504337-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000179349820000014/0001793498-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828021002469/0001628280-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828022003299/0001628280-22-003299-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9600000,10700000,3800000,256400000,352800000,209100000,190800000,228100000,261600000,315900000,75400000,27800000,31900000,126500000,116000000,38100000,61600000,137300000,925900000,544700000,607600000,265700000,352100000,97700000,394100000,389300000,340000000,560900000,656800000,532700000,434700000,659300000,928000000,878400000,181000000,535000000,358000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608200000,717300000,797000000,180100000,21400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9600000,10700000,3800000,256400000,352800000,209100000,190800000,228100000,261600000,315900000,75400000,27800000,31900000,126500000,116000000,38100000,61600000,137300000,925900000,1152900000,1324900000,1062700000,532200000,119100000,394100000,389300000,340000000,560900000,656800000,532700000,434700000,659300000,928000000,878400000,181000000,535000000,358000000
34,Net Receivables,67700000,85900000,108200000,86600000,94100000,71200000,79700000,113000000,110900000,157400000,128700000,102500000,224200000,134700000,200700000,221100000,155800000,99300000,136100000,185500000,217600000,157400000,243100000,158000000,227600000,85500000,78600000,174100000,78100000,108400000,96400000,108300000,164700000,127600000,164000000,184000000,191000000
35,Inventory,184300000,205800000,216000000,189100000,203300000,220800000,184300000,192300000,234700000,213800000,317700000,264300000,258800000,205700000,293400000,327500000,213200000,198700000,183000000,215700000,240300000,246100000,212100000,187300000,140400000,151900000,163600000,209800000,224400000,229800000,222000000,234600000,259100000,273000000,265000000,259000000,324000000
36,Other Current Assets,5000000,7300000,17000000,4200000,3400000,8000000,6600000,5700000,6900000,7300000,96700000,184600000,81900000,145200000,129300000,67400000,62500000,56000000,80200000,50000000,14400000,37800000,88500000,38300000,76700000,86900000,74600000,50800000,74900000,79400000,16000000,14300000,7800000,8200000,9000000,15000000,17000000
37,Total Current Assets,266600000,309700000,345000000,536300000,653600000,509100000,461400000,539100000,614100000,694400000,618500000,579200000,596800000,612100000,739400000,654100000,493100000,491300000,1325200000,1604100000,1797200000,1504000000,1075900000,502700000,838800000,713600000,656800000,995600000,1034200000,950300000,769100000,1016500000,1359600000,1287200000,619000000,993000000,890000000
38,PP&E,730300000,797700000,838400000,717800000,827000000,1036800000,1066100000,1070300000,1145900000,1273200000,1452300000,1278500000,1191800000,1412300000,1945100000,1899400000,1133400000,910200000,802300000,867400000,876200000,990400000,1140900000,1129900000,964500000,917100000,782200000,750800000,886800000,850700000,862400000,883200000,926100000,1010400000,1009000000,958000000,1121000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273500000,273500000,- -,- -,- -,- -,- -,9700000,9700000,9700000,9700000,16100000,- -,- -,- -,19000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70700000,60000000,347700000,326300000,298300000,302800000,303300000,283600000,280900000,3400000,- -,4100000,3000000,- -,1400000,40700000,71600000,67100000,53100000,53500000,66300000,88600000,113000000,- -,50000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70700000,60000000,347700000,326300000,298300000,302800000,303300000,283600000,280900000,276900000,273500000,4100000,3000000,2200000,1400000,40700000,9700000,76800000,62800000,63200000,82400000,88600000,113000000,46000000,69000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204500000,125400000,79800000,70600000,6900000,9600000,7700000,6200000,7800000,49400000,10000000,11000000,21000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,5900000,4000000,5000000,- -,600000,4800000,4300000,2500000,3900000,1000000,3000000,2000000
44,Other Non-Current Assets,400300000,779600000,787600000,542300000,551100000,558200000,579600000,596600000,706300000,748600000,734600000,731000000,719100000,434700000,456000000,494900000,1092000000,1068800000,773600000,695500000,643700000,665100000,739000000,552000000,229200000,646400000,615700000,468300000,555700000,465500000,469500000,57800000,70100000,74600000,83000000,76000000,91000000
45,Total Non-Current Assets,1130600000,1577300000,1626000000,1260100000,1378100000,1595000000,1645700000,1666900000,1852200000,2021800000,2186900000,2009500000,1981600000,1907000000,2748800000,2720600000,2523700000,2281800000,1879200000,1846500000,1800800000,1932400000,2153400000,1686000000,1408600000,1697000000,1483100000,1335400000,1459100000,1403200000,1407200000,1014700000,1088900000,1226900000,1216000000,1094000000,1304000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1397200000,1887000000,1971000000,1796400000,2031700000,2104100000,2107100000,2206000000,2466300000,2716200000,2805400000,2588700000,2578400000,2519100000,3488200000,3374700000,3016800000,2773100000,3204400000,3450600000,3598000000,3436400000,3229300000,2188700000,2247400000,2410600000,2139900000,2331000000,2493300000,2353500000,2176300000,2031200000,2448500000,2514100000,1835000000,2087000000,2194000000
48,Accounts Payable,- -,- -,- -,- -,133100000,126700000,123100000,145600000,149200000,193500000,161600000,190600000,234400000,192500000,195000000,303800000,251800000,218000000,251300000,250000000,245500000,139600000,222100000,42100000,47700000,53800000,58600000,71100000,83100000,80300000,73000000,89900000,112300000,116100000,127000000,125000000,191000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,132400000,136900000,54100000,44900000,34100000,44900000,39400000,37700000,35300000,8300000,178000000,88600000,400000,246300000,29700000,184100000,200000,13200000,97800000,2300000,2400000,2100000,2600000,25100000,5000000,8000000,8000000,7000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,5100000,4500000,5000000,2100000,3300000,4500000,34900000,7500000,24500000,7000000,33000000,25000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,160400000,211000000,225500000,162800000,46900000,68800000,136400000,149900000,168000000,18900000,150000000,100000000,40000000,140000000,300800000,35000000,20000000,20000000,43000000,12000000,12000000,124900000,20200000,94100000,75100000,81000000,67700000,70400000,80800000,90000000,67900000,136300000,132700000,140500000,109000000,153000000,153000000
53,Total Current Liabilities,160400000,211000000,225500000,162800000,180000000,195500000,259500000,295500000,317200000,344800000,448500000,344700000,319300000,366600000,540700000,378200000,309500000,273300000,302600000,440000000,346100000,264900000,488600000,165900000,306900000,135000000,139500000,239300000,166200000,172700000,143000000,228800000,270100000,261600000,244000000,286000000,351000000
54,Long-Term Debt,215700000,572300000,524700000,369600000,529500000,588700000,492700000,386300000,288600000,209800000,201300000,458600000,572300000,459800000,1014800000,1183800000,1152000000,1070100000,1020700000,622500000,734800000,644600000,485800000,472600000,337600000,714500000,715900000,782700000,762700000,759500000,751800000,374400000,350800000,346900000,347000000,381000000,390000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,231500000,140900000,160100000,117200000,135900000,142000000,141000000,154500000,264800000,269800000,207500000,163200000,178600000,203600000,396300000,334000000,235600000,216100000,407700000,517500000,377000000,363900000,340000000,187900000,164300000,164800000,106000000,93600000,188700000,139500000,99500000,27700000,33400000,62200000,73000000,78000000,86000000
57,Other Non-Current Liabilities,14300000,18600000,16500000,9700000,9800000,11200000,10300000,8700000,24300000,42400000,292100000,194600000,222000000,266300000,176400000,183500000,238800000,207600000,162500000,102800000,97200000,95600000,95400000,161300000,189100000,155700000,177600000,181600000,149400000,166000000,165000000,204600000,189700000,143200000,180000000,107000000,128000000
58,Total Non-Current Liabilities,461500000,731800000,701300000,496500000,675200000,741900000,644000000,549500000,577700000,522000000,700900000,816400000,972900000,929700000,1587500000,1701300000,1626400000,1493800000,1590900000,1242800000,1209000000,1104100000,921200000,821800000,691000000,1035000000,999500000,1057900000,1100800000,1065000000,1016300000,606700000,573900000,552300000,600000000,566000000,604000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,41000000,51000000
61,Total Liabilities,621900000,942800000,926800000,659300000,855200000,937400000,903500000,845000000,894900000,866800000,1149400000,1161100000,1292200000,1296300000,2128200000,2079500000,1935900000,1767100000,1893500000,1682800000,1555100000,1369000000,1409800000,987700000,997900000,1170000000,1139000000,1297200000,1267000000,1237700000,1159300000,835500000,844000000,813900000,844000000,852000000,955000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,117000000,117000000,117000000,116900000,116900000,116900000,116900000,116900000,116900000,139700000,144800000,149800000,150400000,152000000,152800000,153000000,153400000,153400000,153400000,130000000,124000000,102000000
64,Retained Earnings,427500000,562300000,615400000,739500000,894800000,947400000,964400000,1079300000,1217200000,1510700000,1400800000,1140000000,977500000,918800000,1076400000,1004300000,807600000,745600000,1018100000,1406200000,1809700000,1870200000,1630100000,1019500000,898100000,863100000,681800000,710600000,887700000,812300000,724200000,890300000,1280100000,1612600000,966000000,1206000000,1239000000
65,Other Comprehensive Income/Loss,-490000000,-553200000,-627600000,-619300000,-684000000,-736900000,-802800000,-874400000,-966900000,-1085000000,-1140200000,-1207500000,-1242100000,-1173200000,-1203400000,-125400000,-1221900000,-73100000,-71200000,-67900000,-62200000,-71500000,-64500000,-98100000,-64600000,-69600000,-106200000,-107900000,-89200000,-131300000,-146100000,-137200000,-122100000,-146400000,-153000000,-151000000,-174000000
66,Other Total Stockholders Equity,837800000,935100000,1056400000,1016900000,965700000,956200000,1042000000,1156100000,1321100000,1423700000,1395400000,1495100000,1550800000,1477200000,1370000000,299300000,1378200000,216500000,247100000,312600000,178500000,151800000,137000000,- -,276300000,279500000,275500000,280700000,275800000,282000000,285900000,289200000,293100000,80600000,48000000,55000000,68000000
67,Total Stockholders Equity,775300000,944200000,1044200000,1137100000,1176500000,1166700000,1203600000,1361000000,1571400000,1849400000,1656000000,1427600000,1286200000,1222800000,1360000000,1295200000,1080900000,1006000000,1310900000,1767800000,2042900000,2067400000,1819500000,1182300000,1249500000,1217800000,1000900000,1033800000,1226300000,1115800000,1017000000,1195700000,1604500000,1700200000,991000000,1234000000,1235000000
68,Total Liabilities And Stockholders Equity,1397200000,1887000000,1971000000,1796400000,2031700000,2104100000,2107100000,2206000000,2466300000,2716200000,2805400000,2588700000,2578400000,2519100000,3488200000,3374700000,3016800000,2773100000,3204400000,3450600000,3598000000,3436400000,3229300000,2170000000,2247400000,2387800000,2139900000,2331000000,2493300000,2353500000,2176300000,2031200000,2448500000,2514100000,1835000000,2086000000,2190000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18700000,- -,22800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4000000
70,Total Liabilities & Equity,1397200000,1887000000,1971000000,1796400000,2031700000,2104100000,2107100000,2206000000,2466300000,2716200000,2805400000,2588700000,2578400000,2519100000,3488200000,3374700000,3016800000,2773100000,3204400000,3450600000,3598000000,3436400000,3229300000,2188700000,2247400000,2410600000,2139900000,2331000000,2493300000,2353500000,2176300000,2031200000,2448500000,2514100000,1835000000,2087000000,2194000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000089291795000074/0000892917-95-000074-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60519/000091205702010142/0000912057-02-010142-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746903008920/0001047469-03-008920-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746904007508/0001047469-04-007508-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465905010457/0001104659-05-010457-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465906014863/0001104659-06-014863-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000110465907015101/0001104659-07-015101-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000104746908002334/0001047469-08-002334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000119312510044563/0001193125-10-044563-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000119312511049415/0001193125-11-049415-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433712000010/0001504337-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433713000009/0001504337-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/60519/000150433715000010/0001504337-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433716000048/0001504337-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433717000007/0001504337-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433718000006/0001504337-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000150433719000008/0001504337-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000179349820000014/0001793498-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828021002469/0001628280-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/60519/000162828022003299/0001628280-22-003299-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,192600000,91100000,55900000,176900000,244000000,346900000,-51700000,-200700000,-101800000,2000000,216800000,-13800000,-171600000,-62000000,272500000,420700000,455500000,123700000,-179900000,-578800000,-121400000,-39000000,-181300000,28800000,177100000,-75400000,-88100000,149800000,389800000,394600000,-5000000,499000000,1377000000
74,Depreciation and Amortization,- -,- -,- -,- -,141800000,152300000,149800000,163000000,183200000,197300000,202600000,191800000,183900000,185400000,202000000,235500000,195200000,157600000,141300000,145100000,135100000,128000000,109800000,100400000,80000000,82000000,78900000,73900000,91300000,100700000,101900000,112800000,123300000,120000000,123000000,111000000,119000000
75,Deferred Income Tax,- -,- -,- -,- -,18700000,7500000,-1600000,13500000,-1600000,5000000,-144700000,-22000000,15300000,7600000,53300000,-3800000,-77600000,-16700000,179800000,140500000,-113900000,-29100000,-13900000,-155300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,2000000,7000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,8800000,7800000,8400000,8800000,9400000,9300000,13000000,9700000,8600000,- -,- -,- -
