,https://roic.ai/company/EVC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.3500,-0.4128,0.3010,0.2676,0.2546,0.3214,0.3377,0.2357,-0.2209,0.0520,-2.2904,-0.0159,0.1107,0.2772,0.3205,0.1754,0.3063,0.2797,0.2489,0.5452,0.1748,0.0686,0.0673,0.0617
17,Operating Income,4752000,-27987000,-31367000,-72820000,14556000,20795000,40489000,44776000,-111081000,66253000,-563160000,-19548000,3874000,34973000,58777000,53950000,59666000,55245000,48856000,278391000,33577000,-1653000,6608000,60471000
18,Operating Income ratio,0.1060,-0.4744,-0.2037,-0.3486,0.0610,0.0874,0.1563,0.1594,-0.3807,0.2650,-2.4239,-0.1033,0.0193,0.1799,0.2633,0.2409,0.2465,0.2174,0.1890,0.5194,0.1127,-0.0060,0.0192,0.0795
19,Total Other Income Expenses (Gains),-8244000,-12091000,-63807000,-16001000,-25536000,-26747000,-27826000,-56851000,-27829000,-44596000,-31386000,-32205000,-25156000,-37383000,-39064000,-54262000,-14100000,-13206000,-15330000,-18979000,-12165000,-9667000,-6489000,-6562000
20,Income Before Tax,-3492000,-40078000,-95174000,-88821000,-10980000,-5952000,12663000,-12075000,-138910000,21657000,-594546000,-51753000,-21282000,-2410000,19713000,-312000,45566000,42039000,33526000,259412000,21412000,-11320000,119000,53909000
21,Income Before Tax Ratio,-0.0779,-0.6793,-0.6179,-0.4252,-0.0460,-0.0250,0.0489,-0.0430,-0.4761,0.0866,-2.5590,-0.2735,-0.1062,-0.0124,0.0883,-0.0014,0.1883,0.1654,0.1297,0.4839,0.0719,-0.0414,0.0003,0.0709
22,Income Tax expense (Gain),210000,-121000,-2934000,-22999000,-122000,968000,7044000,-2338000,-4463000,-18047000,-110705000,-1917000,-3376000,5790000,6112000,-134137000,18444000,16414000,13121000,82809000,7877000,8158000,1506000,18679000
23,Net Income,-3702000,-39957000,-92240000,-65795000,-10645000,2267000,6164000,-9657000,-134599000,-43117000,-487937000,-50072000,-18086000,-8200000,13601000,133825000,27122000,25625000,20405000,176293000,12161000,-19712000,-3910000,35230000
24,Net Income ratio,-0.0826,-0.6772,-0.5989,-0.3149,-0.0446,0.0095,0.0238,-0.0344,-0.4613,-0.1724,-2.1001,-0.2646,-0.0902,-0.0422,0.0609,0.5977,0.1121,0.1008,0.0789,0.3289,0.0408,-0.0721,-0.0114,0.0463
25,EPS,-0.03,-0.35,-0.27,-0.66,-0.18,-0.08,-0.09,-0.08,-1.27,-0.42,-5.39,-0.81,-0.21,-0.10,0.16,-0.09,0.31,0.29,0.23,1.95,0.14,-0.23,-0.05,0.41
26,EPS Diluted,-0.03,-0.35,-0.27,-0.66,-0.18,-0.08,-0.09,-0.08,-1.27,-0.42,-5.39,-0.81,-0.21,-0.10,0.16,-0.09,0.30,0.28,0.22,1.92,0.13,-0.23,-0.05,0.40
27,Weighted Average Shares Outstanding,115287988,115287988,50321985,115223005,119110908,112611511,105758136,124293792,106078486,102382307,90560685,83972709,84488930,85051066,85882646,87401123,88680322,87920230,89340589,90272257,89115997,85107301,84231212,85390333
28,Weighted Average Shares Outstanding Diluted,115287988,115287988,50321985,115223005,119110908,112611511,105758136,124293792,107279346,103020657,90560685,83972709,84488930,85051066,86314206,87401123,90943734,90295185,91303056,91891957,90328583,86224517,84231212,88315732
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109116/000089843002001028/0000898430-02-001028-index.html,https://www.sec.gov/Archives/edgar/data/1109116/000089843003001607/0000898430-03-001607-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312504041540/0001193125-04-041540-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312505050797/0001193125-05-050797-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312506056790/0001193125-06-056790-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312507055499/0001193125-07-055499-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312508057647/0001193125-08-057647-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312509055203/0001193125-09-055203-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312510073542/0001193125-10-073542-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312511064271/0001193125-11-064271-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312512107254/0001193125-12-107254-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312513099296/0001193125-13-099296-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312514091537/0001193125-14-091537-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459015001390/0001564590-15-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459016014316/0001564590-16-014316-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459017004003/0001564590-17-004003-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459018007267/0001564590-18-007267-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459019016139/0001564590-19-016139-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459020011103/0001564590-20-011103-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459021018394/0001564590-21-018394-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000095017022003821/0000950170-22-003821-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3661000,2357000,69224000,19013000,12569000,19806000,46969000,65610000,118525000,86945000,64294000,27666000,72390000,58719000,36130000,43822000,31260000,47924000,61520000,39560000,46733000,33123000,119162000,185094000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132424000,91662000,27988000,- -
33,Cash and Short-Term Investments,3661000,2357000,69224000,19013000,12569000,19806000,46969000,65610000,118525000,86945000,64294000,27666000,72390000,58719000,36130000,43822000,31260000,47924000,61520000,39560000,179157000,124785000,147150000,185094000
34,Net Receivables,- -,12665000,38547000,44143000,51796000,49518000,52568000,61215000,61036000,55986000,44855000,44674000,41552000,44270000,48030000,57043000,64956000,66399000,65072000,84348000,79308000,71406000,142004000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,355000,14282000,10795000,9157000,40506000,5271000,113118000,13644000,137380000,5252000,5803000,7676000,5939000,4245000,10187000,11195000,5705000,4870000,228554000,12583000,13241000,20911000,223384000
37,Total Current Assets,- -,15377000,122053000,73951000,73522000,109830000,104808000,239943000,193205000,280311000,114401000,78143000,121618000,108928000,88405000,111052000,107411000,120028000,131462000,352462000,271048000,209432000,310065000,408478000
38,PP&E,- -,27230000,169289000,181135000,181192000,170624000,163926000,152114000,145975000,92959000,90898000,80446000,71777000,65226000,61400000,58800000,56800000,57900000,55368000,60337000,64900000,123458000,105529000,88080000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,229210000,168135000,45845000,45845000,35912000,36647000,36647000,36647000,50081000,50081000,50081000,70557000,74292000,46511000,58043000,71708000
40,Intangible Assets,- -,- -,1257348000,1268351000,1300309000,1387118000,1400566000,1337697000,836220000,812987000,329422000,274956000,246638000,245299000,243050000,240513000,240894000,237357000,233821000,277921000,277196000,269316000,266065000,273087000
41,Intangible Assets,- -,152387000,1257348000,1268351000,1300309000,1387118000,1400566000,1337697000,1065430000,981122000,375267000,320801000,282550000,281946000,279697000,277160000,290975000,287438000,283902000,348478000,351488000,315827000,324108000,344795000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27988000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83856000,66558000,57929000,44677000,- -,- -,- -,- -,1462000
44,Other Non-Current Assets,- -,10023000,11803000,12080000,18458000,19396000,20412000,13405000,14054000,11756000,10473000,8537000,14865000,11221000,8514000,7369000,6023000,4893000,2512000,4690000,2934000,7462000,-20345000,8527000
45,Total Non-Current Assets,- -,189640000,1438440000,1461566000,1499959000,1577138000,1584904000,1503216000,1225459000,1085837000,476638000,409784000,369192000,358393000,349611000,427185000,420356000,408160000,386459000,413505000,419322000,446747000,437280000,442864000
46,Other Assets,131291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,131291000,205017000,1560493000,1535517000,1573481000,1686968000,1689712000,1743159000,1418664000,1366148000,591039000,487927000,490810000,467321000,438016000,538237000,527767000,528188000,517921000,765967000,690370000,656179000,747345000,851342000
48,Accounts Payable,- -,- -,30274000,25210000,27719000,26568000,29153000,3300000,33770000,57944000,34441000,- -,- -,5600000,6900000,4900000,6000000,6600000,6100000,59522000,14700000,11500000,126849000,- -
49,Short-Term Debt,- -,- -,2653000,3459000,1408000,1191000,1993000,6333000,3697000,1076000,1002000,1000000,1000000,- -,150000,3750000,3750000,3750000,3750000,3000000,3000000,12056000,10290000,12207000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1500000,2000000,- -,5100000,12100000,15600000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3900000,- -,- -,- -,- -,- -,2400000,2300000,2600000,4600000,3100000,3200000,- -,2800000,2400000,54980000,- -
52,Other Current Liabilities,- -,9099000,- -,- -,118000,118000,118000,28028000,118000,5890000,118000,47787000,38668000,31868000,30076000,23864000,21713000,20087000,21510000,- -,33534000,40031000,-54980000,212655000
53,Total Current Liabilities,- -,9099000,32927000,28669000,29245000,27877000,31264000,41561000,37585000,64910000,35561000,48787000,39668000,39868000,39426000,35114000,36063000,33537000,34560000,62522000,54034000,65987000,137139000,224862000
54,Long-Term Debt,- -,165917000,252495000,249428000,304502000,376424000,480983000,500269000,494073000,483002000,405521000,362949000,395119000,379662000,340664000,360313000,336563000,312813000,286697000,292489000,240541000,213024000,210454000,228404000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68220000
56,Deferred Tax Liabilities,- -,1990000,132419000,176992000,122187000,124000000,136074000,168636000,130765000,138043000,- -,38698000,35372000,40025000,45201000,- -,- -,- -,- -,40639000,46684000,44259000,54980000,68220000
57,Other Non-Current Liabilities,- -,- -,6672000,2313000,102504000,112666000,3719000,3760000,4522000,22383000,37244000,12258000,10294000,8327000,7359000,6786000,9583000,14565000,13208000,21447000,16418000,44758000,68792000,4710000
58,Total Non-Current Liabilities,- -,167907000,391586000,428733000,529193000,613090000,620776000,672665000,629360000,643428000,442765000,413905000,440785000,428014000,393224000,367099000,346146000,327378000,299905000,354575000,303643000,302041000,334226000,369554000
59,Other Liabilities,106420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50443000,39065000,- -
61,Total Liabilities,106420000,177006000,424513000,457402000,558438000,640967000,652040000,714226000,666945000,708338000,478326000,462692000,480453000,467882000,432650000,402213000,382209000,360915000,334465000,417097000,357677000,368028000,471365000,594416000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,12000,12000,12000,9000,13000,13000,12000,10000,9000,8000,8000,8000,8000,9000,9000,9000,10000,10000,9000,9000,9000,8000
64,Retained Earnings,- -,-48635000,-31147000,-107059000,-127905000,-136986000,-146735000,-156392000,-290991000,-334108000,-822045000,-912736000,-930822000,-939022000,-925421000,-791596000,-764474000,-738849000,-718444000,-539730000,-528164000,-547876000,-551786000,-522494000
65,Other Comprehensive Income/Loss,- -,- -,-21200000,-39200000,-846000,-83300000,-106800000,-130700000,-148400000,-128000000,-146300000,-155446000,-154423000,-169200000,-173400000,234000,-2138000,-4115000,-2977000,-60000,-1412000,-131000,-1056000,-977000
66,Other Total Stockholders Equity,24871000,76646000,1188315000,1224362000,1143782000,1266278000,1291194000,1316012000,1191098000,1119908000,1081049000,1093409000,1095594000,1107653000,1104214000,927377000,912161000,910228000,904867000,888650000,862299000,836170000,828813000,780389000
67,Total Stockholders Equity,24871000,28011000,1135980000,1078115000,1015043000,1046001000,1037672000,1028933000,751719000,657810000,112713000,25235000,10357000,-561000,5401000,136024000,145558000,167273000,183456000,348870000,332732000,288172000,275980000,256926000
68,Total Liabilities And Stockholders Equity,131291000,205017000,1560493000,1535517000,1573481000,1686968000,1689712000,1743159000,1418664000,1366148000,591039000,487927000,490810000,467321000,438051000,538237000,527767000,528188000,517921000,765967000,690409000,656200000,747345000,851342000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000,- -,- -,- -,- -,- -,-39000,-21000,- -,- -
70,Total Liabilities & Equity,131291000,205017000,1560493000,1535517000,1573481000,1686968000,1689712000,1743159000,1418664000,1366148000,591039000,487927000,490810000,467321000,438016000,538237000,527767000,528188000,517921000,765967000,690370000,656179000,747345000,851342000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109116/000089843002001028/0000898430-02-001028-index.html,https://www.sec.gov/Archives/edgar/data/1109116/000089843003001607/0000898430-03-001607-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312504041540/0001193125-04-041540-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312505050797/0001193125-05-050797-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312506056790/0001193125-06-056790-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312507055499/0001193125-07-055499-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312508057647/0001193125-08-057647-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312509055203/0001193125-09-055203-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312510073542/0001193125-10-073542-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312511064271/0001193125-11-064271-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312512107254/0001193125-12-107254-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312513099296/0001193125-13-099296-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312514091537/0001193125-14-091537-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459015001390/0001564590-15-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459016014316/0001564590-16-014316-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459017004003/0001564590-17-004003-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459018007267/0001564590-18-007267-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459019016139/0001564590-19-016139-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459020011103/0001564590-20-011103-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459021018394/0001564590-21-018394-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000095017022003821/0000950170-22-003821-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3702000,-39957000,-92240000,-65795000,-10645000,2267000,6164000,-9657000,-134599000,-43117000,-487937000,-50072000,-18086000,-8200000,13601000,133825000,27122000,25625000,20405000,176293000,12161000,-19712000,-3910000,35230000
74,Depreciation and Amortization,10934000,15723000,72017000,122425000,46501000,46343000,45989000,48371000,45183000,24767000,23412000,21033000,19229000,18653000,16426000,14953000,14663000,15989000,15342000,16411000,16273000,16648000,17282000,- -
75,Deferred Income Tax,- -,406000,-4126000,-23749000,-377000,5813000,5647000,-3748000,-8882000,-18589000,-112190000,-2351000,-4342000,4565000,6477000,-134975000,17585000,15664000,12528000,81963000,4612000,5311000,-6225000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4034000,2970000,2343000,2651000,4771000,4351000,5240000,5035000,6091000,5787000,4377000,5125000,673732000
77,Change in Working Capital,- -,6278000,82848000,-43844000,-1005000,37676000,-8409000,124838000,-42762000,59781000,-136561000,-49484000,52594000,-12890000,-20081000,26959000,-4590000,15143000,10411000,193038000,-72926000,-73569000,29481000,10690000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000,2091000,-574000,-3740000,-8706000,-6128000,871000,1397000,414000,5895000,8610000,-20100000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-740000,-7255000,-3661000,-1458000,1203000,2033000,-9727000,-19384000,17229000,- -
81,Other Working Capital,- -,6278000,89126000,45282000,44277000,81953000,73544000,198382000,155620000,215401000,78840000,29356000,81950000,69060000,48979000,75938000,71348000,86491000,96902000,289940000,217014000,143445000,172926000,183616000
82,Other Non-Cash Items,426000,23678000,-47891000,22961000,544000,-51591000,3206000,-123864000,203089000,40423000,757494000,95629000,-15240000,13140000,20958000,-12778000,-4719000,-15378000,-6425000,-172276000,67889000,98484000,21696000,-719652000
83,Cash Provided by Operating Activities,7658000,6128000,10608000,11998000,35018000,40508000,52597000,35940000,62029000,63265000,44218000,18789000,37125000,17611000,40032000,32755000,54412000,62283000,57296000,301520000,33796000,31539000,63449000,- -
84,CAPEX,- -,-12825000,-22848000,-28680000,-19292000,-122853000,-23338000,-39880000,-40586000,-26177000,-16873000,-10965000,-8650000,-8524000,-9856000,-10174000,-8609000,-13696000,-9053000,-44666000,-20159000,-27583000,-9218000,- -
85,Acquisitions Net,- -,- -,-990495000,-45139000,-109296000,- -,-17592000,- -,- -,- -,-22885000,- -,- -,-598000,- -,- -,-15048000,- -,- -,-33158000,-3522000,- -,-21261000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30500000,-2450000,-160898000,-1700000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,- -,25000000,43647000,63480000,- -
88,Other Investing Activites,-25586000,-46238000,11043000,10086000,1372000,18348000,41755000,-1044000,97676000,-1323000,101104000,122000,- -,- -,- -,- -,- -,- -,- -,-32538000,-3120000,-2300000,4931000,- -
89,Cash Used for Investing Activites,-25586000,-59063000,-1002300000,-63733000,-127216000,-104505000,825000,-40924000,57090000,-27500000,61346000,-10843000,-8650000,-9122000,-9856000,-10174000,-23657000,-13696000,-9553000,-80224000,-159546000,14364000,38090000,- -
90,Debt Repayment,- -,-352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43754000,-362949000,-17071000,-61800000,-375984000,-23750000,-23750000,-23750000,-293563000,-53000000,-28000000,-3000000,- -
91,Common Stock Issued,- -,- -,813974000,4048000,3269000,1021000,1081000,1347000,3760000,7353000,785000,255000,239000,42000,23000,2806000,1841000,2177000,2183000,- -,- -,- -,- -,151000000
92,Common Stock Repurchased,- -,-530000,- -,- -,- -,- -,-128182000,- -,-61286000,-61006000,-61217000,-1075000,- -,- -,- -,- -,-12543000,- -,- -,-5330000,-13812000,-12565000,-525000,-3809565000
93,Dividends Paid,- -,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5102000,-10313000,-11014000,-8865000,-9350000,-11177000,-14670000,-17782000,-16962000,-10531000,- -
94,Other Financing Activites,19339000,54913000,244585000,-2524000,82485000,70581000,100842000,22278000,-8678000,-13692000,-67783000,- -,378959000,-29000,19325000,369303000,- -,-1000000,-1403000,292587000,-4034000,-1913000,-1426000,- -
95,Cash Used/Provided by Financing Activities,19339000,51631000,1058559000,1524000,85754000,71602000,-26259000,23625000,-66204000,-67345000,-128215000,-44574000,16249000,-22160000,-52765000,-14889000,-43317000,-31923000,-34147000,-20976000,-88628000,-59440000,-15482000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,-11000,-71000,-3000,- -
97,Net Change In Cash,19339000,-1304000,66867000,-50211000,-6444000,7605000,27163000,18641000,52915000,-31580000,-22651000,-36628000,44724000,-13671000,-22589000,7692000,-12562000,16664000,13596000,200334000,-214389000,-13608000,86054000,- -
98,Cash at the End of Period,- -,2357000,69224000,19013000,12569000,19806000,46969000,65610000,118525000,86945000,64294000,27666000,72390000,58719000,36130000,43822000,31260000,47924000,61520000,261854000,47465000,33857000,119911000,- -
99,Cash at the Beginning of Period,- -,3661000,2357000,69224000,19013000,12201000,19806000,46969000,65610000,118525000,86945000,64294000,27666000,72390000,58719000,36130000,43822000,31260000,47924000,61520000,261854000,47465000,33857000,119911000
100,Free Cash Flow,7658000,-6697000,-12240000,-16682000,15726000,-82345000,29259000,-3940000,21443000,37088000,27345000,7824000,28475000,9087000,30176000,22581000,45803000,48587000,48243000,256854000,13637000,3956000,54231000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109116/000089843002001028/0000898430-02-001028-index.html,https://www.sec.gov/Archives/edgar/data/1109116/000089843003001607/0000898430-03-001607-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312504041540/0001193125-04-041540-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312505050797/0001193125-05-050797-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312506056790/0001193125-06-056790-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312507055499/0001193125-07-055499-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312508057647/0001193125-08-057647-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312509055203/0001193125-09-055203-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312510073542/0001193125-10-073542-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312511064271/0001193125-11-064271-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312512107254/0001193125-12-107254-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312513099296/0001193125-13-099296-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000119312514091537/0001193125-14-091537-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459015001390/0001564590-15-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459016014316/0001564590-16-014316-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459017004003/0001564590-17-004003-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459018007267/0001564590-18-007267-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459019016139/0001564590-19-016139-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459020011103/0001564590-20-011103-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000156459021018394/0001564590-21-018394-index.htm,https://www.sec.gov/Archives/edgar/data/1109116/000095017022003821/0000950170-22-003821-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
