,https://roic.ai/company/ESCA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1100000,1700000,1600000,1700000,2400000,4000000,3500000,3100000,3200000,4400000,3600000,3000000,2400000,2800000,2800000,3178721,3593000,3797763,5301000,6328000,4735000,5649000,6044000,5539000,5965000,4330000,8772000,4322000,4618000,4383000,5218000,5244000,3910000,3857000,4031000,4016000,4835000
15,EBITDA,3200000,6900000,9000000,8400000,5900000,-3000000,4000000,2700000,11400000,700000,4400000,11700000,13500000,13700000,12400000,16478721,20993000,20697763,26601000,20228000,23951000,17149000,20266000,-2620000,10278000,14610000,16340000,2458000,22039000,23085000,21362000,21620000,20231000,30726000,13321000,37188000,36894000
16,EBITDA ratio,0.0912,0.1297,0.1355,0.1288,0.0727,-0.0370,0.0451,0.0296,0.1204,0.0068,0.0482,0.1255,0.1475,0.1510,0.1439,0.1419,0.1410,0.1331,0.1200,0.0917,0.1290,0.0896,0.1092,-0.0176,0.0886,0.1210,0.1217,0.0167,0.1346,0.1673,0.1340,0.1290,0.1141,0.1748,0.0738,0.1359,0.1176
17,Operating Income,2700000,5700000,7900000,6900000,3700000,-6100000,2400000,1200000,6400000,2900000,3900000,9900000,12200000,14000000,10200000,15678872,19220000,17962739,20996000,15658000,19783000,13726000,13068000,-8121000,2000000,8189000,4171000,-2585000,14497000,15504000,12818000,14583000,14600000,13817000,9275000,33032000,31896000
18,Operating Income ratio,0.0769,0.1071,0.1190,0.1058,0.0456,-0.0753,0.0271,0.0131,0.0676,0.0283,0.0428,0.1062,0.1333,0.1544,0.1183,0.1350,0.1291,0.1155,0.0947,0.0709,0.1066,0.0717,0.0704,-0.0546,0.0172,0.0678,0.0311,-0.0175,0.0886,0.1124,0.0804,0.0870,0.0823,0.0786,0.0514,0.1207,0.1017
19,Total Other Income Expenses (Gains),-600000,-500000,-500000,-200000,-200000,-900000,-1900000,-1600000,-1300000,-6600000,-3100000,-1100000,-1100000,-1400000,-600000,-2378872,-1820000,-1062739,204000,-1758000,-567000,-2226000,1154000,-2079000,600000,911000,2704000,2085000,2203000,4279000,2856000,959000,917000,12625000,-341000,-110000,-1347000
20,Income Before Tax,2100000,5200000,7400000,6700000,3500000,-7000000,500000,-400000,5100000,-3700000,800000,8800000,11100000,12600000,9600000,13300000,17400000,16900000,21200000,13900000,19216000,11500000,14222000,-10200000,2600000,9100000,6875000,-500000,16700000,19783000,15674000,15542000,15517000,26442000,8934000,32922000,30549000
21,Income Before Tax Ratio,0.0598,0.0977,0.1114,0.1028,0.0432,-0.0864,0.0056,-0.0044,0.0539,-0.0361,0.0088,0.0944,0.1213,0.1389,0.1114,0.1146,0.1169,0.1087,0.0956,0.0630,0.1035,0.0601,0.0766,-0.0686,0.0224,0.0754,0.0512,-0.0034,0.1020,0.1434,0.0983,0.0927,0.0875,0.1504,0.0495,0.1203,0.0974
22,Income Tax expense (Gain),1000000,2000000,3300000,2600000,2300000,500000,900000,-2200000,2000000,-1300000,400000,3500000,4700000,4800000,3500000,5200000,6300000,5800000,6400000,5700000,7274000,3000000,4967000,-2684000,948000,3017000,2434000,2434000,6883000,6438000,4068000,4049000,1456000,6000000,1676000,6988000,6144000
23,Net Income,1100000,3200000,4100000,4100000,1200000,-7500000,-400000,1800000,6200000,-2400000,400000,5200000,6400000,6100000,6100000,8100000,11100000,11100000,14900000,8200000,11942000,8500000,9255000,-7500000,1700000,6100000,4441000,-4900000,9800000,11817000,11606000,11493000,14061000,20442000,7258000,25934000,24405000
24,Net Income ratio,0.0313,0.0602,0.0617,0.0629,0.0148,-0.0926,-0.0045,0.0197,0.0655,-0.0234,0.0044,0.0558,0.0699,0.0673,0.0708,0.0698,0.0745,0.0714,0.0672,0.0372,0.0643,0.0444,0.0499,-0.0504,0.0147,0.0505,0.0331,-0.0332,0.0599,0.0856,0.0728,0.0686,0.0793,0.1163,0.0402,0.0948,0.0778
25,EPS,0.01,0.02,0.02,0.02,0.01,-0.04,-0.00,0.01,0.04,-0.02,0.02,0.23,0.34,0.33,0.34,0.57,0.29,0.86,1.15,0.60,0.91,0.65,0.72,-0.59,0.13,0.48,0.35,-0.37,0.73,0.85,0.82,0.81,0.98,1.42,0.50,1.84,1.78
26,EPS Diluted,0.01,0.02,0.02,0.02,0.01,-0.04,-0.00,0.01,0.04,-0.02,0.02,0.23,0.34,0.33,0.33,0.57,0.28,0.83,1.13,0.59,0.90,0.65,0.72,-0.59,0.13,0.46,0.33,-0.37,0.72,0.84,0.82,0.80,0.98,1.41,0.50,1.82,1.77
27,Weighted Average Shares Outstanding,22486486,23009010,26042042,25717718,25117118,24756756,24672672,24672672,24696696,24822822,24801396,23098698,18731707,18787879,18208955,14170118,12890722,12951690,12969432,13045000,13123077,13069231,12854167,12637000,12632000,12726000,12849000,13244000,13506000,13853000,14088000,14188889,14347959,14395775,14516000,14094565,13706000
28,Weighted Average Shares Outstanding Diluted,22486486,23009010,26042042,25717718,25117118,24756756,24672672,24672672,24696696,24822822,24801396,23098698,19009901,18883249,18300000,14211551,13070383,13419823,13200000,13266102,13268889,13069231,12854167,12684000,12632000,13241000,13411000,13244000,13618056,14067857,14088000,14366250,14347959,14497872,14516000,14249451,13808000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000093637197000003/0000936371-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000095015201500424/0000950152-01-500424-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905607000264/0001019056-07-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905609000381/0001019056-09-000381-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905610000272/0001019056-10-000272-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905611000282/0001019056-11-000282-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905612000307/0001019056-12-000307-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420413011121/0001144204-13-011121-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420414011337/0001144204-14-011337-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420415011858/0001144204-15-011858-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420416083756/0001144204-16-083756-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420417011505/0001144204-17-011505-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420418011216/0001144204-18-011216-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420419009589/0001144204-19-009589-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000110465920023597/0001104659-20-023597-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774921003651/0001437749-21-003651-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774922003913/0001437749-22-003913-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,5600000,2800000,200000,- -,500000,1000000,500000,1000000,1200000,1300000,1200000,300000,1800000,1100000,900000,3400000,600000,3100000,3017000,3800000,2808000,3600000,3800000,2800000,3821000,3700000,4000000,3232000,1982000,1013000,1572000,2824000,5882000,3505000,4374000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8129000,9156000,11624000,950000,17487000,19786000,18949000,19644000,- -,20278000,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,200000,5600000,2800000,200000,- -,500000,1000000,500000,1000000,1200000,1300000,1200000,300000,1800000,1100000,900000,3400000,600000,3100000,3017000,3800000,2808000,11729000,12956000,14424000,4771000,21187000,23786000,22181000,21626000,1013000,21850000,2824000,5882000,3505000,4374000
34,Net Receivables,5900000,8600000,12100000,12100000,25600000,19200000,20900000,25700000,29300000,31900000,25600000,27300000,30600000,30800000,24800000,26400000,27300000,34100000,45100000,45100000,31744000,33600000,30639000,27200000,23500000,25500000,26914000,33500000,44600000,37847000,40894000,35894000,40114000,41764000,35613000,65280000,65991000
35,Inventory,7300000,11100000,10600000,13300000,20900000,19400000,18100000,18300000,19500000,24400000,15200000,11500000,12600000,12600000,12400000,15600000,17300000,20500000,29900000,30500000,33049000,32200000,32541000,29900000,20900000,22900000,29035000,30900000,28300000,23775000,25862000,33802000,35160000,39122000,42269000,72488000,92382000
36,Other Current Assets,100000,200000,300000,900000,800000,1300000,1300000,3000000,1400000,2300000,2100000,1800000,1500000,1200000,1300000,1000000,1000000,1400000,4000000,5000000,3377000,4900000,4810000,3771000,-4456000,-7824000,3426000,-14587000,-15486000,-14952000,-15607000,4914000,-16864000,4153000,3151000,4125000,8308000
37,Total Current Assets,13600000,20100000,28600000,29100000,47500000,39900000,40800000,48000000,50700000,59600000,44100000,41900000,45900000,44900000,40300000,44100000,46500000,59400000,79600000,83700000,71187000,74500000,70798000,72600000,52900000,55000000,64146000,71000000,81200000,68851000,72775000,75623000,80260000,87863000,86915000,145398000,171055000
38,PP&E,4200000,6700000,6800000,7800000,9300000,13600000,13200000,11800000,14200000,13700000,11200000,10200000,11600000,10100000,9400000,9100000,10200000,9100000,17500000,16500000,20307000,20700000,20391000,20200000,21500000,19800000,11915000,12300000,15000000,11596000,14363000,13714000,14286000,15498000,16191000,19840000,27146000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,5600000,11700000,10900000,12800000,13400000,18800000,17900000,- -,25000000,25803000,25800000,26200000,25400000,25285000,12000000,13100000,14875000,20047000,21456000,21548000,26381000,26749000,32695000,32695000
40,Intangible Assets,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,6500000,9000000,8000000,23791000,20600000,21012000,19200000,17200000,15700000,14064000,12900000,12800000,13465000,16868000,20857000,19691000,19785000,18847000,22645000,20778000
41,Intangible Assets,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,6200000,5600000,11700000,10900000,14100000,19900000,27800000,25900000,23791000,45600000,46815000,45000000,43400000,41100000,39349000,24900000,25900000,28340000,36915000,42313000,41239000,46166000,45596000,55340000,53473000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,6400000,8000000,9300000,- -,8129000,9156000,11624000,14397000,17487000,19786000,18949000,19644000,19030000,20278000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,2100000,- -,3500000,5400000,2996000,7200000,- -,2469000,3409000,3537000,- -,- -
44,Other Non-Current Assets,2700000,500000,900000,800000,900000,1700000,800000,700000,1200000,2600000,2500000,2300000,2000000,2800000,5500000,5400000,5300000,8400000,4000000,2900000,2011000,600000,14012000,1771000,-956000,-2024000,308000,-3487000,-5286000,-2851000,-7160000,81000,-2427000,-3409000,-3460000,127000,124000
45,Total Non-Current Assets,6900000,7200000,7700000,8600000,11200000,15300000,14000000,12500000,15400000,16300000,13700000,12500000,20200000,18600000,26600000,25400000,29600000,37400000,54800000,51700000,54109000,76200000,81218000,75100000,74300000,72600000,65969000,54700000,60800000,59030000,70962000,75138000,75845000,61664000,61864000,75307000,80743000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20500000,27300000,36300000,37700000,58700000,55200000,54800000,60500000,66100000,75900000,57800000,54400000,66100000,63500000,66900000,69500000,76100000,96800000,134400000,135400000,125296000,150700000,152016000,147700000,127200000,127600000,130115000,125700000,142000000,127881000,143737000,150761000,156105000,149527000,148779000,220705000,251798000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3300000,5200000,4300000,3600000,2400000,2400000,2700000,3000000,3000000,2100000,2600000,2800000,8100000,8000000,3518000,3400000,2938000,3300000,1600000,3800000,3293000,3900000,2500000,1853000,2547000,4376000,4295000,5631000,7765000,20947000,15847000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,3900000,8300000,7800000,9600000,13300000,9800000,11389984,21922000,11992000,1066000,10336000,13033000,46525000,27644000,11407000,16947000,19070000,23263000,17786000,21586000,1250000,1250000,- -,756000,854000,7961000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1239000,- -,- -,- -,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000,1226000,1502000,- -,1553000,2220000,925000,1543000,- -,2469000,3409000,3537000,- -,- -
52,Other Current Liabilities,6500000,9300000,9400000,7900000,28900000,29900000,27500000,21800000,24100000,39200000,10200000,22200000,19400000,18300000,12800000,16200000,20600000,18210016,24978000,26808000,26283000,27564000,23385000,17152000,12730000,14191000,14410000,13777000,15717000,11182000,-7145000,12792000,11528000,7663000,6152000,24271000,24385000
53,Total Current Liabilities,6500000,9300000,9400000,7900000,28900000,29900000,30800000,27000000,28400000,42800000,27000000,28500000,30400000,29100000,25400000,31600000,33000000,32400000,55000000,46800000,30867000,41300000,39356000,67700000,43200000,30900000,34650000,38300000,43700000,31746000,18531000,18418000,19542000,16703000,18210000,46072000,48193000
54,Long-Term Debt,5300000,5700000,5000000,4000000,3600000,6600000,5800000,13600000,11600000,9100000,6300000,5500000,10700000,6400000,10700000,12700000,7500000,17200000,15700000,15900000,18487000,22600000,19135000,- -,- -,7500000,5000000,3500000,4900000,3360000,21526000,24189000,21871000,- -,- -,30836000,51783000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,100000,200000,300000,300000,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589000,- -,- -,- -,2900000,3474000,5394000,2996000,7200000,6441000,2469000,3409000,3537000,4193000,4759000
57,Other Non-Current Liabilities,- -,300000,500000,500000,600000,800000,800000,1000000,900000,- -,1100000,1100000,1500000,1300000,1300000,1200000,1200000,1300000,2500000,1600000,1349000,1100000,1194000,1200000,1300000,2100000,- -,26000,6000,- -,- -,- -,553000,1094000,862000,448000,448000
58,Total Non-Current Liabilities,5300000,6000000,5500000,4600000,4400000,7700000,6900000,14600000,12500000,10200000,7400000,6600000,12200000,7700000,12000000,13900000,8700000,18500000,18200000,17500000,19836000,23700000,20918000,1200000,1300000,9600000,7900000,7000000,10300000,6356000,28726000,30630000,24893000,4503000,4399000,35477000,56990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096000,1617000,2205000
61,Total Liabilities,11800000,15300000,14900000,12500000,33300000,37600000,37700000,41600000,40900000,53000000,34400000,35100000,42600000,36800000,37400000,45500000,41700000,50900000,73200000,64300000,50703000,65000000,60274000,68900000,44500000,40500000,42550000,45300000,54000000,38102000,47257000,49048000,44435000,21206000,22609000,81549000,105183000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17600000,8300000,5900000,6100000,2900000,2200000,6400000,6500000,6400000,13000000,12947000,13000000,- -,12600000,12700000,12800000,- -,13400000,13700000,13998000,14180000,14305000,14372000,14439000,14215000,13919000,13493000
64,Retained Earnings,3100000,6400000,10700000,15000000,13300000,17600000,5300000,7100000,7700000,5300000,5800000,11000000,17400000,20400000,26300000,21600000,27600000,38700000,52600000,53500000,60696000,69200000,73246000,63100000,65300000,70300000,71348000,62900000,69400000,77745000,85478000,91688000,99908000,113882000,111955000,125237000,133122000
65,Other Comprehensive Income/Loss,-7200000,-8800000,-10300000,-10100000,-12400000,-14500000,-16700000,-17900000,-20200000,-23800000,-21800000,-21600000,400000,400000,400000,400000,200000,-24174,2247000,4553000,950000,3482000,5823000,3124000,4766000,3921000,3333000,4093000,4919000,-1964000,-3178000,-4280000,-2610000,- -,-28384000,- -,- -
66,Other Total Stockholders Equity,12800000,14400000,21000000,20300000,24500000,14500000,28500000,29700000,37700000,41400000,21700000,21600000,- -,- -,- -,- -,200000,699593,36000,-1075000,- -,33000,- -,-34000,-2000,9000,13217000,64000,-64000,- -,- -,- -,- -,- -,28384000,- -,- -
67,Total Stockholders Equity,8700000,12000000,21400000,25200000,25400000,17600000,17100000,18900000,25200000,22900000,23300000,19300000,23500000,26700000,29400000,24000000,34400000,45875419,61283000,69978000,74593000,85715000,91742000,78790000,82764000,87030000,87565000,80457000,87955000,89779000,96480000,101713000,111670000,128321000,126170000,139156000,146615000
68,Total Liabilities And Stockholders Equity,20500000,27300000,36300000,37700000,58700000,55200000,54800000,60500000,66100000,75900000,57700000,54400000,66100000,63500000,66800000,69500000,76100000,96775419,134483000,134278000,125296000,150715000,152016000,147690000,127264000,127530000,130115000,125757000,141955000,127881000,143737000,150761000,156105000,149527000,148779000,220705000,251798000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,100000,- -,- -,24581,-83000,1122000,- -,-15000,- -,10000,-64000,70000,- -,-57000,45000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20500000,27300000,36300000,37700000,58700000,55200000,54800000,60500000,66100000,75900000,57800000,54400000,66100000,63500000,66900000,69500000,76100000,96800000,134400000,135400000,125296000,150700000,152016000,147700000,127200000,127600000,130115000,125700000,142000000,127881000,143737000,150761000,156105000,149527000,148779000,220705000,251798000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000093637197000003/0000936371-97-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000095015201500424/0000950152-01-500424-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905607000264/0001019056-07-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/33488/000101905609000381/0001019056-09-000381-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905610000272/0001019056-10-000272-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905611000282/0001019056-11-000282-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000101905612000307/0001019056-12-000307-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420413011121/0001144204-13-011121-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420414011337/0001144204-14-011337-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420415011858/0001144204-15-011858-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420416083756/0001144204-16-083756-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420417011505/0001144204-17-011505-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420418011216/0001144204-18-011216-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000114420419009589/0001144204-19-009589-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000110465920023597/0001104659-20-023597-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774921003651/0001437749-21-003651-index.htm,https://www.sec.gov/Archives/edgar/data/33488/000143774922003913/0001437749-22-003913-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-400000,1800000,6200000,-2400000,400000,5200000,6400000,6100000,6100000,8100000,11100000,11100000,14900000,8200000,11942000,8500000,9255000,-7500000,1700000,6100000,4441000,-4900000,9800000,11817000,11606000,11493000,14061000,20442000,7258000,25934000,24405000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,3500000,3100000,3200000,4400000,3600000,3000000,2400000,2800000,2800000,3178721,3593000,3797763,5301000,6328000,4735000,5649000,6044000,5539000,5965000,4330000,8772000,4322000,4618000,4383000,5218000,5244000,3910000,3857000,4031000,4016000,4835000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,500000,-1100000,-1300000,-100000,400000,1300000,-200000,-600000,-285590,-314000,-14420,-1042000,-1022000,-466000,436000,284000,-1488000,2175000,1401000,863000,503000,1254000,-1197000,1696000,-375000,-2947000,940000,128000,656000,567000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-900000,11000000,1300000,-5500000,300000,-3700000,2100000,300000,-900000,-2400000,1000000,13500000,-2400000,12300000,3420000,-7120000,-1758000,-26542000,4800000,14400000,5396000,3204000,4800000,-395000,17139000,2961000,3513000,10442000,-2455000,30621000,-29343000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3028000,3661000,-1752000,-1148000,-6691000,-10370000,6739000,-6053000,2709000,-3366000,-1140000,4911000,-29905000,-301000
79,Inventory,- -,- -,- -,- -,- -,- -,1300000,-1100000,-1300000,-7600000,8200000,3700000,300000,- -,1700000,-3156221,861000,-1003728,5959000,138000,-2868000,5543000,1091000,2639000,9059000,-2411000,-6302000,-1731000,5449000,-1559000,-1121000,-6548000,-468000,-3359000,-3147000,-26422000,-19894000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2343000,1002000,245000,2416000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,10000000,21000000,22300000,16800000,17100000,13400000,15500000,15800000,14900000,12500000,13500000,27000000,24600000,36900000,40320000,33200000,31442000,4900000,9700000,24100000,29496000,32700000,37500000,37105000,54244000,57205000,60718000,71160000,68705000,99326000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,400000,-14400000,-5200000,-900000,14500000,10400000,-3400000,-400000,7500000,2940456,4239000,-24508831,9767000,-10443000,5001000,12434000,486000,28079000,3673000,-17379000,-16891000,3429000,-12082000,3769000,-20196000,-7154000,-5174000,-29175000,7076000,-58594000,475000
