,https://roic.ai/company/GEF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.64,0.98,0.74,0.32,0.57,0.89,1.34,1.57,0.55,0.17,0.84,1.82,2.46,2.69,4.04,1.91,4.46,3.73,2.17,2.52,1.56,1.23,1.28,2.02,3.56,2.89,1.83,6.57
26,EPS Diluted,0.64,0.98,0.74,0.32,0.57,0.89,1.33,1.57,0.55,0.17,0.83,1.78,2.42,2.65,3.99,1.91,4.43,3.72,2.17,2.52,1.56,1.23,1.28,2.02,3.55,2.89,1.83,6.54
27,Weighted Average Shares Outstanding,52682927,45750000,57702703,57460317,57565217,56673676,56673676,56574920,56475684,56318048,56608012,57525840,57710410,58086555,58128782,24328724,47100000,47200000,58350000,58550000,58650000,58850000,58950000,58800000,58900000,59200000,59400000,59500000
28,Weighted Average Shares Outstanding Diluted,52682927,45750000,57702703,57460317,57565217,56756876,56756876,56628126,56617686,56321086,57137400,58204186,58308996,58664427,58575342,24657077,47400000,47300000,58350000,58550000,58650000,58850000,58950000,58800000,59000000,59200000,59400000,59700000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/43920/000004392095000002/0000043920-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392096000001/0000043920-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392097000001/0000043920-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/0000043920-98-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/43920/000004392001000001/0000043920-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/000102140802000888/0001021408-02-000888-index.html,- -,https://www.sec.gov/Archives/edgar/data/43920/000119312504007442/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312505004750/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312506005558/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312506261710/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312507269364/0001193125-07-269364-index.html,https://www.sec.gov/Archives/edgar/data/43920/000114420408069641/0001144204-08-069641-index.html,https://www.sec.gov/Archives/edgar/data/43920/000095012309073085/0000950123-09-073085-index.html,https://www.sec.gov/Archives/edgar/data/43920/000095012310115754/0000950123-10-115754-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312511343838/0001193125-11-343838-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312512514736/0001193125-12-514736-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312513483163/0001193125-13-483163-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312515015537/d827902d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312515408980/0001193125-15-408980-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392016000025/0000043920-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392017000051/0000043920-17-000051-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392018000034/0000043920-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392019000063/0000043920-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392020000074/0000043920-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/43920/000004392021000076/0000043920-21-000076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,31600000,26600000,17700000,41300000,8935000,13388000,29720000,25396000,49767000,38109000,122411000,187101000,123699000,77627000,111896000,106957000,127413000,91700000,78100000,85100000,106200000,103700000,142300000,94200000,77300000,105900000,124600000
32,Short-Term Investments,23970000,- -,- -,- -,- -,5314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23970000,31600000,26600000,17700000,41300000,14249000,13388000,29720000,25396000,49767000,38109000,122411000,187101000,123699000,77627000,111896000,106957000,127413000,91700000,78100000,85100000,106200000,103700000,142300000,94200000,77300000,105900000,124600000
34,Net Receivables,69501000,77000000,74000000,81600000,113900000,124754000,133988000,282982000,274222000,294957000,307750000,258636000,315661000,347907000,392537000,337054000,480158000,570338000,456400000,484700000,501500000,403700000,399200000,447000000,456700000,664200000,636600000,889500000
35,Inventory,50944000,53900000,49300000,44900000,64900000,50706000,42741000,123363000,144320000,167157000,191457000,170533000,205004000,242994000,303994000,227432000,396572000,432518000,374300000,375300000,381100000,297000000,277400000,279500000,289500000,358200000,293600000,499200000
36,Other Current Assets,43927000,35400000,35500000,28700000,36600000,27589000,23026000,73339000,65883000,71576000,75366000,74372000,85271000,127185000,148492000,157379000,182202000,175068000,141600000,155900000,187000000,201600000,140000000,125700000,136300000,149300000,266700000,150800000
37,Total Current Assets,188342000,197900000,185400000,172900000,256700000,217298000,213143000,509404000,509821000,583457000,612682000,625952000,793037000,841785000,922650000,833761000,1165889000,1305337000,1064000000,1094000000,1154700000,1008500000,920300000,994500000,976700000,1249000000,1302800000,1664100000
38,PP&E,221170000,258900000,312200000,337800000,421500000,401133000,435662000,808837000,792018000,912375000,880682000,862056000,940949000,1074546000,1066397000,1092279000,1275116000,1435289000,1201900000,1183100000,1048200000,940600000,886100000,912200000,917700000,1417900000,1609900000,1586000000
39,Goodwill,- -,- -,- -,- -,- -,142977000,136284000,236623000,232577000,252309000,237803000,263703000,286552000,493252000,512973000,592117000,709725000,1004875000,976100000,1003500000,880200000,807100000,786400000,785400000,776000000,1517800000,1518400000,1515400000
40,Intangible Assets,- -,- -,4600000,17400000,123700000,- -,- -,33179000,28999000,30654000,27524000,25015000,63587000,96256000,104424000,131370000,173239000,229790000,198600000,180800000,166500000,132700000,110600000,98000000,80600000,776500000,715300000,648400000
41,Intangible Assets,- -,- -,4600000,17400000,123700000,142977000,136284000,269802000,261576000,282963000,265327000,288718000,350139000,589508000,617397000,723487000,882964000,1234665000,1174700000,1184300000,1046700000,939800000,897000000,883400000,856600000,2294300000,2233700000,2163800000
42,Investments,- -,- -,- -,- -,- -,124360000,136374000,144071000,149820000,4421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29982000,70630000,13600000,28000000,20900000,7800000,9000000,10500000,7900000,15900000,11300000,16300000
44,Other Non-Current Assets,9562000,10900000,10100000,22000000,27500000,25218000,17868000,44282000,45060000,47995000,54547000,106597000,103876000,146872000,139454000,162983000,144494000,161361000,402700000,392800000,396900000,419000000,440600000,431700000,435900000,449600000,353200000,385600000
45,Total Non-Current Assets,230732000,269800000,326900000,377200000,572700000,693688000,726188000,1266992000,1248474000,1247754000,1200556000,1257371000,1394964000,1810926000,1823248000,1978749000,2332556000,2901945000,2792900000,2788200000,2512700000,2307200000,2232700000,2237800000,2218100000,4177700000,4208100000,4151700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,419074000,467700000,512300000,550100000,829400000,910986000,939331000,1776396000,1758295000,1831211000,1813238000,1883323000,2188001000,2652711000,2745898000,2812510000,3498445000,4207282000,3856900000,3882200000,3667400000,3315700000,3153000000,3232300000,3194800000,5426700000,5510900000,5815800000
48,Accounts Payable,32948000,35900000,31600000,37400000,38400000,46703000,45075000,107277000,135192000,158333000,281265000,234672000,301753000,411095000,384648000,335816000,448310000,487783000,466100000,431300000,471100000,355300000,372000000,399200000,403800000,435200000,450700000,704500000
49,Short-Term Debt,249000,300000,2500000,8500000,- -,- -,- -,59673000,23005000,18605000,11621000,17173000,29321000,15848000,44281000,37084000,73431000,149834000,102100000,74100000,65700000,71400000,51600000,29500000,26100000,92900000,203800000,224800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9747000,13000000,16600000,14500000,59800000,25328000,19872000,131777000,123375000,135380000,144332000,131139000,160225000,221967000,242872000,189197000,240070000,292151000,293800000,296300000,314900000,220300000,235600000,259200000,240300000,297300000,345600000,384800000
53,Total Current Liabilities,42944000,49200000,50700000,60400000,98200000,72031000,64947000,298727000,281572000,312318000,437218000,382984000,491299000,648910000,671801000,562097000,761811000,929768000,862000000,801700000,851700000,647000000,659200000,687900000,670200000,825400000,1000100000,1314100000
54,Long-Term Debt,27966000,14100000,22700000,43600000,235000000,258000000,235000000,654374000,629982000,643067000,457415000,430400000,481408000,622685000,673171000,721108000,953066000,1345138000,1175300000,1207200000,1087400000,1116200000,974600000,937800000,884100000,2659000000,2335500000,2294300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6960000,13600000,22900000,29700000,36400000,48960000,58895000,124346000,135577000,159825000,148639000,133837000,179329000,159494000,183021000,156755000,180486000,196696000,197000000,238100000,219000000,214900000,193000000,217800000,179800000,313000000,339200000,318000000
57,Other Non-Current Liabilities,14265000,18300000,15400000,16300000,42900000,44013000,37975000,112043000,140690000,141551000,139147000,203518000,187079000,215305000,158365000,272980000,247650000,343507000,302200000,237200000,286100000,277700000,368300000,341300000,306500000,438200000,635400000,313800000
58,Total Non-Current Liabilities,49191000,46000000,61000000,89600000,314300000,350973000,331870000,890763000,906249000,944443000,745201000,767755000,847816000,997484000,1014557000,1150843000,1381202000,1885341000,1674500000,1682500000,1592500000,1608800000,1535900000,1496900000,1370400000,3410200000,3310100000,2926100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000000,293500000
61,Total Liabilities,92135000,95200000,111700000,150000000,412500000,423004000,396817000,1189490000,1187821000,1256761000,1182419000,1150739000,1339115000,1646394000,1686358000,1712940000,2143013000,2815109000,2536500000,2484200000,2444200000,2255800000,2195100000,2184800000,2040600000,4235600000,4310200000,4240200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123800000,129400000,135500000,139100000,141400000,144200000,150500000,162600000,170200000,179300000
64,Retained Earnings,321583000,407700000,436700000,437600000,456900000,537126000,598301000,671917000,687204000,681043000,711919000,793669000,901267000,1004300000,1155116000,1199592000,1323477000,1401700000,1404400000,1443800000,1411700000,1384500000,1340000000,1360500000,1469800000,1539000000,1543900000,1825600000
65,Other Comprehensive Income/Loss,-202488000,-223500000,-249100000,-261700000,-287900000,-277850000,-276816000,-315879000,-68919000,-56458000,-44847000,-36076000,-32378000,12484000,-72820000,-88246000,-33419000,-148151000,-196000000,-159000000,-274400000,-377400000,-398400000,-358200000,-377100000,-433700000,-427500000,-356500000
66,Other Total Stockholders Equity,198810000,188300000,213000000,224200000,247900000,228706000,221029000,230868000,276096000,356650000,445883000,- -,- -,- -,- -,- -,109955000,134473000,-131400000,-131000000,-130700000,-130600000,-135600000,-135600000,-135400000,-134800000,-134400000,- -
67,Total Stockholders Equity,326939000,372500000,400600000,400100000,416900000,487982000,542514000,586906000,569129000,572564000,629094000,730888000,844011000,999912000,1055811000,1092573000,1278721000,1235351000,1200800000,1283200000,1142100000,1015600000,947400000,1010900000,1107800000,1133100000,1152200000,1514300000
68,Total Liabilities And Stockholders Equity,419074000,467700000,512300000,550100000,829400000,910986000,939331000,1776396000,1756950000,1829325000,1811513000,1881627000,2183126000,2646306000,2742169000,2805513000,3421734000,4050460000,3737300000,3767400000,3586300000,3271400000,3142500000,3195700000,3148400000,5368700000,5462400000,5754500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,1345000,1886000,1725000,1696000,4875000,6405000,3729000,6997000,76711000,156822000,119600000,114800000,81100000,44300000,10500000,36600000,46400000,58000000,48500000,61300000
70,Total Liabilities & Equity,419074000,467700000,512300000,550100000,829400000,910986000,939331000,1776396000,1758295000,1831211000,1813238000,1883323000,2188001000,2652711000,2745898000,2812510000,3498445000,4207282000,3856900000,3882200000,3667400000,3315700000,3153000000,3232300000,3194800000,5426700000,5510900000,5815800000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/43920/000004392095000002/0000043920-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392096000001/0000043920-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392097000001/0000043920-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/0000043920-98-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/43920/000004392001000001/0000043920-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/43920/000102140802000888/0001021408-02-000888-index.html,- -,https://www.sec.gov/Archives/edgar/data/43920/000119312504007442/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312505004750/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312506005558/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312506261710/d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312507269364/0001193125-07-269364-index.html,https://www.sec.gov/Archives/edgar/data/43920/000114420408069641/0001144204-08-069641-index.html,https://www.sec.gov/Archives/edgar/data/43920/000095012309073085/0000950123-09-073085-index.html,https://www.sec.gov/Archives/edgar/data/43920/000095012310115754/0000950123-10-115754-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312511343838/0001193125-11-343838-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312512514736/0001193125-12-514736-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312513483163/0001193125-13-483163-index.html,https://www.sec.gov/Archives/edgar/data/43920/000119312515015537/d827902d10k.htm,https://www.sec.gov/Archives/edgar/data/43920/000119312515408980/0001193125-15-408980-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392016000025/0000043920-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392017000051/0000043920-17-000051-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392018000034/0000043920-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392019000063/0000043920-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/43920/000004392020000074/0000043920-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/43920/000004392021000076/0000043920-21-000076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33754000,60100000,42700000,18100000,33100000,51373000,75794000,88774000,30979000,9496000,47769000,104656000,142119000,156368000,234354000,132433000,209985000,176040000,126100000,147300000,91500000,71900000,74900000,118600000,209400000,171000000,108800000,390700000
74,Depreciation and Amortization,- -,23000000,26400000,31900000,39700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,- -
75,Deferred Income Tax,4011000,6600000,9300000,4700000,-1000000,15815000,13548000,29127000,9506000,6574000,-12106000,23146000,12302000,-31644000,18238000,478000,4596000,12342000,20200000,2000000,14100000,-5900000,1500000,2300000,8000000,1300000,16700000,-47200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-12209000,3302000,-14000000,-22200000,46000000,-13233000,2929000,62481000,17572000,42890000,-95675000,67504000,58770000,-108863000,57974000,20815000,132414000,-28509000,-173569000,90300000,10700000,58500000,-100400000,45500000,-100000,117100000,-120900000,-161800000
78,Accounts Receivable,- -,- -,- -,- -,- -,-21578000,5109000,-7613000,8760000,1325000,-1401000,56435000,-28782000,42876000,-65877000,73358000,-54046000,-22591000,95800000,-35400000,-45300000,39500000,-18600000,-47300000,-34000000,55100000,-9100000,-247500000
79,Inventory,-8244000,-2900000,6400000,9700000,-2800000,11046000,7965000,23526000,-20957000,10159000,-15848000,20715000,-6506000,24120000,-77263000,91756000,-87832000,15405000,39500000,-3500000,-28700000,38900000,3400000,-7000000,-24800000,33900000,27100000,-205600000
80,Accounts Payable,- -,- -,- -,- -,- -,3534000,-1628000,-15734000,18075000,8205000,113107000,-42835000,40171000,29051000,39827000,-92449000,-15413000,-33360000,3500000,-37100000,68900000,-56600000,39400000,20500000,24300000,-69900000,38100000,230400000
81,Other Working Capital,145398000,148700000,134700000,112500000,158500000,145267000,148196000,210677000,228249000,271139000,175464000,242968000,301738000,192875000,250849000,271664000,404078000,375569000,202000000,292300000,303000000,361500000,261100000,306600000,306500000,423600000,302700000,60900000
82,Other Non-Cash Items,22493000,-7202000,17500000,7600000,-40900000,17811000,24958000,-81517000,88968000,40338000,296252000,-6930000,15917000,372375000,-170730000,112798000,-168884000,12467000,500669000,10700000,145500000,81800000,325000000,138600000,35700000,100100000,208100000,214300000
83,Cash Provided by Operating Activities,48049000,85800000,81900000,40100000,76900000,71766000,117229000,98865000,147025000,99298000,236240000,188376000,229108000,388236000,139836000,266524000,178111000,172340000,473400000,250300000,261800000,206300000,301000000,305000000,253000000,389500000,454700000,396000000
84,CAPEX,-40682000,-61100000,-74400000,-36200000,-224600000,-49253000,-78833000,-132217000,-57464000,-65344000,-62791000,-85364000,-137740000,-114900000,-154866000,-130663000,-165133000,-166521000,-169700000,-145400000,-194700000,-174200000,-111600000,-106300000,-149100000,-162200000,-136800000,-147300000
85,Acquisitions Net,- -,- -,- -,- -,- -,-74233000,- -,-312892000,- -,-16472000,- -,-51782000,-107775000,-346629000,-99962000,-90816000,-179459000,-344914000,- -,- -,61800000,18000000,23400000,5900000,1400000,-1856400000,77300000,2700000
86,Purchases of Investments,- -,-4200000,-2000000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -
87,Sales/Maturities of Investments,- -,9200000,1500000,12600000,- -,1340000,5314000,- -,- -,9609000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3129000,800000,600000,-33500000,3100000,18874000,4672000,92403000,21960000,8885000,15539000,29179000,72970000,-10030000,84222000,45287000,17325000,10339000,1600000,44700000,63900000,9700000,63100000,10000000,12500000,29300000,39300000,191400000
89,Cash Used for Investing Activites,-37553000,-55300000,-74300000,-57700000,-221500000,-103272000,-68847000,-352706000,-35504000,-63322000,-47252000,-107967000,-172545000,-471559000,-161317000,-171200000,-327267000,-500446000,-168100000,-100700000,-69000000,-146500000,-25100000,-90400000,-135200000,-1989300000,-25200000,46800000
90,Debt Repayment,-7876000,- -,- -,- -,- -,-31500000,-23000000,-471604000,-741020000,-584780000,-2330120000,-744868000,-978786000,-1918807000,-2243482000,-3218665000,-3637945000,-3470834000,-3193100000,-1296700000,-1283500000,-955500000,-1550300000,-1717900000,-1079200000,-2164800000,-1701300000,-2199500000
91,Common Stock Issued,- -,- -,- -,700000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1789000,-2600000,- -,- -,- -,-11102000,-4968000,-924000,-2458000,-1031000,-2193000,-12024000,-6252000,-11409000,-21483000,-3145000,-2696000,-15062000,-100000,- -,- -,- -,-5200000,- -,- -,- -,- -,- -
93,Dividends Paid,-9139000,-12200000,-13700000,-17200000,-13800000,-14315000,-14619000,-15158000,-15692000,-15657000,-16893000,-22906000,-34521000,-53335000,-76524000,-87957000,-93122000,-97817000,-97700000,-98300000,-98600000,-98700000,-98700000,-98600000,-100000000,-104000000,-104300000,-105800000
94,Other Financing Activites,7700000,-13900000,900000,26900000,182500000,54791000,190000,760069000,653648000,587887000,2147473000,780534000,1035720000,1993963000,2321311000,3244447000,3879646000,3931855000,2953000000,1235100000,1201600000,1034100000,1381400000,1640900000,1020900000,3852300000,1400300000,1882400000
95,Cash Used/Provided by Financing Activities,-11104000,-28700000,-12800000,10400000,168900000,-2126000,-42397000,272383000,-105522000,-13581000,-201733000,736000,16161000,10412000,-20178000,-65320000,145883000,348142000,-337900000,-159900000,-180500000,-20100000,-272800000,-175600000,-158300000,1583500000,-405300000,-422900000
96,Effect of Forex Changes on Cash,-676000,300000,100000,-1700000,-600000,1238000,-1532000,-2210000,-10323000,1976000,1087000,3157000,-8034000,9509000,-4413000,4265000,-1666000,420000,-3100000,-3100000,-5300000,-18600000,-5600000,-400000,-7600000,-600000,4400000,-1700000
