,https://roic.ai/company/TM,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094517/999999999702047625/9999999997-02-047625-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312503027032/0001193125-03-027032-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312504113310/0001193125-04-113310-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312505130486/0001193125-05-130486-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312506135772/0001193125-06-135772-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312507141459/0001193125-07-141459-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312508140299/0001193125-08-140299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312509136292/0001193125-09-136292-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312510146673/0001193125-10-146673-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000094787111000488/0000947871-11-000488-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312512220104/0001193125-12-220104-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312513205853/0001193125-13-205853-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312514188542/0001193125-14-188542-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312515178184/0001193125-15-178184-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312516586299/0001193125-16-586299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312517164880/0001193125-17-164880-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312518156689/0001193125-18-156689-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312519140376/0001193125-19-140376-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312520177015/0001193125-20-177015-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312521197902/0001193125-21-197902-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,441745425120,432088568160,237901155351,175809046259,125707535210,134524504170,259642748187,385230481272,458095952100,446230792050,466502252000,686919917190,555164192830,736978705340,1146267782250,1169588804020,1374882318450,1640883596640,1709642062640,-436937000000,209456000000,408183000000,283559000000,962163000000,1823119000000,2173338000000,2312694000000,1831109000000,2493983000000,1882873000000,2076183000000,2245261000000
74,Depreciation and Amortization,- -,339756171615,383896459872,472128938730,482293178367,459615099370,336769179418,555378226704,608233898488,651715356840,853757285350,796033688600,798779283180,807825703620,854480032460,956734828350,996300502260,1213629961950,1379911587840,1483996431720,1495170000000,1414569000000,1175573000000,1067830000000,1105109000000,1250853000000,1409075000000,1625837000000,1610950000000,1734033000000,1792375000000,1605383000000,1644290000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21198046700,85593915400,50191688460,-142479294880,-72907449960,119161807650,84606726540,33309793350,132076578720,81064912920,-194990000000,25537000000,85710000000,6395000000,160008000000,-56279000000,-26887000000,32889000000,-53299000000,-237961000000,-86594000000,192147000000,649976000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,234844677150,-145196646624,-211784990235,-182403085865,13998129606,-193250455027,65877265359,486148934900,-260284210785,339287837350,-375256877600,201018973380,33626176870,126821211500,139178489250,50077745620,-167137479000,143858610720,-240801678600,154587000000,768168000000,487402000000,93916000000,292973000000,672963000000,194195000000,486320000000,131996000000,481424000000,-51789000000,-313740000000,-1063562000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421423000000,-585464000000,-168260000000,-121926000000,-69477000000,-25180000000,-264784000000,-105435000000,-246845000000,248895000000,5027000000
79,Inventory,- -,-3759341235,-66774191232,-17209496088,30569455455,-8052369914,-73336158728,-54738855999,-36205872300,-175239668835,-28343455700,-70797368200,-50191688460,11696061520,-37279537520,-52856549850,-191303422240,-249293789100,-133490422560,-149267127480,192379000000,56059000000,51808000000,-344923000000,50483000000,-110819000000,-171001000000,-68912000000,-246326000000,-171148000000,-166902000000,-114096000000,-242769000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-837402000000,649214000000,-406210000000,756363000000,-209284000000,65312000000,150058000000,120381000000,145957000000,46648000000,94887000000,-76410000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4406335550,- -,- -,- -,- -,29503754650,- -,23540490000,156229744320,46265829760,291893000000,-350147000000,183384000000,111160000000,364857000000,201855000000,79759000000,297293000000,290203000000,423736000000,159750000000,136806000000,-85038000000
82,Other Non-Cash Items,- -,35158211550,27749060064,19599703878,28222062715,21902839925,154456940337,35343029700,42469178756,36905870865,11909015000,90937113000,-283368653190,274591626140,401108948000,-109361973950,66913304640,65795669550,-64801176000,-66507130280,459075000000,140800000000,-132859000000,735000000,-68937000000,-44621000000,-63968000000,3117000000,-106519000000,-261470000000,229732000000,30670000000,-748803000000
83,Cash Provided by Operating Activities,- -,1051504485435,698537441472,517844807724,503921201476,621223604111,432500168898,916241269950,1522082493416,886432969020,1672382976450,1063810091400,1453541209020,1528728404580,2046481447340,2251980933550,2367487083080,2520480264300,3231929197920,2967394598400,1476905000000,2558530000000,2024009000000,1452435000000,2451316000000,3646035000000,3685753000000,4460857000000,3414237000000,4210009000000,3766597000000,3590643000000,2727162000000
84,CAPEX,- -,-526733933040,-859669464864,-959429406906,-756554010135,-329723875635,-288117446407,-476188420158,-663229690156,-1357824617115,-1710372734300,-1332614032200,-1222760329920,-1544677579380,-1580369255120,-1468306998200,-1920433289740,-2776718497950,-2830279727040,-2746834220320,- -,-1437601000000,-1691191000000,-1532082000000,-1974152000000,-2678691000000,-3357568000000,-4059216000000,-3541437000000,-3598707000000,-3738887000000,-3595131000000,-3767945000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1020000000,- -,-147000000,16216000000,6603000000,- -,- -,44274000000,-576000000,5010000000,-14763000000,- -
86,Purchases of Investments,- -,-123525560580,-421998000864,- -,-332614881291,-840330755145,-111343435147,-99688763772,- -,-430586238765,657734898450,-1167488675600,-966000838200,-680498124800,-1093375802960,-1318286139750,-1164119928160,-1038724121250,-1119057399360,-1224847958560,-636075000000,-2413202000000,-4422106000000,-3173634000000,-3412423000000,-4738278000000,-3194294000000,-2197477000000,-2517008000000,-3052916000000,-1840355000000,-2122213000000,-2729171000000
87,Sales/Maturities of Investments,- -,- -,318211277952,258494682468,69429475269,82177486604,510933916416,- -,244566025608,52304389650,-787066801350,953555264000,846827105550,749877035180,904854597400,1701313682450,573052403840,692325810900,823446216480,982750039040,1475877000000,1108741000000,3716156000000,2856825000000,2669091000000,3319327000000,2683001000000,3415815000000,1901541000000,2523538000000,2698798000000,2370406000000,2061918000000
88,Other Investing Activites,- -,-614401161840,-65809246272,93243263892,305310435738,247664516707,-310736916665,-1094434399692,-808065557432,-346752816270,-25723472400,202424986000,-378329310,-330812467310,-337757328860,-1196100979150,-545171860240,-259063092450,-681119269920,-867384597160,-2070022000000,-107102000000,280797000000,406380000000,-326044000000,-245209000000,55371000000,-341666000000,1142691000000,468569000000,178193000000,210840000000,-527424000000
89,Cash Used for Investing Activites,- -,-1264660655460,-1029265434048,-607691460546,-714428980419,-840212627469,-199263881803,-1670311583622,-1226729221980,-2082859282500,-1865428109600,-1344122457800,-1342312391880,-1806111136310,-2106647789540,-2281380434650,-3056672674300,-3382179900750,-3807010179840,-3856316737000,-1230220000000,-2850184000000,-2116344000000,-1442658000000,-3027312000000,-4336248000000,-3813490000000,-3182544000000,-2969939000000,-3660092000000,-2697241000000,-3150861000000,-4684175000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2704078000000,-2938202000000,-2489632000000,-2867572000000,-2682136000000,-2988923000000,-3462237000000,-4176202000000,-3845554000000,-4452338000000,-4442232000000,-4424923000000,-5416376000000
91,Common Stock Issued,- -,9268983045,- -,12580041,682877888,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9212000000,- -,474917000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-113492912950,-44492395400,-269748798030,-284426950600,-446174718040,-352585506100,-263685602740,-129943504800,-295139901600,-310200423240,-70587000000,-10251000000,-28617000000,-37448000000,-43098000000,- -,-347784000000,-778173000000,-703986000000,-447818000000,-549637000000,-476129000000,- -
93,Dividends Paid,- -,-55948738380,-61081015968,-67290639309,-70443122134,-70660038194,-37964076514,-88775264601,-71384364292,-88092304095,-86221268600,-85182900200,-90168485550,-98353244600,-108771308840,-135842375650,-165031371540,-245056500900,-338497779360,-428756612000,-439991000000,-172476000000,-141120000000,-156785000000,-190008000000,-396030000000,-554933000000,-705953000000,-638172000000,-626892000000,-644806000000,-629987000000,-625514000000
94,Other Financing Activites,- -,395811450030,272128263648,429734200560,-129586749215,188492395004,325165684935,401625337500,477385257092,762299879385,527688454650,662350994800,190299642930,773933707170,591871644740,727377018350,847461292580,1253648794950,1513637651040,1441719035560,3913497000000,2842947000000,3093696000000,2706458000000,3392484000000,4295221000000,4670999000000,4761840000000,4812547000000,5077913000000,5095836000000,5928177000000,8781064000000
95,Cash Used/Provided by Financing Activities,- -,349131694695,211047247680,362456141292,-199346993461,117832356810,287201608421,312850072899,406000892800,674207575290,327974273100,532675699200,-169617640650,391153511970,36925617860,238949136600,418744318300,878648789250,879999970080,702762000320,698841000000,-277982000000,434327000000,-355347000000,477242000000,919480000000,306045000000,-423571000000,-375165000000,-449135000000,-540839000000,397138000000,2739174000000
96,Effect of Forex Changes on Cash,- -,9451623105,-13660863648,-9070209561,-26909656774,-8121277725,-4855669322,9049957605,14358568160,4698078765,-28700726150,-63399094600,39724577550,32164169180,-40700760900,-73603006300,24770790660,68855933250,25449189120,-84355370640,-129793000000,-8898000000,-127029000000,-55939000000,137851000000,93606000000,65079000000,-199871000000,-13486000000,-43588000000,-41641000000,-131245000000,220245000000
97,Net Change In Cash,- -,349131694695,211047247680,362456141292,-199346993461,117832356810,287201608421,312850072899,406000892800,674207575290,106228413800,188964238200,-18664245960,145934949420,-63941485240,135946629200,-245670482260,85805086050,330368177280,-270515508920,815733000000,-578534000000,214963000000,-401509000000,39097000000,322873000000,243387000000,654871000000,55647000000,57194000000,486876000000,705675000000,1002407000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317851599900,1480373996600,1537782535380,1652866148440,1562555298900,1706317852850,1481529193760,1572504732000,1896671511360,1620799704200,2444280000000,1865746000000,2080709000000,1679200000000,1718297000000,2041170000000,2284557000000,2939428000000,2995075000000,3052269000000,3706515000000,4412190000000,5100857000000
99,Cash at the Beginning of Period,- -,1218254860215,1364321894016,1229459986971,1487062630823,1053374018811,963323321576,1465643311632,1021055111164,1754206713030,1211623186100,1291409758400,1556446781340,1506931199020,1626496784140,1570371223650,1727199676020,1486699645950,1566303334080,1891315213120,1628547000000,2444280000000,1865746000000,2080709000000,1679200000000,1718297000000,2041170000000,2284557000000,2939428000000,2995075000000,3219639000000,3706515000000,4098450000000
100,Free Cash Flow,- -,524770552395,-161132023392,-441584599182,-252632808659,291499728476,144382722491,440052849792,858852803260,-471391648095,-37989757850,-268803940800,230780879100,-15949174800,466112192220,783673935350,447053793340,-256238233650,401649470880,220560378080,1476905000000,1120929000000,332818000000,-79647000000,477164000000,967344000000,328185000000,401641000000,-127200000000,611302000000,27710000000,-4488000000,-1040783000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094517/999999999702047625/9999999997-02-047625-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312503027032/0001193125-03-027032-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312504113310/0001193125-04-113310-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312505130486/0001193125-05-130486-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312506135772/0001193125-06-135772-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312507141459/0001193125-07-141459-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312508140299/0001193125-08-140299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312509136292/0001193125-09-136292-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312510146673/0001193125-10-146673-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000094787111000488/0000947871-11-000488-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312512220104/0001193125-12-220104-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312513205853/0001193125-13-205853-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312514188542/0001193125-14-188542-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312515178184/0001193125-15-178184-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312516586299/0001193125-16-586299-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312517164880/0001193125-17-164880-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312518156689/0001193125-18-156689-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312519140376/0001193125-19-140376-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312520177015/0001193125-20-177015-index.htm,https://www.sec.gov/Archives/edgar/data/1094517/000119312521197902/0001193125-21-197902-index.htm
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
