,https://roic.ai/company/SAM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,1500000,1400000,1400000,1400000,1400000,1377000,1400000,1400000,1400000,1400000,1400000,1377000,2500000,3700000,3683000,3683000,3683000,3683000,3683000,216801000,216459000,216206000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,800000,1100000,400000,1800000,3600000,2400000,2200000,2100000,- -,1500000,1200000,9600000,13400000,17100000,- -,20500000,32400000,50717000,56001000,- -,34819000,49169000,75010000,- -,- -
44,Other Non-Current Assets,5200000,4300000,1900000,3900000,3900000,-100000,-1900000,-700000,-1100000,-1000000,1963000,300000,11300000,-8000000,-11900000,-14900000,1802000,-15700000,-22900000,-38270000,-47813000,9965000,-21506000,-34361000,-51228000,67627000,107648000
45,Total Non-Current Assets,11400000,18900000,31500000,33200000,30400000,30200000,27000000,23300000,19600000,19700000,29865000,33900000,60100000,150900000,149900000,146500000,146765000,197200000,279800000,397699000,421797000,422059000,401276000,408280000,835409000,965652000,1041443000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,76700000,96600000,105400000,122700000,112700000,98600000,107500000,106800000,87400000,107500000,119054000,154500000,195900000,219800000,262900000,258500000,272488000,359500000,444100000,605161000,645400000,623297000,569624000,639851000,1054057000,1378825000,1386784000
48,Accounts Payable,8600000,17800000,9600000,13200000,10700000,6500000,11200000,9000000,6400000,9700000,11378000,17900000,17700000,20200000,25300000,19400000,18806000,28300000,34400000,35576000,42718000,40585000,38141000,47102000,76374000,121647000,85920000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000,55000,58000,60000,- -,- -,5168000,8232000,7634000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10133000,7340000
51,Deferred Revenue,- -,- -,- -,- -,- -,2415000,2291000,1959000,1177000,1474000,- -,667000,2090000,2734000,4425000,3648000,2316000,5411000,5712000,8685000,6983000,5381000,34819000,49169000,75010000,13522000,8049000
52,Other Current Liabilities,11400000,12100000,13700000,24200000,12800000,11485000,10909000,13941000,14323000,15026000,17361000,22333000,38310000,44166000,44075000,49152000,45927000,55189000,64235000,65854000,61401000,55493000,28798000,24243000,24097000,116022000,153503000
53,Total Current Liabilities,20000000,29900000,23300000,37400000,23500000,20400000,24400000,24900000,21900000,26200000,28739000,40900000,58100000,67100000,73800000,72200000,67049000,88900000,104400000,110170000,111160000,101519000,101758000,120514000,180649000,259423000,255106000
54,Long-Term Debt,1900000,1800000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,528000,471000,411000,- -,- -,2042000,59171000,53849000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1833000,3583000,- -,- -,- -,2390000,- -,- -,- -,- -,- -,17349000,20463000,32394000,50717000,56001000,64612000,34819000,49169000,75010000,92665000,87495000
57,Other Non-Current Liabilities,- -,- -,800000,3300000,5800000,2667000,1317000,3100000,2900000,2900000,1946000,5000000,4200000,12600000,16000000,20700000,3345000,4437000,4606000,7606000,16547000,10173000,9524000,9851000,60720000,10599000,6925000
58,Total Non-Current Liabilities,1900000,1800000,10800000,3300000,5800000,4500000,4900000,3100000,2900000,2900000,4336000,5000000,4200000,12600000,16000000,20700000,20694000,25500000,37600000,58851000,73019000,75196000,44343000,59020000,137772000,162435000,148269000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59108000,67403000,61483000
61,Total Liabilities,21900000,31700000,34100000,40700000,29300000,24900000,29300000,28000000,24800000,29100000,33075000,45900000,62300000,79700000,89800000,92900000,87743000,114400000,142000000,169021000,184179000,176715000,146101000,179534000,318421000,421858000,403375000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,200000,200000,200000,200000,200000,200000,200000,100000,139000,100000,100000,100000,100000,100000,128000,100000,100000,131000,128000,124000,116000,115000,121000,122000,123000
64,Retained Earnings,1600000,10000000,17600000,25500000,36600000,47800000,55600000,64200000,74800000,12600000,15581000,28500000,44900000,37700000,61700000,43900000,47119000,88500000,129300000,212233000,171948000,97648000,52105000,55688000,165400000,357360000,371858000
65,Other Comprehensive Income/Loss,-3500000,-800000,-2900000,-15500000,-20900000,-400000,-400000,400000,-400000,-1000000,-43712000,-400000,-400000,-800000,-800000,-800000,-1000000,-1000000,-800000,-1000000,-1000000,-1000000,-1000000,-1000000,-2000000,-252000,-194000
66,Other Total Stockholders Equity,56700000,55400000,56400000,71800000,67600000,26100000,22800000,14032000,-12076000,66670000,113971000,80389000,88988000,103028000,112155000,122388000,138498000,157491000,173485000,224776000,290145000,349810000,372302000,405514000,572115000,599737000,- -
67,Total Stockholders Equity,54800000,64800000,71300000,82000000,83500000,73700000,78200000,78832000,62524000,78370000,85979000,108589000,133588000,140028000,173155000,165588000,184745000,245091000,302085000,436140000,461221000,446582000,423523000,460317000,735636000,956967000,983409000
68,Total Liabilities And Stockholders Equity,76700000,96500000,105400000,122700000,112800000,98600000,107500000,106832000,87324000,107470000,119054000,154489000,195888000,219728000,262955000,258488000,272488000,359491000,444085000,605161000,645400000,623297000,569624000,639851000,1054057000,1378825000,1386784000
69,Minority Interest,- -,100000,- -,- -,-100000,- -,- -,-32000,76000,30000,- -,11000,12000,72000,-55000,12000,- -,9000,15000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,76700000,96600000,105400000,122700000,112700000,98600000,107500000,106800000,87400000,107500000,119054000,154500000,195900000,219800000,262900000,258500000,272488000,359500000,444100000,605161000,645400000,623297000,569624000,639851000,1054057000,1378825000,1386784000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949870/000095013502001690/0000950135-02-001690-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013503002013/0000950135-03-002013-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013504001217/0000950135-04-001217-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013505001351/0000950135-05-001351-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013506001623/0000950135-06-001623-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013507001653/0000950135-07-001653-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013508001751/0000950135-08-001751-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095013509001646/0000950135-09-001646-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095012310022578/0000950123-10-022578-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095012311023155/0000950123-11-023155-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312512072823/0001193125-12-072823-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312513067288/0001193125-13-067288-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312514067410/0001193125-14-067410-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312515060122/0001193125-15-060122-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312516468386/0001193125-16-468386-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312517052150/0001193125-17-052150-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312518052024/0001193125-18-052024-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312519045425/0001193125-19-045425-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312520041944/0001193125-20-041944-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000156459021006397/0001564590-21-006397-index.htm,https://www.sec.gov/Archives/edgar/data/949870/000095017022001616/0000950170-22-001616-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12600000,8400000,7600000,7900000,11100000,11200000,7800000,8600000,10600000,12500000,15559000,18200000,22500000,8100000,31100000,50100000,66059000,59500000,70400000,90743000,98414000,87349000,99049000,92663000,110041000,191960000,14553000
74,Depreciation and Amortization,1600000,3000000,4500000,5200000,5900000,6442000,6658000,6151000,7106000,5025000,4521000,4991000,6654000,12503000,16919000,17427000,18792000,20208000,25903000,35138000,42885000,49557000,51256000,51968000,56271000,65657000,72096000
75,Deferred Income Tax,- -,-300000,1600000,-1900000,1100000,1742000,1874000,-763000,1427000,-449000,952000,-731000,-1702000,7758000,2131000,4425000,-453000,2066000,11630000,15350000,6986000,8243000,-22442000,14350000,7404000,17655000,-5225000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4106000,3124000,6178000,6528000,7318000,6857000,6665000,6148000,6316000,10035000,12337000,15282000,18615000
77,Change in Working Capital,-11900000,2500000,2800000,1500000,6700000,-10800000,8100000,2500000,-12700000,15700000,-1150000,19250000,-2000000,-75900000,37400000,600000,18874000,14726000,-13500000,37392000,15151000,-12724000,-33129000,44467000,-73058000,115751000,-69860000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000,-2146000,-3161000,-8305000,-10542000,5157000,-2289000,2534000,2945000,-1636000,-12260000,-24014000,23071000
79,Inventory,-1500000,-3700000,300000,-2200000,200000,-83000,6416000,981000,-1548000,-2671000,-1088000,-3385000,-1056000,-4618000,-2850000,-1056000,-7458000,-10289000,-12036000,5090000,-5155000,445000,-1741000,-21312000,-24932000,-24463000,-21224000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5052000,-5832000,-617000,8002000,3173000,884000,5985000,-1811000,245000,6352000,21417000,40771000,-27361000
81,Other Working Capital,45300000,47800000,50600000,52100000,58800000,48000000,56100000,58600000,45900000,61600000,60450000,79700000,77700000,1800000,39200000,39800000,58674000,73400000,59900000,97292000,112443000,99719000,66590000,111057000,37999000,153750000,- -
82,Other Non-Cash Items,100000,2200000,-9500000,9700000,-11000000,8752000,-5154000,-2668000,13208000,-13503000,8959000,-12733000,28342000,87381000,-26091000,-7846000,-36690000,-7698000,-1769000,-44269000,-1418000,15616000,34932000,-50036000,65247000,-152898000,26118000
83,Cash Provided by Operating Activities,2400000,15800000,7000000,22400000,13800000,17336000,19278000,13820000,19641000,19273000,28841000,28977000,53794000,39842000,65565000,67830000,72760000,95330000,99982000,141211000,168683000,154189000,135982000,163447000,178242000,253407000,56297000
84,CAPEX,-4300000,-11400000,-15300000,-5200000,-3800000,-5602000,-3271000,-2336000,-1729000,-4559000,-13973000,-9056000,-25607000,-59539000,-16997000,-13608000,-19599000,-66010000,-100655000,-151784000,-74187000,-49913000,-32987000,-55510000,-93233000,-139996000,-147919000
85,Acquisitions Net,- -,- -,- -,- -,- -,-897000,- -,- -,- -,- -,- -,- -,- -,-44960000,- -,- -,- -,-1726000,-2753000,-100000,-100000,- -,- -,- -,-165517000,- -,- -
86,Purchases of Investments,- -,-5500000,-2300000,-11500000,-46500000,-38047000,-10000000,-45486000,-3778000,-30255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,600000,2600000,1200000,2900000,52700000,48640000,10238000,17343000,20470000,20983000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-500000,1300000,-4300000,- -,300000,565000,46000,212000,32000,4000,129000,42000,-11502000,11000,8000,20000,- -,413000,80000,53000,57000,3895000,58000,116000,-79000,879000,1302000
89,Cash Used for Investing Activites,-4200000,-13000000,-20700000,-13800000,2700000,4659000,-2987000,-30267000,14995000,-13827000,-13844000,-9014000,-37109000,-104488000,-16989000,-13588000,-19599000,-67323000,-103328000,-151831000,-74230000,-46018000,-32929000,-55344000,-258829000,-139117000,-146617000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-787000,-53000,-54000,-58000,-60000,-78000,-97378000,-101260000,-1570000
91,Common Stock Issued,49700000,600000,600000,100000,100000,- -,533000,1014000,2376000,2556000,2952000,4500000,3448000,5274000,- -,- -,- -,803000,956000,785000,1408000,736000,796000,906000,1173000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-21198000,-4069000,-9877000,-29828000,- -,-12537000,-5288000,-6084000,-15324000,-7080000,-67981000,-62824000,-18046000,-29585000,-7859000,-135705000,-164658000,-144602000,-88312000,- -,- -,- -
93,Dividends Paid,-19100000,- -,- -,- -,-9800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-200000,8100000,- -,-10100000,113000,- -,80000,- -,- -,310000,2456000,2093000,4481000,4911000,7227000,10144000,14249000,7823000,44625000,57689000,52651000,15415000,22143000,105063000,113582000,-5071000
95,Cash Used/Provided by Financing Activities,30600000,400000,8700000,100000,-19800000,-21085000,-3536000,-8783000,-27452000,2556000,-9275000,1668000,-543000,-5569000,-2169000,-60754000,-52680000,-2994000,-21593000,37498000,-76662000,-111329000,-128451000,-65341000,8858000,12322000,-6641000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,30600000,400000,8700000,100000,-3400000,910000,12755000,-25230000,7184000,8002000,5722000,21631000,16142000,-70215000,46407000,-6512000,481000,25013000,-24939000,26878000,17791000,-3158000,-25398000,42762000,-71729000,126612000,-96961000
98,Cash at the End of Period,- -,- -,- -,- -,5300000,6256000,47869000,20608000,27792000,35794000,41516000,63147000,79289000,9074000,55481000,48969000,49450000,74463000,49524000,76402000,94193000,91035000,65637000,108399000,36670000,163282000,66321000
99,Cash at the Beginning of Period,7800000,1900000,5100000,- -,8700000,5346000,35114000,45838000,20608000,27792000,35794000,41516000,63147000,79289000,9074000,55481000,48969000,49450000,74463000,49524000,76402000,94193000,91035000,65637000,108399000,36670000,163282000
100,Free Cash Flow,-1900000,4400000,-8300000,17200000,10000000,11734000,16007000,11484000,17912000,14714000,14868000,19921000,28187000,-19697000,48568000,54222000,53161000,29320000,-673000,-10573000,94496000,104276000,102995000,107937000,85009000,113411000,-91622000
