,https://roic.ai/company/AMKR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90917000,227587000,98045000,93517000,200057000,311249000,313259000,372284000,206575000,244694000,410070000,424316000,395406000,404998000,434631000,413048000,610442000,449946000,523172000,549518000,596364000,681569000,894948000,698002000,826744000
32,Short-Term Investments,2524000,1000000,136595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133769000,251530000
33,Cash and Short-Term Investments,93441000,228587000,234640000,93517000,200057000,311249000,313259000,372284000,206575000,244694000,410070000,424316000,395406000,404998000,434631000,413048000,610442000,449946000,523172000,549518000,596364000,681569000,894948000,831771000,1078274000
34,Net Receivables,122114000,141133000,170028000,310014000,221243000,265613000,322464000,269495000,386584000,386857000,398431000,273813000,346918000,410297000,325740000,402797000,385542000,469683000,526143000,563107000,692287000,724456000,850753000,962643000,1258767000
35,Inventory,115870000,85628000,91465000,108613000,73784000,72121000,92439000,111616000,138109000,164178000,149014000,134045000,155185000,191072000,198427000,227439000,200423000,223379000,238205000,267990000,326492000,230589000,220602000,297293000,484959000
36,Other Current Assets,26997000,16687000,11117000,36873000,37106000,48661000,49606000,32591000,35222000,42128000,29899000,28742000,35416000,55700000,38032000,48124000,36009000,54940000,29960000,29081000,35727000,34594000,35230000,41225000,34563000
37,Total Current Assets,358422000,472035000,507250000,549017000,532190000,697644000,777768000,785986000,766490000,837857000,987414000,860916000,932925000,1062067000,996830000,1091408000,1232416000,1197948000,1317480000,1409696000,1650870000,1671208000,2001533000,2132932000,2856563000
38,PP&E,427061000,416111000,859768000,1478510000,1392274000,968943000,1007648000,1380396000,1419472000,1443603000,1455111000,1473763000,1364630000,1537226000,1656214000,1819969000,1979708000,2206476000,2579017000,2564648000,2695065000,2650448000,2404850000,2713238000,3030800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,671900000,673385000,- -,- -,- -,- -,- -,- -,- -,19443000,24122000,25036000,25720000,25976000,27325000,24516000
40,Intangible Assets,- -,- -,233532000,737593000,696180000,673132000,667580000,700600000,692108000,29694000,20321000,11546000,9975000,13524000,8382000,24711000,30034000,26845000,26845000,26845000,26845000,26845000,- -,- -,- -
41,Intangible Assets,- -,- -,233532000,737593000,696180000,673132000,667580000,700600000,692108000,701594000,693706000,11546000,9975000,13524000,8382000,24711000,30034000,26845000,46288000,50967000,51881000,52565000,25976000,27325000,24516000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19108000,28215000,36707000,38690000,105214000,117733000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,70109000,115451000,154539000,628164000,602674000,218265000,118878000,98386000,77021000,58210000,56375000,37768000,106271000,95790000,74914000,50437000,79926000,86403000,88515000,66775000,123693000,121226000,263256000,148816000,126675000
45,Total Non-Current Assets,497170000,531562000,1247839000,2844267000,2691128000,1860340000,1794106000,2179382000,2188601000,2203407000,2205192000,1523077000,1499984000,1674755000,1776217000,1933807000,2194882000,2437457000,2713820000,2682390000,2870639000,2824239000,2694082000,2889379000,3181991000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,855592000,1003597000,1755089000,3393284000,3223318000,2557984000,2571874000,2965368000,2955091000,3041264000,3192606000,2383993000,2432909000,2736822000,2773047000,3025215000,3427298000,3635405000,4031300000,4092086000,4521509000,4495447000,4695615000,5022311000,6038554000
48,Accounts Payable,113037000,96948000,122147000,133047000,148923000,180999000,227239000,211706000,326712000,291847000,359313000,241684000,361263000,443333000,424504000,439663000,365334000,309025000,434222000,487430000,569085000,530398000,571054000,636434000,828727000
49,Short-Term Debt,197082000,52086000,22674000,99317000,59931000,75656000,31355000,52249000,184389000,185414000,152489000,54609000,88944000,150081000,59395000,- -,61350000,5000000,76770000,35192000,123848000,114579000,194572000,211389000,248160000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2947000,10422000,4446000,8341000,17528000,31580000,21448000,37961000,56664000,38567000,11661000,26602000,38957000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49136000,34164000,- -,52773000,44764000,56829000,49243000,65653000,63196000,16736000,16177000,30269000,117741000
52,Other Current Liabilities,86522000,131618000,168077000,214067000,162480000,254466000,181257000,175075000,123631000,145501000,165271000,258449000,106494000,144630000,158287000,160191000,219488000,329736000,457949000,417386000,605660000,496710000,278000000,437895000,485107000
53,Total Current Liabilities,396641000,280652000,312898000,446431000,371334000,511121000,439851000,439030000,634732000,622762000,677073000,554742000,605837000,772208000,642186000,652627000,690936000,700590000,1018184000,1005661000,1361789000,1158423000,1059803000,1315987000,1679735000
54,Long-Term Debt,196934000,221846000,687456000,1585536000,1771453000,1737690000,1650707000,2040813000,1956247000,1819901000,1611570000,1438751000,1345241000,1214219000,1287256000,1545000000,1591390000,1525824000,1519107000,1439638000,1240581000,1217732000,1305755000,1089759000,1068925000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,161860000,10738000,16994000,46483000,64077000,67661000,78974000,109317000,135861000,200078000,242322000,147337000,92130000,113714000,142384000,160794000,180032000,278055000,268876000,243383000,228360000,263392000,339818000,262606000,317348000
58,Total Non-Current Liabilities,358794000,232584000,704450000,1632019000,1835530000,1805351000,1729681000,2150130000,2092108000,2019979000,1853892000,1586088000,1437371000,1327933000,1429640000,1705794000,1771422000,1803879000,1787983000,1683021000,1468941000,1481124000,1645573000,1352365000,1386273000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141200000,146802000,179089000
61,Total Liabilities,755435000,513236000,1017348000,2078450000,2206864000,2316472000,2169532000,2589160000,2726840000,2642741000,2530965000,2140830000,2043208000,2100141000,2071826000,2358421000,2462358000,2504469000,2806167000,2688682000,2830730000,2639547000,2705376000,2668352000,3066008000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,46000,118000,131000,152000,162000,166000,175000,176000,178000,178000,182000,183000,183000,183000,197000,198000,262000,282000,283000,284000,285000,285000,287000,289000,290000
64,Retained Earnings,70621000,109738000,189733000,343886000,-106975000,-933734000,-931536000,-969072000,-1105961000,-1041390000,-821526000,-1278221000,-1122241000,-890270000,-798462000,-756644000,-647348000,-516962000,-460150000,-303557000,-42851000,113189000,234077000,562502000,1163939000
65,Other Comprehensive Income/Loss,-197859000,-311585000,-464974000,-704541000,-1034488000,-5292000,15201000,14846000,3658000,-6062000,-6223000,18201000,5021000,15457000,10849000,11241000,-255000,-32867000,-2084000,6262000,22519000,23812000,19115000,27270000,19978000
66,Other Total Stockholders Equity,227349000,692090000,1012851000,1675337000,2157755000,1170227000,1317164000,1323579000,1326426000,1441194000,1482186000,1496976000,1500246000,1504643000,1480682000,1403160000,1601081000,1665782000,1669834000,1680599000,1687375000,1693254000,1710260000,1735638000,1758069000
67,Total Stockholders Equity,100157000,490361000,737741000,1314834000,1016454000,231367000,401004000,369529000,224301000,393920000,654619000,237139000,383209000,630013000,693266000,657955000,953740000,1116235000,1207883000,1383588000,1667328000,1830540000,1963739000,2325699000,2942276000
68,Total Liabilities And Stockholders Equity,855592000,1003597000,1755089000,3393284000,3223318000,2547839000,2570536000,2958689000,2951141000,3036661000,3185584000,2377969000,2426417000,2730154000,2765092000,3016376000,3416098000,3620704000,4014050000,4072270000,4498058000,4470087000,4669115000,4994051000,6008284000
69,Minority Interest,- -,- -,- -,- -,- -,10145000,1338000,6679000,3950000,4603000,7022000,6024000,6492000,6668000,7955000,8839000,11200000,14701000,17250000,19816000,23451000,25360000,26500000,28260000,30270000
70,Total Liabilities & Equity,855592000,1003597000,1755089000,3393284000,3223318000,2557984000,2571874000,2965368000,2955091000,3041264000,3192606000,2383993000,2432909000,2736822000,2773047000,3025215000,3427298000,3635405000,4031300000,4092086000,4521509000,4495447000,4695615000,5022311000,6038554000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047127/000089322003000476/0000893220-03-000476-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000089322004000331/0000893220-04-000331-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000089322005000695/0000893220-05-000695-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095015306000688/p72010e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015307000403/p73489e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015308000393/p75028e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015309000153/0000950153-09-000153-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095012310016426/0000950123-10-016426-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095012311017901/p18139e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000144530512000428/0001445305-12-000428-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712713000007/0001047127-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712714000006/amkr12311310k.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712715000010/amkr12311410k.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712716000049/0001047127-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712717000011/0001047127-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712718000009/0001047127-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712719000007/0001047127-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712720000006/0001047127-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000010/0001047127-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000006/0001047127-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,43281000,75460000,76719000,154153000,-450861000,-826759000,2198000,-37536000,-136889000,170084000,219864000,-456695000,155980000,231971000,91808000,41818000,109296000,130386000,56812000,164190000,260706000,127092000,120888000,338138000,642995000
74,Depreciation and Amortization,81864000,119239000,180332000,332909000,465083000,333596000,238275000,242740000,257321000,285765000,288829000,309920000,305510000,323608000,335644000,370479000,410346000,464706000,494200000,555186000,581940000,571961000,524177000,510396000,563582000
75,Deferred Income Tax,-11715000,1250000,9418000,-8255000,-85022000,72719000,7895000,-3603000,25118000,-32000,-7532000,8811000,-30599000,4736000,-2239000,6078000,-8256000,-17190000,-697000,-1746000,-42998000,-13110000,25931000,3143000,10676000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4588000,2577000,3515000,5010000,2720000,2971000,3700000,3852000,3251000,5145000,5018000,6911000,8030000,10970000
77,Change in Working Capital,110578000,2969000,-91766000,58270000,25667000,151394000,9039000,-215198000,83337000,95246000,-4167000,20914000,-37229000,64785000,84137000,102699000,-44122000,-198062000,104739000,-114954000,223704000,428945000,-124785000,19194000,-124354000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144942000,-68912000,-58225000,95882000,-96107000,-992000,-80775000,122840000,-29126000,-118353000,80571000,-124140000,-106693000,-298854000
79,Inventory,-26609000,23042000,-12063000,-23871000,31372000,218000,-23825000,-32084000,-38499000,-32250000,15516000,16696000,-20991000,-34882000,-6912000,-29882000,38248000,-27817000,27677000,-28397000,-54195000,-16310000,10208000,-75499000,-190555000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81598000,96854000,18379000,-7539000,17142000,-67198000,55693000,-48368000,48581000,67574000,-43490000,38670000,48786000,215646000
81,Other Working Capital,191383000,194352000,102586000,160856000,186523000,337917000,346956000,131758000,215095000,310341000,306174000,327088000,289859000,354644000,438781000,541480000,497358000,299296000,404035000,289081000,512785000,941730000,816945000,836139000,-30013000
82,Other Non-Cash Items,26045000,39042000,118594000,-163252000,205599000,445527000,-81061000,230211000,-131775000,-27433000,106436000,718280000,-134514000,-86020000,2472000,-134731000,87301000,230369000,-80961000,123475000,-410230000,-456496000,10728000,-108868000,17426000
83,Cash Provided by Operating Activities,250053000,237960000,293297000,373825000,160466000,176477000,176346000,216614000,97112000,523630000,603430000,605818000,261725000,542595000,516832000,389063000,557536000,613909000,577945000,729402000,618267000,663410000,563850000,770033000,1121295000
84,CAPEX,-178990000,-107889000,-242390000,-480074000,-158700000,-95104000,-230504000,-405726000,-295943000,-315873000,-236240000,-386239000,-218177000,-445669000,-466694000,-533512000,-566256000,-681120000,-537975000,-650038000,-550943000,-547122000,-472433000,-553021000,-779779000
85,Acquisitions Net,- -,-36994000,-577109000,-944892000,-11057000,-18459000,-2505000,-63613000,-19250000,- -,- -,- -,-16735000,13384000,10794000,15484000,-100394000,-15774000,18024000,- -,-43771000,- -,- -,- -,- -
86,Purchases of Investments,-15187000,-20571000,-135595000,- -,- -,-2011000,-13765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,- -,- -,- -,- -,-15593000,-549399000,-484043000
87,Sales/Maturities of Investments,- -,2021000,- -,136879000,- -,- -,56595000,49409000,- -,- -,- -,2460000,- -,- -,- -,- -,- -,20000000,- -,- -,- -,- -,13550000,455322000,308560000
88,Other Investing Activites,1413000,121000,-41638000,-456177000,1542000,61009000,23083000,26236000,8183000,1076000,4941000,12399000,-5966000,-12636000,25366000,-2093000,26156000,2416000,5589000,60611000,139882000,9739000,11987000,8393000,11383000
89,Cash Used for Investing Activites,-192764000,-163312000,-996732000,-1744264000,-168215000,-54565000,-167096000,-393694000,-307010000,-314797000,-231299000,-371380000,-240878000,-444921000,-430534000,-520121000,-640494000,-694478000,-514362000,-589427000,-454832000,-537383000,-462489000,-638705000,-943879000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234447000,-348275000,-720173000,-398758000,-470116000,-96619000,-145000000,-680000000,-339121000,-498682000,-661299000,-1194836000,-1077718000,-356935000
91,Common Stock Issued,- -,360263000,3875000,419623000,11698000,11488000,146946000,6416000,2849000,4976000,37050000,10203000,693000,1048000,821000,182000,446000,6250000,931000,8247000,3124000,1050000,11405000,17611000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128368000,-80946000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5000000,-33100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51213000
94,Other Financing Activites,-11036000,-265141000,570018000,946288000,102988000,-23541000,-155674000,228759000,44834000,-174207000,-245500000,619000,297931000,629268000,467428000,660912000,376318000,58755000,688712000,218695000,370672000,619626000,1291681000,726388000,378046000
95,Cash Used/Provided by Financing Activities,-16036000,62022000,573893000,1365911000,114686000,-12053000,-8728000,235175000,47683000,-169231000,-208450000,-223625000,-49651000,-89857000,-58877000,110032000,280145000,-79995000,9643000,-112179000,-124886000,-40623000,108250000,-333719000,-30102000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-397000,1333000,1488000,819000,-3494000,-1483000,1695000,3433000,-106000,1775000,2212000,-557000,207000,68000,- -,351000,8807000,-204000,870000,6056000,-17990000
97,Net Change In Cash,41253000,136670000,-129542000,-4528000,106540000,111192000,2010000,58914000,-165709000,38119000,165376000,14246000,-28910000,9592000,29633000,-21583000,197394000,-160496000,73226000,28147000,47356000,85200000,210481000,-196335000,129324000
98,Cash at the End of Period,90917000,227587000,98045000,93517000,200057000,311249000,313259000,372284000,206575000,244694000,410070000,424316000,395406000,404998000,434631000,413048000,610442000,449946000,523172000,555495000,602851000,688051000,898532000,702197000,831521000
99,Cash at the Beginning of Period,49664000,90917000,227587000,98045000,93517000,200057000,311249000,313370000,372284000,206575000,244694000,410070000,424316000,395406000,404998000,434631000,413048000,610442000,449946000,527348000,555495000,602851000,688051000,898532000,702197000
100,Free Cash Flow,71063000,130071000,50907000,-106249000,1766000,81373000,-54158000,-189112000,-198831000,207757000,367190000,219579000,43548000,96926000,50138000,-144449000,-8720000,-67211000,39970000,79364000,67324000,116288000,91417000,217012000,341516000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047127/000089322003000476/0000893220-03-000476-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000089322004000331/0000893220-04-000331-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000089322005000695/0000893220-05-000695-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095015306000688/p72010e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015307000403/p73489e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015308000393/p75028e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000095015309000153/0000950153-09-000153-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095012310016426/0000950123-10-016426-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000095012311017901/p18139e10vk.htm,https://www.sec.gov/Archives/edgar/data/1047127/000144530512000428/0001445305-12-000428-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712713000007/0001047127-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712714000006/amkr12311310k.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712715000010/amkr12311410k.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712716000049/0001047127-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712717000011/0001047127-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712718000009/0001047127-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712719000007/0001047127-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712720000006/0001047127-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000010/0001047127-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000006/0001047127-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
