,https://roic.ai/company/ARLP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,12600000,25790000,14305000,8409000,35936000,49105000,78278000,162111000,183336000,180294000,151659000,221606000,351769000,412922000,374479000,443518000,544208000,361429000,365942000,328612000,372287000,259498000,-82852000,219203000
18,Operating Income ratio,0.0312,0.0744,0.0394,0.0188,0.0694,0.0905,0.1198,0.1933,0.1895,0.1745,0.1311,0.1800,0.2185,0.2240,0.1841,0.2011,0.2365,0.1590,0.1895,0.1829,0.1859,0.1323,-0.0624,0.1396
19,Total Other Income Expenses (Gains),-100000,-4815000,- -,752000,528000,1374000,984000,581000,-8239000,-8567000,-17543000,-28551000,-29011000,-24000000,-39990000,-48632000,-46995000,-55237000,-26391000,-24201000,-4795000,147217000,-46164000,-40031000
20,Income Before Tax,12500000,20975000,14305000,- -,36464000,50479000,79262000,162692000,175097000,171727000,134116000,193055000,322758000,388922000,334489000,394886000,497213000,306192000,339551000,304411000,367492000,406715000,-129016000,179172000
21,Income Before Tax Ratio,0.0310,0.0605,0.0394,- -,0.0704,0.0930,0.1213,0.1940,0.1810,0.1662,0.1160,0.1568,0.2005,0.2110,0.1644,0.1790,0.2161,0.1347,0.1758,0.1695,0.1835,0.2073,-0.0971,0.1141
22,Income Tax expense (Gain),- -,4498000,- -,- -,175000,2577000,2641000,2682000,2443000,1669000,-480000,708000,1741000,-431000,-1082000,1396000,- -,21000,13000,210000,22000,-211000,35000,417000
23,Net Income,8700000,16477000,15581000,17100000,36289000,47902000,76621000,160010000,172927000,170390000,134176000,192157000,321017000,389353000,228734000,393490000,497229000,306198000,339398000,303638000,366604000,399414000,-129220000,178157000
24,Net Income ratio,0.0216,0.0475,0.0429,0.0383,0.0701,0.0883,0.1173,0.1908,0.1787,0.1649,0.1160,0.1561,0.1994,0.2112,0.1124,0.1784,0.2161,0.1347,0.1757,0.1690,0.1830,0.2036,-0.0973,0.1135
25,EPS,0.14,0.10,0.25,0.27,0.58,0.68,1.02,1.45,1.53,1.53,1.21,1.50,3.34,4.07,3.06,3.63,4.77,2.11,3.39,2.80,2.74,3.07,-1.02,1.40
26,EPS Diluted,0.14,0.10,0.24,0.27,0.56,0.66,0.99,1.42,1.51,1.52,1.21,1.50,3.34,4.07,3.06,3.63,4.77,2.11,3.39,2.80,2.74,3.07,-1.02,1.40
27,Weighted Average Shares Outstanding,61621244,61621244,61621244,61621244,61621244,70322936,71763792,72577054,72850700,73096300,73209414,73311110,73420862,73538252,73726044,73904384,74044417,74174389,74354162,98707696,130758169,128116670,127164659,127164659
28,Weighted Average Shares Outstanding Diluted,61621244,61621244,62204248,62738200,63370832,72651356,73748672,73954122,73620766,73600424,73539766,73311110,73420862,73538252,73726044,73904384,74044417,74174389,74354162,98707696,130758169,128116670,127164659,127164659
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1086600/000095012900001504/0000950129-00-001504-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012901001676/0000950129-01-001676-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012902001677/0000950129-02-001677-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012903001453/0000950129-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012904001265/0000950129-04-001265-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000119312505050414/0001193125-05-050414-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312506056322/0001193125-06-056322-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312507043725/0001193125-07-043725-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312508043252/0001193125-08-043252-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312509042393/0001193125-09-042393-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312510042724/0001193125-10-042724-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312511049710/0001193125-11-049710-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312512085069/0001193125-12-085069-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000104746913002040/0001047469-13-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465914014605/0001104659-14-014605-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465915014977/0001104659-15-014977-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465916100435/0001104659-16-100435-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837017000983/0001558370-17-000983-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837018000985/0001558370-18-000985-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837019000892/0001558370-19-000892-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837020001103/0001558370-20-001103-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837021001419/0001558370-21-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837022002091/0001558370-22-002091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8000000,6933000,9176000,9000000,10156000,31177000,32054000,36789000,1118000,244875000,21556000,339562000,273528000,28283000,93654000,24601000,33431000,39782000,6756000,244150000,36482000,55574000,122403000
32,Short-Term Investments,- -,42339000,37398000,10085000,- -,23615000,49397000,49242000,260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,50339000,44331000,19261000,9000000,33771000,80574000,81296000,37049000,1118000,244875000,21556000,339562000,273528000,28283000,93654000,24601000,33431000,39782000,6756000,244150000,36482000,55574000,122403000
34,Net Receivables,- -,33056000,36106000,31124000,32162000,38305000,58604000,96825000,99961000,96205000,93940000,94465000,117391000,137284000,174401000,156402000,192433000,123761000,152582000,181982000,175326000,161935000,108060000,130211000
35,Inventory,- -,21130000,10842000,11600000,12023000,14527000,13839000,17270000,20224000,26100000,26510000,64357000,31548000,33837000,46660000,44214000,83155000,121081000,61051000,60275000,59206000,101305000,56407000,60302000
36,Other Current Assets,- -,2480000,4033000,7373000,7911000,4540000,7462000,11886000,12854000,13551000,13270000,12430000,14836000,19505000,31968000,27640000,40699000,36632000,23257000,32627000,22004000,19863000,25733000,26312000
37,Total Current Assets,- -,107005000,95312000,69358000,61096000,91143000,160479000,207277000,170088000,136974000,378595000,192808000,503337000,464154000,281312000,321910000,340888000,314905000,276672000,281640000,500686000,319585000,245774000,339228000
38,PP&E,- -,175512000,184663000,197090000,207418000,222790000,233568000,304414000,436707000,520638000,616430000,822544000,949247000,1181320000,1529570000,1614379000,1665206000,1800275000,1585843000,1476656000,1412358000,2026646000,1815249000,1712836000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136399000,136399000,136399000,136399000,136399000,4373000,4373000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,19879000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136399000,136399000,136399000,136399000,136399000,4373000,4373000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23828000,- -,- -,40118000,88513000,130410000,224611000,64509000,138817000,254362000,283403000,28529000,27268000,26325000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12418000,29191000,24457000,19893000,22521000,18737000,20996000,28167000,44111000,11787000,36048000,48694000,45926000,56577000,55199000,54354000,47042000,55311000,70314000,61902000,75535000,73352000,76644000
45,Total Non-Current Assets,- -,207809000,213854000,221547000,227311000,245311000,252305000,325410000,464874000,564749000,652045000,858592000,997941000,1267364000,1674660000,1799988000,1944171000,2048225000,1916370000,1937731000,1894062000,2267109000,1920242000,1820178000
46,Other Assets,261100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,261100000,314814000,309166000,290905000,288407000,336454000,412784000,532687000,634962000,701723000,1030640000,1051400000,1501278000,1731518000,1955972000,2121898000,2285059000,2363130000,2193042000,2219371000,2394748000,2586694000,2166016000,2159406000
48,Accounts Payable,- -,19377000,25558000,25237000,19770000,22651000,30961000,53473000,57879000,46392000,63942000,62821000,63339000,96869000,100174000,79371000,85843000,83597000,64055000,96958000,96397000,80566000,47511000,69586000
49,Short-Term Debt,1700000,- -,3750000,15000000,16250000,- -,18000000,18000000,18339000,18377000,18351000,18324000,18295000,18676000,19000000,38038000,231305000,259114000,177070000,101013000,138722000,24776000,75819000,18731000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10777000,13901000,15873000,19998000,19061000,19426000,15621000,18273000,20336000,16762000,15768000,25054000,17787000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,26936000,27402000,31459000,41154000,52062000,57344000,59741000,56484000,46318000,56492000,56771000,72971000,79275000,89153000,95142000,103747000,80704000,85746000,91663000,95752000,90244000,91275000,89260000
53,Total Current Liabilities,1700000,46313000,56710000,71696000,77174000,74713000,106305000,131214000,132702000,111087000,138785000,137916000,154605000,194820000,208327000,212551000,420895000,423415000,326871000,289634000,330871000,195586000,214605000,177577000
54,Long-Term Debt,- -,230000000,226250000,211250000,195000000,180000000,162000000,144000000,126000000,136000000,440420000,422000000,704000000,686000000,773000000,831250000,591250000,580000000,399446000,415937000,564004000,768194000,533957000,431926000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,54429000,57993000,54900000,62786000,69184000,89292000,101696000,126941000,136912000,161243000,170504000,186890000,226940000,269199000,226860000,257867000,370352000,373301000,362314000,312186000,357490000,345187000,323834000
58,Total Non-Current Liabilities,- -,284429000,284243000,266150000,257786000,249184000,251292000,245696000,252941000,272912000,601663000,592504000,890890000,912940000,1042199000,1058110000,849117000,950352000,772747000,778251000,876190000,1125684000,879144000,755760000
59,Other Liabilities,106600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1512000,1135000,1135000,784000,460000,3173000,19613000,18423000,16929000,99914000,112736000,85704000,57317000,28159000,17156000,15644000
61,Total Liabilities,108300000,330742000,340953000,337846000,334960000,323897000,357597000,376910000,385643000,383999000,740448000,730420000,1045495000,1107760000,1250526000,1270661000,1270012000,1373767000,1099618000,1067885000,1207061000,1321270000,1093749000,933337000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,266436000,252383000,257134000,263071000,363658000,461068000,549005000,607777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-298223000,-298510000,-298412000,-305034000,-303295000,-298270000,-293569000,-290669000,- -,-293153000,-287371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-102709000,-135782000,-169960000,-5275000,54520000,-5176000,-7021000,-6956000,109000,-19899000,-17149000,-18721000,-40460000,-42264000,-9719000,-35847000,-34557000,-38540000,-51940000,-46871000,-77993000,-87674000,-64229000
66,Other Total Stockholders Equity,152800000,- -,135782000,169146000,- -,- -,- -,- -,- -,- -,1028000,631133000,762154000,663758000,747446000,861237000,1051047000,1024363000,1132424000,1203486000,1234687000,1343424000,- -,- -
67,Total Stockholders Equity,152800000,- -,-31787000,-46941000,-46553000,12557000,55187000,155777000,248480000,317217000,-309164000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,261100000,314842000,309166000,290905000,288407000,336454000,412784000,532687000,634123000,701216000,431284000,1051400000,1501278000,1731518000,1955972000,2121898000,2285059000,2363130000,2193042000,2219371000,2394748000,2586694000,2166016000,933337000
69,Minority Interest,- -,-28000,- -,- -,- -,- -,- -,- -,839000,507000,599356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226069000
70,Total Liabilities & Equity,261100000,314814000,309166000,290905000,288407000,336454000,412784000,532687000,634962000,701723000,1030640000,1051400000,1501278000,1731518000,1955972000,2121898000,2285059000,2363130000,2193042000,2219371000,2394748000,2586694000,2166016000,2159406000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1086600/000095012900001504/0000950129-00-001504-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012901001676/0000950129-01-001676-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012902001677/0000950129-02-001677-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012903001453/0000950129-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012904001265/0000950129-04-001265-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000119312505050414/0001193125-05-050414-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312506056322/0001193125-06-056322-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312507043725/0001193125-07-043725-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312508043252/0001193125-08-043252-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312509042393/0001193125-09-042393-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312510042724/0001193125-10-042724-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312511049710/0001193125-11-049710-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312512085069/0001193125-12-085069-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000104746913002040/0001047469-13-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465914014605/0001104659-14-014605-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465915014977/0001104659-15-014977-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465916100435/0001104659-16-100435-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837017000983/0001558370-17-000983-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837018000985/0001558370-18-000985-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837019000892/0001558370-19-000892-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837020001103/0001558370-20-001103-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837021001419/0001558370-21-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837022002091/0001558370-22-002091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8700000,16477000,15581000,17100000,36289000,47902000,76621000,160010000,172927000,170390000,134176000,192157000,321017000,389353000,228734000,393490000,497229000,306198000,339398000,303638000,366604000,399414000,-129220000,178157000
74,Depreciation and Amortization,- -,- -,39141000,45451000,47218000,52495000,53664000,55637000,66489000,85310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313387000,- -
75,Deferred Income Tax,- -,639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3483000,1636000,1557000,-1365000,-3339000,-1560000,-413000,1151000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3931000,- -,- -,- -,7428000,8896000,11250000,12631000,13885000,12326000,12114000,11934000,3345000,- -
77,Change in Working Capital,7100000,60692000,-22090000,-40940000,-13740000,32508000,37744000,21889000,-38677000,-11499000,213923000,-184918000,293840000,-79398000,-196349000,36374000,-189366000,-28503000,58311000,42205000,177809000,-45816000,-92830000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4745000,-3301000,-21780000,-15701000,-44081000,19062000,-30525000,64412000,-29157000,-29639000,6757000,20841000,56172000,- -
79,Inventory,- -,-1804000,9709000,-970000,-444000,-2049000,200000,-4004000,-3851000,-6484000,-960000,-40917000,31412000,-2818000,-16119000,-795000,-39103000,-31628000,58948000,-1449000,-747000,-35082000,30522000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5617000,-6142000,8055000,21890000,7312000,-17755000,8742000,-41534000,-15140000,25499000,-813000,-17671000,-24282000,- -
81,Other Working Capital,- -,60692000,38602000,-2338000,-16078000,16430000,54174000,76063000,37386000,25887000,239810000,54892000,348732000,269334000,72985000,109359000,-80007000,-108510000,-50199000,-7994000,169815000,123999000,31169000,- -
82,Other Non-Cash Items,34700000,-59594000,38741000,42040000,17812000,-22593000,-22974000,-43918000,50184000,-189000,-90989000,275502000,-94269000,264028000,516043000,262409000,418452000,424459000,293315000,201286000,139378000,149776000,304812000,247045000
83,Cash Provided by Operating Activities,50500000,18214000,71373000,63651000,87579000,110312000,145055000,193618000,250923000,244012000,261041000,282741000,520588000,573983000,555856000,704652000,739201000,716342000,703544000,556116000,694345000,514895000,400645000,425202000
84,CAPEX,-17200000,-39157000,-46151000,-53714000,-51524000,-55665000,-54713000,-110517000,-188630000,-119590000,-206282000,-328162000,-289874000,-321920000,-424631000,-329151000,-319074000,-212797000,-114056000,-145088000,-233480000,-305858000,-121101000,-122984000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2289000,-53309000,- -,- -,- -,-50800000,-190172000,-87772000,-115458000,-139493000,-77808000,-20688000,-15600000,-320232000,- -,- -
86,Purchases of Investments,- -,-51287000,-72523000,-33527000,- -,-23091000,-49271000,-63448000,-19447000,- -,- -,-4527000,- -,-42700000,- -,- -,- -,- -,- -,-100000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,25225000,77464000,60840000,10085000,- -,23537000,63589000,68497000,260000,- -,4527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,134288000,- -,- -
88,Other Investing Activites,-35600000,572000,210000,183000,124000,913000,2799000,198000,4177000,-6025000,-154325000,-320132000,-294991000,-307608000,-433207000,-338179000,-325764000,-216422000,-113980000,-124083000,-229649000,-302172000,-125124000,-142688000
89,Cash Used for Investing Activites,-35600000,-64647000,-41000000,-26218000,-41315000,-77843000,-77648000,-110178000,-137692000,-178664000,-184125000,-320132000,-294991000,-401108000,-623379000,-425951000,-441222000,-355915000,-191788000,-244771000,-245249000,-488116000,-125124000,-142688000
90,Debt Repayment,- -,-1975000,- -,- -,- -,- -,- -,- -,- -,- -,-135227000,-18351000,-113324000,-18812000,-442743000,-310190000,-490044000,-649214000,-478406000,-798305000,-414353000,-572032000,-324673000,-216805000
91,Common Stock Issued,- -,137872000,- -,- -,- -,53927000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-64706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70604000,-22892000,- -,- -
93,Dividends Paid,- -,-3615000,-31440000,- -,- -,- -,-46389000,- -,-90808000,-111320000,-135927000,-167131000,-186354000,-217860000,-257923000,-288439000,-317626000,-346799000,-247915000,-240812000,-275902000,-278425000,-51753000,-52158000
94,Other Financing Activites,-14900000,-77849000,- -,-35190000,-46440000,-85268000,3000,-17857000,-17688000,10301000,437995000,-1099000,392361000,-2237000,522944000,385299000,440638000,644416000,220916000,694746000,547015000,638902000,119997000,53278000
95,Cash Used/Provided by Financing Activities,-14900000,54433000,-31440000,-35190000,-46440000,-31341000,-46386000,-82563000,-108496000,-101019000,166841000,-186581000,92683000,-238909000,-177722000,-213330000,-367032000,-351597000,-505405000,-344371000,-211702000,-234447000,-256429000,-215685000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653000,-274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-14900000,54433000,-1067000,2243000,-176000,1128000,21021000,877000,4735000,-35671000,243757000,-223319000,318006000,-66034000,-245245000,65371000,-69053000,8830000,6351000,-33026000,237394000,-207668000,19092000,66829000
98,Cash at the End of Period,- -,8000000,6933000,9176000,9000000,10156000,31177000,32054000,36789000,1118000,244875000,21556000,339562000,273528000,28283000,93654000,24601000,33431000,39782000,6756000,244150000,36482000,55574000,122403000
99,Cash at the Beginning of Period,- -,- -,8000000,6933000,9176000,9028000,10156000,31177000,32054000,36789000,1118000,244875000,21556000,339562000,273528000,28283000,93654000,24601000,33431000,39782000,6756000,244150000,36482000,55574000
100,Free Cash Flow,33300000,-20943000,25222000,9937000,36055000,54647000,90342000,83101000,62293000,124422000,54759000,-45421000,230714000,252063000,131225000,375501000,420127000,503545000,589488000,411028000,460865000,209037000,279544000,302218000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1086600/000095012900001504/0000950129-00-001504-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012901001676/0000950129-01-001676-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012902001677/0000950129-02-001677-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012903001453/0000950129-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000095012904001265/0000950129-04-001265-index.html,https://www.sec.gov/Archives/edgar/data/1086600/000119312505050414/0001193125-05-050414-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312506056322/0001193125-06-056322-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312507043725/0001193125-07-043725-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312508043252/0001193125-08-043252-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312509042393/0001193125-09-042393-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312510042724/0001193125-10-042724-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312511049710/0001193125-11-049710-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000119312512085069/0001193125-12-085069-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000104746913002040/0001047469-13-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465914014605/0001104659-14-014605-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465915014977/0001104659-15-014977-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000110465916100435/0001104659-16-100435-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837017000983/0001558370-17-000983-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837018000985/0001558370-18-000985-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837019000892/0001558370-19-000892-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837020001103/0001558370-20-001103-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837021001419/0001558370-21-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1086600/000155837022002091/0001558370-22-002091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
