,https://roic.ai/company/AEIS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,25500000,28603000,34300000,45746000,56516000,85670000,101249000,121685000,106773000,117311000,95401000,107718000,113582000,108171000,85359000,134011000,148558000,132899000,149118000,151250000,110016000,126290000,155611000,189815000,256226000,352680000,375889000
11,COGS and Expenses,73200000,90641000,121838000,133731000,158617000,268999000,237417000,291823000,281228000,392937000,303802000,343242000,335472000,312307000,217387000,394226000,460200000,417084000,485986000,540319000,307957000,356847000,470242000,543100000,729522000,1226637000,1299521000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4955000,1371000,539000,169000,607000,-320000,-230000,-880000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,230000,880000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1600000,2657000,3758000,6578000,7764000,11583000,17288000,23289000,21829000,21119000,18377000,16451000,12218000,10718000,9014000,10736000,14525000,17786000,18871000,20919000,8832000,7813000,9424000,13592000,26147000,47770000,52893000
15,EBITDA,22700000,10961000,20789000,-5839000,34779000,111858000,-31532000,-41987000,-10611000,12319000,36067000,89655000,62968000,26725000,-87704000,95744000,64453000,47997000,33475000,60827000,-126814000,146395000,209375000,185844000,101787000,205441000,201633000
16,EBITDA ratio,0.2397,0.1109,0.1465,-0.0468,0.1891,0.3109,-0.1629,-0.1758,-0.0404,0.0312,0.1108,0.2183,0.1637,0.0813,-0.4705,0.2084,0.1247,0.1062,0.0612,0.1043,-0.3057,0.3027,0.3120,0.2585,0.1290,0.1451,0.1385
17,Operating Income,21500000,8211000,17005000,-12775000,25341000,85200000,-46887000,-61985000,-23132000,-1544000,15974000,67389000,45940000,13124000,-98628000,65188000,49251000,27374000,14623000,40423000,106656000,126857000,200770000,171553000,54388000,176023000,151681000
18,Operating Income ratio,0.2270,0.0831,0.1198,-0.1024,0.1378,0.2368,-0.2422,-0.2595,-0.0882,-0.0039,0.0491,0.1641,0.1194,0.0399,-0.5291,0.1419,0.0953,0.0606,0.0267,0.0693,0.2571,0.2623,0.2992,0.2386,0.0689,0.1243,0.1042
19,Total Other Income Expenses (Gains),-400000,93000,26000,358000,1743000,7485000,-2078000,-5930000,-21109000,-7256000,-7479000,4677000,4810000,2883000,1910000,2221000,1217000,2432000,-339000,-745000,-1214000,1219000,-2579000,823000,12806000,-17876000,-2970000
20,Income Before Tax,21100000,8304000,17031000,-12417000,27084000,92685000,-48965000,-67915000,-44241000,-8800000,8495000,72066000,50750000,16007000,-96718000,67409000,50468000,29806000,14284000,39678000,105442000,128076000,198191000,172376000,67194000,158147000,148711000
21,Income Before Tax Ratio,0.2228,0.0840,0.1200,-0.0996,0.1472,0.2576,-0.2529,-0.2843,-0.1686,-0.0223,0.0261,0.1755,0.1319,0.0487,-0.5189,0.1467,0.0977,0.0660,0.0261,0.0680,0.2542,0.2648,0.2954,0.2398,0.0852,0.1117,0.1021
22,Income Tax expense (Gain),7800000,3160000,6669000,-2900000,10177000,32241000,-17441000,-23877000,11801000,3947000,4873000,-15118000,16389000,17786000,5987000,13816000,13614000,9630000,-17802000,-7304000,21960000,11128000,62090000,25227000,10699000,22996000,14004000
23,Net Income,13300000,5144000,10362000,-9517000,16838000,68034000,-31379000,-41399000,-44241000,-12747000,12817000,88322000,34361000,-1779000,-102705000,71192000,36314000,20581000,32086000,46982000,-158486000,127454000,137861000,147025000,64941000,134675000,134736000
24,Net Income ratio,0.1404,0.0520,0.0730,-0.0763,0.0915,0.1891,-0.1621,-0.1733,-0.1686,-0.0322,0.0394,0.2150,0.0893,-0.0054,-0.5510,0.1550,0.0703,0.0455,0.0587,0.0806,-0.3821,0.2635,0.2055,0.2045,0.0823,0.0951,0.0925
25,EPS,0.73,0.24,0.48,-0.36,0.62,2.17,-0.99,-1.29,-1.37,-0.39,0.35,1.98,0.76,-0.04,-2.45,1.66,0.84,0.53,0.81,1.16,-3.89,3.21,3.47,3.76,1.70,3.52,3.53
26,EPS Diluted,0.69,0.24,0.47,-0.36,0.59,2.10,-0.99,-1.29,-1.37,-0.39,0.34,1.95,0.75,-0.04,-2.45,1.64,0.83,0.52,0.79,1.14,-3.89,3.18,3.43,3.74,1.69,3.50,3.51
27,Weighted Average Shares Outstanding,18219178,21666000,21544000,26572000,27161000,31336000,31712000,32026000,32271000,32649000,37084000,44721000,45156000,42537000,41966000,42862000,43465000,38879000,39597000,40420000,40746000,39720000,39754000,39081000,38281000,38314000,38143000
28,Weighted Average Shares Outstanding Diluted,19275362,21666000,22274000,26572000,28389000,32425000,31712000,32026000,32271000,33233000,37434000,45265000,45704000,42537000,41966000,43419000,43954000,39447000,40667000,41034000,41077000,40031000,40176000,39352000,38495000,38542000,38355000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927003/000095013403004715/d04234e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570404000086/d12827e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013405006547/d23250e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013406005979/d33336e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570407000162/d43302e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570408000124/d54984e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013409003964/0000950134-09-003964-index.html,https://www.sec.gov/Archives/edgar/data/927003/000095012310018413/0000950123-10-018413-index.html,https://www.sec.gov/Archives/edgar/data/927003/000095012311021198/d79941e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000144530512000575/0001445305-12-000575-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700313000007/0000927003-13-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/927003/000092700315000012/aeis10k2014.htm,https://www.sec.gov/Archives/edgar/data/927003/000092700316000094/0000927003-16-000094-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700317000010/0000927003-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700318000005/0000927003-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700319000007/0000927003-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/927003/000155837020001892/0001558370-20-001892-index.html,https://www.sec.gov/Archives/edgar/data/927003/000155837021001513/0001558370-21-001513-index.htm,https://www.sec.gov/Archives/edgar/data/927003/000155837022003725/0001558370-22-003725-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13300000,11231000,11470000,12295000,19352000,31716000,81955000,70188000,41522000,38404000,52874000,58240000,94588000,116448000,133106000,130914000,117639000,146564000,138125000,125285000,158443000,281953000,407283000,349301000,346441000,480368000,544372000
32,Short-Term Investments,- -,- -,20174000,15839000,186440000,157811000,190023000,102159000,93691000,69578000,6811000,85978000,110676000,33266000,44401000,9640000,25567000,25683000,11568000,3083000,11986000,4737000,3104000,2470000,2614000,2654000,2296000
33,Cash and Short-Term Investments,13300000,11231000,31644000,28134000,205792000,189527000,271978000,172347000,135213000,107982000,59685000,144218000,205264000,149714000,177507000,140554000,143206000,172247000,149693000,128368000,170429000,286690000,410387000,351771000,349055000,483022000,546668000
34,Net Receivables,15200000,16116000,28386000,19180000,44567000,79091000,46674000,58605000,62078000,72457000,68992000,71956000,61545000,56549000,50267000,125954000,146311000,88229000,135809000,129705000,63999000,77149000,88724000,102662000,250809000,239982000,247995000
35,Inventory,16100000,13976000,26243000,21412000,25474000,45266000,45248000,57306000,65703000,73224000,56199000,52778000,50532000,46659000,37118000,77593000,80283000,81482000,109771000,95082000,52573000,55770000,78450000,97987000,230019000,221346000,338410000
36,Other Current Assets,1700000,2236000,5308000,4909000,4788000,9991000,15378000,24338000,5486000,5736000,6773000,31775000,30628000,18577000,14863000,17666000,20686000,28552000,21696000,23599000,55774000,18725000,17664000,16028000,36855000,35899000,29161000
37,Total Current Assets,46300000,43559000,91581000,73635000,280621000,323875000,379278000,312596000,268480000,259399000,191649000,300727000,347969000,271499000,279755000,361767000,390486000,370510000,416969000,376754000,342775000,438334000,595225000,568448000,866738000,980249000,1162234000
38,PP&E,6600000,9500000,11331000,15320000,16675000,24101000,31095000,41178000,44725000,44746000,39294000,33571000,30912000,31322000,30615000,34569000,42338000,39523000,34888000,28976000,9645000,13337000,17795000,31269000,213513000,218589000,216599000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58679000,61406000,66163000,- -,48360000,46515000,60391000,157800000,203329000,42729000,42125000,53812000,101900000,202932000,209983000,- -
40,Intangible Assets,- -,- -,7112000,8586000,7949000,9890000,23072000,86601000,88943000,80308000,69843000,6905000,6362000,6755000,5982000,48421000,43438000,46209000,19411000,47074000,34141000,28071000,33499000,54910000,184011000,168939000,- -
41,Intangible Assets,- -,- -,7112000,8586000,7949000,9890000,23072000,86601000,88943000,80308000,69843000,65584000,67768000,72918000,5982000,96781000,89953000,106600000,177211000,250403000,76870000,70196000,87311000,156810000,386943000,378922000,371596000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30401000,9294000,8874000,8959000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3116000,8549000,4098000,6969000,19479000,3166000,1642000,13998000,21488000,26384000,30398000,32197000,18841000,47099000,42656000,50801000,47242000
44,Other Non-Current Assets,2400000,2972000,2219000,3494000,7140000,7969000,16750000,15358000,12583000,11522000,6215000,3472000,8281000,7528000,- -,- -,- -,7529000,2421000,2052000,3000000,17465000,14136000,12858000,22556000,19101000,19669000
45,Total Non-Current Assets,9000000,12472000,20662000,27400000,31764000,41960000,70917000,143137000,146251000,136576000,118468000,111176000,111059000,149138000,65370000,143390000,142892000,167650000,236008000,307815000,119913000,133195000,138083000,248036000,665668000,667413000,655106000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55300000,56031000,112243000,101035000,312385000,365835000,450195000,455733000,414731000,395975000,310117000,411903000,459028000,420637000,345125000,505157000,533378000,538160000,652977000,684569000,462688000,571529000,733308000,816484000,1532406000,1647662000,1817340000
48,Accounts Payable,6700000,2253000,12045000,5675000,14481000,18250000,10231000,16055000,23511000,17683000,22028000,16310000,12424000,8005000,23802000,56185000,44828000,41044000,55623000,53040000,27246000,46255000,48177000,39646000,170671000,125224000,193708000
49,Short-Term Debt,900000,924000,3298000,211000,2147000,1337000,1130000,15197000,8582000,6186000,2011000,131000,131000,89000,49000,- -,- -,- -,13661000,- -,- -,- -,- -,- -,35812000,34092000,35843000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2679000,3503000,3602000,3310000,12039000,4739000,7727000,13972000,1778000,5365000,13258000,9687000,11850000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,662000,971000,- -,- -,1027000,3152000,6803000,14689000,2080000,6955000,6817000,3319000,5774000,6402000,7345000,10926000,12179000,- -
52,Other Current Liabilities,5000000,5203000,9530000,5690000,12124000,24662000,17474000,33402000,30231000,27953000,23006000,36488000,29459000,22812000,20975000,39337000,31727000,45522000,46118000,52713000,73519000,43017000,51540000,63318000,102923000,124902000,140666000
53,Total Current Liabilities,12600000,8380000,24873000,11576000,28752000,44249000,28835000,64654000,62324000,52484000,48016000,52929000,42014000,31933000,47978000,102325000,91244000,88646000,122357000,112570000,104084000,95046000,106119000,110309000,320332000,296397000,370217000
54,Long-Term Debt,1600000,958000,- -,216000,135116000,82643000,206600000,197714000,193623000,191976000,1909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321527000,304546000,372733000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43171000,47246000,45584000,39170000,33402000,29108000,8011000,7352000,- -
56,Deferred Tax Liabilities,100000,28000,- -,- -,- -,- -,415000,8663000,4672000,3709000,- -,1971000,1891000,2660000,2556000,5155000,6475000,16832000,1500000,1439000,1181000,1008000,4556000,6988000,9952000,10088000,- -
57,Other Non-Current Liabilities,-100000,169000,22000,110000,42000,- -,- -,1363000,2278000,2828000,2762000,1213000,8062000,9495000,16257000,23709000,28320000,45051000,21487000,48349000,48259000,44231000,68590000,62777000,195324000,213939000,202894000
58,Total Non-Current Liabilities,1600000,1155000,22000,326000,135158000,82643000,207015000,207740000,200573000,198513000,4671000,3184000,9953000,12155000,18813000,28864000,34795000,61883000,66158000,97034000,95024000,84409000,106548000,98873000,534814000,535925000,575627000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,669000,263000,421000,270000,198000,112000,164000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,108850000,112585000,15843000
61,Total Liabilities,14200000,9535000,24895000,11902000,163910000,126892000,235850000,272394000,262897000,250997000,52687000,56113000,51967000,44088000,66791000,131189000,126039000,150529000,188515000,209604000,199108000,179455000,212667000,209182000,855146000,832322000,945844000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,21000,22000,27000,28000,32000,32000,32000,33000,33000,45000,45000,45000,42000,42000,43000,42000,38000,41000,41000,40000,40000,40000,38000,38000,38000,- -
64,Retained Earnings,19900000,25065000,35427000,29139000,45977000,116971000,85592000,44193000,-48000,-12795000,22000,88344000,121745000,119966000,17261000,88453000,124767000,145348000,179414000,226396000,67910000,195364000,333225000,512783000,577724000,712297000,- -
65,Other Comprehensive Income/Loss,-3600000,-5779000,-7017000,-14316000,-17990000,-24427000,-31946000,685000,9182000,13240000,3688000,8713000,18066000,32402000,27408000,27074000,28527000,29725000,33457000,10776000,534000,-6933000,2533000,-3449000,-5897000,-2605000,-1216000
66,Other Total Stockholders Equity,24800000,27189000,58916000,74283000,120460000,146367000,160667000,138429000,142667000,144500000,253675000,258688000,267205000,224139000,233623000,258398000,254003000,212520000,251550000,237752000,195096000,203603000,184843000,97418000,104849000,105009000,- -
67,Total Stockholders Equity,41100000,46496000,87348000,89133000,148475000,238943000,214345000,183339000,151834000,144978000,257430000,355790000,407061000,376549000,278334000,373968000,407339000,387631000,464462000,474965000,263580000,392074000,520641000,606790000,676714000,814739000,870851000
68,Total Liabilities And Stockholders Equity,55300000,56031000,112243000,101035000,312385000,365835000,450195000,455733000,414731000,395975000,310117000,411903000,459028000,420637000,345125000,505157000,533378000,538160000,652977000,684569000,462688000,571529000,733308000,815972000,1531860000,1647061000,1816695000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512000,546000,601000,645000
70,Total Liabilities & Equity,55300000,56031000,112243000,101035000,312385000,365835000,450195000,455733000,414731000,395975000,310117000,411903000,459028000,420637000,345125000,505157000,533378000,538160000,652977000,684569000,462688000,571529000,733308000,816484000,1532406000,1647662000,1817340000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927003/000095013403004715/d04234e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570404000086/d12827e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013405006547/d23250e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013406005979/d33336e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570407000162/d43302e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000103570408000124/d54984e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000095013409003964/0000950134-09-003964-index.html,https://www.sec.gov/Archives/edgar/data/927003/000095012310018413/0000950123-10-018413-index.html,https://www.sec.gov/Archives/edgar/data/927003/000095012311021198/d79941e10vk.htm,https://www.sec.gov/Archives/edgar/data/927003/000144530512000575/0001445305-12-000575-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700313000007/0000927003-13-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/927003/000092700315000012/aeis10k2014.htm,https://www.sec.gov/Archives/edgar/data/927003/000092700316000094/0000927003-16-000094-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700317000010/0000927003-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700318000005/0000927003-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/927003/000092700319000007/0000927003-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/927003/000155837020001892/0001558370-20-001892-index.html,https://www.sec.gov/Archives/edgar/data/927003/000155837021001513/0001558370-21-001513-index.htm,https://www.sec.gov/Archives/edgar/data/927003/000155837022003725/0001558370-22-003725-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13300000,5144000,10362000,-9517000,16838000,68034000,-31379000,-41399000,-44241000,-12747000,12817000,88322000,34361000,-1779000,-102705000,71192000,36314000,20581000,32086000,46982000,-158486000,127454000,137861000,147025000,64941000,134675000,134736000
74,Depreciation and Amortization,1600000,2657000,3758000,6578000,7764000,11583000,17288000,23289000,21829000,21119000,18377000,16451000,12218000,10718000,9014000,10736000,14525000,17786000,18871000,20919000,8832000,7813000,9424000,13592000,26147000,47770000,52893000
75,Deferred Income Tax,-300000,-286000,-1584000,-792000,1032000,-3730000,-3579000,-6888000,6429000,444000,-1130000,-22280000,5125000,7927000,-5283000,5284000,3363000,-6528000,-16020000,-11786000,3498000,3570000,28765000,5618000,1015000,-622000,1326000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4599000,5404000,8501000,12529000,12720000,13742000,4993000,2810000,6332000,12549000,9703000,7327000,12272000,15739000
77,Change in Working Capital,-10900000,1479000,31529000,-4649000,189810000,27757000,70817000,-102501000,-41786000,759000,-63282000,104165000,58157000,-66389000,-7789000,27665000,39800000,-17378000,12748000,-30428000,-25493000,104597000,145818000,-30967000,88267000,137446000,-64609000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62136000,-12135000,49577000,-31863000,4203000,17919000,-21603000,-7497000,3445000,-18879000,15412000,- -
79,Inventory,-8900000,2128000,-9576000,9795000,-4062000,-16856000,-5484000,3021000,-11339000,-19783000,11737000,1553000,1877000,-2347000,8190000,-41299000,-3465000,-375000,-12006000,6808000,-6715000,-6359000,-19261000,-11276000,3687000,11658000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4596000,15797000,26519000,-10813000,-2710000,-3259000,-8423000,3220000,18957000,1812000,-12618000,-16094000,-48163000,- -
81,Other Working Capital,33700000,35179000,66708000,62059000,251869000,279626000,350443000,247942000,206156000,206915000,143633000,247798000,305955000,239566000,231777000,259442000,299242000,281864000,294612000,264184000,238691000,343288000,489106000,458139000,546406000,683852000,- -
82,Other Non-Cash Items,- -,-5742000,-35974000,17101000,-205340000,-80889000,-45283000,112194000,44783000,-20953000,69269000,-98351000,-48051000,69001000,110549000,-105036000,-68436000,83596000,-26111000,44906000,273647000,-130479000,-151716000,6300000,-139305000,-130305000,160000
83,Cash Provided by Operating Activities,3700000,3252000,8091000,8721000,10104000,22755000,7864000,-15305000,-12986000,-11378000,36051000,88307000,61810000,24077000,9190000,18342000,38095000,110777000,35316000,75586000,104808000,119287000,182701000,151271000,48392000,201236000,140245000
84,CAPEX,-3800000,-5137000,-5179000,-5292000,-6841000,-14062000,-12435000,-10714000,-20509000,-14019000,-10825000,-6142000,-8870000,-7202000,-5611000,-18932000,-18887000,-10233000,-9611000,-6105000,-4014000,-6821000,-9042000,-20330000,-25188000,-36483000,-31877000
85,Acquisitions Net,- -,- -,-12995000,-2500000,-175000,- -,-29932000,-50484000,-1675000,- -,- -,- -,- -,- -,- -,-32317000,- -,-15313000,-75374000,-57138000,-128000,- -,-17347000,-93756000,-366101000,-5476000,-21535000
86,Purchases of Investments,- -,- -,-20000000,-1000000,-170805000,-10000000,-64925000,-2499000,-1308000,-1208000,-87175000,-79441000,-112370000,-21156000,-38115000,-109516000,-31598000,-29580000,-19034000,-6432000,-30172000,-763000,-3596000,-95000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6100000,1928000,52564000,33312000,90439000,10106000,25000000,151697000,1992000,88523000,72855000,56684000,144055000,15761000,28399000,33093000,14835000,21095000,7884000,1903000,589000,1742000,3000,- -
88,Other Investing Activites,- -,- -,- -,-1000000,- -,-1081000,-7186000,-2431000,4796000,2556000,13335000,539000,2149000,- -,- -,- -,- -,2200000,- -,-156000,- -,- -,- -,- -,-4300000,-884000,6110000
89,Cash Used for Investing Activites,-3800000,-5137000,-38174000,-3692000,-175893000,27421000,-81166000,24311000,-8590000,12329000,67032000,-83052000,-30568000,44497000,12958000,-16710000,-34724000,-24527000,-70926000,-54996000,-13219000,300000,-28082000,-113592000,-393847000,-42840000,-47302000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-114000,-85000,-209000,-167000,- -,- -,-13723000,- -,- -,- -,- -,-8750000,-17500000,-13750000
91,Common Stock Issued,21300000,150000,29081000,861000,41045000,4914000,3970000,2078000,4239000,1833000,- -,3292000,4921000,2008000,508000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49773000,- -,- -,-17895000,-57118000,- -,-25000000,-50000000,- -,-29993000,-95125000,- -,-11630000,-78125000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15385000
94,Other Financing Activites,-7400000,-433000,1433000,-5914000,132277000,-42427000,120114000,-24712000,-12847000,-7024000,-85972000,-4033000,-101000,- -,-3818000,1587000,970000,2254000,26313000,6243000,4359000,2142000,-1314000,-2009000,347590000,-482000,81888000
95,Cash Used/Provided by Financing Activities,13900000,-283000,30514000,-5053000,173322000,-37513000,124084000,-22634000,-8608000,-5191000,-85972000,-741000,4820000,-47879000,-3395000,1378000,-17092000,-54864000,26313000,-32480000,-45641000,2142000,-31307000,-97134000,338840000,-29612000,-25372000
96,Effect of Forex Changes on Cash,-800000,67000,-192000,278000,-476000,-1990000,-543000,1861000,1518000,1122000,-2641000,852000,286000,1165000,-2095000,-5202000,446000,-2461000,858000,-950000,-1467000,-1932000,2208000,-1030000,-1496000,5143000,-3567000
97,Net Change In Cash,- -,-2101000,239000,254000,7057000,10673000,50239000,-11767000,-28666000,-3118000,14470000,5366000,36348000,21860000,16658000,-2192000,-13275000,28925000,-8439000,-12840000,33158000,112233000,117766000,-65736000,-8111000,133927000,64004000
98,Cash at the End of Period,- -,11231000,11470000,12295000,19352000,31716000,81955000,70188000,41522000,38404000,52874000,58240000,94588000,116448000,133106000,130914000,117639000,146564000,138125000,125285000,158443000,281953000,407283000,349301000,346441000,480368000,544372000
99,Cash at the Beginning of Period,400000,13332000,11231000,12041000,12295000,21043000,31716000,81955000,70188000,41522000,38404000,52874000,58240000,94588000,116448000,133106000,130914000,117639000,146564000,138125000,125285000,169720000,289517000,415037000,354552000,346441000,480368000
100,Free Cash Flow,-100000,-1885000,2912000,3429000,3263000,8693000,-4571000,-26019000,-33495000,-25397000,25226000,82165000,52940000,16875000,3579000,-590000,19208000,100544000,25705000,69481000,100794000,112466000,173659000,130941000,23204000,164753000,108368000
