,https://roic.ai/company/NVEC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,101983,206028,342166,240000,- -,256275,332290,511049,524733,573443,569886,530050,560528,473740,389273,411547,500121,647163,844339,934371,850970,1147451,979652,705197,549969,542926
15,EBITDA,- -,1456615,-5637069,-2000147,-210000,4939690,383533,-1768152,1157899,2399431,2193293,3410665,7721853,11640532,14901340,18305689,20102743,17123360,18203620,17360288,22374045,19028067,20243462,20988476,18415036,17851872,14784678
16,EBITDA ratio,- -,0.2468,-0.6442,-0.3364,-0.0362,1.2806,0.0535,-0.2528,0.1226,0.1998,0.1888,0.2802,0.4691,0.5670,0.6376,0.6504,0.6444,0.5992,0.6734,0.6694,0.7316,0.6865,0.7147,0.7028,0.6956,0.7025,0.6920
17,Operating Income,- -,1358774,-5900137,-2441652,-400000,3246316,110755,-2217492,390432,1631341,1343777,2471026,6545569,10048779,13251590,16298536,17669770,14273048,15196854,14393816,19251951,16286280,17445203,18450627,15924562,15514786,12743604
18,Operating Income ratio,- -,0.2302,-0.6743,-0.4107,-0.0690,0.8416,0.0155,-0.3170,0.0413,0.1358,0.1157,0.2030,0.3976,0.4895,0.5670,0.5790,0.5664,0.4994,0.5622,0.5550,0.6295,0.5876,0.6159,0.6178,0.6016,0.6105,0.5964
19,Total Other Income Expenses (Gains),- -,-4142,57040,99339,-20000,1693374,16503,162760,86165,243357,276073,369753,646234,1031225,1176010,1617880,2021426,2350191,2359603,2122133,2187723,1890817,1650808,1558197,1785277,1787117,1498148
20,Income Before Tax,- -,1354632,-5843097,-2342313,-420000,4939690,127258,- -,- -,1874698,1619850,2840779,7191803,11080004,14427600,17916416,19691196,16623239,17556457,16515949,21439674,18177097,19096011,20008824,17709839,17301903,14241752
21,Income Before Tax Ratio,- -,0.2295,-0.6677,-0.3940,-0.0724,1.2806,0.0178,- -,- -,0.1561,0.1395,0.2334,0.4369,0.5397,0.6173,0.6365,0.6312,0.5817,0.6494,0.6368,0.7010,0.6558,0.6741,0.6700,0.6690,0.6809,0.6666
22,Income Tax expense (Gain),- -,527000,318778,83901,- -,244328,- -,- -,- -,-233022,-138404,1043033,2411020,3892620,4644705,5917072,6330251,5242144,5727619,5380074,7071320,5884782,6147142,6096152,3201903,2775261,2547368
23,Net Income,- -,827632,-6161875,-2426214,-420000,4695362,127258,-2100442,646850,2107720,1758254,1797746,4780783,7187384,9782895,11999344,13360945,11381095,11828838,11135875,14368354,12292315,12948869,13912672,14507936,14526642,11694384
24,Net Income ratio,- -,0.1402,-0.7042,-0.4081,-0.0724,1.2173,0.0178,-0.3003,0.0685,0.1755,0.1514,0.1477,0.2904,0.3501,0.4186,0.4263,0.4283,0.3982,0.4376,0.4294,0.4698,0.4435,0.4571,0.4659,0.5480,0.5716,0.5473
25,EPS,- -,7.00,-41.75,-12.75,-0.13,23.00,0.05,-0.60,0.16,0.49,0.39,0.39,1.03,1.55,2.10,2.56,2.83,2.37,2.44,2.30,2.96,2.53,2.68,2.87,3.00,3.00,2.42
26,EPS Diluted,- -,7.00,-41.75,-12.75,-0.13,23.00,0.04,-0.62,0.15,0.45,0.37,0.39,1.00,1.51,2.04,2.47,2.76,2.34,2.43,2.29,2.95,2.53,2.68,2.87,2.99,3.00,2.42
27,Weighted Average Shares Outstanding,- -,117023,147664,188682,3170000,203976,3370408,3405774,4131463,4296870,4512247,4580684,4620371,4635470,4659486,4692496,4729035,4796227,4839810,4851460,4855504,4850209,4836602,4841347,4844010,4845627,4834054
28,Weighted Average Shares Outstanding Diluted,- -,117023,147664,188682,3170000,203976,3541741,3405774,4324493,4726759,4733955,4667994,4771297,4763101,4785565,4857044,4844266,4863471,4863546,4867691,4871935,4852602,4838389,4846212,4850567,4847294,4834462
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/724910/0000724910-96-000008-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724910/000110465905025628/0001104659-05-025628-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000110465906036651/0001104659-06-036651-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000117184307000269/0001171843-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491008000006/0000724910-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491009000005/0000724910-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491010000007/0000724910-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491011000011/0000724910-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491012000011/0000724910-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491013000009/0000724910-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491014000018/0000724910-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491015000010/0000724910-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491016000052/0000724910-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491017000011/0000724910-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491018000008/0000724910-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491019000010/0000724910-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491020000015/0000724910-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491021000008/0000724910-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,668083,2433439,- -,600000,1002830,1492080,537258,595768,1055796,1240205,1288362,397423,1885867,1875063,1389288,952209,1544536,2509683,1262300,9437262,7534593,8199364,4755082,6877304,8065594,10427340
32,Short-Term Investments,- -,300000,- -,- -,- -,52000,- -,- -,5880097,6488847,252775,1248103,982415,795728,- -,1566666,7970358,17551629,9711029,12360091,20099288,19697384,19591833,20765809,12487821,19084814,7678957
33,Cash and Short-Term Investments,- -,968083,2433439,- -,600000,1054830,1492080,537258,6475865,7544643,1492980,2536465,1379838,2681595,1875063,2955954,8922567,19096165,12220712,13622391,29536550,27231977,27791197,25520891,19365125,27150408,18106297
34,Net Receivables,- -,1204874,2240838,- -,1000000,8635,1316728,1261173,1028290,1739479,2285472,1667029,2005005,3226027,3366698,4221564,3596239,2684840,2521395,2331574,2963974,2244086,3436802,2888779,2995638,2694018,1964281
35,Inventory,- -,282720,396295,- -,700000,- -,1087816,512215,840776,1149854,1572759,2149769,2016858,2456804,2247621,1706427,3343857,3229376,3336592,3207333,3742492,3205233,3358298,3650439,4264876,3884450,3900777
36,Other Current Assets,- -,44537,912770,- -,-100000,40000,73879,59205,170320,546537,886947,1807884,1661693,983021,1337036,781294,1185306,1159852,958147,1053663,676965,734524,607283,635160,816045,655835,391278
37,Total Current Assets,- -,2500214,5983342,- -,2200000,1103465,3970503,2369851,8515251,10980513,6238158,8161147,7063394,9347447,8826418,9665239,17047969,26170233,19036846,20214961,36919981,33415820,35193580,32695269,27441684,34384711,24362633
38,PP&E,- -,83525,1395445,- -,600000,- -,698295,1225605,1166501,1439214,1727562,1242911,1037747,1365402,1293274,1209863,1531116,2511232,3688393,3004772,2255408,1691713,1413248,1325383,894835,1398825,1025899
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32446748,46587812,53257140,54445298,73040257,82022310,70913807,65695335,56810923,52838158,54925633,43606495,47038669
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51188,357055,572655,353735,108119,73538
44,Other Non-Current Assets,- -,249301,688003,- -,100000,- -,- -,- -,- -,- -,6224284,8354861,16909353,22055279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,332826,2083448,- -,700000,- -,698295,1225605,1166501,1439214,7951846,9597772,17947100,23420681,33740022,47797675,54788256,56956530,76728650,85027082,73169215,67438236,58581226,54736196,56174203,45113439,48138106
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2833040,8066790,- -,2900000,1103465,4668798,3595456,9681752,12419727,14190004,17758919,25010494,32768128,42566440,57462914,71836225,83126763,95765496,105242043,110089196,100854056,93774806,87431465,83615887,79498150,72500739
48,Accounts Payable,- -,137964,587349,- -,100000,2280,384300,388532,310658,327281,319427,399762,502595,434808,257239,665782,731580,663702,422092,374127,358818,317990,376275,414970,375188,186993,336591
49,Short-Term Debt,- -,- -,- -,- -,300000,- -,267888,360460,- -,122480,67430,33281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150273
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1315422,1565307,889627,424176,267355,77373,29357,187500,104167,20833,- -,- -,- -,- -,- -,714805,142733,- -,- -,- -,- -
52,Other Current Liabilities,- -,1070524,1946863,- -,400000,26379,237244,426950,779962,711835,465930,470392,590287,632338,637463,823005,1134096,1004203,1358796,808675,1127136,556674,576313,574755,460488,609208,540474
53,Total Current Liabilities,- -,1208488,2534212,- -,800000,28659,2204854,2741249,1980247,1585772,1120142,980808,1122239,1254646,998869,1509620,1865676,1667905,1780888,1182802,1485954,1589469,1095321,989725,835676,796201,1027338
54,Long-Term Debt,- -,102376,152381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581459
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354600,275708,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,9721,1042136,- -,- -,- -,- -,377399,223191,100711,33281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706600,- -
58,Total Non-Current Liabilities,- -,112097,1194517,- -,- -,- -,- -,377399,223191,100711,33281,- -,- -,- -,- -,- -,- -,- -,- -,354600,275708,- -,- -,- -,- -,706600,581459
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,223191,100711,33281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,833734,731732
61,Total Liabilities,- -,1320585,3728729,- -,800000,28659,2204854,3118648,2203438,1686483,1153423,980808,1122239,1254646,998869,1509620,1865676,1667905,1780888,1537402,1761662,1589469,1095321,989725,835676,1502801,1608797
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,26094,47340,- -,- -,52934,169213,172702,41748,44889,45698,46150,46274,46387,46693,47006,47762,48247,48624,48510,48580,48350,48410,48420,48460,48350,48332
64,Retained Earnings,- -,755180,-5406695,- -,-2700000,-2853687,-3353896,-5454338,-4807488,-2699768,-941514,856232,5637015,12824399,22607294,34606638,47967583,59348678,71177516,82313391,86681745,79559196,73162025,67709657,62903918,58046520,50404364
65,Other Comprehensive Income/Loss,- -,-173685,- -,- -,-1000000,- -,-1356469,-1485914,-1871192,-2277649,-2826227,-3319651,-3834683,-4276680,-4485509,1000000,1000000,1000000,2000000,1000000,1000000,-8688285,-9238626,-1000000,-10258240,1000000,1101119
66,Other Total Stockholders Equity,- -,904866,9697416,- -,5800000,3875559,7005096,7244358,14115246,15665772,16758624,19195380,22039649,22919376,23399093,20299650,20955204,21061933,20758468,20342740,20597209,28345326,28707676,19683663,30086073,18900479,19338127
67,Total Stockholders Equity,- -,1512455,4338061,- -,2100000,1074806,2463944,476808,7478314,10733244,13036581,16778111,23888255,31513482,41567571,55953294,69970549,81458858,93984608,103704641,108327534,99264587,92679485,86441740,82780211,77995349,70891942
68,Total Liabilities And Stockholders Equity,- -,2833040,8066790,- -,2900000,1103465,4668798,3595456,9681752,12419727,14190004,17758919,25010494,32768128,42566440,57462914,71836225,83126763,95765496,105242043,110089196,100854056,93774806,87431465,83615887,79498150,72500739
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2833040,8066790,- -,2900000,1103465,4668798,3595456,9681752,12419727,14190004,17758919,25010494,32768128,42566440,57462914,71836225,83126763,95765496,105242043,110089196,100854056,93774806,87431465,83615887,79498150,72500739
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/724910/0000724910-96-000008-index.html,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724910/000110465905025628/0001104659-05-025628-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000110465906036651/0001104659-06-036651-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000117184307000269/0001171843-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491008000006/0000724910-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491009000005/0000724910-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491010000007/0000724910-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491011000011/0000724910-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491012000011/0000724910-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491013000009/0000724910-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491014000018/0000724910-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491015000010/0000724910-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491016000052/0000724910-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491017000011/0000724910-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491018000008/0000724910-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491019000010/0000724910-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491020000015/0000724910-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491021000008/0000724910-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,827632,-6161875,-2426214,-420000,4695362,127258,-2100442,646850,2107720,1758254,1797746,4780783,7187384,9782895,11999344,13360945,11381095,11828838,11135875,14368354,12292315,12948869,13912672,14507936,14526642,11694384
74,Depreciation and Amortization,- -,101983,206028,342166,240000,- -,256275,332290,511049,524733,573443,569886,530050,560528,473740,389273,411547,500121,647163,844339,934371,850970,1147451,979652,705197,549969,542926
75,Deferred Income Tax,- -,- -,-77760,133921,- -,- -,- -,- -,- -,-250000,-126904,990083,2289687,806307,256376,271651,294384,-12850,51262,121881,155713,295827,6144,96275,-31269,77779,-129155
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86672,100842,76720,80160,66720,53200,58960,21160,22000,40920,93360,48360,45572
77,Change in Working Capital,- -,-216544,2157404,1423319,-1000000,-325194,690843,-2137047,6906402,2859737,-4276725,2062323,-1239184,2151646,-265252,328070,7026674,9320035,-7246370,1776201,16401868,-3607676,2271908,-2392715,-5099536,6982502,-10253215
78,Accounts Receivable,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140671,-854866,625325,911399,163445,189821,-632400,719888,-1192716,548023,-106859,301620,729737
79,Inventory,- -,-117165,-113575,383704,-200000,- -,-503841,575601,-328561,-309078,-422905,-577010,132911,-439946,209183,541194,-1637430,114481,-107216,129259,-535159,537259,-153065,-292141,-614437,380426,-16327
80,Accounts Payable,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,1291726,3449130,- -,1400000,1074806,1765649,-371398,6535004,9394741,5118016,7180339,5941155,8092801,7827549,8155619,15182293,24502328,17255958,19032159,35434027,31826351,34098259,31705544,26606008,33588510,23335295
82,Other Non-Cash Items,- -,- -,3019866,160588,660000,-1659045,-608903,3226700,-7667944,-4368969,3062911,-2251195,-840860,-3796639,-336317,-625564,-8361463,-8456651,7297689,-1530072,-17049200,4456433,-4017212,2515124,4043306,-6289479,11464320
83,Cash Provided by Operating Activities,- -,713071,-856337,-366220,-520000,2711123,465473,-678499,396357,873221,990979,3168843,5520476,6909226,9998114,12463616,12808807,12811910,12645302,12401424,14870066,14309029,12379160,15151928,14218994,15895773,13364832
84,CAPEX,- -,-72325,-224573,-180473,-290000,- -,-359556,-224735,-422547,-773966,-846281,-74110,-321997,-817596,-401612,-305862,-732800,-1480237,-1824324,-160718,-185007,-287275,-519835,-604800,-68265,-52041,-62727
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-52000,- -,- -,-5836274,-615081,-226320,-3258612,-9506521,-16518287,-12137160,-13804629,-14742032,-18501362,-27209753,-22753916,-8997086,-14568089,-11528240,-18217410,-13672407,-7196330,-10512400
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1340019,11832804,1985034,258229,1580068,7761980,17194000,10055000,12160000,19725000,19400000,19540000,20800000,12500000,19000000
88,Other Investing Activites,- -,-287817,-6099024,- -,- -,1015739,- -,- -,- -,- -,- -,25500,- -,1500,4200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-360142,-6323597,-180473,-290000,963739,-359556,-224735,-6258821,-1389047,-1072601,-3307222,-8488499,-5501579,-10549538,-13852262,-13894764,-12219619,-11840077,-12859634,2977907,4869636,7351925,717790,7059328,5251629,8424873
90,Debt Repayment,- -,-111680,-191678,-269624,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,8866995,1750,- -,208050,1058965,113306,6281435,1130061,388511,253966,26479,47024,270207,622423,418705,36,144188,416760,302701,292909,247110,51040,217940,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-60779,260000,-25897,-19060,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1263405,- -,-2311673,- -,- -,- -,-687432,-91419
93,Dividends Paid,- -,- -,- -,- -,- -,-5912490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-19414864,-19346040,-19365040,-19374040,-19384040,-19336540
94,Other Financing Activites,- -,-125,269973,-198320,-30000,- -,-36015,-164894,-360461,-154207,-122480,-67430,2050605,33773,270413,280448,230173,- -,15734,57472,24288,352294,32616,- -,- -,112360,- -
95,Cash Used/Provided by Financing Activities,- -,-111805,8945290,-526973,230000,-5730337,1003890,-51588,5920974,975854,266031,186536,2077084,80797,540620,902871,648878,36,159922,-789173,-9673011,-21081334,-19066314,-19314000,-19156100,-19959112,-19427959
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,276713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,241124,1765356,-1073666,-580000,-1778762,1109807,-954822,58510,460028,184409,48157,-890939,1488444,-10804,-485775,-437079,592327,965147,-1247383,8174962,-1902669,664771,-3444282,2122222,1188290,2361746
98,Cash at the End of Period,- -,668083,2433439,1359773,520000,1002830,1492080,537258,595768,1055796,1240205,1288362,397423,1885867,1875063,1389288,952209,1544536,2509683,1262300,9437262,7534593,8199364,4755082,6877304,8065594,10427340
99,Cash at the Beginning of Period,- -,426959,668083,2433439,1100000,2781592,382273,1492080,537258,595768,1055796,1240205,1288362,397423,1885867,1875063,1389288,952209,1544536,2509683,1262300,9437262,7534593,8199364,4755082,6877304,8065594
100,Free Cash Flow,- -,640746,-1080910,-546693,-810000,2711123,105917,-903234,-26190,99255,144698,3094733,5198479,6091630,9596502,12157754,12076007,11331673,10820978,12240706,14685059,14021754,11859325,14547128,14150729,15843732,13302105
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/724910/0000724910-96-000008-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724910/000110465905025628/0001104659-05-025628-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000110465906036651/0001104659-06-036651-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000117184307000269/0001171843-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491008000006/0000724910-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491009000005/0000724910-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491010000007/0000724910-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491011000011/0000724910-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491012000011/0000724910-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491013000009/0000724910-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491014000018/0000724910-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491015000010/0000724910-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491016000052/0000724910-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491017000011/0000724910-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491018000008/0000724910-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491019000010/0000724910-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491020000015/0000724910-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/724910/000072491021000008/0000724910-21-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
