,https://roic.ai/company/UFPT,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1300000,1100000,900000,-1300000,1100000,2200000,3000000,3200000,3300000,3385043,-3740843,465997,-1508432,2144409,2170785,5054182,7247354,8424731,8180410,14380190,15716198,16666030,17398000,11561000,11714000,12237000,11693000,19612000,24708000,16732000,21218000
18,Operating Income ratio,0.0463,0.0377,0.0295,-0.0408,0.0323,0.0558,0.0659,0.0678,0.0561,0.0454,-0.0608,0.0076,-0.0248,0.0312,0.0259,0.0539,0.0774,0.0766,0.0824,0.1191,0.1235,0.1273,0.1250,0.0830,0.0844,0.0837,0.0791,0.1030,0.1245,0.0933,0.1028
19,Total Other Income Expenses (Gains),-700000,-800000,-500000,-900000,-400000,-500000,-700000,-500000,-500000,-1382978,-1013563,-843117,-846620,-784477,-1303486,-1045948,-504003,-314083,618149,46463,-26874,-92227,-205000,204000,27000,80000,166000,-1209000,-1062000,-449000,-13000
20,Income Before Tax,600000,300000,400000,- -,700000,1700000,2300000,2700000,2800000,2002065,-4754406,-377120,-2355052,1359932,867299,4008234,6743351,8110648,8798559,14426653,15689324,16573803,17193000,11765000,11741000,12317000,11859000,18403000,23646000,16283000,21205000
21,Income Before Tax Ratio,0.0214,0.0103,0.0131,- -,0.0205,0.0431,0.0505,0.0572,0.0476,0.0269,-0.0772,-0.0062,-0.0387,0.0198,0.0103,0.0428,0.0720,0.0737,0.0887,0.1195,0.1233,0.1266,0.1235,0.0845,0.0846,0.0843,0.0802,0.0966,0.1192,0.0908,0.1028
22,Income Tax expense (Gain),300000,100000,300000,- -,-200000,400000,1000000,1100000,1100000,920951,-1710968,-143325,-839323,488671,208208,1493361,2584250,2994648,2816575,5019136,4905708,5678506,5917000,4206000,4148000,4347000,2649000,4092000,3896000,2914000,5319000
23,Net Income,200000,- -,-200000,-2500000,900000,1300000,1300000,1600000,1700000,1081114,-3043438,-233795,-1515729,871261,659091,2514873,4159101,5116000,5929425,9247092,10346170,10895297,11276000,7559000,7593000,7970000,9210000,14311000,19750000,13369000,15886000
24,Net Income ratio,0.0071,- -,-0.0066,-0.0784,0.0264,0.0330,0.0286,0.0339,0.0289,0.0145,-0.0494,-0.0038,-0.0249,0.0127,0.0078,0.0268,0.0444,0.0465,0.0598,0.0766,0.0813,0.0832,0.0810,0.0543,0.0547,0.0545,0.0623,0.0751,0.0996,0.0745,0.0770
25,EPS,0.11,0.02,-0.07,-0.55,0.19,0.26,0.28,0.35,0.35,0.25,-0.72,-0.05,-0.34,0.19,0.14,0.50,0.78,0.92,1.02,1.50,1.60,1.63,1.65,1.08,1.07,1.11,1.27,1.95,2.66,1.79,2.12
26,EPS Diluted,0.11,0.02,-0.07,-0.55,0.19,0.26,0.27,0.34,0.35,0.25,-0.72,-0.05,-0.34,0.17,0.13,0.45,0.71,0.82,0.94,1.37,1.48,1.55,1.59,1.05,1.05,1.10,1.26,1.93,2.63,1.77,2.10
27,Weighted Average Shares Outstanding,1818182,3000000,3000000,4545455,4736842,4874125,4655586,4682210,4808640,4374271,4245033,4342879,4489984,4616983,4798008,5022532,5306948,5549830,5830000,6157310,6475540,6679000,6824000,7028000,7115000,7190000,7248000,7347000,7424000,7484000,7484000
28,Weighted Average Shares Outstanding Diluted,1818182,3000000,3000000,4545455,4736842,5000000,4863110,4830236,4895935,4386441,4245033,4342879,4489984,4994611,5260569,5571068,5861420,6262666,6294000,6749062,6999300,7028000,7105000,7175000,7219000,7275000,7337000,7430000,7516000,7566000,7566000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914156/000110465902000967/0001104659-02-000967-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465903005430/0001104659-03-005430-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465904008903/0001104659-04-008903-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465905013666/0001104659-05-013666-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465906019066/0001104659-06-019066-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465907022603/0001104659-07-022603-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465908020377/0001104659-08-020377-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465909020558/0001104659-09-020558-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465910017240/0001104659-10-017240-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465911014612/0001104659-11-014612-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465912018476/0001104659-12-018476-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465913020973/0001104659-13-020973-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465914019572/0001104659-14-019572-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465915019457/0001104659-15-019457-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465916104377/0001104659-16-104377-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184317001409/0001171843-17-001409-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184318002024/0001171843-18-002024-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184319001752/0001171843-19-001752-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184320001695/0001171843-20-001695-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184321001724/0001171843-21-001724-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184322001850/0001171843-22-001850-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,200000,1400000,400000,500000,100000,200000,500000,300000,94051,26767,25823,310137,317951,265352,1017122,9060347,6729370,14998514,24433761,29848798,33479519,37303000,34052000,29804000,31359000,37978000,3238000,3743000,24234000,11117000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,200000,1400000,400000,500000,100000,200000,500000,300000,94051,26767,25823,310137,317951,265352,1017122,9060347,6729370,14998514,24433761,29848798,33479519,37303000,34052000,29804000,31359000,37978000,3238000,3743000,24234000,11117000
34,Net Receivables,3500000,4400000,4700000,4600000,4900000,5600000,6400000,7900000,9700000,10692979,9453243,8542272,9558972,11818906,15299748,11628639,11795468,12754875,14218005,16047401,16705349,19549589,18569000,19662000,18667000,22056000,22398000,30606000,28927000,26428000,39384000
35,Inventory,1900000,1700000,2100000,2400000,2400000,2600000,3100000,4100000,5200000,6779950,5203015,4692830,4412606,5236232,6441592,5929677,5876626,8152746,7647517,8044336,9758623,9695060,11048000,12893000,14202000,14151000,12863000,19576000,18276000,18642000,33436000
36,Other Current Assets,300000,600000,400000,500000,700000,600000,100000,700000,600000,945998,2515582,1860691,1553751,1191741,1573665,1798748,1842570,2004963,1887161,2244149,1727624,1769875,1912000,1806000,930000,2281000,1835000,2206000,2304000,2560000,3383000
37,Total Current Assets,6400000,6900000,8600000,7900000,8500000,8900000,9800000,13200000,15800000,18512978,17198607,15121616,15835466,18564830,23580357,20374186,28575011,29641954,38751197,50769647,58040394,64494043,68832000,68413000,63603000,69847000,75074000,55626000,53250000,71864000,87320000
38,PP&E,3000000,3500000,6500000,6200000,7600000,9700000,11200000,10900000,10600000,12453565,12045203,11206171,11473158,11384350,10972721,10137184,9491819,11754324,12217895,12575140,13346457,23318296,25507000,34843000,46555000,48516000,53652000,57668000,59773000,55907000,65893000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6406037,- -,- -,- -,- -,6481037,6481037,6481037,6481037,6481037,6481037,7038631,7322000,7322000,7322000,7322000,7322000,51838000,51838000,51838000,107905000
40,Intangible Assets,- -,- -,4200000,4000000,3700000,2600000,2500000,4700000,4500000,6724907,- -,6481037,6481037,6481037,6481037,- -,- -,- -,817737,593829,398499,2083941,1346000,953000,636000,318000,- -,22232000,20975000,19718000,67585000
41,Intangible Assets,- -,- -,4200000,4000000,3700000,2600000,2500000,4700000,4500000,6724907,6406037,6481037,6481037,6481037,6481037,6481037,6481037,6481037,7298774,7074866,6879536,9122572,8668000,8275000,7958000,7640000,7322000,74070000,72813000,71556000,175490000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1594162,1648103,2384777,2697293,2494251,1387353,188650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,900000,1000000,900000,1000000,1000000,1700000,1700000,1100000,1000000,2660954,857510,925845,574634,504694,471650,657252,816257,845346,1183930,1389375,1454867,1682529,2013000,2159000,1834000,1931000,2159000,2234000,2922000,3877000,5429000
45,Total Non-Current Assets,3900000,4500000,11600000,11200000,12300000,14000000,15400000,16700000,16100000,21839426,20902912,20261156,20913606,21067374,20419659,18662826,16977763,19080707,20700599,21039381,21680860,34123397,36188000,45277000,56347000,58087000,63133000,133972000,135508000,131340000,246812000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10300000,11400000,20200000,19100000,20800000,22900000,25200000,29900000,31900000,40352404,38101519,35382772,36749072,39632204,44000016,39037012,45552774,48722661,59451796,71809028,79721254,98617440,105020000,113690000,119950000,127934000,138207000,189598000,188758000,203204000,334132000
48,Accounts Payable,1500000,2000000,3400000,2300000,1800000,2200000,1500000,2600000,2400000,4439577,3807564,2596162,2632497,3665722,6062841,4620399,5694152,3304194,4273625,5168589,3344480,4088003,3081000,5398000,4598000,4002000,4180000,6836000,4577000,4121000,10611000
49,Short-Term Debt,- -,- -,- -,- -,- -,2400000,3500000,5200000,6000000,6084458,7394938,7169118,8173199,9483611,9716426,1767341,1418664,1419462,623007,654331,580661,1550190,1721000,993000,1011000,856000,- -,2857000,674000,1169000,6239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,- -,- -,- -,- -,- -,- -,- -,- -,16000,909000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427000,- -,- -,- -,- -,2507000,2574000,1887000,4247000
52,Other Current Liabilities,2700000,3500000,2100000,4100000,4700000,1800000,2300000,3300000,3800000,3849817,5018967,3816122,3820705,3984887,4480239,5749949,6510216,6230001,6152826,6679381,5540163,7592842,6093000,5222000,5374000,4698000,5763000,8458000,8483000,7960000,13609000
53,Total Current Liabilities,4200000,5500000,5500000,6400000,6500000,6400000,7300000,11100000,12200000,14373852,16221469,13581402,14626401,17134220,20259506,12137689,13623032,10953657,11049458,12502301,9465304,13231035,12322000,11613000,10983000,9556000,9943000,20658000,16308000,15137000,34706000
54,Long-Term Debt,2200000,1800000,1900000,1600000,2500000,3200000,3200000,2100000,2700000,7589467,6677764,5865731,6222222,5850352,5286548,4603977,4658464,3941996,7501823,6846947,5638658,8313709,2867000,1873000,859000,- -,- -,22286000,- -,- -,78118000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,200000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113073,776877,880775,1292378,1589654,2436000,3588000,2883000,3459000,2440000,4129000,4921000,5057000,3263000
57,Other Non-Current Liabilities,- -,- -,300000,400000,400000,600000,600000,800000,800000,861645,1047973,1885213,2753820,2427227,3058943,3054653,2444805,1823544,1118197,1352529,1340131,2222238,1805000,1624000,1653000,1866000,2112000,2068000,5538000,6117000,23599000
58,Total Non-Current Liabilities,2200000,2000000,2500000,2200000,2900000,3800000,3800000,2900000,3500000,8451112,7725737,7750944,8976042,8277579,8345491,7658630,7103269,5878613,9396897,9080251,8271167,12125601,7108000,7085000,5395000,5325000,4552000,28483000,10459000,11174000,104980000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,984901,1897128,1646723,2363163,2317072,1612664,1612665,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3090000,2205000,9357000
61,Total Liabilities,6400000,7500000,8000000,8600000,9400000,10200000,11100000,14000000,15700000,22824964,23947206,21332346,23602443,25411799,28604997,19796319,20726301,16832270,20446355,21582552,17736471,25356636,19430000,18698000,16378000,14881000,14495000,49141000,26767000,26311000,139686000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,43884,42174,43657,45197,46786,48281,51568,53754,56667,59454,63388,65547,67499,69000,71000,72000,72000,73000,74000,74000,75000,75000
64,Retained Earnings,3800000,3800000,3600000,1100000,2000000,3300000,4600000,6200000,7900000,9009023,5965585,5731790,4216061,5087322,5746413,8261286,12420387,17536387,23465812,32712904,43059074,53954371,65230000,72789000,80382000,88352000,97562000,111802000,131552000,144921000,160807000
65,Other Comprehensive Income/Loss,-3700000,-4100000,-4500000,-5300000,-6200000,-7500000,-8900000,-9100000,-11100000,-13464427,-16334297,-18001433,-21699717,-23278982,-25750620,-27075279,-28777323,-28912455,-31364683,-32882135,-34289450,-36250906,-39067000,-40980000,-44009000,-48290000,-53064000,-54112000,-59350000,- -,- -
66,Other Total Stockholders Equity,3800000,4200000,13100000,14700000,15600000,16900000,18400000,18800000,19400000,21938960,24480851,26276412,30129654,31931470,34717092,37386961,40546122,42686789,46374296,49806332,52475362,55489840,59358000,63112000,67714000,72919000,79141000,82693000,89715000,31897000,33564000
67,Total Stockholders Equity,3900000,3900000,12200000,10500000,11400000,12700000,14100000,15900000,16200000,17527440,14154313,14050426,12691195,13786596,14761166,18624536,24242940,31367388,38534879,49700489,61310533,73260804,85590000,94992000,104159000,113053000,123712000,140457000,161991000,176893000,194446000
68,Total Liabilities And Stockholders Equity,10300000,11400000,20200000,19100000,20800000,22900000,25200000,29900000,31900000,40352404,38101519,35382772,36293638,39198395,43366163,38420855,44969241,48199658,58981234,71283041,79047004,98617440,105020000,113690000,120537000,127934000,138207000,189598000,188758000,203204000,334132000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455434,433809,633853,616157,583533,523003,470562,525987,674250,- -,- -,- -,-587000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10300000,11400000,20200000,19100000,20800000,22900000,25200000,29900000,31900000,40352404,38101519,35382772,36749072,39632204,44000016,39037012,45552774,48722661,59451796,71809028,79721254,98617440,105020000,113690000,119950000,127934000,138207000,189598000,188758000,203204000,334132000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914156/000110465902000967/0001104659-02-000967-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465903005430/0001104659-03-005430-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465904008903/0001104659-04-008903-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465905013666/0001104659-05-013666-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465906019066/0001104659-06-019066-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465907022603/0001104659-07-022603-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465908020377/0001104659-08-020377-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465909020558/0001104659-09-020558-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465910017240/0001104659-10-017240-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465911014612/0001104659-11-014612-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465912018476/0001104659-12-018476-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465913020973/0001104659-13-020973-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465914019572/0001104659-14-019572-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465915019457/0001104659-15-019457-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000110465916104377/0001104659-16-104377-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184317001409/0001171843-17-001409-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184318002024/0001171843-18-002024-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184319001752/0001171843-19-001752-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184320001695/0001171843-20-001695-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184321001724/0001171843-21-001724-index.htm,https://www.sec.gov/Archives/edgar/data/914156/000117184322001850/0001171843-22-001850-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,- -,-200000,-2500000,900000,1300000,1300000,1600000,1700000,1081114,-3043438,-233795,-1515729,871261,659091,2514873,4159101,5116000,5929425,9247092,10346170,10895297,11276000,7559000,7593000,7970000,9210000,14311000,19750000,13369000,15886000
74,Depreciation and Amortization,500000,500000,500000,1200000,1300000,1500000,1800000,1900000,2300000,3080927,3284543,2685650,2706392,2493300,2936691,3059702,2815021,2976550,2895062,3152193,2781002,2928185,4084000,4376000,4846000,5634000,5635000,7831000,8172000,8268000,8410000
75,Deferred Income Tax,-100000,- -,100000,-100000,-400000,100000,400000,200000,300000,- -,-547676,130911,-818794,304097,-97899,856605,1209664,16469,226950,305830,451702,610066,740000,1232000,437000,576000,-1019000,1881000,792000,136000,-1794000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1305789,900813,963710,1143672,860405,924000,1119000,1069000,1056000,1068000,1212000,1591000,1807000,2428000
77,Change in Working Capital,200000,-800000,1700000,-1600000,500000,500000,- -,-400000,1500000,539126,-3161988,563076,-331149,221545,1890241,4915646,6715482,3736318,9013442,10565607,10307744,2687918,5246992,290000,-4180000,7671000,4840000,-30163000,1974000,19785000,-10626000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-842332,804000,562000,-1011000,-3768000,-132000,-2556000,-327000,2220000,- -
79,Inventory,-200000,100000,-300000,-400000,- -,-200000,-200000,-100000,-1100000,47302,1576935,510185,250940,-823626,-1205360,598132,53051,-434506,1863118,-396819,-1714287,800977,-1353000,-1845000,-1309000,51000,1288000,-2295000,1300000,-366000,-4496000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2776715,392641,894964,507018,383440,-1007000,2317000,-800000,-596000,93000,1113000,-2472000,-681000,102000
81,Other Working Capital,2200000,1400000,3100000,1500000,2000000,2500000,2500000,2100000,3600000,4139126,977138,1540214,1209065,1430610,3320851,8236497,14951979,18688297,27701739,38267346,48575090,51263008,56510000,56800000,52620000,60291000,65131000,34968000,36942000,56727000,3187000
82,Other Non-Cash Items,400000,1000000,-300000,1300000,-1200000,-400000,-400000,1000000,-4500000,-1147384,5678131,-920777,708279,-2456616,-4379725,746582,-4752651,-6466081,-8276939,-11672663,-13314789,-1819686,-6164992,-3450000,3333000,-13514000,-2265000,26248000,-1050000,-18328000,-11000
83,Cash Provided by Operating Activities,1200000,700000,1800000,-1700000,1100000,3000000,3100000,4300000,1300000,3553783,2209572,2225065,748999,1433587,1008399,12093408,10146617,6685045,10688753,12561769,11715501,16162185,16106000,11126000,13098000,9393000,17469000,21320000,31229000,25037000,14293000
84,CAPEX,-400000,-1000000,-1100000,-1600000,-2400000,-3400000,-3900000,-3900000,-1900000,-2436927,-2418508,-930318,-1240349,-2141700,-1109995,-1515533,-2100584,-2763250,-1856837,-3285530,-3740891,-11993750,-5830000,-13436000,-16321000,-7293000,-10382000,-5428000,-5778000,-4368000,-5395000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5802123,- -,-150000,- -,- -,- -,-309229,- -,-5181066,-2435534,- -,- -,-3596575,-600000,- -,- -,- -,- -,-76978000,- -,- -,-96178000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,-200000,-3600000,-100000,100000,- -,-100000,300000,-1100000,67069,47873,58378,342300,12532,12531,45038,47538,92944,13364,12000,1222494,85963,38000,112000,53000,14000,7000,77000,4000,107000,114000
89,Cash Used for Investing Activites,-600000,-1200000,-4700000,-1700000,-2300000,-3400000,-4000000,-3600000,-3000000,-8171981,-2370635,-1021940,-898049,-2129168,-1097464,-1779724,-2053046,-7851372,-4279007,-3273530,-2518397,-15504362,-6392000,-13324000,-16268000,-7279000,-10375000,-82329000,-5774000,-4261000,-101459000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1418434,-2189355,-623552,-1281959,-739903,-6601000,-1777000,-996000,-1014000,-856000,-30857000,-25143000,-5511000,-29000
91,Common Stock Issued,- -,- -,- -,800000,- -,- -,100000,100000,- -,66851,70774,48859,47947,49731,75029,568043,296109,20563,- -,- -,250538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-587000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000,-105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,100000,4200000,1600000,1300000,100000,900000,-600000,1600000,4296669,548005,-1252928,385417,653664,-38563,-10129957,-346455,233221,4153753,875560,-419519,3712801,710000,724000,505000,455000,381000,57126000,193000,5226000,74078000
95,Cash Used/Provided by Financing Activities,-200000,100000,4200000,2400000,1300000,- -,1000000,-500000,1600000,4363520,93779,-1204069,433364,703395,36466,-9561914,-50346,-1164650,1859398,147008,-1450940,2972898,-5891000,-1053000,-1078000,-559000,-475000,26269000,-24950000,-285000,74049000
