,https://roic.ai/company/MOH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,11078000,17049000,51989000,52511000,72746000,96554000,58976000,94933000,121663000,146293000,95503000,165766000,154556000,114598000,235182000,326164000,514000000,488000000,-316000000,1241000000,1148000000,1151000000,1126000000
16,EBITDA ratio,0.0596,0.0518,0.1032,0.0815,0.0917,0.0822,0.0357,0.0473,0.0488,0.0470,0.0260,0.0406,0.0324,0.0190,0.0357,0.0338,0.0363,0.0275,-0.0159,0.0661,0.0682,0.0593,0.0405
17,Operating Income,17486000,24238000,50216000,1178324000,67747000,87563000,45780000,75811000,98327000,112605000,57393000,105001000,80173000,35473000,136560000,192917000,387000000,306000000,-555000000,1131000000,1044000000,1078000000,1020000000
18,Operating Income ratio,0.0941,0.0736,0.0997,1.8291,0.0854,0.0745,0.0277,0.0378,0.0394,0.0362,0.0156,0.0257,0.0168,0.0059,0.0207,0.0200,0.0273,0.0172,-0.0280,0.0603,0.0620,0.0555,0.0367
19,Total Other Income Expenses (Gains),-1190000,-197000,-561000,-1129925000,-1334000,122000,-1929000,-2353000,-4631000,-8714000,-13777000,-15509000,-15519000,-16408000,-55414000,-57613000,-65000000,-101000000,-57000000,-132000000,-72000000,-117000000,-145000000
20,Income Before Tax,16296000,24041000,49655000,48399000,66413000,87685000,43851000,73458000,93696000,103891000,43616000,89492000,64654000,19065000,81146000,135304000,322000000,205000000,-612000000,999000000,972000000,961000000,875000000
21,Income Before Tax Ratio,0.0877,0.0730,0.0986,0.0751,0.0837,0.0746,0.0266,0.0366,0.0376,0.0334,0.0119,0.0219,0.0136,0.0032,0.0123,0.0140,0.0227,0.0116,-0.0309,0.0532,0.0578,0.0495,0.0315
22,Income Tax expense (Gain),- -,- -,19453000,17891000,23896000,31912000,16255000,27731000,35366000,41493000,12748000,34522000,43836000,9275000,36316000,72726000,179000000,153000000,-100000000,292000000,235000000,288000000,216000000
23,Net Income,9453000,14964000,30129000,30508000,42517000,55773000,27596000,45727000,58330000,62398000,30868000,54970000,20818000,9790000,52929000,62223000,143000000,52000000,-512000000,707000000,737000000,673000000,659000000
24,Net Income ratio,0.0509,0.0454,0.0598,0.0474,0.0536,0.0475,0.0167,0.0228,0.0234,0.0200,0.0084,0.0135,0.0044,0.0016,0.0080,0.0064,0.0101,0.0029,-0.0258,0.0377,0.0438,0.0346,0.0237
25,EPS,0.31,0.50,1.01,1.02,1.27,1.38,0.67,1.09,1.37,1.50,0.79,1.33,0.45,0.21,1.16,1.25,2.55,0.14,-8.53,11.40,11.89,11.35,11.36
26,EPS Diluted,0.31,0.49,0.97,0.99,1.25,1.36,0.65,1.08,1.37,1.50,0.79,1.32,0.45,0.21,1.13,1.25,2.55,0.14,-9.07,10.61,11.47,11.23,11.26
27,Weighted Average Shares Outstanding,30000000,30000000,30000000,30000000,33336000,40447500,41566500,41949000,42412500,41658000,38976000,41631000,45756000,46380000,45717000,49727000,56000000,57000000,60000000,62000000,62000000,59300000,58000000
28,Weighted Average Shares Outstanding Diluted,30259500,30564000,30858000,30913500,33943500,41013000,42034500,42246000,42628500,41658000,38976000,41643939,46425000,46999000,46862000,49727000,56000000,57000000,60000000,66600000,64200000,59900000,58500000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1179929/000119312504026772/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312505044725/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312506053951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312507054663/0001193125-07-054663-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000089256908000330/a38671e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000095013409005437/0000950134-09-005437-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012310025132/0000950123-10-025132-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012311023069/a58840e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312512089404/0001193125-12-089404-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000144530513000387/0001445305-13-000387-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992914000004/moh-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992915000007/moh-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000231/0001179929-16-000231-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992917000046/0001179929-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992918000040/0001179929-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992919000032/0001179929-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992920000026/0001179929-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992921000024/0001179929-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992922000025/0001179929-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26120000,45785000,102750000,- -,141850000,228071000,249203000,403650000,459064000,387162000,469501000,455886000,493827000,795770000,935895000,1539063000,2329000000,2819000000,3186000000,2826000000,2452000000,4154000000,4438000000
32,Short-Term Investments,- -,- -,- -,2000000,98822000,88530000,103437000,81481000,242855000,189870000,174844000,295375000,336916000,342845000,703052000,1019462000,1801000000,1758000000,2693000000,1681000000,1946000000,1875000000,3202000000
33,Cash and Short-Term Investments,26120000,45785000,102750000,2000000,240672000,316601000,352640000,485131000,701919000,577032000,644345000,751261000,830743000,1138615000,1638947000,2558525000,4130000000,4577000000,5879000000,4507000000,4398000000,6029000000,7640000000
34,Net Receivables,- -,- -,- -,- -,53689000,65430000,73546000,118795000,111537000,132581000,142721000,168190000,179577000,149682000,331677000,596456000,610000000,1013000000,925000000,1330000000,1406000000,1672000000,2177000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,7696000,12287000,12660000,9576000,21137000,19369000,24340000,38488000,37762000,60829000,69040000,90416000,566000000,398000000,707000000,625000000,163000000,175000000,247000000
37,Total Current Assets,- -,- -,- -,- -,302057000,394318000,438846000,613502000,834593000,728982000,811406000,957939000,1048082000,1349126000,2039664000,3245397000,5306000000,5988000000,7511000000,6462000000,5967000000,7876000000,10064000000
38,PP&E,- -,- -,- -,13660000,18380000,25826000,31794000,41903000,49555000,65058000,78171000,100537000,190934000,221443000,292083000,340778000,393000000,454000000,342000000,241000000,385000000,391000000,396000000
39,Goodwill,- -,- -,- -,- -,- -,61978000,43259000,57659000,114997000,113466000,133408000,212228000,153954000,151088000,230738000,271964000,519000000,620000000,186000000,143000000,143000000,692000000,982000000
40,Intangible Assets,- -,- -,- -,6051000,12284000,36749000,81655000,85480000,92226000,79133000,80846000,105500000,101796000,77711000,98871000,89273000,122000000,140000000,70000000,47000000,29000000,249000000,270000000
41,Intangible Assets,- -,- -,- -,6051000,12284000,98727000,124914000,143139000,207223000,192599000,214254000,317728000,255750000,228799000,329609000,361237000,641000000,760000000,256000000,190000000,172000000,941000000,1252000000
42,Investments,- -,- -,- -,- -,7868000,4141000,8018000,- -,- -,96371000,95961000,62549000,62298000,13419000,10898000,102479000,109000000,110000000,119000000,120000000,79000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,1996000,- -,- -,- -,- -,4488000,- -,- -,- -,- -,- -,- -,18000000,10000000,103000000,117000000,79000000,69000000,106000000
44,Other Non-Current Assets,- -,- -,- -,- -,2000000,10847000,18242000,65931000,79934000,61688000,45443000,70461000,95082000,122035000,330683000,427324000,109000000,127000000,140000000,24000000,105000000,255000000,391000000
45,Total Non-Current Assets,- -,- -,- -,- -,42528000,139541000,182968000,250973000,336712000,420204000,433829000,551275000,604064000,585696000,963273000,1231818000,1270000000,1461000000,960000000,692000000,820000000,1656000000,2145000000
46,Other Assets,101636000,102012000,149620000,204966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,101636000,102012000,149620000,204966000,344585000,533859000,621814000,864475000,1171305000,1149186000,1245235000,1509214000,1652146000,1934822000,3002937000,4477215000,6576000000,7449000000,8471000000,7154000000,6787000000,9532000000,12209000000
48,Accounts Payable,- -,- -,- -,- -,116959000,183176000,248611000,- -,380872000,358689000,- -,492286000,549690000,184034000,319965000,241654000,362000000,385000000,366000000,390000000,455000000,641000000,842000000
49,Short-Term Debt,- -,- -,- -,- -,- -,171000,- -,- -,- -,- -,- -,- -,1197000,1155000,182008000,341000,449000000,472000000,653000000,240000000,18000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,29538000,101985000,60086000,50947000,141798000,122216000,196076000,223000000,315000000,282000000,211000000,249000000,375000000,370000000
52,Other Current Liabilities,- -,- -,- -,- -,2882000,8786000,1003000,354893000,46050000,- -,388248000,13176000,- -,501050000,669787000,1736702000,2788000000,3398000000,4256000000,3405000000,2547000000,3949000000,5835000000
53,Total Current Liabilities,- -,- -,- -,- -,119841000,192133000,249614000,354893000,426922000,388227000,490233000,565548000,601834000,828037000,1293976000,2174773000,3822000000,4570000000,5557000000,4246000000,3269000000,4965000000,7047000000
54,Long-Term Debt,- -,- -,3401000,3295000,- -,1723000,- -,45000000,200000000,227367000,184355000,188663000,240330000,261784000,416368000,704097000,962000000,975000000,1318000000,1020000000,1468000000,2352000000,2392000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,5315000,4796000,6700000,10136000,- -,12506000,16235000,33127000,37900000,580000,24271000,- -,15000000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,3422000,4066000,4554000,37716000,43769000,22928000,15403000,19711000,21782000,24787000,399076000,563632000,235000000,240000000,259000000,241000000,90000000,119000000,140000000
58,Total Non-Current Liabilities,- -,- -,3401000,3295000,3422000,11104000,9350000,89416000,253905000,250295000,212264000,224609000,295239000,324471000,816024000,1292000000,1197000000,1230000000,1577000000,1261000000,1558000000,2471000000,2532000000
59,Other Liabilities,80991000,67405000,88262000,112994000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186486000,200951000,198000000,198000000,198000000,198000000,231000000,225000000,219000000
61,Total Liabilities,80991000,67405000,84861000,109699000,123263000,203237000,258964000,444309000,680827000,638522000,702497000,790157000,897073000,1152508000,2110000000,3466773000,5019000000,5800000000,7134000000,5507000000,4827000000,7436000000,9579000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5000,25000,28000,28000,28000,28000,27000,26000,30000,46000,47000,46000,50000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,95262000,137779000,193552000,221148000,266875000,324760000,387158000,414622000,469592000,490410000,500200000,553129000,615352000,758000000,810000000,298000000,1012000000,1781000000,1860000000,2399000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,-2000000,-2000000,-2000000,-1000000,-171057000,-1000000,-1000000,-4000000,-2000000,-5000000,-8000000,4000000,37000000,-5000000
66,Other Total Stockholders Equity,20645000,34607000,64759000,- -,83518000,137042000,142674000,153263000,165690000,125479000,130090000,251435000,265617000,453124000,340762000,396040000,803000000,841000000,1044000000,643000000,- -,- -,- -
67,Total Stockholders Equity,20645000,34607000,64759000,95267000,221322000,330622000,362850000,420166000,490478000,510664000,542738000,719057000,755073000,782314000,892937000,1010442000,1557000000,1649000000,1337000000,1647000000,1960000000,2096000000,2630000000
68,Total Liabilities And Stockholders Equity,101636000,102012000,149620000,204966000,344585000,533859000,621814000,864475000,1171305000,1149186000,1245235000,1509214000,1652146000,1934822000,3002937000,4477215000,6576000000,7449000000,8471000000,7154000000,6787000000,9532000000,12209000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,101636000,102012000,149620000,204966000,344585000,533859000,621814000,864475000,1171305000,1149186000,1245235000,1509214000,1652146000,1934822000,3002937000,4477215000,6576000000,7449000000,8471000000,7154000000,6787000000,9532000000,12209000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1179929/000119312504026772/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312505044725/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312506053951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312507054663/0001193125-07-054663-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000089256908000330/a38671e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000095013409005437/0000950134-09-005437-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012310025132/0000950123-10-025132-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012311023069/a58840e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312512089404/0001193125-12-089404-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000144530513000387/0001445305-13-000387-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992914000004/moh-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992915000007/moh-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000231/0001179929-16-000231-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992917000046/0001179929-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992918000040/0001179929-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992919000032/0001179929-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992920000026/0001179929-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992921000024/0001179929-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992922000025/0001179929-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,30508000,42517000,55773000,27596000,45727000,58330000,62398000,30868000,54970000,20818000,9790000,52929000,62223000,143000000,52000000,-512000000,707000000,737000000,673000000,659000000
74,Depreciation and Amortization,- -,- -,- -,4112000,6333000,8869000,15125000,21475000,27967000,33688000,38110000,60765000,74383000,78764000,93866000,134404000,126000000,182000000,178000000,127000000,89000000,88000000,131000000
75,Deferred Income Tax,- -,- -,- -,-1332000,-101000,2175000,1705000,-399000,-9057000,-1688000,-1000,-4092000,13836000,-9887000,-31047000,-2352000,-7000000,22000000,-94000000,-6000000,10000000,-19000000,-24000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,7811000,7485000,9531000,17052000,20018000,28694000,21727000,23000000,26000000,46000000,27000000,39000000,57000000,72000000
77,Change in Working Capital,- -,- -,- -,33062000,182216000,19969000,-12953000,69377000,149062000,-66916000,-19582000,71218000,53857000,74841000,224599000,324936000,413376000,-66000000,536000000,262000000,-433000000,1064000000,1223000000
78,Accounts Receivable,- -,- -,- -,-11351000,-23041000,16744000,-6968000,-37478000,12096000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,27882000,14074000,5196000,64612000,67181000,47367000,- -,- -,- -,- -,23345000,60996000,11097000,84000000,-4000000,-12000000,45000000,2000000,78000000,138000000
81,Other Working Capital,- -,- -,- -,- -,182216000,202185000,189232000,258609000,407671000,340755000,321173000,392391000,446248000,521089000,745688000,1070624000,1484000000,1418000000,1954000000,2216000000,-280000000,558000000,1048000000
82,Other Non-Cash Items,- -,- -,- -,-20624000,-185414000,4263000,65785000,-33863000,-67676000,5138000,98491000,-30746000,45449000,174258000,-178958000,519319000,426624000,457000000,650000000,-1431000000,-15000000,27000000,58000000
83,Cash Provided by Operating Activities,- -,- -,- -,45726000,45551000,91049000,97258000,102317000,158626000,40431000,155371000,161646000,225395000,347784000,190083000,1060257000,1125000000,673000000,804000000,-314000000,427000000,1890000000,2119000000
84,CAPEX,- -,- -,- -,-6206000,-8352000,-10765000,-13960000,-20297000,-22299000,-34690000,-35870000,-48538000,-60581000,-78145000,-98049000,-114934000,-132000000,-176000000,-86000000,-30000000,-57000000,-74000000,-77000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-41000000,6000000,-70000000,-1000000,-11000000,-131000000,-84000000,9000000,-62000000,-44000000,-450000000,-48000000,- -,- -,- -,-755000000,-129000000
86,Purchases of Investments,- -,- -,- -,- -,-196762000,-441270000,-63774000,-148795000,-272480000,-263229000,-186764000,-302842000,-350032000,-306437000,-770083000,-953355000,-1923000000,-1929000000,-2718000000,-1444000000,-2536000000,-670000000,-2713000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,98027000,450039000,48227000,171225000,103718000,246524000,206293000,225106000,302667000,298006000,399595000,632800000,1126000000,1966000000,1771000000,2445000000,2302000000,1097000000,1329000000
88,Other Investing Activites,- -,- -,- -,-2919000,-11524000,-48023000,-2067000,-4187000,4788000,-12125000,-10372000,-31798000,-44981000,-16008000,-12774000,-56240000,-41000000,-15000000,-40000000,172000000,-2000000,2000000,-63000000
89,Cash Used for Investing Activites,- -,- -,- -,-9125000,-118611000,-50019000,-72574000,3946000,-256273000,-64520000,-37713000,-289072000,-236927000,-93584000,-543311000,-535729000,-1420000000,-202000000,-1073000000,1143000000,-293000000,-400000000,-1653000000
90,Debt Repayment,- -,- -,- -,-51000,-13737000,-74000,-11624000,-55459000,-52049000,- -,-9653000,-105000000,- -,-21129000,-87471000,-10449000,- -,- -,- -,-662000000,-240000000,-950000000,-723000000
91,Common Stock Issued,- -,- -,- -,- -,120847000,47282000,- -,2416000,4257000,- -,- -,111131000,- -,8205000,9402000,14040000,391000000,18000000,19000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-40000000,- -,- -,- -,- -,-49940000,-27712000,- -,-7000000,-3000000,-52662000,- -,- -,- -,- -,- -,-47000000,-606000000,-181000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,8500000,-2017000,8072000,101227000,200853000,2127000,2046000,107680000,56473000,63667000,624084000,75049000,694000000,1000000,617000000,-531000000,-265000000,1781000000,721000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-51000,75610000,45191000,-3552000,48184000,153061000,-47813000,-35319000,113811000,49473000,47743000,493353000,78640000,1085000000,19000000,636000000,-1193000000,-552000000,225000000,-183000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,36550000,2550000,86221000,21132000,154447000,55414000,-71902000,82339000,-13615000,37941000,301943000,140125000,603168000,790000000,490000000,367000000,-364000000,-418000000,1715000000,283000000
98,Cash at the End of Period,- -,- -,- -,139300000,141850000,228071000,249203000,403650000,459064000,387162000,469501000,455886000,493827000,795770000,935895000,1539063000,2329000000,2819000000,3186000000,2926000000,2508000000,4223000000,4506000000
99,Cash at the Beginning of Period,- -,- -,- -,102750000,139300000,141850000,228071000,249203000,403650000,459064000,387162000,469501000,455886000,493827000,795770000,935895000,1539000000,2329000000,2819000000,3290000000,2926000000,2508000000,4223000000
100,Free Cash Flow,- -,- -,- -,39520000,37199000,80284000,83298000,82020000,136327000,5741000,119501000,113108000,164814000,269639000,92034000,945323000,993000000,497000000,718000000,-344000000,370000000,1816000000,2042000000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1179929/000119312504026772/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312505044725/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312506053951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312507054663/0001193125-07-054663-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000089256908000330/a38671e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000095013409005437/0000950134-09-005437-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012310025132/0000950123-10-025132-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000095012311023069/a58840e10vk.htm,https://www.sec.gov/Archives/edgar/data/1179929/000119312512089404/0001193125-12-089404-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000144530513000387/0001445305-13-000387-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992914000004/moh-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992915000007/moh-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000231/0001179929-16-000231-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992917000046/0001179929-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992918000040/0001179929-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992919000032/0001179929-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992920000026/0001179929-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1179929/000117992921000024/0001179929-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992922000025/0001179929-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
