,https://roic.ai/company/LITE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,493900000,576800000,367700000,467700000,694500000,753200000,1360800000,1676600000,1743600000
67,Total Stockholders Equity,- -,281800000,335600000,380700000,533200000,654600000,961900000,1497100000,1749200000,1972800000
68,Total Liabilities And Stockholders Equity,- -,410700000,492100000,512600000,762100000,1268700000,1581500000,2716600000,3292600000,3551600000
69,Minority Interest,- -,- -,- -,- -,-35800000,-35800000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,410700000,492100000,512600000,726300000,1232900000,1581500000,2716600000,3292600000,3551600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1633978/000162828015007281/0001628280-15-007281-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000162828016019400/lumentumfy1610k.htm,https://www.sec.gov/Archives/edgar/data/1633978/000163397817000095/0001633978-17-000095-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397818000108/0001633978-18-000108-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397819000069/0001633978-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397820000011/0001633978-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1633978/000162828021017799/0001628280-21-017799-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,2600000,6500000,10700000,-3400000,9300000,-102500000,248100000,-36400000,135500000,397300000
74,Depreciation and Amortization,42000000,46000000,44800000,51000000,54600000,61000000,77200000,157500000,191900000,177100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,14500000,16300000,18500000,18200000,24900000,32700000,46800000,60700000,73200000,92900000
77,Change in Working Capital,-23400000,134100000,15700000,39600000,127100000,430300000,167100000,125600000,728200000,5200000
78,Accounts Receivable,10400000,6900000,-15100000,-17800000,-21800000,4200000,-30800000,27700000,5000000,20200000
79,Inventory,-1000000,-4400000,-13500000,-6200000,-3100000,-41700000,-7700000,40600000,32700000,-6600000
80,Accounts Payable,-20700000,-8200000,18700000,900000,28900000,-16900000,4800000,-10600000,-11700000,-34000000
81,Other Working Capital,-700000,133400000,149100000,188700000,315800000,746100000,913200000,1038800000,1767000000,1772200000
82,Other Non-Cash Items,400000,-148000000,-26900000,-96100000,-129300000,-336500000,-291700000,22700000,-604500000,66200000
83,Cash Provided by Operating Activities,36100000,54900000,62800000,9300000,86600000,85000000,247500000,330100000,524300000,738700000
84,CAPEX,-40800000,-31900000,-64200000,-53700000,-82000000,-138100000,-93200000,-166000000,-86000000,-84800000
85,Acquisitions Net,-3600000,- -,-12800000,- -,- -,-5100000,- -,-594300000,20100000,1300000
86,Purchases of Investments,- -,- -,- -,- -,- -,-290700000,-634300000,-269700000,-1341300000,-1991000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,8200000,600500000,251600000,423500000,2062200000
88,Other Investing Activites,-40700000,-31900000,-64100000,-53500000,- -,- -,- -,-1300000,-4000000,13300000
89,Cash Used for Investing Activites,-44300000,-31900000,-76900000,-53500000,-82000000,-425700000,-127000000,-779700000,-987700000,1000000
90,Debt Repayment,- -,- -,- -,- -,-2300000,- -,-6400000,-11300000,-510000000,-500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-200000000,-236000000
93,Dividends Paid,- -,- -,- -,- -,-500000,-900000,-700000,-700000,- -,- -
94,Other Financing Activites,13200000,-27700000,26200000,40700000,139200000,457600000,10900000,497100000,1038800000,-26900000
95,Cash Used/Provided by Financing Activities,13200000,-27700000,26200000,40700000,136400000,456700000,3800000,485100000,328800000,-263400000
96,Effect of Forex Changes on Cash,-100000,-800000,- -,-1900000,1400000,-200000,100000,-200000,- -,- -
97,Net Change In Cash,4900000,-5500000,12100000,-5400000,142600000,115800000,124400000,35300000,-134600000,476300000
98,Cash at the End of Period,13300000,7800000,19900000,14500000,157100000,272900000,397300000,432600000,298000000,774300000
99,Cash at the Beginning of Period,8400000,13300000,7800000,19900000,14500000,157100000,272900000,397300000,432600000,298000000
100,Free Cash Flow,-4700000,23000000,-1400000,-44400000,4600000,-53100000,154300000,164100000,438300000,653900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633978/000162828015007281/0001628280-15-007281-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000162828016019400/lumentumfy1610k.htm,https://www.sec.gov/Archives/edgar/data/1633978/000163397817000095/0001633978-17-000095-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397818000108/0001633978-18-000108-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397819000069/0001633978-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/1633978/000163397820000011/0001633978-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1633978/000162828021017799/0001628280-21-017799-index.htm
102,false,,,,,,,,,,
