,https://roic.ai/company/DXYN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,18600000,22300000,48400000,56000000,58400000,59000000,60400000,54200000,96300000,123100000,147100000,102400000,78600000,74400000,89600000,96300000,95400000,92000000,86100000,73900000,76675000,78900000,80500000,106500000,97500000,59200000,59838000,63600000,77100000,89623000,104240000,97333000,97266000,102807000,84564000,75637000,66578000
11,COGS and Expenses,239900000,283800000,535600000,565000000,541300000,530100000,484900000,448100000,575500000,683600000,719900000,617600000,630500000,471400000,546000000,566700000,516000000,479000000,240300000,266400000,298683000,314200000,304100000,311100000,248800000,233900000,264442000,264600000,336500000,400714000,420493000,399361000,408515000,420849000,372941000,315120000,330570000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2400000,2100000,- -,6800000,7600000,10800000,12200000,10800000,12800000,13700000,-15600000,-13000000,-12600000,-10300000,-13100000,-17200000,-17500000,-16026000,-7975000,-5125000,5948000,-7213000,-6347000,-5965000,-5521000,-4124000,3470000,3146000,3756000,4302000,4935000,5392000,5739000,6491000,6395000,5800000,4742000
14,Depreciation and Amortization,6300000,6400000,11000000,14600000,16200000,19000000,21700000,22700000,31200000,35200000,36000000,28200000,24500000,25000000,22330000,23440000,24007000,21319000,18324000,8601000,10058000,11500000,12941000,13752000,13504000,11575000,9649000,9396000,10262000,12909000,14119000,13515000,12947000,12653000,11440000,10746000,8474000
15,EBITDA,21500000,30100000,55900000,56200000,47900000,42400000,2300000,44800000,53000000,37000000,-44300000,-300000,30700000,-700000,34430000,-8760000,7607000,14084000,-11789000,23627000,30598000,14855000,16587000,-26520000,-42962000,151000,14789000,11241000,18675000,16862000,15914000,10007000,16640000,-3071000,32449000,7026000,14937000
16,EBITDA ratio,0.0848,0.1001,0.0963,0.0927,0.0839,0.0762,0.0047,0.0954,0.0891,0.0537,-0.0660,-0.0005,0.0464,-0.0014,0.0594,-0.0154,0.0142,0.0278,-0.0504,0.0809,0.0961,0.0449,0.0517,-0.0938,-0.2111,0.0007,0.0548,0.0422,0.0541,0.0415,0.0377,0.0252,0.0403,-0.0076,0.0866,0.0222,0.0438
17,Operating Income,13600000,17000000,44900000,41400000,29500000,26100000,7100000,21700000,19100000,4900000,15400000,25800000,34100000,28300000,35502000,1173000,17660000,28465000,14123000,25597000,19843000,19521000,16724000,-28396000,-45323000,-2570000,5668000,1815000,8591000,-5236000,1990000,-3415000,3965000,-15816000,21349000,-2919000,10001000
18,Operating Income ratio,0.0536,0.0565,0.0773,0.0683,0.0517,0.0469,0.0144,0.0462,0.0321,0.0071,0.0230,0.0419,0.0515,0.0570,0.0613,0.0021,0.0330,0.0561,0.0603,0.0877,0.0623,0.0590,0.0521,-0.1004,-0.2227,-0.0111,0.0210,0.0068,0.0249,-0.0129,0.0047,-0.0086,0.0096,-0.0390,0.0570,-0.0092,0.0293
19,Total Other Income Expenses (Gains),-800000,4600000,- -,-6600000,-5400000,-13500000,-38700000,-10400000,-10100000,-16800000,-80100000,-41300000,-15300000,-13600000,-15102000,-17073000,-16560000,-15965000,-28323000,-3697000,-5424000,-9821000,-6224000,-5604000,-5377000,-4430000,-3712000,-2915000,-3891000,6962000,-4982000,-5414000,-5778000,-6494000,-6387000,-6481000,-4743000
20,Income Before Tax,12800000,21600000,44900000,34800000,24100000,12600000,-31600000,11300000,9000000,-11900000,-64700000,-15500000,18800000,14700000,20400000,-15900000,1100000,12500000,-14200000,21900000,14419000,9700000,10500000,-34000000,-50700000,-7000000,1956000,-1100000,4700000,1726000,-2992000,-8829000,-1813000,-22310000,14962000,-9400000,5258000
21,Income Before Tax Ratio,0.0505,0.0718,0.0773,0.0574,0.0422,0.0227,-0.0642,0.0241,0.0151,-0.0173,-0.0965,-0.0252,0.0284,0.0296,0.0352,-0.0280,0.0021,0.0246,-0.0607,0.0750,0.0453,0.0293,0.0327,-0.1203,-0.2491,-0.0303,0.0072,-0.0041,0.0136,0.0042,-0.0071,-0.0222,-0.0044,-0.0551,0.0399,-0.0298,0.0154
22,Income Tax expense (Gain),5700000,8200000,18600000,13300000,12400000,5800000,-6200000,5600000,4300000,-8700000,-12500000,-4300000,7200000,5600000,8000000,-5700000,600000,4191000,-5138000,7851000,4456000,2868000,3693000,-2907000,-8845000,-2600000,684000,-401000,-643000,1053000,-714000,-3622000,7509000,-831000,-657000,-312000,105000
23,Net Income,7100000,13400000,26300000,21500000,11700000,6800000,-25400000,5700000,4700000,-3200000,-52200000,-11200000,11600000,-21000000,17200000,-9300000,500000,4600000,-17000000,12300000,10136000,7700000,6300000,-31400000,-42100000,-4700000,986000,-900000,5300000,-1402000,-2426000,-5278000,-9555000,-21384000,15271000,-9208000,1616000
24,Net Income ratio,0.0280,0.0445,0.0453,0.0355,0.0205,0.0122,-0.0516,0.0121,0.0079,-0.0046,-0.0778,-0.0182,0.0175,-0.0423,0.0297,-0.0164,0.0009,0.0091,-0.0726,0.0421,0.0318,0.0233,0.0196,-0.1111,-0.2069,-0.0203,0.0037,-0.0034,0.0154,-0.0034,-0.0057,-0.0133,-0.0232,-0.0528,0.0408,-0.0291,0.0047
25,EPS,0.02,2.24,2.42,1.83,1.14,0.79,-2.91,0.63,0.42,-0.24,-4.44,-1.00,1.03,-1.86,1.51,-0.81,0.04,0.39,-1.44,1.02,0.82,0.61,0.49,-2.52,-3.41,-0.37,0.08,-0.07,0.39,-0.11,-0.16,-0.34,-0.60,-1.35,0.94,-0.60,0.10
26,EPS Diluted,0.02,2.24,2.33,1.75,1.13,0.78,-2.91,0.62,0.41,-0.24,-4.44,-1.00,0.99,-1.86,1.47,-0.81,0.04,0.39,-1.44,0.98,0.79,0.59,0.48,-2.52,-3.41,-0.37,0.08,-0.07,0.39,-0.11,-0.16,-0.34,-0.60,-1.35,0.93,-0.60,0.09
27,Weighted Average Shares Outstanding,5725000,5982143,10867769,11748634,10263158,8607595,8728522,9047619,11190476,13333333,11756757,11200000,11262136,11290323,11384768,11513580,12925000,11705128,11773000,12119000,12416000,12702000,12788000,12449000,12331000,12524000,12585000,12638000,12737000,14382000,15536000,15638000,15699000,15764000,15822000,15437748,15114000
28,Weighted Average Shares Outstanding Diluted,5725000,5982143,11287554,12285714,10353982,8717949,8728522,9193548,11463415,13333333,11756757,11428571,11717172,11797753,11694558,11513580,12925000,11705128,11773000,12575000,12879000,12959000,12967000,12449000,12331000,12524000,12623000,12638000,12852000,14544000,15536000,15638000,15699000,15764000,15926000,15437748,15250000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29332/000002933202000003/0000029332-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/29332/000002933203000005/0000029332-03-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933204000004/0000029332-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933205000007/0000029332-05-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933206000010/0000029332-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933207000034/0000029332-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933208000023/0000029332-08-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933209000009/0000029332-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933210000013/0000029332-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933211000020/0000029332-11-000020-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933212000029/0000029332-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933213000045/0000029332-13-000045-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933214000034/0000029332-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933215000021/0000029332-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933216000142/0000029332-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933217000024/0000029332-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933218000026/0000029332-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933219000021/0000029332-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933220000012/0000029332-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933221000015/0000029332-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933222000046/0000029332-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3400000,2000000,1800000,2800000,12500000,2600000,1400000,2400000,11100000,862000,862000,500000,400000,100000,100000,200000,298000,500000,300000,394000,281000,140000,19000,18000,769000,1920000,1471000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13458000,11949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3400000,2000000,1800000,2800000,12500000,2600000,1400000,15858000,23049000,862000,862000,500000,400000,100000,100000,200000,298000,500000,300000,394000,281000,140000,19000,18000,769000,1920000,1471000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,28900000,17400000,14600000,29500000,8400000,19500000,21600000,18700000,40400000,26200000,35000000,31633000,31800000,32900000,33000000,26200000,28600000,29173000,32500000,44100000,50524000,50806000,43605000,46480000,42542000,37138000,37716000,40291000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,103300000,93200000,82700000,72700000,104000000,114900000,92900000,95100000,50800000,58000000,72871000,69600000,75900000,75200000,55200000,58300000,63939000,72200000,93700000,104207000,115146000,97237000,113657000,105195000,95509000,85399000,82739000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,32500000,20900000,21900000,82300000,15000000,10800000,11300000,-5058000,10751000,12738000,9715000,6800000,7800000,5800000,4500000,6900000,7589000,9900000,11700000,5970000,3362000,4376000,4669000,5204000,6179000,8296000,15916000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,152700000,156600000,130700000,135900000,166200000,151000000,149900000,124300000,146300000,110800000,106600000,115081000,108700000,117000000,114100000,86000000,94000000,100999000,115100000,149800000,161095000,169595000,145358000,164825000,152959000,139595000,133331000,140417000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,265500000,193500000,155800000,174400000,145200000,173600000,192200000,177300000,143600000,52600000,76300000,92948000,98400000,102400000,94100000,79800000,70200000,67541000,69500000,74500000,102489000,101146000,92807000,93785000,84111000,90277000,79978000,71192000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100500000,52598000,1006000,- -,56960000,56743000,33406000,- -,- -,- -,- -,- -,3389000,3389000,3389000,3389000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,63600000,35800000,31600000,63600000,52400000,52500000,50900000,50200000,- -,52600000,55600000,57177000,57000000,56700000,33400000,- -,- -,- -,- -,- -,3377000,3072000,2767000,2461000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,63600000,35800000,31600000,63600000,52400000,52500000,50900000,50200000,100500000,52600000,55600000,57177000,57000000,56700000,33400000,- -,- -,- -,- -,- -,6766000,6461000,6156000,5850000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,12600000,13500000,11900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,22800000,27100000,23000000,23500000,27600000,24600000,23900000,11500000,9600000,- -,11700000,11700000,10700000,5800000,4800000,- -,3800000,4100000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,-18100000,-12800000,-14400000,-12200000,-8700000,-9100000,-2800000,-11200000,-400000,200000,11797000,1900000,2400000,400000,7500000,9100000,14403000,13400000,20500000,20097000,21016000,24666000,19447000,15708000,17787000,19559000,23890000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,335600000,240400000,197400000,250700000,208400000,240900000,273300000,261900000,270300000,128200000,141700000,161922000,169000000,173200000,138600000,93100000,84100000,81944000,86700000,99100000,129352000,128623000,123629000,119082000,99819000,108064000,99537000,95082000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,488300000,397000000,328100000,386600000,374600000,391900000,423200000,386200000,416600000,239000000,248300000,277003000,277700000,290200000,252700000,179100000,178100000,182943000,201800000,248900000,290447000,298218000,268987000,283907000,252778000,247659000,232868000,235499000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,33100000,20400000,31500000,35800000,39300000,53600000,49400000,42500000,37500000,11400000,11200000,33224000,8400000,11500000,11300000,10900000,11900000,14668000,14900000,21700000,22108000,26483000,20683000,18541000,17779000,16084000,19058000,16748000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,13294000,13670000,9156000,6341000,7663000,8817000,8832000,8434000,7145000,2729000,4059000,6229000,9078000,10142000,10122000,9811000,7794000,9856000,9439000,5889000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23923000,11521000,9595000,- -,11697000,11726000,10713000,5830000,4759000,- -,5615000,6622000,12722000,- -,8212000,- -,6013000,4685000,3139000,1285000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,25500000,27000000,32100000,46300000,43200000,39300000,45100000,3983000,24409000,17949000,- -,7840000,9557000,5655000,8036000,13696000,17185000,13526000,19549000,16585000,34338000,24614000,31360000,24839000,20733000,22826000,30291000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,63800000,45900000,58500000,67900000,85600000,96800000,88700000,87600000,78700000,61000000,47900000,39565000,35600000,41600000,36500000,33200000,37500000,34582000,38100000,54100000,60493000,70963000,63631000,59712000,56425000,51358000,54462000,54213000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,181800000,192200000,128800000,160800000,154200000,143400000,187500000,153700000,136100000,55200000,66800000,83149000,81400000,79800000,85000000,59300000,58100000,65008000,80200000,101800000,117153000,115907000,98256000,123446000,120251000,103790000,91445000,94393000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10768000,- -,- -,- -,- -,- -,4804000,3824000,4072000,9376000,18370000,- -,1105000,568000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,40600000,32300000,36700000,34900000,33800000,38700000,38700000,90500000,26700000,22700000,20037000,25000000,26700000,23600000,19000000,20100000,14164000,15576000,18128000,10448000,2174000,19978000,20381000,16550000,19300000,23170000,20518000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000000,232800000,161100000,197500000,189100000,177200000,226200000,192400000,226600000,81900000,89500000,113954000,106400000,106500000,108600000,78300000,78200000,83976000,99600000,124000000,136977000,136451000,118234000,144932000,137369000,123090000,114615000,114911000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5837000,5539000,4727000,3937000,2547000,1806000,707000,532000,349000,- -,- -,- -,- -,- -,- -,- -,25295000,22727000,23220000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,317800000,278700000,219600000,265400000,274700000,274000000,314900000,280000000,305300000,142900000,137400000,153519000,142000000,148100000,145100000,111500000,115700000,118558000,137700000,178100000,197470000,207414000,181865000,204644000,193794000,174448000,169077000,169124000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43800000,45200000,45900000,46100000,47000000,47400000,47500000,47400000,46300000,47000000,48187000,49000000,49500000,50100000,50100000,50400000,50645000,39400000,39900000,47315000,48021000,48357000,48423000,49086000,47585000,46313000,47393000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,54600000,2400000,-8800000,2900000,-19900000,-2700000,-12000000,-11500000,-6900000,-23900000,-11500000,-1406000,6300000,12600000,-18800000,-60900000,-66800000,-65764000,-111800000,-106600000,-107952000,-110378000,-115656000,-125000000,-146384000,-131113000,-140321000,-138706000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215400000,-8200000,-5400000,-5400000,-3000000,-1800000,-1200000,-7600000,-8147000,-3180000,-1900000,-3606000,-8000,230000,-509000,4000,-31000,-88000,-238000,216000,-1513000,-2573000,-1960000,-1299000,-108000,-808000,-530000,30000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,331300000,80300000,77600000,77800000,76800000,75400000,74100000,77800000,78999000,76861000,77237000,80309000,80386000,79784000,76797000,78303000,78861000,79592000,136684000,137255000,155127000,155734000,156381000,157139000,156390000,157547000,158329000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,170500000,118300000,108600000,121200000,100000000,117900000,108300000,106200000,111352000,96081000,110837000,123484000,135678000,142114000,107588000,67507000,62430000,64385000,64046000,70771000,92977000,90804000,87122000,79263000,58984000,73211000,63791000,66375000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,488300000,397000000,328200000,386600000,374700000,391900000,423200000,386200000,416652000,238981000,248237000,277003000,277678000,290214000,252688000,179007000,178130000,182943000,201746000,248871000,290447000,298218000,268987000,283907000,252778000,247659000,232868000,235499000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,- -,- -,-52000,19000,63000,- -,22000,-14000,12000,93000,-30000,- -,54000,29000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,488300000,397000000,328100000,386600000,374600000,391900000,423200000,386200000,416600000,239000000,248300000,277003000,277700000,290200000,252700000,179100000,178100000,182943000,201800000,248900000,290447000,298218000,268987000,283907000,252778000,247659000,232868000,235499000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29332/000002933202000003/0000029332-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/29332/000002933203000005/0000029332-03-000005-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933204000004/0000029332-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933205000007/0000029332-05-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933206000010/0000029332-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933207000034/0000029332-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933208000023/0000029332-08-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933209000009/0000029332-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933210000013/0000029332-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933211000020/0000029332-11-000020-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933212000029/0000029332-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933213000045/0000029332-13-000045-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933214000034/0000029332-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933215000021/0000029332-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933216000142/0000029332-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933217000024/0000029332-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933218000026/0000029332-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933219000021/0000029332-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933220000012/0000029332-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933221000015/0000029332-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/29332/000002933222000046/0000029332-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7100000,13400000,- -,21500000,11700000,6800000,-25400000,5700000,4700000,-3200000,-52200000,-11200000,11600000,-21000000,17200000,-9300000,500000,4600000,-17000000,12300000,10136000,7700000,6300000,-31400000,-42100000,-4700000,986000,-900000,5300000,-1402000,-2426000,-5278000,-9555000,-21384000,15271000,-9208000,1616000
74,Depreciation and Amortization,6300000,6400000,- -,14600000,16200000,19000000,21700000,22700000,31200000,35200000,36000000,28200000,24500000,25000000,22330000,23440000,24007000,21319000,18324000,8601000,10058000,11500000,12941000,13752000,13504000,11575000,9649000,9396000,10262000,12909000,14119000,13515000,12947000,12653000,11440000,10746000,8474000
75,Deferred Income Tax,- -,- -,- -,- -,7300000,- -,-6900000,4200000,- -,-7400000,-11400000,-5400000,4000000,-7900000,2045000,3647000,-1271000,843000,-13859000,567000,-486000,369000,-990000,797000,-1964000,-3307000,-254000,- -,-1037000,264000,-730000,-3260000,8181000,-537000,-487000,-343000,-69000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,1193000,888000,663000,937000,847000,1195000,1406000,1324000,940000,-29000,483000,431000,477000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,88900000,21800000,-38500000,-4200000,12600000,-26400000,7000000,-24500000,30900000,-17800000,8900000,16816000,-2416000,2300000,2200000,-24800000,3700000,9917000,10583000,18700000,4902000,-1970000,-16905000,23386000,-8579000,10021000,11635000,-21335000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,2200000,-2500000,900000,7700000,1500000,-2800000,3500000,10000000,26400000,2200000,-12685000,-5122000,22045000,-2214000,-7549000,-6708000,-14879000,3271000,-6328000,761000,20011000,-3133000,-5650000,-8115000,-19283000,743000,-10939000,17909000,-16420000,8462000,9686000,10110000,-14838000
