,https://roic.ai/company/SHW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,679200000,518300000,614400000,665500000,727600000,790200000,873800000,981000000,1036400000,1079000000,1153300000,1412700000,1712700000,1746200000,1829200000,1900397000,1729855000,1784527000,1881664000,2068936000,2326220000,2512927000,2597468000,2662899000,2568395000,2731925000,2963545000,3266384000,3464930000,3859012000,3944589000,4202367000,5007622000,5528189000,5610700000,5828400000,5878000000
11,COGS and Expenses,2054500000,1410600000,1642600000,1815500000,1960800000,2083600000,2326200000,2504100000,2678300000,2791200000,2952500000,3714300000,4357900000,4402800000,4428700000,4644380000,4576231000,4630728000,4834133000,5481314000,6436516000,6908046000,7004433000,7143826000,6399475000,7027271000,7984682000,8594620000,9033896000,9824061000,9724667000,10135704000,13210199000,15644120000,15475400000,15507500000,17279900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3930000,2393000,2929000,3711000,2913000,3242000,2995000,1399000,4960000,8571000,5286000,25900000,3600000,4900000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65684000,40026000,70595000,42497000,42788000,62714000,64205000,61791000,154088000,263471000,366734000,349300000,340400000,334700000
14,Depreciation and Amortization,- -,- -,- -,- -,42000000,44500000,47900000,66300000,55100000,60500000,77900000,103600000,139200000,147900000,155800000,160030000,148098000,115648000,116564000,137284000,152240000,145917000,163479000,165511000,170904000,175311000,180904000,179202000,187794000,198945000,198562000,197711000,491761000,596281000,574900000,581400000,572600000
15,EBITDA,128600000,184100000,164500000,163100000,212200000,231800000,246700000,210500000,319400000,359000000,396400000,479000000,566500000,588000000,646000000,303436000,572547000,429676000,639490000,716200000,807099000,980229000,1076422000,945670000,833747000,923690000,964949000,1129299000,1336466000,1521376000,1809319000,1947032000,2241911000,2322665000,2906000000,3441000000,3155900000
16,EBITDA ratio,0.0586,0.1186,0.0918,0.0836,0.0999,0.1023,0.0971,0.0766,0.1083,0.1158,0.1211,0.1159,0.1161,0.1192,0.1291,0.0582,0.1130,0.0829,0.1183,0.1171,0.1122,0.1255,0.1345,0.1185,0.1175,0.1188,0.1101,0.1184,0.1312,0.1367,0.1596,0.1642,0.1496,0.1325,0.1623,0.1874,0.1582
17,Operating Income,140400000,142300000,150100000,135000000,162700000,183100000,215200000,243700000,271000000,308900000,321300000,418600000,523200000,531600000,575100000,567244000,489774000,554060000,573631000,632475000,754145000,901713000,1000859000,835901000,694774000,749153000,781017000,939842000,1151636000,1305472000,1614637000,1719898000,1773589000,1890373000,2425400000,2854200000,3083700000
18,Operating Income ratio,0.0640,0.0916,0.0837,0.0692,0.0766,0.0808,0.0847,0.0887,0.0919,0.0996,0.0981,0.1013,0.1072,0.1077,0.1149,0.1088,0.0967,0.1069,0.1061,0.1035,0.1049,0.1155,0.1250,0.1048,0.0979,0.0963,0.0891,0.0986,0.1131,0.1173,0.1424,0.1451,0.1184,0.1078,0.1355,0.1554,0.1546
19,Total Other Income Expenses (Gains),-11800000,31800000,11600000,28100000,7500000,4200000,-16400000,-17700000,-6700000,-10400000,-2800000,-43200000,-95900000,-91500000,-84900000,-423838000,-65325000,-56896000,-50705000,-52280000,-97930000,-67401000,-87916000,-121426000,-71957000,-71369000,-39469000,-32533000,-65678000,-47246000,-65671000,-124665000,-245370000,-530723000,-443600000,-335000000,-835100000
20,Income Before Tax,128600000,174100000,161700000,163100000,170200000,187300000,198800000,226000000,264300000,298500000,318500000,375400000,427300000,440100000,490200000,143406000,424449000,497164000,522926000,580195000,656215000,834312000,912943000,714475000,622817000,677784000,741548000,907309000,1085958000,1258226000,1548966000,1595233000,1528219000,1359650000,1981800000,2519200000,2248600000
21,Income Before Tax Ratio,0.0586,0.1121,0.0902,0.0836,0.0802,0.0826,0.0782,0.0822,0.0896,0.0963,0.0973,0.0908,0.0875,0.0892,0.0980,0.0275,0.0838,0.0959,0.0967,0.0949,0.0913,0.1068,0.1140,0.0895,0.0878,0.0872,0.0846,0.0952,0.1066,0.1131,0.1366,0.1346,0.1020,0.0775,0.1107,0.1372,0.1127
22,Income Tax expense (Gain),54000000,78100000,67900000,62000000,61300000,64600000,70600000,81400000,99100000,111900000,117800000,146200000,166700000,167200000,186300000,127380000,161291000,186463000,190868000,185662000,191601000,258254000,297365000,237599000,186969000,215299000,299688000,276275000,333397000,392339000,495117000,462530000,-285583000,250904000,440500000,488800000,384200000
23,Net Income,74600000,106000000,96600000,101100000,108900000,122700000,128200000,62800000,165200000,186600000,200700000,229200000,260600000,272900000,303900000,16026000,263158000,127565000,332058000,393254000,463258000,576058000,615578000,476876000,435848000,462485000,441860000,631034000,752561000,865887000,1053849000,1132703000,1772262000,1108746000,1541300000,2030400000,1864400000
24,Net Income ratio,0.0340,0.0683,0.0539,0.0518,0.0513,0.0541,0.0504,0.0229,0.0560,0.0602,0.0613,0.0555,0.0534,0.0553,0.0607,0.0031,0.0519,0.0246,0.0614,0.0643,0.0644,0.0738,0.0769,0.0598,0.0614,0.0595,0.0504,0.0662,0.0739,0.0778,0.0929,0.0955,0.1183,0.0632,0.0861,0.1106,0.0935
25,EPS,0.14,0.20,0.18,0.19,0.21,0.24,0.24,0.12,0.31,0.36,0.39,0.44,0.50,0.53,0.60,0.03,0.56,0.28,0.76,0.93,1.13,1.44,1.61,1.36,1.28,1.43,1.41,2.21,2.47,2.98,3.79,4.11,6.36,3.97,5.60,7.48,7.10
26,EPS Diluted,0.14,0.20,0.18,0.19,0.21,0.24,0.24,0.12,0.31,0.36,0.39,0.44,0.50,0.52,0.60,0.03,0.56,0.28,0.75,0.91,1.09,1.40,1.57,1.33,1.26,1.40,1.38,2.16,2.42,2.93,3.72,4.00,6.22,3.89,5.50,7.36,6.98
27,Weighted Average Shares Outstanding,545853659,538983051,526909091,522931034,518571429,518450704,526849315,523333333,532903226,518333333,514615385,516992481,517748344,518164557,503701657,480780000,467144379,450229412,435010480,422853763,409962832,400968445,381556612,350506299,340543197,321064872,310413969,305144703,302692536,288570303,276591621,275515809,278725914,278977371,275410584,271277583,262500000
28,Weighted Average Shares Outstanding Diluted,545853659,538983051,526909091,522931034,518571429,518450704,526849315,523333333,532903226,518333333,514615385,516992481,521200000,521464968,506500000,480780000,469925000,455589286,440784956,433736029,423711585,412452029,392922128,358029687,346268799,326356551,317015919,311791287,309146613,294226305,282072408,283464258,284781639,284964210,280340526,275827869,267100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89800/000095015295000337/0000950152-95-000337-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89800/000095015206001786/0000950152-06-001786-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015207001637/0000950152-07-001637-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015208001496/0000950152-08-001496-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015209001707/0000950152-09-001707-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012310016198/0000950123-10-016198-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012311017092/0000950123-11-017092-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000119312512075061/0001193125-12-075061-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980013000046/0000089800-13-000046-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980014000045/0000089800-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980015000004/0000089800-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/0000089800-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980017000005/0000089800-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980018000004/0000089800-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980019000004/0000089800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980020000005/0000089800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980021000010/0000089800-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980022000007/0000089800-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,251400000,249500000,1900000,3500000,19100000,18600000,2896000,118814000,164012000,302813000,45932000,36041000,469170000,27325000,26212000,69329000,58585000,32696000,862590000,744889000,40732000,205744000,889793000,204213000,155505000,161800000,226600000,165700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,251400000,249500000,1900000,3500000,19100000,18600000,2896000,118814000,164012000,302813000,45932000,36041000,490370000,27325000,26212000,69329000,58585000,32696000,862590000,744889000,40732000,205744000,889793000,204213000,155505000,161800000,226600000,165700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000000,334300000,452400000,546300000,604500000,606000000,594162000,523278000,493935000,544070000,724385000,809277000,864972000,870675000,769985000,696055000,916661000,989873000,1032508000,1097751000,1130565000,1114275000,1230987000,2104555000,2018768000,2088900000,2078100000,2352400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,459200000,463100000,642700000,721700000,682500000,703400000,703727000,632763000,624650000,638237000,772852000,808544000,825179000,887465000,864200000,738488000,917701000,926809000,920324000,970815000,1033527000,1018530000,1068326000,1801375000,1815275000,1889600000,1804100000,1927200000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000000,192000000,319200000,260800000,241200000,269400000,250754000,232090000,223396000,230024000,238759000,240523000,269760000,284115000,248808000,266147000,320775000,312215000,333816000,345262000,361956000,320325000,438192000,355697000,354939000,491400000,482600000,608400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188600000,1238900000,1416200000,1532300000,1547300000,1597400000,1551539000,1506945000,1505993000,1715144000,1781928000,1894385000,2450281000,2069580000,1909205000,1770019000,2213722000,2261593000,3149238000,3158717000,2566780000,2658874000,3627298000,4465840000,4344487000,4631700000,4591400000,5053700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,409200000,456400000,549400000,692300000,718900000,711700000,722379000,672688000,664600000,650250000,720360000,745148000,828781000,899372000,860125000,818685000,952118000,956530000,965896000,1021383000,1021030000,1041862000,1095888000,1877115000,1776839000,3520800000,3595600000,3687900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916464000,996613000,1006712000,1014825000,1102458000,1108008000,1156005000,1178687000,1158346000,1143333000,1126892000,6814345000,6956702000,7004800000,7049100000,7134600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,138200000,212200000,774700000,1471300000,1414800000,1314500000,964632000,919886000,738246000,750733000,1208344000,1178317000,285922000,351144000,299963000,279413000,320504000,305873000,347553000,313299000,289127000,255371000,255010000,6002361000,5201579000,4734500000,4471200000,4001500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,138200000,212200000,774700000,1471300000,1414800000,1314500000,964632000,919886000,738246000,750733000,1208344000,1178317000,1202386000,1347757000,1306675000,1294238000,1422962000,1413881000,1503558000,1491986000,1447473000,1398704000,1381902000,12816706000,12158281000,11739300000,11520300000,11136100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000000,233600000,254300000,339900000,384500000,428500000,512120000,528406000,523473000,566481000,563519000,551345000,513639000,538631000,339754000,440913000,580433000,597248000,616045000,710421000,670769000,692415000,647433000,798766000,854672000,604400000,694300000,789000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,773400000,902200000,1578400000,2503500000,2518200000,2454700000,2199131000,2120980000,1926319000,1967464000,2492223000,2474810000,2544806000,2785760000,2506554000,2553836000,2955513000,2967659000,3085499000,3223790000,3139272000,3132981000,3125223000,15492587000,14789792000,15864500000,15810200000,15613000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962000000,2141100000,2994600000,4035800000,4065500000,4052100000,3750670000,3627925000,3432312000,3682608000,4274151000,4369195000,4995087000,4855340000,4415759000,4323855000,5169235000,5229252000,6234737000,6382507000,5706052000,5791855000,6752521000,19958427000,19134279000,20496200000,20401600000,20666700000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,258900000,276900000,385900000,424200000,408100000,458900000,448799000,454410000,522339000,587935000,650977000,719977000,779369000,740797000,738093000,674766000,909649000,965149000,922999000,998484000,1042182000,1157561000,1034608000,1791552000,1799424000,1876300000,2117800000,2403000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170200000,160800000,118200000,122300000,126230000,111852000,15001000,10596000,250029000,134174000,582631000,671994000,530008000,34941000,396467000,354136000,72724000,599499000,682701000,42616000,741214000,634910000,635594000,634500000,412500000,1433800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183500000,160300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,338100000,342000000,494900000,530700000,585700000,608700000,540214000,575091000,546156000,555639000,619131000,700220000,712815000,728594000,668635000,683961000,757824000,843376000,880713000,930574000,955783000,941682000,1053357000,1560718000,1862729000,2011100000,2064100000,1882700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000000,618900000,1051000000,1115700000,1112000000,1189900000,1115243000,1141353000,1083496000,1154170000,1520137000,1554371000,2074815000,2141385000,1936736000,1393668000,2063940000,2162661000,1876436000,2528557000,2680666000,2141859000,2829179000,3987180000,4297747000,4521900000,4594400000,5719500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,24000000,142700000,843900000,730300000,624400000,623587000,503517000,506682000,502992000,488239000,486996000,291876000,293454000,303727000,782670000,648326000,639231000,1632165000,1122373000,1122715000,1920196000,1211326000,9885745000,8708057000,8050700000,9701000000,10061600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1434196000,1130872000,969900000,846100000,768200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,291200000,286100000,399700000,484000000,507300000,539300000,539976000,495291000,500244000,566589000,614824000,597216000,636036000,634774000,569648000,656567000,847529000,910441000,934332000,957042000,906201000,861890000,833575000,959118000,1266858000,2830400000,1649300000,1680200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,311700000,310100000,542400000,1327900000,1237600000,1163700000,1163563000,998808000,1006926000,1069581000,1103063000,1084212000,927912000,928228000,873375000,1439237000,1495855000,1549672000,2566497000,2079415000,2028916000,2782086000,2044901000,12279059000,11105787000,11851000000,12196400000,12510000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1742300000,1821400000,1880400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,908700000,929000000,1593400000,2443600000,2349600000,2353600000,2278806000,2140161000,2090422000,2223751000,2623200000,2638583000,3002727000,3069613000,2810111000,2832905000,3559795000,3712333000,4442933000,4607972000,4709582000,4923945000,4874080000,16266239000,15403534000,16372900000,16790800000,18229500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171819000,34702000,433215000,324733000,216753000,216753000,216753000,160273000,101086000,40406000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206300000,206848000,208031000,209836000,212409000,216396000,218935000,222985000,225577000,227147000,228647000,231346000,107454000,111623000,112902000,114525000,115761000,116563000,117561000,118373000,119400000,89900000,90800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096100000,1242200000,1411300000,1602500000,1797900000,2020900000,1948753000,2120927000,2157485000,2398854000,2695193000,3044863000,3485564000,3935485000,4245141000,4518428000,4824489000,756372000,1226467000,1774050000,2424674000,3228876000,4049497000,5502730000,6246548000,7366900000,844300000,2121700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-483400000,-531100000,-584500000,-665600000,-721400000,-736300000,-808030000,-891948000,-912905000,-961544000,-1031268000,-214000000,-262000000,-199000000,-411000000,-317000000,-278000000,-368000000,-370000000,-321000000,-472000000,-587000000,-540000000,-385000000,-630000000,-680000000,-718300000,-698400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,440600000,501000000,574400000,655300000,639400000,207600000,124293000,50754000,-112526000,-190862000,-404894000,-1353888000,-1887404000,-2501068000,-2672393000,-3155878000,-3385148000,860820000,722628000,168177000,-1070729000,-1889727000,-1747619000,-1543103000,-2004176000,-2683000000,3394900000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053300000,1212100000,1401200000,1592200000,1715900000,1698500000,1471864000,1487764000,1341890000,1458857000,1647246000,1730612000,1992360000,1785727000,1605648000,1490950000,1609440000,1516919000,1791804000,1774535000,996470000,867910000,1878441000,3692188000,3730745000,4123300000,3610800000,2437200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962000000,2141100000,2994600000,4035800000,4065500000,4052100000,3750670000,3627925000,3432312000,3682608000,4270446000,4369195000,4995087000,4855340000,4415759000,4323855000,5169235000,5229252000,6234737000,6382507000,5706052000,5791855000,6752521000,19958427000,19134279000,20496200000,20401600000,20666700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962000000,2141100000,2994600000,4035800000,4065500000,4052100000,3750670000,3627925000,3432312000,3682608000,4274151000,4369195000,4995087000,4855340000,4415759000,4323855000,5169235000,5229252000,6234737000,6382507000,5706052000,5791855000,6752521000,19958427000,19134279000,20496200000,20401600000,20666700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/89800/000095015295000337/0000950152-95-000337-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89800/000095015206001786/0000950152-06-001786-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015207001637/0000950152-07-001637-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015208001496/0000950152-08-001496-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095015209001707/0000950152-09-001707-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012310016198/0000950123-10-016198-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000095012311017092/0000950123-11-017092-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000119312512075061/0001193125-12-075061-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980013000046/0000089800-13-000046-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980014000045/0000089800-14-000045-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980015000004/0000089800-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/0000089800-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980017000005/0000089800-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980018000004/0000089800-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980019000004/0000089800-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980020000005/0000089800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980021000010/0000089800-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89800/000008980022000007/0000089800-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,108900000,122700000,128200000,62800000,165200000,186600000,200700000,229200000,260600000,272900000,303900000,16026000,263158000,127565000,332058000,393254000,463258000,576058000,615578000,476876000,435848000,462485000,441860000,631034000,752561000,865887000,1053849000,1132703000,1772262000,1108746000,1541300000,2030400000,1864400000
74,Depreciation and Amortization,- -,- -,- -,- -,42000000,44500000,47900000,66300000,55100000,60500000,77900000,103600000,139200000,147900000,155800000,160030000,148098000,115648000,116564000,137284000,152240000,145917000,163479000,165511000,170904000,175311000,180904000,179202000,187794000,198945000,198562000,197711000,491761000,596281000,574900000,581400000,572600000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,- -,-3800000,-5200000,-21900000,-18300000,-3300000,-14200000,59200000,30600000,21200000,-26886000,15677000,19747000,39872000,17227000,-16048000,-11352000,27725000,32169000,-8605000,20070000,16913000,-10422000,27775000,-19038000,4976000,-68241000,-606135000,-143378000,-131100000,-145300000,-80300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41114000,23271000,42276000,48176000,54348000,58004000,64735000,72342000,72109000,90292000,82588000,101700000,95900000,97700000
77,Change in Working Capital,- -,- -,- -,- -,7600000,- -,- -,- -,- -,591600000,28400000,-254800000,51400000,18700000,-27800000,28796000,-70704000,56905000,138477000,-299183000,78223000,35452000,-447271000,44274000,403882000,-226569000,-50850000,1173870000,-642642000,-744046000,630901000,281104000,-319459000,-431920000,63060000,-112800000,-700100000
