,https://roic.ai/company/CCO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,136763000,146268000,140846000,90483000,87099000,69522000,47073000,41676000,23806000,9407000,15999000,3461000,4310000,6971000,573000,227000,408176000,365189000,337857000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42453000,57764000
51,Deferred Revenue,- -,- -,- -,- -,83196000,96421000,121558000,109511000,109578000,100675000,89980000,107034000,107943000,94635000,91411000,67005000,59178000,85052000,84035000,64313000,76712000
52,Other Current Liabilities,1825904000,642330000,324488000,359245000,356749000,533027000,574345000,494542000,505120000,542530000,498966000,596357000,563766000,543818000,724682000,480872000,509801000,530823000,593725000,559545000,589808000
53,Total Current Liabilities,1825904000,642330000,736202000,749055000,793812000,841509000,921292000,791865000,771093000,785421000,720983000,811405000,773590000,717829000,920613000,641718000,657512000,729816000,1180524000,1090206000,1112944000
54,Long-Term Debt,- -,- -,70254000,30112000,2586940000,2597883000,2594922000,2532332000,2561805000,2522133000,2522103000,4935388000,4919377000,4930468000,5156924000,5110020000,5266153000,5277108000,5063724000,5550890000,6894705000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68048000,- -,- -,- -,- -,- -,7257000,19133000,1009000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1003866000,841911000,828568000,822932000,673068000,656150000,620255000,608910000,640567000,318107000,335015000,416066000,356269000,324579000
57,Other Non-Current Liabilities,568322000,1704932000,1611560000,1668811000,160879000,214220000,220796000,178875000,256236000,251873000,156037000,239832000,250167000,234800000,240419000,259311000,263158000,262608000,1786671000,1540510000,161097000
58,Total Non-Current Liabilities,568322000,1704932000,1681814000,1698923000,2747819000,2812103000,2815718000,3715073000,3659952000,3602574000,3569120000,5848288000,5825694000,5785523000,6006253000,6009898000,5854675000,5893864000,7267470000,7447669000,7380381000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1947625000,1685552000,1627609000
61,Total Liabilities,2394226000,2347262000,2418016000,2447978000,3541631000,3653612000,3737010000,4506938000,4431045000,4387995000,4290103000,6659693000,6599284000,6503352000,6926866000,6651616000,6512187000,6623680000,8447994000,8537875000,8493325000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3502000,3546000,3555000,3557000,3557000,3558000,3561000,3150000,3591000,3602000,3617000,3629000,3650000,3666000,4667000,4687000,4745000
64,Retained Earnings,- -,- -,-4094842000,-4250222000,20205000,173277000,427391000,-3018637000,-3886826000,-3974349000,-3931403000,-4114515000,-4162975000,-4172565000,-4268637000,-4127206000,-4765514000,-5000920000,-5349611000,-5939534000,-6373349000
65,Other Comprehensive Income/Loss,- -,- -,175342000,300211000,2472000,130476000,247478000,-329580000,-218177000,-207439000,-246988000,-212599000,-213572000,-341353000,-451833000,-386658000,-338936000,-344489000,-349552000,-358520000,-350950000
66,Other Total Stockholders Equity,5413398000,2578943000,8111345000,8568897000,1183258000,1279079000,1304306000,6676670000,6669093000,6676491000,6683527000,4521695000,4331018000,4166041000,3959411000,3427561000,3102355000,3079729000,3486976000,3499910000,- -
67,Total Stockholders Equity,5413398000,2578943000,2760164000,2729653000,1209437000,1586378000,1982730000,3332010000,2567647000,2498261000,2508697000,198155000,-41938000,-344275000,-757442000,-1082674000,-1998445000,-2262014000,-2207520000,-2793457000,-3205030000
68,Total Liabilities And Stockholders Equity,7807624000,4926205000,5178180000,5177631000,4751068000,5239990000,5719740000,7838948000,6998692000,6886256000,6798800000,6857848000,6557346000,6159077000,6169424000,5568942000,4513742000,4361666000,6240474000,5744418000,5288295000
69,Minority Interest,- -,- -,54640000,63302000,167277000,181901000,215864000,211813000,193730000,209794000,289385000,247934000,202046000,203334000,187775000,149886000,157040000,160362000,152814000,10855000,11060000
70,Total Liabilities & Equity,7807624000,4926205000,5232820000,5240933000,4918345000,5421891000,5935604000,8050761000,7192422000,7096050000,7088185000,7105782000,6759392000,6362411000,6357199000,5718828000,4670782000,4522028000,6393288000,5755273000,5299355000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334978/000095013407004538/0000950134-07-004538-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312508031515/0001193125-08-031515-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312509042666/0001193125-09-042666-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312510058241/0001193125-10-058241-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312511033673/0001193125-11-033673-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312512069197/0001193125-12-069197-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497813000006/0001334978-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497814000005/0001334978-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497815000007/0001334978-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497816000018/0001334978-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497817000004/0001334978-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497818000006/0001334978-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497819000005/0001334978-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497820000003/0001334978-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497821000007/0001334978-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497822000010/0001334978-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-34993000,-155380000,61573000,153072000,245990000,-2851083000,-868189000,-87523000,42946000,-183112000,-48460000,-9590000,-96072000,141431000,-639716000,-218240000,-363304000,-582739000,-433815000
74,Depreciation and Amortization,- -,- -,379640000,388217000,400639000,407730000,399483000,472350000,439647000,413588000,432035000,399264000,403170000,406243000,375962000,344124000,325991000,318952000,309324000,269421000,372105000
75,Deferred Income Tax,- -,- -,23944000,39132000,-5689000,39527000,34915000,-247445000,-132341000,-14362000,-1393000,-157315000,-31216000,-33569000,3539000,31333000,-311112000,14395000,24067000,-80336000,-31582000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,12104000,12337000,10913000,10589000,7725000,7743000,8359000,10238000,9590000,8517000,15770000,13235000,19398000
77,Change in Working Capital,- -,- -,67966000,135718000,-251702000,241923000,337409000,76972000,106665000,-84895000,-51812000,-28750000,-239157000,-102718000,294478000,43119000,-383057000,-30676000,-264617000,223187000,-537184000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,68002000,-47113000,15829000,-46294000,43429000,-38618000,-56580000,30308000,-39790000,-74598000,-12555000,109014000,-177069000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48911000,24541000,-10407000,-4460000,30642000,-3797000,-4126000,29247000,-13519000,9967000,94689000
81,Other Working Capital,- -,- -,222467000,358185000,106483000,348406000,685815000,762787000,869452000,784557000,732745000,703995000,464838000,362120000,656598000,699717000,316660000,285984000,21367000,244554000,1162000
82,Other Non-Cash Items,- -,- -,-3098000,84808000,305267000,-303711000,-323367000,3152830000,883378000,286072000,84529000,314462000,322578000,80314000,-287333000,-259952000,1145892000,94327000,493286000,19424000,477583000
83,Cash Provided by Operating Activities,- -,- -,433459000,492495000,510088000,538541000,694430000,603624000,441264000,525217000,517218000,355138000,414640000,348423000,298933000,310293000,147588000,187275000,214526000,-137808000,-133495000
84,CAPEX,- -,- -,-249282000,-271018000,-208156000,-233882000,-275690000,-358335000,-180886000,-195273000,-291050000,-275577000,-206187000,-231169000,-218332000,-229772000,-224238000,-211079000,-232464000,-124162000,-148006000
85,Acquisitions Net,- -,- -,- -,- -,-99605000,-242418000,-69059000,-96498000,-3811000,-1841000,-13179000,-4721000,- -,- -,-24701000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-821000,-7533000,-99000,- -,-659000,-26000,-2998000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,12076000,1371000,7292000,962000,1934000,- -,- -,- -,- -,- -,15834000,- -,781000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,19941000,-44183000,-54882000,-20002000,-11922000,27081000,24831000,-1591000,5295000,46550000,28508000,8904000,-14692000,780490000,48337000,7487000,1110000,214891000,-4697000
89,Cash Used for Investing Activites,- -,- -,-230162000,-310658000,-361371000,-489010000,-356368000,-425844000,-162864000,-198705000,-298934000,-233748000,-177679000,-206431000,-257725000,551499000,-175901000,-203592000,-220042000,94521000,-152703000
90,Debt Repayment,- -,- -,-190077000,-105207000,- -,- -,- -,- -,-2509277000,-320777000,-24250000,-2704154000,-11441000,-3730000,-3905000,-4434000,-1657000,-632000,-5716036000,-94971000,-2141042000
91,Common Stock Issued,- -,- -,- -,- -,166000,2176000,10780000,4261000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333419000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2170396000,-200010000,-175022000,- -,-755538000,-332824000,-30678000,-740000,-405000,- -
94,Other Financing Activites,- -,- -,-32414000,-76799000,-77716000,-55341000,-316531000,-237101000,2740933000,6314000,-274494000,4769001000,-272942000,-82557000,202959000,33473000,-45032000,71996000,5603366000,513655000,2055805000
95,Cash Used/Provided by Financing Activities,- -,- -,-222491000,-182006000,-77550000,-53165000,-305751000,-232840000,231656000,-314463000,-298744000,-105549000,-484393000,-261309000,199054000,-726499000,-379513000,40686000,220009000,418279000,-85237000
96,Effect of Forex Changes on Cash,- -,- -,7558000,4012000,-471000,385000,-2809000,14975000,4568000,2533000,-903000,3483000,-2000,-9024000,-13723000,-6041000,9950000,-9810000,-287000,2994000,-3655000
97,Net Change In Cash,- -,- -,-11636000,3843000,70696000,-3249000,29502000,-40085000,514624000,14582000,-81363000,19324000,-247434000,-128341000,226539000,129252000,-397876000,14559000,214206000,377986000,-375090000
98,Cash at the End of Period,- -,- -,34105000,37948000,108644000,105395000,134897000,167937000,609436000,624018000,542655000,561979000,314545000,186204000,412743000,541995000,144119000,202869000,417075000,795061000,419971000
99,Cash at the Beginning of Period,- -,- -,45741000,34105000,37948000,108644000,105395000,208022000,94812000,609436000,624018000,542655000,561979000,314545000,186204000,412743000,541995000,188310000,202869000,417075000,795061000
100,Free Cash Flow,- -,- -,184177000,221477000,301932000,304659000,418740000,245289000,260378000,329944000,226168000,79561000,208453000,117254000,80601000,80521000,-76650000,-23804000,-17938000,-261970000,-281501000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334978/000095013407004538/0000950134-07-004538-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312508031515/0001193125-08-031515-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312509042666/0001193125-09-042666-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312510058241/0001193125-10-058241-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312511033673/0001193125-11-033673-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000119312512069197/0001193125-12-069197-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497813000006/0001334978-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497814000005/0001334978-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497815000007/0001334978-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497816000018/0001334978-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497817000004/0001334978-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497818000006/0001334978-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497819000005/0001334978-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497820000003/0001334978-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497821000007/0001334978-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1334978/000133497822000010/0001334978-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
