,https://roic.ai/company/PTEN,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0045,0.0648,0.0712,0.0409,0.0514,0.1164,-0.0016,-0.0601,0.0771,0.1658,0.0041,0.0713,0.1086,0.2142,0.2644,0.2075,0.1571,-0.0490,0.0799,0.1257,0.1100,0.0692,0.0511,-0.1557,-0.3479,0.0025,-0.0966,-0.1723,-0.7149,-0.4823
25,EPS,0.01,0.07,0.15,0.09,0.11,0.39,-0.01,-0.14,0.34,1.07,0.01,0.34,0.65,2.19,4.08,2.83,2.26,-0.25,0.76,2.08,1.96,1.29,1.12,-2.00,-2.18,0.03,-1.47,-2.10,-4.27,-3.36
26,EPS Diluted,0.01,0.07,0.15,0.09,0.11,0.38,-0.01,-0.14,0.33,1.03,0.01,0.34,0.64,2.15,4.02,2.79,2.24,-0.25,0.76,2.06,1.96,1.28,1.11,-2.00,-2.18,0.03,-1.47,-2.10,-4.27,-3.36
27,Weighted Average Shares Outstanding,11616000,24615385,16129032,21111111,39621616,56984000,63290000,64998000,68694000,152814000,157410000,161272000,166258000,170426000,165159000,154755000,153379000,152069000,152772000,153871000,151144000,144356000,144066000,145416000,146178000,198447000,218643000,203039000,188013000,195021000
28,Weighted Average Shares Outstanding Diluted,11616000,24615385,16129032,21111111,40171328,59010000,63290000,64998000,71506000,158394000,162504000,164572000,169211000,173767000,167413000,156997000,154717000,152069000,153276000,155304000,151699000,145303000,145376000,145416000,146178000,199882000,218643000,203039000,188013000,195021000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889900/000095013405003775/0000950134-05-003775-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013406006240/0000950134-06-006240-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013407004227/0000950134-07-004227-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013408003007/0000950134-08-003007-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013409003225/0000950134-09-003225-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095012310014515/0000950123-10-014515-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095012311013816/0000950123-11-013816-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312512052274/0001193125-12-052274-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312513054428/0001193125-13-054428-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312514054910/0001193125-14-054910-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459015000634/0001564590-15-000634-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459016012604/0001564590-16-012604-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459017001437/0001564590-17-001437-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459018002481/0001564590-18-002481-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459019002863/0001564590-19-002863-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459020004584/0001564590-20-004584-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459021005045/0001564590-21-005045-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095017022001347/0000950170-22-001347-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2100000,4000000,3400000,2500000,3500000,23300000,9000000,8800000,59355000,33584000,82154000,100483000,112371000,136398000,13385000,17434000,81223000,49877000,27612000,23946000,110723000,249509000,43012000,113346000,35152000,42828000,245029000,174185000,224915000,117524000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2100000,4000000,3400000,2500000,3500000,23300000,9000000,8800000,59355000,33584000,82154000,100483000,112371000,136398000,13385000,17434000,81223000,49877000,27612000,23946000,110723000,249509000,43012000,113346000,35152000,42828000,245029000,174185000,224915000,117524000
34,Net Receivables,4500000,6300000,10400000,11000000,24700000,45500000,29100000,42500000,82066000,135510000,123733000,169012000,214097000,422002000,489554000,373279000,424706000,283367000,412229000,518109000,465517000,451517000,745130000,253126000,150217000,581506000,562927000,346096000,164642000,356150000
35,Inventory,200000,300000,400000,400000,300000,4800000,1300000,2000000,12186000,16272000,15323000,15206000,17738000,27907000,43947000,44416000,41999000,6941000,17215000,31306000,26889000,21248000,32251000,14716000,20191000,69167000,65579000,36357000,33085000,42359000
36,Other Current Assets,400000,- -,2200000,2900000,7000000,3400000,14100000,5400000,14156000,14092000,21805000,23359000,42827000,51550000,105784000,87656000,93446000,117083000,100354000,191589000,96862000,86376000,88699000,105348000,77761000,53354000,76662000,75177000,55314000,67620000
37,Total Current Assets,7200000,10600000,16400000,16800000,35500000,77000000,53500000,58700000,167763000,199458000,243015000,308060000,387033000,637857000,652670000,522785000,641374000,457268000,557410000,764950000,699991000,808650000,909092000,486536000,283321000,746855000,950197000,631815000,477956000,583653000
38,PP&E,5700000,7200000,14600000,26500000,51300000,100400000,136700000,133800000,202592000,614420000,627734000,693631000,828875000,1053845000,1435804000,1841404000,1937112000,2110402000,2620900000,3167266000,3615383000,3635541000,4131071000,3920708000,3408963000,4254730000,4002549000,3337952000,2779607000,2351628000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99056000,96198000,86234000,86234000,153809000,153809000,153809000,153809000,210795000,86234000,86234000,611473000,410756000,372560000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,24600000,45900000,41800000,38641000,51634000,51313000,51179000,101326000,99056000,- -,- -,- -,- -,25874000,21764000,17654000,13661000,10018000,6375000,2732000,75599000,66884000,71444000,30087000,7537000
41,Intangible Assets,- -,- -,- -,- -,- -,24600000,45900000,41800000,38641000,51634000,51313000,51179000,101326000,99056000,99056000,96198000,86234000,86234000,179683000,175573000,171463000,167470000,220813000,92609000,88966000,687072000,477640000,444004000,30087000,7537000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,914000,51084000,99543000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3875000,- -,- -,- -,3975000
44,Other Non-Current Assets,700000,600000,700000,500000,1100000,1200000,500000,2000000,1590000,4130000,20447000,22960000,5677000,5023000,4973000,4812000,48097000,7334000,13954000,14569000,70074000,75466000,133035000,33464000,23356000,66324000,39480000,25844000,11419000,11055000
45,Total Non-Current Assets,6400000,7800000,15300000,27000000,52400000,126200000,183100000,177600000,242823000,670184000,699494000,767770000,935878000,1157924000,1539833000,1942414000,2071443000,2204884000,2865621000,3456951000,3856920000,3878477000,4484919000,4046781000,3521285000,5012001000,4519669000,3807800000,2821113000,2374195000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13600000,18400000,31700000,43800000,87900000,203200000,236600000,236300000,410586000,869642000,942509000,1075830000,1322911000,1795781000,2192503000,2465199000,2712817000,2662152000,3423031000,4221901000,4556911000,4687127000,5394011000,4533317000,3804606000,5758856000,5469866000,4439615000,3299069000,2957848000
48,Accounts Payable,4900000,5400000,9000000,7900000,15100000,17000000,11200000,23700000,42499000,52778000,39639000,56381000,68159000,131899000,172155000,156916000,169958000,83700000,162400000,241610000,188823000,173150000,382438000,82771000,125667000,319621000,288962000,170475000,91622000,190219000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6250000,10000000,6250000,10000000,12500000,63750000,- -,- -,- -,- -,7096000,6891000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10666000,9905000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1523000,- -,- -,- -,- -,- -,- -,- -,- -,60282000
52,Other Current Liabilities,2600000,900000,2200000,2600000,2800000,13500000,11800000,8000000,9902000,36508000,35513000,52066000,81917000,123510000,145463000,138292000,132655000,109608000,147315000,167102000,163267000,171127000,173466000,161611000,139148000,226629000,237354000,230127000,175004000,178461000
53,Total Current Liabilities,7500000,6300000,11200000,10500000,17900000,30500000,23000000,31700000,56878000,89286000,75152000,108447000,150076000,255409000,317618000,295208000,302613000,193308000,315965000,418712000,359863000,354277000,568404000,308132000,264815000,546250000,526316000,400602000,273722000,435853000
54,Long-Term Debt,2300000,2100000,6000000,12900000,25700000,21800000,47100000,50000000,19939000,- -,- -,- -,- -,- -,120000000,50000000,- -,- -,392500000,492500000,692500000,682500000,973000000,791250000,598437000,866783000,1119205000,966540000,920602000,870431000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,100000,3300000,9600000,1700000,30083000,92859000,127006000,143490000,162040000,169188000,187960000,219490000,277717000,381656000,511422000,786632000,857302000,887864000,935660000,863833000,682976000,350836000,306161000,202959000,77676000,29234000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,700000,700000,- -,100000,880000,355000,2795000,3822000,3256000,4173000,4459000,4471000,5545000,5488000,15537000,7426000,6589000,6489000,11137000,8971000,9654000,12494000,12761000,35894000,11010000,12843000
58,Total Non-Current Liabilities,2300000,2000000,6000000,12900000,26500000,25800000,56700000,51800000,50902000,93214000,129801000,147312000,165296000,173361000,312419000,273961000,283262000,387144000,919459000,1286558000,1556391000,1576853000,1919797000,1664054000,1291067000,1230113000,1438127000,1205393000,1009288000,912508000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36579000,26214000,24999000
61,Total Liabilities,9800000,8300000,17200000,23400000,44400000,56300000,79700000,83500000,107780000,182500000,204953000,255759000,315372000,428770000,630037000,569169000,585875000,580452000,1235424000,1705270000,1916254000,1931130000,2488201000,1972186000,1555882000,1776363000,1964443000,1605995000,1283010000,1348361000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,300000,375000,784000,816000,825000,1716000,1759000,1766000,1773000,1801000,1808000,1815000,1833000,1841000,1865000,1893000,1904000,1915000,2662000,2673000,2694000,2710000,2993000
64,Retained Earnings,300000,1800000,4300000,6200000,22100000,44300000,44000000,34900000,245462000,258834000,261003000,316329000,415489000,719113000,1346542000,1716620000,1970824000,1901853000,1987999000,2279367000,2548542000,2707439000,2811815000,2458554000,2116341000,2105897000,1753557000,1294902000,472014000,-198316000
65,Other Comprehensive Income/Loss,-18900000,-21100000,-23700000,-28400000,-58600000,-73400000,-98100000,-122300000,-150314000,-307831000,-392500000,-467905000,-571973000,9000000,8000000,20000000,6000000,15000000,22000000,19000000,22000000,14000000,6000000,-4000000,-1000000,7000000,2000000,5000000,5412000,5915000
66,Other Total Stockholders Equity,22400000,29400000,33900000,42600000,80000000,176000000,211000000,239900000,207283000,735355000,868237000,970822000,1162307000,637139000,206158000,157637000,148317000,163039000,175793000,216431000,68274000,32693000,86102000,104673000,131468000,1866934000,1747193000,1531024000,1535923000,1798895000
67,Total Stockholders Equity,3800000,10100000,14500000,20400000,43500000,146900000,156900000,152800000,302806000,687142000,737556000,820071000,1007539000,1367011000,1562466000,1896030000,2126942000,2081700000,2187607000,2516631000,2640657000,2755997000,2905810000,2561131000,2248724000,3982493000,3505423000,2833620000,2016059000,1609487000
68,Total Liabilities And Stockholders Equity,13600000,18400000,31700000,43800000,87900000,203200000,236600000,236300000,410586000,869642000,942509000,1075830000,1322911000,1795781000,2192503000,2465199000,2712817000,2662152000,3423031000,4221901000,4556911000,4687127000,5394011000,4533317000,3804606000,5758856000,5469866000,4439615000,3299069000,2957848000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13600000,18400000,31700000,43800000,87900000,203200000,236600000,236300000,410586000,869642000,942509000,1075830000,1322911000,1795781000,2192503000,2465199000,2712817000,2662152000,3423031000,4221901000,4556911000,4687127000,5394011000,4533317000,3804606000,5758856000,5469866000,4439615000,3299069000,2957848000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889900/000095013405003775/0000950134-05-003775-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013406006240/0000950134-06-006240-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013407004227/0000950134-07-004227-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013408003007/0000950134-08-003007-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095013409003225/0000950134-09-003225-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095012310014515/0000950123-10-014515-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095012311013816/0000950123-11-013816-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312512052274/0001193125-12-052274-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312513054428/0001193125-13-054428-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000119312514054910/0001193125-14-054910-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459015000634/0001564590-15-000634-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459016012604/0001564590-16-012604-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459017001437/0001564590-17-001437-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459018002481/0001564590-18-002481-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459019002863/0001564590-19-002863-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459020004584/0001564590-20-004584-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000156459021005045/0001564590-21-005045-index.htm,https://www.sec.gov/Archives/edgar/data/889900/000095017022001347/0000950170-22-001347-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,1600000,2500000,1900000,4300000,22200000,-300000,-9100000,23754000,164162000,2169000,55326000,108733000,372740000,673254000,438639000,347069000,-38290000,116942000,322413000,299477000,188009000,162664000,-294486000,-318634000,5910000,-321421000,-425703000,-803692000,-654545000
74,Depreciation and Amortization,1800000,2300000,2900000,5300000,10000000,17500000,28100000,28200000,33133000,86159000,91216000,97998000,120617000,159218000,196370000,249206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,670910000,849178000
75,Deferred Income Tax,- -,- -,-400000,-200000,-2400000,2500000,6500000,-7100000,15941000,14560000,23548000,17274000,23473000,17101000,-3708000,38271000,66039000,101443000,147490000,158967000,159152000,50569000,43673000,-101235000,-157028000,-330346000,-41185000,-103202000,-125283000,-62980000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20131000,18214000,16779000,20904000,23185000,25891000,27032000,28510000,28324000,44483000,37925000,39328000,26572000,21558000
77,Change in Working Capital,-600000,4600000,900000,1100000,11300000,28900000,-16000000,-3500000,83885000,-713000,57691000,31750000,37344000,145491000,-47396000,-107475000,111184000,-74801000,-22515000,104793000,-6110000,114245000,-113685000,-162284000,-159898000,182099000,223276000,-192668000,-26979000,-55290000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50567000,213813000,-178444000,-183165000,52612000,12007000,-214059000,440884000,72327000,-239482000,23515000,213588000,173862000,-147356000
79,Inventory,- -,- -,- -,-700000,-2500000,-100000,-1300000,-700000,-1520000,-3320000,-222000,-196000,-13556000,-9402000,-47406000,4853000,5492000,14178000,-8772000,-13491000,5276000,570000,-5737000,40238000,5664000,-23449000,-1470000,29394000,27192000,-5850000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10341000,-52673000,49576000,41995000,-25199000,11331000,86621000,-131649000,12024000,104072000,-69453000,-77686000,-48602000,50941000
81,Other Working Capital,-300000,4300000,5200000,6300000,17600000,46500000,30500000,27000000,110885000,110172000,167863000,199613000,236957000,382448000,335052000,227577000,338761000,263960000,241445000,346238000,340128000,454373000,340688000,178404000,18506000,200605000,423881000,231213000,204234000,4516000
82,Other Non-Cash Items,- -,-5800000,-1800000,-3000000,-18500000,-36700000,11700000,15500000,-107708000,-10162000,-43191000,-40830000,-67878000,-234071000,18650000,193583000,130581000,447111000,267002000,261520000,529636000,510157000,609042000,1528932000,912270000,398565000,832075000,1378448000,537330000,-2425000
83,Cash Provided by Operating Activities,1300000,2700000,4100000,5100000,4700000,34400000,30000000,24000000,49005000,254006000,131433000,161518000,222289000,460479000,837170000,812224000,675004000,453677000,525698000,868597000,1005340000,888871000,728726000,999437000,305034000,300711000,730670000,696203000,278858000,95496000
84,CAPEX,-2200000,-3800000,-9400000,-16500000,-24000000,-84300000,-79600000,-19100000,-57153000,-172850000,-83843000,-117095000,-191560000,-380094000,-597919000,-607686000,-448893000,-452646000,-738090000,-1011578000,-973988000,-662461000,-1052341000,-743776000,-119799000,-567087000,-641458000,-347512000,-145481000,-166320000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-17807000,-40546000,- -,- -,-32514000,-73577000,- -,-29000000,- -,- -,-238022000,- -,- -,- -,-176301000,- -,155000,-501954000,-14211000,-13000,- -,-29358000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17659000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2520000,- -,- -,- -,- -
87,Sales/Maturities of Investments,200000,- -,- -,- -,1900000,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1200000,200000,300000,300000,1200000,4200000,1900000,- -,1755000,-359000,2910000,-36250000,1537000,14440000,10934000,34224000,11617000,3305000,72047000,47995000,66027000,10386000,33233000,20814000,21889000,60945000,71117000,45761000,20505000,64084000
89,Cash Used for Investing Activites,-800000,-3600000,-9100000,-16200000,-20900000,-80100000,-77100000,-19100000,-73205000,-213755000,-98592000,-153345000,-222537000,-439231000,-586985000,-602462000,-437276000,-449341000,-904065000,-963583000,-907961000,-652075000,-1195409000,-722962000,-97755000,-1010616000,-584552000,-301764000,-124976000,-131594000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-6169000,-201250000,-49350000,-327150000,-6250000,-56500000,-384500000,-455500000,-331000000,-347000000,-673443000,-62525000,-50000000
91,Common Stock Issued,- -,4700000,- -,3300000,900000,68100000,300000,600000,101997000,6065000,15739000,10286000,24519000,43474000,1946000,2050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,471570000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,100000,- -,- -,- -,- -,-1650000,- -,- -,- -,-1482000,-12153000,-450011000,-70850000,-70818000,-1623000,-1853000,-4314000,-170292000,-73510000,-13554000,-8010000,-3610000,-6809000,-161737000,-255467000,-21179000,-6328000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-40000000,- -,- -,- -,-10021000,-27339000,-45825000,-68561000,-92865000,-30681000,-30796000,-31045000,-30302000,-29112000,-58288000,-58775000,-23579000,-16315000,-30589000,-32428000,-18862000,-15605000
94,Other Financing Activites,-300000,-1900000,4400000,6800000,11600000,-2600000,32500000,-5700000,14416000,-79416000,- -,- -,-780000,- -,120745000,-68895000,41828000,569000,589746000,176304000,516753000,11753000,389071000,252021000,197411000,599123000,596190000,496117000,-584000,- -
95,Cash Used/Provided by Financing Activities,-300000,2800000,4400000,10200000,12500000,65500000,32800000,-5100000,74763000,-73351000,15739000,10286000,12236000,3982000,-373145000,-206256000,-171855000,-37904000,355847000,91595000,-10991000,-97119000,260729000,-199264000,-285278000,716569000,56864000,-465221000,-103150000,-71933000
